<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
맞아들이면서	맞/pvg+아/ecx+들이/px+면서/ecc
환심을	환심/ncn+을/jco
사기	사기/ncn
위해	위하/pvg+어/ecs
백성을	백성/ncn+을/jco
강제로	강제/ncn+로/jca
동원	동원/ncn
,	,/sp
웅장한	웅장/ncps+하/xsm+ㄴ/etm
궁전을	궁전/ncn+을/jco
세워	세우/pvg+어/ecx
사랑의	사랑/ncn+의/jcm
단꿈을	단꿈/ncn+을/jco
누린	누리/pvg+ㄴ/etm
곳이	곳/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
토번왕조	토번/nq+왕조/ncn
(	(/sl
吐蕃王朝	吐蕃王朝/nq
:	:/sp
지금의	지금/ncn+의/jcm
티베트	티베트/nq
)	)/sr
때	때/ncn
세운	세우/pvg+ㄴ/etm
티베트	티베트/nq
라사강변	라사/nq+강변/ncn
언덕	언덕/ncn
위에	위/ncn+에/jca
우뚝	우뚝/mag
서	서/pvg+어/ecx
있는	있/px+는/etm
황금빛	황금빛/ncn
찬란한	찬란/ncps+하/xsm+ㄴ/etm
거대한	거대/ncpa+하/xsv+ㄴ/etm
건축물이며	건축/ncn+물/xsn+이/jp+며/ecs
불교의	불교/nq+의/jcm
서이인	서이/ncn+이/jp+ㄴ/etm
그곳	그/npd+곳/nbn
붉은산의	붉/paa+은/etm+산/ncn+의/jcm
이름을	이름/ncn+을/jco
딴	따/pvg+ㄴ/etm
포타라	포타라/nq
궁전이	궁전/ncn+이/jcs
바로	바로/mag
그것이다	그것/npd+이/jp+다/ef
.	./sf
포타라	포타라/nq
궁전은	궁전/ncn+은/jxc
7	7/nnc
세기초	세기/nbu+초/ncn
토번국의	토번국/nq+의/jcm
왕이	왕/ncn+이/jcc
된	되/pvg+ㄴ/etm
송챙갈포가	송챙갈포/nq+가/jcs
당나라	당나라/nq
문성공주	문성공주/nq
(	(/sl
文成公主	文成公主/nq
)	)/sr
를	를/jco
아내로	아내/ncn+로/jca
맞게되자	맞/pvg+게/ecx+되/px+자/ecs
어쩔	어쩔/mma
줄	줄/nbn
몰라	모르/pvg+아/ecs
당시	당시/ncn
수	수/ncn
만	만/nnc
명의	명/nbu+의/jcm
인력과	인력/ncn+과/jcj
우마	우마/ncn
,	,/sp
그리고	그리고/mag
각	각/mma
나라의	나라/ncn+의/jcm
이름난	이름/ncn+나/pvg+ㄴ/etm
장인	장인/ncn
등을	등/nbn+을/jco
초빙	초빙/ncn
,	,/sp
무려	무려/mag
1	1/nnc
천여개의	천/nnc+여/xsn+개/nbu+의/jcm
방이	방/ncn+이/jcs
달린	달리/pvg+ㄴ/etm
궁전을	궁전/ncn+을/jco
지어	짓/pvg+어/ecx
사랑의	사랑/ncn+의/jcm
보금자리로	보금자리/ncn+로/jca
삼은	삼/pvg+은/etm
데서	데/nbn+서/jca
비롯된다	비롯/ncpa+되/xsv+ㄴ다/ef
.	./sf
그후	그/npd+후/ncn
이	이/npd
궁전은	궁전/ncn+은/jxc
낙뢰와	낙뢰/ncn+와/jcj
병사들의	병사/ncn+들/xsn+의/jcm
반란	반란/ncn
등으로	등/ncn+으로/jca
파괴	파괴/ncn
되었다가	되/pvg+었/ep+다가/ecs
17	17/nnc
세기	세기/nbu
때	때/ncn
라마교의	라마교/nq+의/jcm
황모파	황모파/nq
종주	종주/ncn
(	(/sl
黃帽派宗主	黃帽派宗主/nq
)	)/sr
였던	이/jp+었/ep+던/etm
다라이	다라이/nq
라마	라마/nq
5	5/nnc
세에	세/nbu+에/jca
의해	의하/pvg+어/ecs
복원	복원/ncn
,	,/sp
옛	옛/mma
모습을	모습/ncn+을/jco
그대로	그대로/mag
선보이고	선보이/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이	이/npd
궁전은	궁전/ncn+은/jxc
산언덕의	산/ncn+언덕/ncn+의/jcm
자연적인	자연/ncn+적/xsn+이/jp+ㄴ/etm
지형을	지형/ncn+을/jco
교묘히	교묘히/mag
이용	이용/ncn
,	,/sp
산밑에서	산/ncn+밑/xsn+에서/jca
정상까지	정상/ncn+까지/jxc
연결된	연결/ncpa+되/xsv+ㄴ/etm
높이	높이/mag
1	1/nnc
백	백/ncn
10	10/nnc
m	m/f
나	나/ecs
되는	되/pvg+는/etm
133	133/nnc
층짜리	층/nbu+짜리/jxc
복합식	복합/ncn+식/xsn
건축물로	건축/ncn+물/xsn+로/jca
되어	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
수많은	수많/paa+은/etm
전당	전당/ncn
(	(/sl
殿堂	殿堂/ncn
)	)/sr
과	과/jcj
금박으로	금박/ncn+으로/jca
된	되/pvg+ㄴ/etm
용마루	용/ncn+마루/ncn
지붕	지붕/ncn
등	등/nbn
옛	옛/mma
왕성	왕성/nq
(	(/sl
王成	王成/nq
)	)/sr
의	의/jcm
위세를	위세/ncn+를/jco
엿보게	엿보/pvg+게/ecx
하는	하/px+는/etm
이	이/mmd
궁전은	궁전/ncn+은/jxc
적궁	적궁/nq
(	(/sl
赤宮	赤宮/nq
)	)/sr
과	과/jcj
백궁	백궁/nq
(	(/sl
白宮	白宮/nq
)	)/sr
으로	으로/jca
나눈다	나누/pvg+ㄴ다/ef
.	./sf
적궁은	적궁/ncn+은/jxc
역대	역대/ncn
다라이	다라이/nq
라마의	라마/nq+의/jcm
시신	시신/ncn
(	(/sl
屍身	屍身/ncn
)	)/sr
이	이/jcs
들어있는	들/pvg+어/ecx+있/px+는/etm
영탑	영탑/ncn
(	(/sl
靈塔	靈塔/ncn
)	)/sr
과	과/jcj
각종	각종/ncn
불당이	불당/ncn+이/jcs
놓여져	놓이/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
.	./sf
그리고	그리고/maj
각	각/mma
층에는	층/ncn+에/jca+는/jxc
무려	무려/mag
11	11/nnc
만	만/nnc
온스	온스/nbu
이상의	이상/ncn+의/jcm
순금과	순금/ncn+과/jcj
루비	루비/ncn
사파이어	사파이어/ncn
등	등/nbn
진귀한	진귀/ncps+하/xsm+ㄴ/etm
보석등으로	보석/ncn+등/xsn+으로/jca
실내를	실내/ncn+를/jco
꾸며	꾸미/pvg+어/ecx
놓음으로써	놓/px+ㅁ/etn+으로써/jca
항상	항상/mag
영롱한	영롱/ncps+하/xsm+ㄴ/etm
빛을	빛/ncn+을/jco
발하고	발하/pvg+고/ecx
있어	있/px+어/ecs
실로	실로/mag
장관을	장관/ncn+을/jco
이룬다	이루/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
적궁내에서	적궁/nq+내/ncn+에서/jca
가장	가장/mag
웅대한	웅대/ncpa+하/xsv+ㄴ/etm
전당인	전당/ncn+이/jp+ㄴ/etm
서대전	서대전/nq
(	(/sl
西大殿	西大殿/nq
)	)/sr
에는	에/jca+는/jxc
다라이	다라이/nq
라마	라마/nq
5	5/nnc
세의	세/nbu+의/jcm
영탑과	영탑/ncn+과/jct
함께	함께/mag
대장경	대장경/ncn
목판이	목판/ncn+이/jcs
보존	보존/ncn
돼	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
북쪽에는	북쪽/ncn+에/jca+는/jxc
최초로	최초/ncn+로/jca
궁전을	궁전/ncn+을/jco
세운	세우/pvg+ㄴ/etm
송챙갈포와	송챙갈포/nq+와/jcj
문성공주의	문성공주/nq+의/jcm
소상	소상/ncn
(	(/sl
遡橡	遡橡/ncn
)	)/sr
이	이/jcs
자리하고	자리/ncpa+하/xsv+고/ecx
있는데	있/px+는데/ecs
그들의	그/npp+들/xsn+의/jcm
모습은	모습/ncn+은/jxc
마치	마치/mag
지금도	지금/ncn+도/jxc
사랑에	사랑/ncn+에/jca
겨워	겹/paa+어/ecs
남	남/ncn
몰래	몰래/mag
힘껏	힘껏/mag
포옹하고	포옹/ncpa+하/xsv+고/ecx
싶은	싶/px+은/etm
듯	듯/nbn
서로	서로/mag
곁눈질을	곁눈질/ncn+을/jco
하며	하/pvg+며/ecc
안타까운	안타깝/paa+ㄴ/etm
표정을	표정/ncn+을/jco
짓고	짓/pvg+고/ecx
있다	있/px+다/ef
.	./sf
포타라	포타라/nq
궁전내의	궁전/ncn+내/ncn+의/jcm
백궁은	백궁/ncn+은/jxc
송챙갈포와	송챙갈포/nq+와/jcj
문성공주	문성공주/nq
그리고	그리고/maj
역대	역대/ncn
다라이라마가	다라이라마/nq+가/jcs
거처한	거처/ncpa+하/xsv+ㄴ/etm
침실	침실/ncn
두개가	두개/ncn+가/jcs
마주	마주/mag
보고	보/pvg+고/ecx
있는	있/px+는/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
채광이	채광/ncn+이/jcs
잘	잘/mag
통한다고	통하/pvg+ㄴ다고/ecs
하여	하/pvg+어/ecs
동일광전	동일광전/nq
(	(/sl
東日光殿	東日光殿/nq
)	)/sr
서일광전	서일광전/nq
(	(/sl
西日光殿	西日光殿/nq
)	)/sr
으로	으로/jca
불려왔다	불리/pvg+어/ecx+오/px+았/ep+다/ef
.	./sf
특히	특히/mag
두개의	두개/ncn+의/jcm
침실은	침실/ncn+은/jxc
최초의	최초/ncn+의/jcm
주인인	주인/ncn+이/jp+ㄴ/etm
송챙갈포와	송챙갈포/nq+와/jcj
문성공주가	문성공주/nq+가/jcs
밤낮을	밤낮/ncn+을/jco
가리지	가리/pvg+지/ecx
않고	않/px+고/ecc
틈만	틈/ncn+만/jxc
나면	나/pvg+면/ecs
정사를	정사/ncn+를/jco
일삼으며	일삼/pvg+으며/ecs
정열적인	정열/ncn+적/xsn+이/jp+ㄴ/etm
사랑을	사랑/ncn+을/jco
불태운	불태우/pvg+ㄴ/etm
사랑의	사랑/ncn+의/jcm
밀실이었다고	밀실/ncn+이/jp+었/ep+다/ef+고/jcr
구전되고	구전/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
이들은	이/npd+들/xsn+은/jxc
당시	당시/ncn
아침	아침/ncn
해가	해/ncn+가/jcs
뜰	뜨/pvg+ㄹ/etm
무렵과	무렵/nbn+과/jct
질	지/pvg+ㄹ/etm
무렵의	무렵/nbn+의/jcm
유난히	유난히/mag
밝은	밝/pvg+은/etm
햇빛을	햇빛/ncn+을/jco
받으며	받/pvg+으며/ecs
잠자리를	잠자리/ncn+를/jco
해야	하/pvg+어/ecs
만이	만/nbn+이/jcs
영특한	영특/ncps+하/xsm+ㄴ/etm
왕자를	왕자/ncn+를/jco
낳을	낳/pvg+을/etm
수	수/nbn
있을	있/paa+을/etm
뿐더러	뿐/nbn+더러/jxc
건강에도	건강/ncn+에/jca+도/jxc
매우	매우/mag
좋아	좋/paa+아/ecs
장수할	장수/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다고	있/paa+다/ef+고/jcr
하여	하/px+어/ecs
아침엔	아침/ncn+에/jca+ㄴ/jxc
동일광전에서	동일광전/nq+에서/jca
,	,/sp
저녁	저녁/ncn
때는	때/ncn+는/jxc
서일광전으로	서일광전/nq+으로/jca
재빨리	재빨리/mag
옮겨	옮기/pvg+어/ecx
다니며	다니/pvg+며/ecc
열렬한	열렬/ncps+하/xsm+ㄴ/etm
사랑을	사랑/ncn+을/jco
나누었다고	나누/pvg+었/ep+다/ef+고/jcr
한다	하/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
문성공주는	문성공주/nq+는/jxc
사랑에	사랑/ncn+에/jca
지친	지치/pvg+ㄴ/etm
타시었는지	타/pvg+시었/ep+는지/ecs
항상	항상/mag
몸져	몸져/mag
눕는	눕/pvg+는/etm
일이	일/ncn+이/jcs
잦아	잦/pvg+아/ecs
결국	결국/mag
송챙갈포는	송챙갈포/nq+는/jxc
아내를	아내/ncn+를/jco
위해	위하/pvg+어/ecx
특별히	특별히/mag
웅장한	웅장/ncps+하/xsm+ㄴ/etm
궁전까지	궁전/ncn+까지/jxc
마련했으면서도	마련/ncpa+하/xsv+었/ep+으면서도/ecs
끝내	끝내/mag
종주국이었던	종주/ncn+국/xsn+이/jp+었/ep+던/etm
당나라	당나라/nq
왕실의	왕실/ncn+의/jcm
노여움을	노여움/ncn+을/jco
샀다고	사/pvg+았/ep+다/ef+고/jcr
고사는	고사/ncn+는/jxc
전하고	전하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
백궁내의	백궁내/ncn+의/jcm
각종	각종/ncn
세간살이	세간살이/ncn
또한	또한/maj
순금제품들로	순금/ncn+제품/ncn+들/xsn+로/jca
가득차	가득차/pvg+아/ecx
있다	있/px+다/ef
.	./sf
송챙갈포와	송챙갈포/nq+와/jcj
문성공주가	문성공주/nq+가/jcs
침실에서	침실/ncn+에서/jca
특벽히	특벽히/mag
애용했다는	애용/ncpa+하/xsv+었/ep+다/ef+는/etm
1	1/nnc
백	백/ncn
20	20/nnc
온스짜리	온스/nbu+짜리/jxc
황금항아리가	황금/ncn+항아리/ncn+가/jcs
지금도	지금/ncn+도/jxc
화제거리로	화제/ncn+거리/xsn+로/jca
거론되고	거론/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
이밖에도	이밖/ncn+에/jca+도/jxc
백궁내에	백궁내/ncn+에/jca
위치한	위치/ncpa+하/xsv+ㄴ/etm
동대전	동대전/nq
(	(/sl
東大殿	東大殿/nq
)	)/sr
을	을/jco
빼놓을	빼/pvg+어/ecx+놓/px+을/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
이	이/npd
곳은	곳/ncn+은/jxc
당대	당대/nq
(	(/sl
唐代	唐代/nq
)	)/sr
이래	이래/ncn
청대	청대/nq
(	(/sl
淸代	淸代/nq
)	)/sr
에	에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
종주국에서	종주/ncn+국/xsn+에서/jca
파견된	파견/ncpa+되/xsv+ㄴ/etm
주재장관의	주재/ncn+장관/ncn+의/jcm
임석	임석/ncn
아래	아래/ncn
역대	역대/ncn
다라이	다라이/nq
라마	라마/nq
(	(/sl
:	:/sp
산부처	산부처/nq
)	)/sr
후계자를	후계/ncn+자/xsn+를/jco
정식	정식/ncn
인준하는	인준/ncpa+하/xsv+는/etm
환생의식	환생/ncn+의식/ncn
(	(/sl
還生儀式	還生儀式/ncn
)	)/sr
의	의/jcm
장소로	장소/ncn+로/jca
사용했던	사용/ncpa+하/xsv+었/ep+던/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
포타라	포타라/nq
궁전의	궁전/ncn+의/jcm
자랑거리	자랑/ncn+거리/xsn
가운데는	가운데/ncn+는/jxc
각종	각종/ncn
조각품과	조각/ncn+품/xsn+과/jcj
거대한	거대/ncpa+하/xsv+ㄴ/etm
벽화	벽화/ncn
등이	등/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
서대전	서대전/nq
(	(/sl
西大殿	西大殿/nq
)	)/sr
에	에/jca
있는	있/paa+는/etm
벽화만도	벽화/ncn+만/jxc+도/jxc
무려	무려/mag
6	6/nnc
백	백/ncn
98	98/nnc
점이나	점/nbu+이나/jxc
되며	되/pvg+며/ecc
전체	전체/ncn
수량은	수량/ncn+은/jxc
헤아릴	헤아리/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
정도다	정도/ncn+다/ef
.	./sf
더욱이	더욱이/mag
천	천/ncn
년	년/nbu
이상의	이상/ncn+의/jcm
세월이	세월/ncn+이/jcs
지난	지나/pvg+ㄴ/etm
현재까지도	현재/ncn+까지/jxc+도/jxc
가장	가장/mag
유명한	유명/ncpa+하/xsv+ㄴ/etm
벽화는	벽화/ncn+는/jxc
송챙갈포와	송챙갈포/nq+와/jcj
문성공주가	문성공주/nq+가/jcs
처음	처음/mag
만나	만나/pvg+아/ecs
호기심에	호기/ncn+심/xsn+에/jca
찬	차/pvg+ㄴ/etm
얼굴로	얼굴/ncn+로/jca
대화하는	대화/ncpa+하/xsv+는/etm
장면과	장면/ncn+과/jcj
언니에	언니/ncn+에/jca
이어	잇/pvg+어/ecs
티베트로	티베트/nq+로/jca
시집	시집/ncn
온	오/pvg+ㄴ/etm
금성공주	금성공주/nq
(	(/sl
金城公主	金城公主/nq
)	)/sr
의	의/jcm
결혼장면	결혼/ncn+장면/ncn
,	,/sp
그리고	그리고/maj
중요	중요/ncn
인물과	인물/ncn+과/jcj
역사적인	역사/ncn+적/xsn+이/jp+ㄴ/etm
행사와	행사/ncn+와/jcj
사건들이	사건/ncn+들/xsn+이/jcs
연작그림으로	연작/ncn+그림/ncn+으로/jca
묘사	묘사/ncn
돼	되/pvg+어/ecx
있다	있/px+다/ef
.	./sf
이밖에도	이밖/ncn+에/jca+도/jxc
청대	청대/nq
초	초/ncn
(	(/sl
淸代初	淸代初/nq
)	)/sr
다라이	다라이/nq
라마	라마/nq
5	5/nnc
세가	세/nbu+가/jcs
최초로	최초/ncn+로/jca
북경을	북경/nq+을/jco
방문	방문/ncn
,	,/sp
순치제	순치제/nq
(	(/sl
順治帝	順治帝/nq
)	)/sr
를	를/jco
만나는	만나/pvg+는/etm
장면의	장면/ncn+의/jcm
벽화는	벽화/ncn+는/jxc
정말	정말/mag
살아	살/pvg+아/ecx
움직이는	움직이/pvg+는/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
다라이	다라이/nq
라마란	라마/nq+란/jxc
칭호는	칭호/ncn+는/jxc
원래는	원래/ncn+는/jxc
단지	단지/mag
종교상의	종교/ncn+상/ncn+의/jcm
존칭에	존칭/ncn+에/jca
불과했으나	불과/ncps+하/xsm+었/ep+으나/ecs
청대초	청대초/nq
(	(/sl
淸代初	淸代初/nq
)	)/sr
순치제	순치제/nq
(	(/sl
順治帝	順治帝/nq
)	)/sr
가	가/jcs
다라이	다라이/nq
5	5/nnc
세에게	세/nbu+에게/jca
[	[/sl
西天大善自在	西天大善自在/nq
所領天下	所領天下/nq
敎	敎/nq
通	通/nq
赤	赤/nq
達	達/nq
]	]/sr
라는	라/ef+는/etm
봉작명	봉작/ncn+명/ncn
(	(/sl
封綽名	封綽名/ncn
)	)/sr
을	을/jco
하사	하사/ncn
,	,/sp
책봉함으로써	책봉/ncpa+하/xsv+ㅁ/etn+으로써/jca
비로소	비로소/mag
정치	정치/ncn
종교사의	종교/ncn+사/xsn+의/jcm
정식	정식/ncn
지도자로	지도/ncn+자/xsn+로/jca
등장하였다	등장/ncpa+하/xsv+었/ep+다/ef
.	./sf
그후	그/npd+후/ncn
다라이	다라이/nq
라마	라마/nq
13	13/nnc
세	세/nbu
역시	역시/mag
광서제	광서제/nq
(	(/sl
光西帝	光西帝/nq
)	)/sr
와	와/jcj
서태후	서태후/nq
(	(/sl
西台后	西台后/nq
)	)/sr
를	를/jco
방문	방문/ncn
,	,/sp
자신의	자신/ncn+의/jcm
지위를	지위/ncn+를/jco
직접	직접/mag
인정받기를	인정/ncn+받/pvg+기/etn+를/jco
원했다	원하/pvg+었/ep+다/ef
.	./sf
위그르족의	위그르족/nq+의/jcm
소화	소화/ncn
(	(/sl
笑話	笑話/ncn
)	)/sr
옛부터	옛/ncn+부터/jxc
소수민족	소수/ncn+민족/ncn
사회에는	사회/ncn+에/jca+는/jxc
익살과	익살/ncn+과/jcj
재치로	재치/ncn+로/jca
응어리진	응어리지/pvg+ㄴ/etm
서민들의	서민/ncn+들/xsn+의/jcm
마음을	마음/ncn+을/jco
달래주고	달래/pvg+어/ecx+주/px+고/ecc
파안대소	파안대소/ncn
(	(/sl
破顔大笑	破顔大笑/ncn
)	)/sr
를	를/jco
금치	금하/pvg+지/ecx
못하게	못하/px+게/ecx
하는	하/px+는/etm
일류	일류/ncn
재담가들이	재담/ncn+가/xsn+들/xsn+이/jcs
많이	많/paa+이/xsa
있었다	있/paa+었/ep+다/ef
.	./sf
그	그/mmd
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
인물로	인물/ncn+로/jca
에팽디라는	에팽디/nq+라/ef+는/jxc
기인	기인/ncn
(	(/sl
奇人	奇人/ncn
)	)/sr
을	을/jco
꼽을	꼽/pvg+을/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
에팽디는	에팽디/nq+는/jxc
신장성	신장성/nq
(	(/sl
新	新/nq
省	省/nq
)	)/sr
에	에/jca
살고	살/pvg+고/ecx
있는	있/px+는/etm
위그르족	위그르족/nq
(	(/sl
族	族/nq
)	)/sr
사이에	사이/ncn+에/jca
널리	널리/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
세태풍자	세태풍자/ncn
및	및/maj
교지담	교지담/ncn
(	(/sl
巧知譚	巧知譚/ncn
)	)/sr
의	의/jcm
주인공이었다	주인/ncn+공/xsn+이/jp+었/ep+다/ef
.	./sf
지금도	지금/ncn+도/jxc
위그르족은	위그르족/nq+은/jxc
긴	기/paa+ㄴ/etm
수염을	수염/ncn+을/jco
드리우고	드리우/pvg+고/ecs
머리에	머리/ncn+에/jca
터번을	터번/ncn+을/jco
쓴	쓰/pvg+ㄴ/etm
채	채/nbn
영양실조에	영양/ncn+실조/ncn+에/jca
걸린	걸리/pvg+ㄴ/etm
당나귀를	당나귀/ncn+를/jco
타고	타/pvg+고/ecc
이	이/mmd
마을에서	마을/ncn+에서/jca
저	저/mmd
마을로	마을/ncn+로/jca
떠돌아	떠돌/pvg+아/ecx
다니는	다니/pvg+는/etm
에팽디의	에팽디/nq+의/jcm
모습을	모습/ncn+을/jco
떠올리며	떠올리/pvg+며/ecc
수시로	수시/ncn+로/jca
화제를	화제/ncn+를/jco
삼아	삼/pvg+아/ecs
입가에	입가/ncn+에/jca
웃음을	웃음/ncn+을/jco
참지	참/pvg+지/ecx
못한다	못하/px+ㄴ다/ef
.	./sf
위그르어인	위그르어/nq+인/xsn
에팽디	에팽디/nq
(	(/sl
漢語로는	漢語/ncn+로/jca+는/jxc
)	)/sr
는	는/jxc
사람의	사람/ncn+의/jcm
이름이라기보다	이름/ncn+이/jp+라/ef+기/etn+보다/jca
선생이나	선생/ncn+이나/jcj
지식인에	지식/ncn+인/xsn+에/jca
대한	대하/pvg+ㄴ/etm
존칭의	존칭/ncn+의/jcm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf
좀더	좀더/mag
정확히	정확히/mag
말하면	말/ncpa+하/xsv+면/ecs
나수레딩	나수레딩/nq
에팽디	에팽디/nq
(	(/sl
話	話/nq
:	:/sp
話	話/nq
)	)/sr
라고	라고/jcr
하며	하/pvg+며/ecc
나수레딩이	나수레딩/nq+이/jcs
주인공의	주인/ncn+공/xsn+의/jcm
본명이다	본명/ncn+이/jp+다/ef
.	./sf
나수레딩은	나수레딩/nq+은/jxc
13	13/nnc
세기경	세기/nbu+경/xsn
터어키에서	터어키/nq+에서/jca
출생한	출생/ncpa+하/xsv+ㄴ/etm
실존	실존/ncn
인물이었다	인물/ncn+이/jp+었/ep+다/ef
.	./sf
그는	그/npp+는/jxc
본래	본래/ncn
이슬람교	이슬람교/nq
샤후이파	샤후이파/nq
(	(/sl
)	)/sr
의	의/jcm
학자	학자/ncn
및	및/maj
도사	도사/ncn
(	(/sl
道師	道師/nq
)	)/sr
로서	로서/jca
민중을	민중/ncn+을/jco
위해	위하/pvg+어/ecx
종교활동을	종교/ncn+활동/ncn+을/jco
지도하고	지도/ncpa+하/xsv+고/ecc
또는	또는/maj
