<tdmsfile>

<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_ac.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_ac.txt </filename>
<title> 한국어 관계구문의 통사와 의미구조 </title>
<author> 신효필 </author>
<date> 1994 </date>
<publisher>서울대학교  </publisher>
<kdc>TD715.8  </kdc>
<ddc>TD495.75 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>

논제명	논제/ncn+명/ncn
기본개념에서부터	기본/ncn+개념/ncn+에서/jca+부터/jxc
시작한다	시작/ncpa+하/xsv+ㄴ다/ef
.	./sf
관계구성과	관계/ncn+구성/ncn+과/jcj
관련된	관련/ncpa+되/xsv+ㄴ/etm
여러	여러/mma
개념	개념/ncn
-	-/sd
관계사	관계사/ncn
,	,/sp
공백에	공백/ncn+에/jca
대한	대하/pvg+ㄴ/etm
접근	접근/ncn
,	,/sp
복귀대명사	복귀/ncn+대명사/ncn
등	등/ncn
-	-/sd
을	을/jco
살펴보고	살피/pvg+어/ecx+보/px+고/ecs
,	,/sp
한국어	한국어/nq
관계구성에	관계/ncn+구성/ncn+에/jca
대한	대하/pvg+ㄴ/etm
개략적인	개략/ncn+적/xsn+이/jp+ㄴ/etm
연구사도	연구/ncn+사/xsn+도/jxc
아울러	아울러/mag
살핀다	살피/pvg+ㄴ다/ef
.	./sf
기존의	기존/ncn+의/jcm
많은	많/paa+ㄴ/etm
논의들은	논의/ncn+들/xsn+은/jxc
관계구성을	관계/ncn+구성/ncn+을/jco
명사와	명사/ncn+와/jcj
그	그/mmd
수식이라는	수식/ncn+이/jp+라는/etm
한정된	한정/ncpa+되/xsv+ㄴ/etm
영역이나	영역/ncn+이나/jcj
아니면	아니/paa+면/ecs
주어	주어/ncn
,	,/sp
목적어	목적/ncn+어/xsn
등의	등/ncn+의/jcm
제한된	제한/ncpa+되/xsv+ㄴ/etm
문법기능	문법/ncn+기능/ncn
내에서	내/ncn+에서/jca
고찰하지만	고찰/ncpa+하/xsv+지만/ecs
,	,/sp
여기서는	여기/npd+서/jca+는/jxc
보충어	보충/ncn+어/xsn
(	(/sl
complement	complement/f
)	)/sr
와	와/jct
첨가어	첨가/ncn+어/xsn
(	(/sl
adjunct	adjunct/f
)	)/sr
라는	라/ef+는/etm
관점에서	관점/ncn+에서/jca
관계화에	관계/ncn+화/xsn+에/jca
접근한다	접근/ncpa+하/xsv+ㄴ다/ef
.	./sf
관계화가	관계/ncn+화/xsn+가/jcs
그	그/mmd
핵심명사를	핵심/ncn+명사/ncn+를/jco
'	'/sl
제한	제한/ncn
(	(/sl
restrict	restrict/f
)'	)/sr+'/sl
하고	하/pvg+고/ecc
한정하는	한정/ncpa+하/xsv+는/etm
과정이라면	과정/ncn+이/jp+라면/ecs
일반적으로	일반/ncn+적/xsn+으로/jca
의미적으로	의미/ncn+적/xsn+으로/jca
제한되지	제한/ncpa+되/xsv+지/ecx
않는	않/px+는/etm
성분인	성분/ncn+이/jp+ㄴ/etm
보충어들이	보충/ncn+어/xsn+들/xsn+이/jcs
관계화	관계/ncn+화/xsn
가능성이	가능/ncn+성/xsn+이/jcs
높고	높/paa+고/ecc
의미적으로	의미/ncn+적/xsn+으로/jca
더	더/mag
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
첨가어들은	첨가/ncn+어/xsn+들/xsn+은/jxc
그	그/mmd
가능성이	가능/ncn+성/xsn+이/jcs
낮다	낮/paa+다/ef
.	./sf
이는	이/npd+는/jxc
섬제약과	섬제약/ncn+과/jcj
관련된	관련/ncpa+되/xsv+ㄴ/etm
관계구성에서도	관계/ncn+구성/ncn+에서/jca+도/jxc
잘	잘/mag
드러난다	드러나/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
SOV	SOV/f
의	의/jcm
어순을	어순/ncn+을/jco
가진	가지/pvg+ㄴ/etm
언어에서	언어/ncn+에서/jca
주로	주로/mag
나타나는	나타나/pvg+는/etm
소위	소위/mag
머리어가	머리/ncn+어/xsn+가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구성	관계/ncn+구성/ncn
(	(/sl
internally	internally/f
headed	headed/f
relative	relative/f
construction	construction/f
)	)/sr
을	을/jco
살펴보고	살피/pvg+어/ecx+보/px+고/ecs
이	이/mmd
구조와	구조/ncn+와/jcj
보문구성과의	보문/ncn+구성/ncn+과/jct+의/jcm
차이점	차이/ncn+점/ncn
그리고	그리고/mag
이	이/mmd
구조	구조/ncn
내에서	내/ncn+에서/jca
여러	여러/mma
특징적인	특징/ncn+적/xsn+이/jp+ㄴ/etm
현상들	현상/ncn+들/xsn
-	-/sd
동시성	동시/ncn+성/xsn
(	(/sl
simultaneous	simultaneous/f
),	)/sr+,/sp
대용표현	대용/ncn+표현/ncn
-	-/sd
을	을/jco
체계화한다	체계/ncpa+화/xsn+하/xsv+ㄴ다/ef
.	./sf
한편	한편/maj
한국어	한국어/nq
관계구조에는	관계/ncn+구조/ncn+에/jca+는/jxc
일반	일반/ncn
관계구조와도	관계/ncn+구조/ncn+와/jct+도/jxc
다르고	다르/paa+고/ecc
동격구성과	동격/ncn+구성/ncn+과/jct
도	도/jxc
다른	다르/paa+ㄴ/etm
특수한	특수/ncpa+하/xsv+ㄴ/etm
구조들이	구조/ncn+들/xsn+이/jcs
있는데	있/paa+는데/ecs
이를	이/npd+를/jco
의사관계구성	의사/ncn+관계/ncn+구성/ncn
(	(/sl
pseudo	pseudo/f
-	-/sd
relative	relative/f
construction	construction/f
)	)/sr
으로	으로/jca
분류하고	분류/ncpa+하/xsv+고/ecs
,	,/sp
보문	보문/ncn
/	//sp
동격구성과	동격/ncn+구성/ncn+과/jcj
관계구성과는	관계/ncn+구성/ncn+과/jct+는/jxc
다른	다르/paa+ㄴ/etm
별도의	별도/ncn+의/jcm
유형으로	유형/ncn+으로/jca
정립되어야	정립/ncpa+되/xsv+어야/ecx
함	하/px+ㅁ/etn
을	을/jco
논의한다	논의/ncpa+하/xsv+ㄴ다/ef
.	./sf
관계구성은	관계/ncn+구성/ncn+은/jxc
통사론적	통사/ncn+론/xsn+적/xsn
측면	측면/ncn
외에	외/ncn+에/jca
의미론적	의미/ncn+론/xsn+적/xsn
측면과도	측면/ncn+과/jct+도/jxc
밀접한	밀접/ncps+하/xsm+ㄴ/etm
관련을	관련/ncn+을/jco
맺고	맺/pvg+고/ecx
있는데	있/px+는데/ecs
,	,/sp
이	이/mmd
관계문의	관계/ncn+문/xsn+의/jcm
의미를	의미/ncn+를/jco
기술하는데는	기술/ncpa+하/xsv+는데/ecs+는/jxc
형식의미론에	형식/ncn+의미/ncn+론/xsn+에/jca
기초한	기초/ncpa+하/xsv+ㄴ/etm
접근방법과	접근/ncn+방법/ncn+과/jcj
의미	의미/ncn
-	-/sd
기능주의적	기능/ncn+주의/ncn+적/xsn
접근방법이	접근/ncn+방법/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
본	본/mmd
논의에서는	논의/ncn+에서/jca+는/jxc
의미	의미/ncn
-	-/sd
기능주의적인	기능/ncn+주의/ncn+적/xsn+이/jp+ㄴ/etm
접근방법을	접근/ncn+방법/ncn+을/jco
기초로	기초/ncn+로/jca
하고	하/pvg+고/ecc
관계문에	관계/ncn+문/xsn+에/jca
의해	의하/pvg+어/ecs
그	그/mmd
핵심명사가	핵심/ncn+명사/ncn+가/jcs
제한	제한/ncn
(	(/sl
restrict	restrict/f
)	)/sr
되는	되/pvg+는/etm
관계를	관계/ncn+를/jco
중시하고	중시/ncpa+하/xsv+고/ecs
이	이/mmd
유형을	유형/ncn+을/jco
속성	속성/ncn
,	,/sp
대상성	대상/ncn+성/xsn
,	,/sp
행위성	행위/ncn+성/xsn
,	,/sp
배경성	배경/ncn+성/xsn
등으로	등/nbn+으로/jca
명시적으로	명시/ncn+적/xsn+으로/jca
구분하였다	구분/ncn+하/xsv+었/ep+다/ef
.	./sf
또한	또한/maj
관계문의	관계/ncn+문/xsn+의/jcm
의미적인	의미/ncn+적/xsn+이/jp+ㄴ/etm
제약인	제약/ncn+이/jp+ㄴ/etm
의미적	의미/ncn+적/xsn
정연성	정연/ncn+성/xsn
조건을	조건/ncn+을/jco
설정하고	설정/ncpa+하/xsv+고/ecs
통사적으로	통사/ncn+적/xsn+으로/jca
설명되기	설명/ncpa+되/xsv+기/etn
어려운	어렵/paa+ㄴ/etm
여러	여러/mma
현상들을	현상/ncn+들/xsn+을/jco
이	이/mmd
의미원리에	의미/ncn+원리/ncn+에/jca
따라	따르/pvg+아/ecs
기술하였다	기술/ncpa+하/xsv+었/ep+다/ef
.	./sf
또한	또한/maj
관형의	관형/ncn+의/jcm
의미기능을	의미/ncn+기능/ncn+을/jco
그	그/mmd
후행명사에	후행/ncn+명사/ncn+에/jca
대한	대하/pvg+ㄴ/etm
서술	서술/ncn
(	(/sl
predication	predication/f
)	)/sr
로	로/jca
규정짓고	규정/ncn+짓/pvg+고/ecs
관형적	관형/ncn+적/xsn
서술관계	서술/ncn+관계/ncn
(	(/sl
adnominal	adnominal/f
predication	predication/f
relation	relation/f
)	)/sr
의	의/jcm
여러	여러/mma
하위유형을	하위/ncn+유형/ncn+을/jco
구분하였다	구분/ncpa+하/xsv+었/ep+다/ef
통사적	통사/ncn+적/xsn
의미적으로	의미/ncn+적/xsn+으로/jca
규정되고	규정/ncn+되/xsv+고/ecc
논의된	논의/ncpa+되/xsv+ㄴ/etm
관계구문을	관계/ncn+구문/ncn+을/jco
HPSG	HPSG/f
를	를/jco
바탕으로	바탕/ncn+으로/jca
기술함에	기술/ncpa+하/xsv+ㅁ/etn+에/jca
있어서는	있/paa+어서/ecs+는/jxc
우선	우선/mag
영어의	영어/ncn+의/jcm
경우와	경우/ncn+와/jct
달리	달리/mag
공관계사구	공관계사/ncn+구/ncn
(	(/sl
RP	RP/f
)	)/sr
를	를/jco
설정하지	설정/ncpa+하/xsv+지/ecx
않고	않/px+고/ecs
용언의	용언/ncn+의/jcm
활용절에	활용/ncn+절/ncn+에/jca
관형	관형/ncn
(	(/sl
ADNOMINALIZER	ADNOMINALIZER/f
)	)/sr
자질을	자질/ncn+을/jco
명시하는	명시/ncpa+하/xsv+는/etm
방법을	방법/ncn+을/jco
채택하였다	채택/ncpa+하/xsv+었/ep+다/ef
.	./sf
한국어	한국어/nq
관형구성은	관형/ncn+구성/ncn+은/jxc
관계구성	관계/ncn+구성/ncn
,	,/sp
보문구성	보문/ncn+구성/ncn
,	,/sp
그리고	그리고/maj
의사관계구성	의사/ncn+관계/ncn+구성/ncn
등의	등/ncn+의/jcm
하위유형이	하위/ncn+유형/ncn+이/jcs
통사적으로는	통사/ncn+적/xsn+으로/jca+는/jxc
'	'/sl
관형	관형/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
동일한	동일/ncpa+하/xsv+ㄴ/etm
구조를	구조/ncn+를/jco
공유하는	공유/ncpa+하/xsv+는/etm
관계로	관계/ncn+로/jca
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
의미적으로	의미/ncn+적/xsn+으로/jca
psoa	psoa/f
에	에/jca
기초한	기초/ncpa+하/xsv+ㄴ/etm
접근방식을	접근/ncn+방식/ncn+을/jco
채택하여	채택/ncpa+하/xsv+어/ecs
이	이/mmd
구조들이	구조/ncn+들/xsn+이/jcs
의미기능에	의미/ncn+기능/ncn+에/jca
있어	있/paa+어/ecs
서로	서로/mag
차이가	차이/ncn+가/jcs
나는	나/npp+는/jxc
구조임을	구조/ncn+이/jp+ㅁ/etn+을/jco
지적하였다	지적/ncpa+하/xsv+었/ep+다/ef
.	./sf
따라서	따라서/maj
HPSG	HPSG/f
에서	에서/jca
두첨구조의	두/nnc+첨구조/ncn+의/jcm
수식구로	수식/ncn+구/ncn+로/jca
단순히	단순/ncn+히/xsa
기술되는	기술/ncpa+되/xsv+는/etm
구조에서	구조/ncn+에서/jca
벗어나	벗/pvg+어/ecs+나/pvg+아/ecs
한국어	한국어/nq
관형구성의	관형/ncn+구성/ncn+의/jcm
여러	여러/mma
특징들이	특징/ncn+들/xsn+이/jcs
명시될	명시/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
자질구조를	자질/ncn+구조/ncn+를/jco
모색해	모색/ncpa+하/xsv+어/ecx
보았다	보/px+았/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
통사	통사/ncn
의미적	의미/ncn+적/xsn
,	,/sp
더	더/mag
나아가	나아가/pvg+아/ecs
화용적	화용/ncn+적/xsn
상황까지	상황/ncn+까지/jca
고려한	고려/ncpa+하/xsv+ㄴ/etm
접근방법	접근/ncn+방법/ncn
및	및/maj
기술은	기술/ncn+은/jxc
기간의	기간/ncn+의/jcm
관계구문에	관계/ncn+구문/ncn+에/jca
관한	관하/pvg+ㄴ/etm
논의가	논의/ncn+가/jcs
통사론	통사/ncn+론/xsn
또는	또는/maj
의미론	의미/ncn+론/xsn
양자의	양자/ncn+의/jcm
한	한/nnc
극단에서	극단/ncn+에서/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
점	점/ncn
과는	과/ncn+는/jxc
달리	달리/mag
이	이/mmd
세	세/nnc
부문을	부문/ncn+을/jco
모두	모두/mag
파악할	파악/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
하고	하/px+고/ecs
,	,/sp
언어현상에	언어/ncn+현상/ncn+에/jca
대한	대하/pvg+ㄴ/etm
통합문법적인	통합/ncn+문법/ncn+적/xsn+이/jp+ㄴ/etm
기술을	기술/ncn+을/jco
가능하게	가능/ncpa+하/xsv+게/ecx
하였다	하/px+었/ep+다/ef
.	./sf
주요어	주요/ncn+어/xsn
:	:/sp
관계구성	관계/ncn+구성/ncn
,	,/sp
관형구성	관형/ncn+구성/ncn
,	,/sp
HPSG	HPSG/f
,	,/sp
섬제약과	섬제약/ncn+과/jcj
관련한	관련/ncpa+하/xsv+ㄴ/etm
관계구문	관계/ncn+구문/ncn
,	,/sp
머리어가	머리/ncn+어/xsn가/jcs
내재된	내재/ncpa+되/xsv+ㄴ/etm
관계구문	관계/ncn+구문/ncn
,	,/sp
통합문법적	통합/ncn+문법/ncn+적/xsn
접근	접근/ncn
,	,/sp
의미적	의미/ncn+적/xsn
정연성	정연/ncn+성/xsn
,	,/sp
의사관계구성	의사/ncn+관계/ncn+구성/ncn
1	1/nno
.	./sf
머리말	머리/ncn+말/xsn
1	1/nno
.	./sf
1	1/nno
.	./sf
논의의	논의/ncn+의/jcm
목적	목적/ncn
한국어	한국어/nq
관계구성은	관계/ncn+구성/ncn+은/jxc
보문	보문/ncn
/	//sp
동격구성과	동격/ncn+구성/ncn+과/jct
함께	함께/mag
관형구성의	관형/ncn+구성/ncn+의/jcm
일종으로	일종/ncn+으로/jca
오래	오래/mag
전부터	전/ncn+부터/jca
연구되었다	연구/ncpa+되/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
대부분의	대부분/ncn+의/jcm
전통적인	전통/ncn+적/xsn+이/jp+ㄴ/etm
연구는	연구/ncn+는/jxc
관형사형	관형사/ncn+형/xsn
어미나	어미/ncn+나/jcj
그	그/mmd
시제	시제/ncn
및	및/maj
의미에	의미/ncn+에/jca
집중되었고	집중/ncpa+되/xsv+었/ep+고/ecs
,	,/sp
생성문법의	생성/ncn+문법/ncn+의/jcm
방법론이	방법/ncn+론/xsn+이/jcs
한국어	한국어/nq
기술에	기술/ncn+에/jca
도입된	도입/ncpa+되/xsv+ㄴ/etm
후	후/ncn
관계구성	관계/ncn+구성/ncn
내지	내지/ncn
관형구성에	관형/ncn+구성/ncn+에/jca
대한	대하/pvg+ㄴ/etm
활발한	활발/ncps+하/xsm+ㄴ/etm
연구로	연구/ncn+로/jca
많은	많/paa+은/etm
특징적인	특징/ncn+적/xsn+이/jp+ㄴ/etm
현상들이	현상/ncn+들/xsn+이/jcs
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
본	본/mmd
연구는	연구/ncn+는/jxc
이러한	이러하/pad+ㄴ/etm
맥락에서	맥락/ncn+에서/jca
한국어	한국어/nq
관계구성의	관계/ncn+구성/ncn+의/jcm
통사	통사/ncn
의미적인	의미/ncn+적/xsn+이/jp+ㄴ/etm
특성을	특성/ncn+을/jco
살피고	살피/pvg+고/ecs
다시	다시/mag
이를	이/npd+를/jco
정보기반적	정보/ncn+기반/ncn+적/xsn
(	(/sl
information	information/f
-	-/sd
based	based/f
)	)/sr
이고	이/jp+고/ecs
통합문법적인	통합/ncn+문법/ncn+적/xsn+이/jp+ㄴ/etm
머리중심	머리/ncn+중심/ncn
구구조문법	구/ncn+구조/ncn+문법/ncn
(	(/sl
Head	Head/f
-	-/sd
driven	driven/f
Phrase	Phrase/f
Structure	Structure/f
Grammar	Grammar/f
:	:/sp
HPSG	HPSG/f
)	)/sr
을	을/jco
중심으로	중심/ncn+으로/jca
통사와	통사/ncn+와/jcj
의미가	의미/ncn+가/jcs
상호작용하는	상호/ncn+작용/ncpa+하/xsv+는/etm
문법	문법/ncn
모형	모형/ncn
안에서	안/ncn+에서/jca
이와	이/npd+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
여러	여러/mma
현상들을	현상/ncn+들/xsn+을/jco
기술해보는	기술/ncpa+하/xsv+어/ecx+보/px+는/etm
것을	것/nbn+을/jco
목표로	목표/ncn+로/jca
삼는다	삼/pvg+는다/ef
.	./sf
한국어	한국어/nq
관계구성은	관계/ncn+구성/ncn+은/jxc
그동안	그/mmd+동안/ncn
통사론이나	통사/ncn+론/xsn+이나/jcj
의미론	의미/ncn+론/xsn
어느	어느/mmd
한쪽의	한쪽/ncn+의/jcm
접근방법에	접근/ncn+방법/ncn+에/jca
의해서만	의하/pvg+어서/ecs+만/jxc
논의되어	논의/ncpa+되/xsv+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
구성은	구성/ncn+은/jxc
두	두/nnc
부문이	부문/ncn+이/jcs
함께	함께/mag
작용하는	작용/ncpa+하/xsv+는/etm
복합적인	복합/ncn+적/xsn+이/jp+ㄴ/etm
면을	면/ncn+을/jco
보이고	보이/pvg+고/ecs
,	,/sp
더	더/mag
나아가	나아가/pvg+아/ecs
화용	화용/ncn
적인	적/nbn+이/jp+ㄴ/etm
상황까지	상황/ncn+까지/jca
요구되는	요구/ncpa+되/xsv+는/etm
측면을	측면/ncn+을/jco
보이므로	보이/pvg+므로/ecs
현재	현재/ncn
어느	어느/mmd
다른	다르/paa+ㄴ/etm
문법이론보다	문법/ncn+이론/ncn+보다/jca
통사	통사/ncn
의미구조의	의미/ncn+구조/ncn+의/jcm
정보	정보/ncn
및	및/maj
화용적	화용/ncn+적/xsn
상황까지도	상황/ncn+까지/jxc+도/jxc
포괄할	포괄/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
HPSG	HPSG/f
가	가/jcs
이	이/mmd
관계를	관계/ncn+를/jco
잘	잘/mag
파악할	파악/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
본	본/mmd
연구에서는	연구/ncn+에서/jca+는/jxc
기존의	기존/ncn+의/jcm
관계구성에	관계/ncn+구성/ncn+에/jca
관한	관하/pvg+ㄴ/etm
여러	여러/mma
논의에서	논의/ncn+에서/jca
밝혀진	밝히/pvg+어/ecx+지/px+ㄴ/etm
특징적인	특징/ncn+적/xsn+이/jp+ㄴ/etm
현상들을	현상/ncn+들/xsn+을/jco
검토하고	검토/ncpa+하/xsv+고/ecs
,	,/sp
이를	이/npd+를/jco
바탕으로	바탕/ncn+으로/jca
기존의	기존/ncn+의/jcm
논의를	논의/ncn+를/jco
재검토하고	재/xp+검토/ncpa+하/xsv+고/ecc
,	,/sp
그동안	그/mmd+동안/ncn
잘	잘/mag
다루어지지	다루/pvg+어/ecx+지/px+지/ecx
않았던	않/px+았/ep+던/etm
현상들에	현상/ncn+들/xsn+에/jca
대해	대하/pvg+어/ecs
고찰한다	고찰/ncpa+하/xsv+ㄴ다/ef
.	./sf
그리고	그리고/maj
관계구문의	관계/ncn+구문/ncn+의/jcm
상위유형으로	상위/ncn+유형/ncn+으로/jca
분류될	분류/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
관형구성의	관형/ncn+구성/ncn+의/jcm
전반적인	전반/ncn+적/xsn+이/jp+ㄴ/etm
특징을	특징/ncn+을/jco
살피고	살피/pvg+고/ecs
그	그/mmd
하위유형들의	하위/ncn+유형/ncn+들/xsn+의/jcm
통사적	통사/ncn+적/xsn
,	,/sp
의미적	의미/ncn+적/xsn
특징에	특징/ncn+에/jca
따라	따르/pvg+아/ecs
기존의	기존/ncn+의/jcm
체계와는	체계/ncn+와/jct+는/jxc
다소	다소/mag
다른	다르/paa+ㄴ/etm
,	,/sp
더	더/mag
확장된	확장/ncpa+되/xsv+ㄴ/etm
분류를	분류/ncn+를/jco
새로	새로/mag
행한다	행하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
수식관계에서	수식/ncn+관계/ncn+에서/jca
나타나는	나타나/pvg+는/etm
'	'/sl
제한	제한/ncn
(	(/sl
restriction	restriction/f
)'	)/sr+'/sl
이란	이/jp+라/ef+ㄴ/etm
