<tdmsfile>
<tdmsfile>
Han1.hwp  2차 수정(박현이)
신한국당	신한국당/nq
쓰레기	쓰레기/ncn
수거일을	수거/ncn+일/xsn+을/jco
지정하고	지정/ncpa+하/xsv+고/ecs
각	각/mma
가정에서는	가정/ncn+에서/jca+는/jxc
수거일	수거/ncn+일/xsn
전날	전/mma+날/ncn
해가	해/ncn+가/jcs
진	지/pvg+ㄴ/etm
뒤에	뒤/ncn+에/jca
쓰레기를	쓰레기/ncn+를/jco
버리도록	버리/pvg+도록/ecs
하며	하/px+며/ecs
이를	이/npd+를/jco
어길	어기/pvg+ㄹ/etm
경우	경우/ncn
과태료를	과태/ncn+료/xsn+를/jco
부과할	부과/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
관련조례를	관련/ncn+조례/ncn+를/jco
개정키로	개정/ncpa+키/etn+로/jca
했다.	하/px+었/ep+다/ef+./sf
또	또/maj
종량제	종량/ncn+제/xsn
규격봉투의	규격/ncn+봉투/ncn+의/jcm
파손으로	파손/ncn+으로/jca
인한	인하/pvg+ㄴ/etm
오물	오물/ncn
방출을	방출/ncn+을/jco
막기	막/pvg+기/etn
위해	위하/pvg+어/ecs
견고하게	견고/ncps+하/xsm+게/ecs
제작된	제작/ncpa+되/xsv+ㄴ/etm
재활용	재/xp+활용/ncn
플라스틱통을	플라스틱/ncn+통/ncn+을/jco
쓰레기	쓰레기/ncn
배출용기로	배출/ncn+용기/ncn+로/jca
도입하고	도입/ncpa+하/xsv+고/ecc
시민	시민/ncn
편의를	편의/ncn+를/jco
위해	위하/pvg+어/ecs
현행	현행/ncn
5종의	5/nnc+종/nbu+의/jcm
쓰레기	쓰레기/ncn
수거체계를	수거/ncn+체계/ncn+를/jco
2종으로	2/nnc+종/nbu+으로/jca
단순화하기로	단순/ncn+화/xsn+하/xsv+기/etn+로/jca
했다.	하/px+었/ep+다/ef+./sf
이밖에	이/npd+밖에/jxc
재활용품	재/xp+활용/ncn+품/xsn
수거작업을	수거/ncn+작업/ncn+을/jco
활성화하기	활성/ncn+화/xsn+하/xsv+기/etn
위해	위하/pvg+어/ecs
민간	민간/ncn
재활용업체에	재/xp+활용/ncn+업체/ncn+에/jca
대한	대하/pvg+ㄴ/etm
지원을	지원/ncn+을/ncn
확대하고	확대/ncpa+하/xsv+고/ecc
1회용품	1/nnc+회/nbu+용품/ncn
사용에	사용/ncn+에/jca
대한	대하/pvg+ㄴ/etm
단속을	단속/ncn+을/jco
강화하는	강화/ncpa+하/xsv+는/etm
한편,	한편/ncn+,/sp
음식물쓰레기	음식/ncn+물/xsn+쓰레기/ncn
처리를	처리/ncn+를/jco
위한	위하/pvg+ㄴ/etm
각종	각종/ncn
처리시설에	처리/ncn+시설/ncn+에/jca
대한	대하/pvg+ㄴ/etm
투자를	투자/ncn+를/jco
확대할	확대/ncpa+하/xsv+ㄹ/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
신한국당의	신한국당/nq+의/jcm
박범진	박범진/nq
이용삼	이용삼/nq
김학원	김학원/nq
원유철	원유철/nq
의원이	의원/ncn+이/jcs
2일	2/nno+일/nbu
탈당했다.	탈당/ncpa+하/xsv+었/ep+다/ef+./sf
한편	한편/maj
박종선	박종선/nq
김충근	김충근/nq
위원장도	위원/ncn+장/xsn+도/jxc
이날	이/mmd+날/ncn
탈당했으나,	탈당/ncpa+하/xsv+었/ep+으나/ecs+,/sp
김	김/nq
위원장은	위원/ncn+장/xsn+은/jxc
개인	개인/ncn
일정때문에	일정/ncn+때문/nbn+에/jca
회견장에는	회견/ncn+장/xsn+에/jca+는/jxc
참석치	참석/ncpa+하/xsv+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
외국	외국/ncn
유명	유명/ncn
자동차회사와	자동/ncn+차/ncn+회사/ncn+와/jct
독점계약을	독점/ncn+계약/ncn+을/jco
맺고	맺/pvg+고/ecs
고급승용차를	고급/ncn+승용/ncn+차/ncn+를/jco
국내에	국내/ncn+에/jca
들여와	들이/pvg+어/ecs+오/pvg+아/ecs
팔고	팔/pvg+고/ecx
있는	있/px+는/etm
한	한/nnc
판매업체	판매/ncn+업체/ncn
임원의	임원/ncn+의/jcm
고백이다.	고백/ncn+이/jp+다/ef+./sf
말이	말/ncn+이/jcs
제휴지	제휴/ncn+지/ecs
어지간한	어지간/ncps+하/xsm+ㄴ/etm
시집살이만도	시집/ncn+살이/xsn+만/jxc+도/jxc
못한	못하/paa+ㄴ/etm
경우가	경우/ncn+가/jcs
적지	적/paa+지/ecx
않다.	않/px+다/ef+./sf
그런데	그런데/maj
최근들어	최근/ncn+들/pvg+어/ecs
시집살이마저	시집/ncn+살이/xsn+마저/jxc
깨지는	깨지/pvg+는/etm
조짐을	조짐/ncn+을/jco
보이고	보이/pvg+고/ecx
있다.	있/px+다/ef+./sf
몇십년을	몇십/nnc+년/nbu+을/jco
이어온	잇/pvg+어/ecx+오/px+ㄴ/etm
관계를	관계/ncn+를/jco
어떻게	어떻/pad+게/ecs
하루아침에	하루/ncn+아침/ncn+에/jca
끊을	끊/pvg+을/etm
수	수/nbn
있냐는	있/paa+냐/ef+는/etm
하소연은	하소연/ncn+은/jxc
통하지	통하/pvg+지/ecx
않는다.	않/px+는다/ef+./sf
`정략결혼'을	`/sl+정략/ncn+결혼/ncn+'/sr+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
필요성이	필요/ncn+성/xsn+이/jcs
없어진	없/paa+어/ecx+지/px+ㄴ/etm
외국기업의	외국/ncn+기업/ncn+의/jcm
철저한	철저/ncps+하/xsm+ㄴ/etm
이윤추구	이윤/ncn+추구/ncn
논리	논리/ncn
앞에서	앞/ncn+에서/jca
더	더/mag
이상	이상/ncn
`신의	`/sl+신의/ncn
원칙'은	원칙/ncn+'/sr+은/jxc
설득력이	설득/ncn+력/xsn+이/jcs
없기	없/paa+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
결별을	결별/ncn+을/jco
예상하고	예상/ncpa+하/xsv+고/ecs
미리	미리/mag
준비를	준비/ncn+를/jco
해온	하/pvg+어/ecx+오/px+ㄴ/etm
기업과	기업/ncn+과/jcj
그렇지	그렇/pad+지/ecx
못한	못하/px+ㄴ/etm
기업은	기업/ncn+은/jxc
명암이	명암/ncn+이/jcs
갈릴	갈리/pvg+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없다.	없/paa+다/ef+./sf
외국업체와	외국/ncn+업체/ncn+와/jct
손을	손/ncn+을/jco
잡았던	잡/pvg+았/ep+던/etm
국내	국내/ncn
업체들은	업체/ncn+들/xsn+은/jxc
적지	적/pvg+지/ecx
않게	않/px+게/ecs
시장만	시장/ncn+만/jxc
키워주고	키우/pvg+어/ecx+주/px+고/ecs
`찬밥	`/sl+찬밥/ncn
신세'가	신세/ncn+'/sr+가/jcs
되고	되/pvg+고/ecx
마는	말/px+는/etm
신세가	신세/ncn+가/jcs
됐다	되/pvg+었/ep+다/ef
외국업체와	외국/ncn+업체/ncn+와/jct
헤어진	헤어지/pvg+ㄴ/etm
뒤	뒤/ncn
충격을	충격/ncn+을/jco
견디지	견디/pvg+지/ecx
못하고	못하/px+고/ecs
부도위기까지	부도/ncn+위기/ncn+까지/jxc
간	가/pvg+ㄴ/etm
기업도	기업/ncn+도/jxc
있다.	있/paa+다/ef+./sf
코카콜라의	코카콜라/nq+의/jcm
4개	4/nnc+개/nbu
병입회사	병입/ncn+회사/ncn
중	중/nbn
한	한/nnc
곳이었던	곳/ncn+이/jp+었/ep+던/etm
우성식품은	우성식품/nq+은/jxc
올해초	올해/ncn+초/ncn
코카콜라사가	코카콜라사/nq+가/jcs
공장과	공장/ncn+과/jcj
영업권을	영업/ncn+권/xsn+을/jco
인수해	인수/ncpa+하/xsv+어/ecs
간	가/pvg+ㄴ/etm
뒤	뒤/ncn
심한	심하/paa+ㄴ/etm
자금난으로	자금/ncn+난/xsn+으로/jca
결국	결국/mag
7개월여만에	7/nnc+개월/nbu+여/xsn+만/jxc+에/jca
법원에	법원/ncn+에/jca
화의신청을	화의/ncn+신청/ncn+을/jco
냈다.	내/pvg+었/ep+다/ef+./sf
80년대	80/nno+년대/nbu
말부터는	말/ncn+부터/jxc+는/jxc
스낵과자류를	스낵/ncn+과자/ncn+류/xsn+를/jco
내놓고	내/pvg+어/ecx+놓/px+고/ecs
종합식품회사로	종합/ncn+식품/ncn+회사/ncn+로/jca
변신을	변신/ncn+을/jco
시도하기도	시도/ncpa+하/xsv+기/etn+도/jxc
했다.	하/pvg+었/ep+다/ef+./sf
하지만	하지만/maj
90년대	90/nno+년대/nbu
들어	들/pvg+어/ecs
외식,	외식/ncn+,/sp
의약품,	의약/ncn+품/xsn+,/sp
건강보조식품사업	건강/ncn+보조/ncn+식품/ncn+사업/ncn
등	등/nbn
사업다각화	사업/ncn+다각/ncn+화/xsn
계획이	계획/ncn+이/jcs
잇달아	잇달/pvg+아/ecs
차질을	차질/ncn+을/jco
빚으면서	빚/pvg+으면서/ecs
코카콜라에	코카콜라/nq+에/jca
지나치게	지나치/paa+게/ecs
의존하고	의존/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
매출구조를	매출/ncn+구조/ncn+를/jco
개선하는	개선/ncpa+하/xsv+는/etm
데	데/nbn
실패했다.	실패/ncpa+하/xsv+었/ep+다/ef+./sf
아무런	아무렇/pad+ㄴ/etm
준비없이	준비/ncn+없/paa+이/xsa
강요당한	강요/ncn+당하/pvg+ㄴ/etm
꼴이	꼴/ncn+이/jcs
된	되/pvg+ㄴ/etm
코카콜라와의	코카콜라/nq+와/jct+의/jcm
결별은	결별/ncn+은/jxc
결국	결국/mag
우성식품에	우성식품/nq+에/jca
치명타가	치명타/ncn+가/jcs
되고	되/pvg+고/ecx
말았다.	말/px+았/ep+다/ef+./sf
반면	반면/maj
지난	지나/pvg+ㄴ/etm
95년	95/nno+년/nbu
스위스	스위스/nq
제약회사	제약/ncn+회사/ncn
`호프만	`/sl+nq[호프만/nq
라로슈'사와	라로슈/nq]nq+'/sr+사/xsn+와/jct
10년동안의	10/nnc+년/nbu+동안/ncn+의/jcm
합작관계를	합작/ncn+관계/ncn+를/jco
청산한	청산/ncpa+하/xsv+ㄴ/etm
종근당은	종근당/nq+은/jxc
결별을	결별/ncn+을/jco
오히려	오히려/mag
전기로	전기/ncn+로/jca
삼았다.	삼/pvg+았/ep+다/ef+./sf
종근당은	종근당/nq+은/jxc
83년	83/nno+년/nbu
로슈사와	로슈사/nq+와/jct
50대	50/nnc+대/nbn
50	50/nnc
합작투자로	합작/ncn+투자/ncn+로/jca
`한국로슈'를	`한국로슈'/nq+를/jco
세운	세우/pvg+ㄴ/etm
뒤	뒤/ncn
국내	국내/ncn
해열진통제	해열/ncn+진통/ncn+제/xsn
시장에서	시장/ncn+에서/jca
`사리돈'	`/sl+사리돈/nq+'/sr
선풍을	선풍/ncn+을/jco
일으켰다.	일으키/pvg+었/ep+다/ef+./sf
종근당의	종근당/nq+의/jcm
영업력과	영업/ncn+력/xsn+과/jcj
판매망을	판매/ncn+망/ncn+을/jco
이용해	이용/ncpa+하/xsv+어/ecs
시장개척에	시장/ncn+개척/ncn+에/jca
성공한	성공/ncpa+하/xsv+ㄴ/etm
로슈사는	로슈사/nq+는/jxc
95년	95/nno+년/nbu
종근당의	종근당/nq+의/jcm
지분을	지분/ncn+을/jco
인수해	인수/ncpa+하/xsv+어/ecs
직판체제를	직판/ncn+체제/ncn+를/jco
구축했다.	구축/ncpa+하/xsv+었/ep+다/ef+./sf
하지만	하지만/maj
종근당은	종근당/nq+은/jxc
다국적기업들이	다국/ncn+적/xsn+기업/ncn+들/xsn+이/jcs
시장점유율을	시장/ncn+점유/ncn+율/xsn+을/jco
확보한	확보/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
독립해	독립/ncpa+하/xsv+어/ecx
나가는	나가/px+는/etm
관행에	관행/ncn+에/jca
대비해	대비/ncpa+하/xsv+어/ecs
로슈사와	로슈사/nq+와/jct
기술제휴를	기술/ncn+제휴/ncn+를/jco
맺고	맺/pvg+고/ecx
있을	있/px+을/etm
당시	당시/ncn
순수	순수/ncn
국산제품인	국산/ncn+제품/ncn+이/jp+ㄴ/etm
`펜잘'을	`/sl+펜잘/nq+'/sr+을/jco
만들어	만들/pvg+어/ecx
놓고	놓/px+고/ecx
있었다.	있/px+었/ep+다/ef+./sf
`펜잘'은	`/sl+펜잘/nq+'/sr+은/jxc
시장에	시장/ncn+에/jca
내놓자마자	내/pvg+어/ecs+놓/pvg+자마자/ecs
곧바로	곧바로/mag
인정을	인정/ncn+을/jco
받았고	받/pvg+았/ep+고/ecs
지난해	지나/pvg+ㄴ/etm+해/ncn
60억원의	60억/nnc+원/nbu+의/jcm
매출을	매출/ncn+을/jco
올려	올리/pvg+어/ecs
70억원	70억/nnc+원/nbu
어치를	어치/xsn+를/jco
판	팔/pvg+ㄴ/etm
삼진제약의	삼진제약/nq+의/jcm
`게보린'에	`/sl+게보린/nq+'/sr+에/jca
이어	잇/pvg+어/ecs
부동의	부동/ncn+의/jcm
2위자리를	2/nno+위/nbu+자리/ncn+를/jco
지키고	지키/pvg+고/ecx
있다.	있/px+다/ef+./sf
반면	반면/maj
한때	한때/ncn
국내	국내/ncn
시장을	시장/ncn+을/jco
석권했던	석권/ncpa+하/xsv+었/ep+던/etm
`사리돈'은	`/sl+사리돈/nq+'/sr+은/jxc
지난해	지나/pvg+ㄴ/etm+해/ncn
매출이	매출/ncn+이/jcs
20억원에	20억/nnc+원/nbu+에/jca
그치는	그치/pvg+는/etm
등	등/nbn
직판을	직판/ncn+을/jco
시작한	시작/ncpa+하/xsv+ㄴ/etm
이후	이후/ncn
고전을	고전/ncn+을/jco
거듭하고	거듭/mag+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
매출이	매출/ncn+이/jcs
급격히	급격/ncn+히/xsa
떨어지는	떨어지/pvg+는/etm
것에	것/nbn+에/jca
당황한	당황/ncpa+하/xsv+ㄴ/etm
로슈사는	로슈사/nq+는/jxc
직판을	직판/ncn+을/jco
포기하고	포기/ncpa+하/xsv+고/ecc
올해	올해/ncn
초	초/ncn
다시	다시/mag
국내업체인	국내/ncn+업체/ncn+이/jp+ㄴ/etm
광동제약과	광동제약/nq+과/jct
판매대행	판매/ncn+대행/ncn
계약을	계약/ncn+을/jco
맺었다.	맺/pvg+었/ep+다/ef+./sf
`아침에	`/sl+아침/ncn+에/jca
일어나면	일어나/pvg+면/ecs
누스킨	누스킨/nq
비누로	비누/ncn+로/jca
세수를	세수/ncn+를/jco
하고	하/pvg+고/ecc
암웨이	암웨이/nq
삼푸로	삼푸/ncn+로/jca
머리를	머리/ncn+를/jco
감은	감/pvg+은/etm
뒤	뒤/ncn
촉촉한	촉촉/ncps+하/xsm+ㄴ/etm
머리를	머리/ncn+를/jco
내쇼날	내쇼날/nq
헤어드라이어로	헤어드라이어/ncn+로/jca
말린다.	말리/pvg+ㄴ다/ef+./sf
켈로그	nq[켈로그/nq
콘프레이크에	콘프레이크/ncn]nq+에/jca
우유를	우유/ncn+를/jco
섞어	섞/pvg+어/ecs
아침을	아침/ncn+을/jco
떼우고,	떼우/pvg+고/ecc+,/sp
크리니크	크리니크/nq
스킨,	스킨/ncn+,/sp
에스티	nq[에스티/nq
로더	로더/nq]nq
로션으로	로션/ncn+으로/jca
피부를	피부/ncn+를/jco
정돈하고	정돈/ncpa+하/xsv+고/ecc
샤넬	샤넬/nq
화운데이션과	화운데이션/ncn+과/jcj
립스틱을	립스틱/ncn+을/jco
바른다.	바르/pvg+ㄴ다/ef+./sf
일본에	일본/nq+에/jca
주문해서	주문/ncpa+하/xsv+어서/ecs
맞춘	맞추/pvg+ㄴ/etm
속옷	속옷/ncn
위에	위/ncn+에/jca
프라다의	프라다/nq+의/jcm
투피스를	투피스/ncn+를/jco
꺼내입은	꺼내/pvg+어/ecs+입/pvg+은/etm
뒤	뒤/ncn
역시	역시/mag
샤넬	샤넬/nq
향수로	향수/ncn+로/jca
마무리를	마무리/ncn+를/jco
한다.	하/pvg+ㄴ다/ef+./sf
까르띠에	까르띠에/nq
시계가	시계/ncn+가/jcs
8시를	8/nno+시/nbu+를/jco
가리키는	가리키/pvg+는/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecs
루이비똥	루이비똥/nq
핸드백을	핸드백/ncn+을/jco
든	들/pvg+ㄴ/etm
다음	다음/ncn
구찌	구찌/nq
구두를	구두/ncn+를/jco
신고	신/pvg+고/ecs
제너널모터스의	제너널모터스/nq+의/jcm
최신형	최신/ncn+형/xsn
모델에	모델/ncn+에/jca
오른다.	오르/pvg+ㄴ다/ef+./sf
피자헛에서	피자헛/nq+에서/jca
코카콜라를	코카콜라/ncn+를/jco
곁들여	곁들이/pvg+어/ecs
가볍게	가볍/paa+게/ecs
점심	점심/ncn
식사를	식사/ncn+를/jco
하고,	하/pvg+고/ecc+,/sp
오후엔	오후/ncn+에/jca+ㄴ/jxc
리바이스	리바이스/nq
매장에	매장/ncn+에/jca
들러	들르/pvg+어/ecs
청바지를	청바지/ncn+를/jco
산다.	사/pvg+ㄴ다/ef+./sf
외국산	외국/ncn+산/xsn
소비재에	소비/ncn+재/xsn+에/jca
묻혀	묻히/pvg+어/ecs
사는	살/pvg+는/etm
우리의	우리/npp+의/jcm
일상을	일상/ncn+을/jco
가상으로	가상/ncn+으로/jca
꾸며본	꾸미/pvg+어/ecx+보/px+ㄴ/etm
것에	것/nbn+에/jca
불과하지만	불과/ncps+하/xsm+지만/ecs
요즘	요즘/mag
국내	국내/ncn
시장의	시장/ncn+의/jcm
형편을	형편/ncn+을/jco
살펴보면	살피/pvg+어/ecs+보/pvg+면/ecs
얼토당토한	얼토당토하/paa+ㄴ/etm
얘기만은	얘기/ncn+만/jxc+은/jxc
아니다.	아니/paa+다/ef+./sf
국내업체들이	국내/ncn+업체/ncn+들/xsn+이/jcs
물건을	물건/ncn+을/jco
내놓기만	내/pvg+어/ecs+놓/pvg+기/etn+만/jxc
하면	하/pvg+면/ecs
팔리던	팔리/pvg+던/etm
시절에	시절/ncn+에/jca
젖어있는	젖/pvg+어/ecx+있/px+는/etm
틈을	틈/ncn+을/jco
타	타/pvg+아/ecs
외제품이	외제/ncn+품/xsn+이/jcs
마구	마구/mag
들어오고	들/pvg+어/ecs+오/pvg+고/ecs
거부감도	거부/ncn+감/xsn+도/jxc
줄어들면서	줄/pvg+어/ecx+들/px+면서/ecs
외제품은	외제/ncn+품/xsn+은/jxc
일상생활에	일상/ncn+생활/ncn+에/jca
깊숙히	깊숙/ncn+히/xsa
파고	파/pvg+고/ecc
들었다.	들/pvg+었/ep+다/ef+./sf
