<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0274.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0274.txt </filename>
<title></title>
<author></author>
<date>  </date>
<publisher>  </publisher>
<kdc></kdc>
<ddc>  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1	1/nno
번씩이나	번/nbu+씩/xsn+이나/jxc
묻는	묻/pvg+는/etm
게냐	거/nbn+이/jp+냐/ef
.	./sf
이번에	이/mmd+번/nbn+에/jca
향도스님을	향도/ncn+스님/ncn+을/jco
맡은	맡/pvg+은/etm
세달사의	세달사/nq+의/jcm
진공선사님	진공/nq+선사/ncn+님/xsn
허락을	허락/ncn+을/jco
받았다니깐	받/pvg+았/ep+다/ef+니까/ef+ㄴ/etm
.	./sf
내	내/npp
친구	친구/ncn
원종이와	원종/nq+이/xsn+와/jcj
애노를	애노/nq+를/jco
낭도들의	낭도/ncn+들/xsn+의/jcm
명산대천	명산/ncn+대천/ncn
순례에	순례/ncn+에/jca
함께	함께/mag
가도록	가/pvg+도록/ecs
허락해	허락/ncpa+하/xsv+어/ecs
주십사	주/pvg+시/ep+ㅂ사/ef
,	,/sp
하고	하/pvg+고/jcr
분명히	분명/ncn+히/xsa
청했단	청하/pvg+었/ep+다/ef+ㄴ/etm
말야	말/ncn+야/ef
.	./sf
그랬더니	그리하/pvd+었/ep+더니/ecs
."	./sf+"/sl
"	"/sl
그랬더니	그리하/pvd+었/ep+더니/ecs
?"	?/sf+"/sl
요원이	요원/nq+이/jcs
숨을	숨/pvg+을/jco
돌리느라고	돌리/pvg+느라고/ecs
말을	말/ncn+을/jco
끊자	끊/pvg+자/ecs
,	,/sp
역시	역시/mag
베옷에	베옷/ncn+에/jca
삼	삼/ncn
섞인	섞이/pvg+ㄴ/etm
짚신을	짚신/ncn+을/jco
신고	신/pvg+고/ecc
견포	견포/ncn
복두를	복두/ncn+를/jco
쓴	쓰/pvg+ㄴ/etm
왼쪽	왼쪽/ncn
소년	소년/ncn
애노가	애노/nq+가/jcs
재촉하고	재촉/ncpa+하/xsv+고/ecs
나섰다	나서/pvg+었/ep+다/ef
.	./sf
요원은	요원/nq+은/jxc
두	두/nnc
친구를	친구/ncn+를/jco
차례로	차례/ncn+로/jca
돌아보고	돌/pvg+아/ecs+보/pvg+고/ecs
나서	나/pvg+서/ecs
말을	말/ncn+을/jco
이었다	잇/pvg+었/ep+다/ef
.	./sf
"	"/sl
진공선사님	진공/nq+선사/ncn+님/xsn
말씀이	말씀/ncn+이/jcs
,	,/sp
원종이와	원종/nq+이/xsn+와/jcj
애노가	애노/nq+가/jcs
평민	평민/ncn
신분이라서	신분/ncn+이라서/jxc
낭도가	낭도/ncn+가/jcc
될	되/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없겠지만	없/paa+겠/ep+지만/ecs
,	,/sp
허드렛	허드렛/ncn
짐을	짐/ncn+을/jco
지고	지/pvg+고/ecs
가는	가/pvg+는/etm
짐꾼으로	짐꾼/ncn+으로/jca
따라갈	따르/pvg+아/ecs+가/pvg+ㄹ/etm
수는	수/nbn+는/jxc
있다고	있/paa+다/ef+고/jcr
하시더란	하/pvg+시/ep+더라/ef+ㄴ/etm
말야	말/ncn+야/ef
.	./sf
그래서	그래서/maj
,	,/sp
내	내/npp
친구	친구/ncn
원종이와	원종이/ncn+와/jcj
애노의	애노/nq+의/jcm
무예	무예/ncn
솜씨가	솜씨/ncn+가/jcs
화랑으로	화랑/ncn+으로/jca
뽑힌	뽑히/pvg+ㄴ/etm
나보다도	나/npp+보다/jca+도/jxc
월등하니	월등/ncps+하/xsm+니/ecs
낭도들과	낭도/ncn+들/xsn+과/jct
함께	함께/mag
무예를	무예/ncn+를/jco
닦을	닦/pvg+을/etm
수	수/nbn
있도록	있/paa+도록/ecs
해주십사	하/pvg+어/ecx+주/px+시/ep+ㅂ사/ef
,	,/sp
하고	하/pvg+고/jcr
졸랐다니까	조르/pvg+았/ep+다/ef+니까/ef
.	./sf
그랬더니	그리하/pvd+었/ep+더니/ecs
."	./sf+"/sl
"	"/sl
그랬더니	그리하/pvd+었/ep+더니/ecs
?"	?/sf+"/sl
이번에는	이/mmd+번/nbn+에/jca+는/jxc
원종이	원종/nq+이/jcs
바싹	바싹/mag
채근했다	채근/ncpa+하/xsv+었/ep+다/ef
.	./sf
요원은	요원/nq+은/jxc
두	두/nnc
친구를	친구/ncn+를/jco
향해서	향하/pvg+어서/ecs
빙그레	빙그레/mag
웃어주었다	웃/pvg+어/ecx+주/px+었/ep+다/ef
.	./sf
그	그/npp
얼굴	얼굴/ncn
어느	어느/mmd
구석에도	구석/ncn+에/jca+도/jxc
친구들의	친구/ncn+들/xsn+의/jcm
물음이	물음/ncn+이/jcs
성가시다는	성가시/paa+다/ef+는/etm
표정	표정/ncn
같은	같/paa+은/etm
건	거/nbn+ㄴ/jxc
없었다	없/paa+었/ep+다/ef
.	./sf
"	"/sl
그랬더니	그리하/pvd+었/ep+더니/ecs
,	,/sp
서라벌을	서라벌/nq+을/jco
떠날	떠나/pvg+ㄹ/etm
때까지는	때/ncn+까지/jxc+는/jxc
일단	일단/mag
짐꾼으로	짐꾼/ncn+으로/jca
따라가는	따르/pvg+아/ecs+가/pvg+는/etm
걸로	거/nbn+ㄹ로/jca
해두자고	하/pvg+어/ecx+두/px+자/ef+고/jcr
말씀하셨다니까	말씀/ncpa+하/xsv+시/ep+었/ep+다니까/ef
.	./sf
막상	막상/mag
서라벌을	서라벌/nq+을/jco
떠나서	떠나/pvg+서/ecs
산속에	산속/ncn+에/jca
묻히고	묻히/pvg+고/ecx
보면	보/px+면/ecs
,	,/sp
거기서야	거기/npd+서/jca+야/jxc
어떤	어떤/mmd
낭도가	낭도/ncn+가/jcs
나서서	나서/pvg+어서/ecs
진골이니	진골/ncn+이/jp+니/ecs
육두품이니	육두품/ncn+이/jp+니/ecs
그런	그런/mmd
걸	거/nbn+ㄹ/jco
따지고	따지/pvg+고/ecx
나서겠느냐고	나서/px+겠/ep+느냐/ef+고/jcr
.	./sf
그때에	그/mmd+때/ncn+에/jca
이르러서	이르/pvg+어서/ecs
원종이와	원종/nq+이/xsn+와/jcj
애노가	애노/nq+가/jcs
낭도들과	낭도/ncn+들/xsn+과/jct
함께	함께/mag
무예를	무예/ncn+를/jco
닦는다	닦/pvg+는다/ef
해서	하/pvg+어서/ecs
누가	누가/npp
가로막고	가로막/pvg+고/ecs
나서겠느냐	나서/pvg+겠/ep+느냐/ef
,	,/sp
그리	그리/mag
말씀하셨다니까	말씀/ncpa+하/xsv+시/ep+었/ep+다니까/ef
."	./sf+"/sl
원종과	원종/nq+과/jcj
애노는	애노/nq+는/jxc
이제야	이제야/mag
충분히	충분/ncn+히/xsa
알아들었다는	알아듣/pvg+었/ep+다/ef+는/etm
듯	듯/nbn
활짝	활짝/mag
웃었다	웃/pvg+었/ep+다/ef
.	./sf
짐꾼으로	짐꾼/ncn+으로/jca
따라간다는	따르/pvg+아/ecx+가/px+ㄴ다/ef+는/etm
게	게/ncn
자존심	자존심/ncn
상하는	상하/pvg+는/etm
일이긴	일/ncn+이/jp+긴/ef
했지만	하/pvg+었/ep+지만/ecs
,	,/sp
낭도로	낭도/ncn+로/jca
끼워주리란	끼우/pvg+어/ecx+주/px+리란/etm
기대는	기대/ncpa+는/jxc
품어본	품/pvg+어/ecx+보/px+ㄴ/etm
적도	적/nbn+도/jxc
없으니	없/paa+으니/ecs
상관없는	상관없/paa+는/etm
일이었다	일/ncn+이/jp+었/ep+다/ef
.	./sf
진골	진골/maj
귀족이	귀족/ncn+이/jcs
형산강변에	형산강변/ncn+에/jca
깔린	깔리/pvg+ㄴ/etm
조약돌보다도	조약돌/ncn+보다/jca+도/jxc
많은	많/paa+ㄴ/etm
서라벌에서	서라벌/nq+에서/jca
,	,/sp
평민이	평민/ncn+이/jcs
사람	사람/ncn
대접	대접/ncn
받기를	받/pvg+기/etn+를/jco
바랄	바라/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없는	없/paa+는/etm
일이었다	일/ncn+이/jp+었/ep+다/ef
.	./sf
아니	아니/mag
,	,/sp
그것은	그것/npd+은/jxc
서라벌에서	서라벌/nq+에서/jca
뿐만이	뿐/nbn+만/jxc+이/jcc
아니었다	아니/paa+었/ep+다/ef
.	./sf
신라	신라/nq
땅이라면	땅/ncn+이/jp+라/ef+면/ecs
어느	어느/mmd
곳이든	곳/ncn+이든/jxc
사정은	사정/ncn+은/jxc
비슷할	비슷/ncps+하/xsm+ㄹ/etm
터였다	터/nbn+이/jp+었/ep+다/ef
.	./sf
"	"/sl
서두르자	서두르/pvg+자/ef
."	./sf+"/sl
요원이	요원/nq+이/jcs
손을	손/ncn+을/jco
들어	들/pvg+어/ecs
앞쪽을	앞/ncn+쪽/nbn+을/jco
가리켰다	가리키/pvg+었/ep+다/ef
.	./sf
월성궁	월성궁/nq
무평문	무평문/nq
앞	앞/ncn
연무장이	연무/ncn+장/xsn+이/jcs
저만치	저/npd+만치/jxc
바라보였다	바라/pvg+아/ecx+보이/px+었/ep+다/ef
.	./sf
활과	활/ncn+과/jcj
전통을	전통/ncn+을/jco
멘	메/pvg+ㄴ/etm
소년	소년/ncn
무사들이	무사/ncn+들/xsn+이/jcs
사방에서	사방/ncn+에서/jca
그리로	그리/mag+로/jca
속속	속속/mag
몰려들고	몰리/pvg+어/ecx+들/px+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
몰려든	몰리/pvg+어/ecx+들/px+ㄴ/etm
인파로	인파/ncn+로/jca
연무장	연무/ncn+장/xsn
문	문/ncn
앞은	앞/ncn+은/jxc
그야말로	그야말로/mag
인산인해였다	인산인해/ncn+이/jp+었/ep+다/ef
.	./sf
삼년	삼/nnc+년/nbu
기한이	기한/ncn+이/jcs
끝나는	끝/ncn+나/pvg+는/etm
화랑과	화랑/ncn+과/jcj
낭도가	낭도/ncn+가/jcs
1	1/nnc
천여	천/ncn+여/xsn
명이요	명/nbu+이/jp+요/jxf
,	,/sp
새로	새로/mag
뽑힌	뽑히/pvg+ㄴ/etm
화랑과	화랑/ncn+과/jcj
낭도가	낭도/ncn+가/jcs
또	또/maj
일천여	일천/ncn+여/xsn
명이었다	명/nbu+이/jp+었/ep+다/ef
.	./sf
그들	그/npp+들/xsn
모두가	모두/ncn+가/jcs
같은	같/paa+은/etm
시각에	시각/ncn+에/jca
한	한/nnc
자리로	자리/ncn+로/jca
몰려들게	몰리/pvg+어/ecx+들/px+게/ecs
되니	되/pvg+니/ecs
붐비는	붐비/paa+는/etm
것은	것/nbn+은/jxc
정한	정하/pvg+ㄴ/etm
이치였다	이치/ncn+이/jp+었/ep+다/ef
.	./sf
"	"/sr
자	자/ii
,	,/sp
빨리	빠르/paa+이/xsa
들어가자	들/pvg+어/ecs+가/pvg+자/ef
."	./sf+"/sl
가쁜	가쁘/paa+ㄴ/etm
숨을	숨/ncn+을/jco
몰아쉬며	몰/pvg+아/ecs+쉬/pvg+며/ecs
문	문/ncn
앞에	앞/ncn+에/jca
다다른	다다르/pvg+ㄴ/etm
요원이	요원/nq+이/jcs
두	두/nnc
친구의	친구/ncn+의/jcm
손을	손/ncn+을/jco
잡아	잡/pvg+아/ecs
끌며	끌/pvg+며/ecs
안으로	안/ncn+으로/jca
들어서려고	들/pvg+어/ecs+서/pvg+려고/ecs
할	하/px+ㄹ/etm
때였다	때/ncn+이/jp+었/ep+다/ef
.	./sf
"	"/sr
아	아/ii
,	,/sp
잠깐만	잠깐/ncn+만/jxc
."	./sf+"/sl
문앞을	문/ncn+앞/ncn+을/jco
지키고	지키/pvg+고/ecx
있던	있/px+던/etm
수직군사가	수직/ncn+군사/ncn+가/jcs
세	세/nnc
소년을	소년/ncn+을/jco
불러	부르/pvg+어/ecs
세웠다	세우/pvg+었/ep+다/ef
.	./sf
세	세/nnc
소션이	소션/ncn+이/jcs
우뚝	우뚝/mag
걸음을	걸음/ncn+을/jco
멈추자	멈추/pvg+자/ecs
수직군	수직/ncn+군/ncn
대장이	대장/ncn+이/jcs
옆으로	옆/ncn+으로/jca
다가왔다	다가오/pvg+았/ep+다/ef
.	./sf
"	"/sl
패찰을	패찰/ncn+을/jco
보이시오	보이/pvg+시/ep+오/ef
."	./sf+"/sl
요원이	요원/nq+이/jcs
허리춤에서	허리춤/ncn+에서/jca
패찰을	패찰/ncn+을/jco
풀어서	풀/pvg+어서/ecs
쓱	쓱/mag
내밀었다	내밀/pvg+었/ep+다/ef
.	./sf
그것	그것/npd
힐끗	힐끗/mag
들여다	들이/pvg+어다/ecs
본	보/pvg+ㄴ/etm
수직군	수직/ncn+군/ncn
대장이	대장/ncn+이/jcs
깊숙이	깊숙/ncn+이/xsa
허리를	허리/ncn+를/jco
굽혔다	굽히/pvg+었/ep+다/ef
.	./sf
"	"/sl
오호라	오호라/ii
,	,/sp
화랑으로	화랑/ncn+으로/jca
뽑힌	뽑히/pvg+ㄴ/etm
요원랑이군요	요원랑/nq+이/jp+군/ef+요/jxf
.	./sf
어서	어서/mag
들어가십시오	들/pvg+어/ecs+가/pvg+시/ep+ㅂ시오/ef
."	./sf+"/sl
요원이	요원/nq+이/jcs
의기양양한	의기양양/ncps+하/xsm+ㄴ/etm
얼굴로	얼굴/ncn+로/jca
두	두/nnc
친구의	친구/ncn+의/jcm
손을	손/ncn+을/jco
잡아	잡/pvg+아/ecs
끌었다	끌/pvg+었/ep+다/ef
.	./sf
"	"/sr
자	자/ii
,	,/sp
빨리	빠르/paa+이/xsa
들어가자	들/pvg+어/ecs+가/pvg+자/ef
."	./sf+"/sl
그러자	그러자/maj
수직군	수직/ncn+군/ncn
대장이	대장/ncn+이/jcs
다시	다시/mag
앞을	앞/ncn+을/jco
가로막았다	가로막/pvg+았/ep+다/ef
.	./sf
"	"/sl
요원랑만	요원랑/nq+만/jxc
먼저	먼저/mag
들어가시오	들/pvg+어/ecs+가/pvg+시/ep+오/ef
.	./sf
그리고	그리고/maj
,	,/sp
너희	너희/npp
두	두/nnc
사람은	사람/ncn+은/jxc
패찰을	패찰/ncn+을/jco
보이라	보이/pvg+라/ecs
."	./sf+"/sl
패찰이란	패찰/ncn+이/jp+란/jxc
,	,/sp
이번에	이/mmd+번/nbn+에/jca
뽑힌	뽑히/pvg+ㄴ/etm
한	한/nnc
명의	명/nbu+의/jcm
화랑과	화랑/ncn+과/jcj
천여	천/ncn+여/xsn
명의	명/nbu+의/jcm
낭도들에게	낭도/ncn+들/xsn+에게/jca
나라에서	나라/ncn+에서/jca
만들어	만들/pvg+어/ecs
나누어준	나누/pvg+어/ecs+주/pvg+ㄴ/etm
증표였다	증표/ncn+이/jp+었/ep+다/ef
.	./sf
화랑과	화랑/ncn+과/jcj
낭도들이	낭도/ncn+들/xsn+이/jcs
명산대천을	명산/ncn+대천/ncn+을/jco
순례하는	순례/ncpa+하/xsv+는/etm
도중에	도중/ncn+에/jca
어려운	어렵/paa+ㄴ/etm
일이	일/ncn+이/jcs
생기게	생기/pvg+게/ecs
되면	되/pvg+면/ecs
가까운	가깝/paa+ㄴ/etm
관아나	관아/ncn+나/jcj
사찰에	사찰/ncn+에/jca
찾아가서	찾/pvg+아/ecs+가/pvg+서/ecs
그	그/mmd
패찰을	패찰/ncn+을/jco
내밀고	내/pvg+어/ecs+밀/pvg+고/ecs
도움을	도움/ncn+을/jco
청하게끔	청하/pvg+게끔/ecs
되어	되/pvg+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
원종과	원종/nq+과/jcj
애노에게	애노/nq+에게/jca
그런	그런/mmd
게	거/nbn+이/jcs
있을	있/paa+을/etm
턱이	턱/ncn+이/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
낭패한	낭패/ncpa+하/xsv+ㄴ/etm
얼굴로	얼굴/ncn+로/jca
마주	마주/mag
보며	보/pvg+며/ecs
멀뚱히	멀뚱/ncn+히/xsa
서	서/pvg+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
참다	참/pvg+다/ecs
못한	못하/px+ㄴ/etm
요원이	요원/nq+이/jcs
앞으로	앞/ncn+으로/jca
나섰다	나서/pvg+었/ep+다/ef
.	./sf
"	"/sl
둘	둘/nnc
다	다/mag
내	내/npp
친구요	친구/ncn+요/jxc
.	./sf
이번	이/mmd+번/nbn
화랑의	화랑/ncn+의/jcm
명산대천	명산/ncn+대천/ncn
순례에	순례/ncn+에/jca
함께	함께/mag
가도	가/pvg+도/ecs
좋다는	좋/paa+다/ef+는/etm
향도스님의	향도/ncn+스님/ncn+의/jcm
허락도	허락/ncn+도/jxc
얻었소	얻/pvg+었/ep+소/ef
."	./sf+"/sl
그러나	그러나/maj
,	,/sp
수직군	수직/ncn+군/ncn
대장은	대장/ncn+은/jxc
얼굴도	얼굴/ncn+도/jxc
돌리지	돌리/pvg+지/ecx
않고	않/px+고/ecs
되물었다	되묻/pvg+었/ep+다/ef
.	./sf
"	"/sl
낭도로	낭도/ncn+로/jca
끼워준단	끼우/pvg+어/ecx+주/px+ㄴ다/ef+ㄴ/etm
말인가요	말/ncn+이/jp+ㄴ가/ef+요/jxf
?"	?/sf+"/sl
요원이	요원/nq+이/jcs
쪽에서	쪽/nbn+에서/jca
궁해졌다	궁하/paa+어/ecx+지/px+었/ep+다/ef
.	./sf
대답하는	대답/ncpa+하/xsv+는/etm
말꼬리가	말꼬리/ncn+가/jcs
저절로	저절로/mag
처졌다	처지/pvg+었/ep+다/ef
.	./sf
"	"/sl
아니	아니/mag
,	,/sp
짐꾼으로	짐꾼/ncn+으로/jca
따라가오	따르/pvg+아/ecs+가/pvg+오/ef
."	./sf+"/sl
수직군	수직/ncn+군/ncn
대장이	대장/ncn+이/jcs
그것	그것/npd
보라는	보/pvg+라/ef+는/etm
투로	투/nbn+로/jca
고개를	고개/ncn+를/jco
끄덕이며	끄덕이/pvg+며/ecs
원종과	원종/nq+과/jcj
애노에게	애노/nq+에게/jca
잘라	자르/pvg+아/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
"	"/sl
그럼	그럼/mag
,	,/sp
너희들은	너희/npp+들/xsn+은/jxc
여기서	여기/npd+서/jca
기다렸다가	기다리/pvg+었/ep+다가/ecs
함께	함께/mag
가라	가/pvg+라/ef
.	./sf
잠시	잠시/mag
뒤에	뒤/ncn+에/jca
대왕마마께서	대왕/ncn+마마/ncn+께서/jcs
이곳에	이/mmd+곳/ncn+에/jca
납신다	납시/pvg+ㄴ다/ef
.	./sf
아무리	아무리/mag
화랑	화랑/ncn
요원랑의	요원랑/nq+의/jcm
친구라	친구/ncn+라/ef
해도	하/pvg+어도/ecs
너희들은	너희/npp+들/xsn+은/jxc
대왕마마	대왕/ncn+마마/ncn
앞에	앞/ncn+에/jca
함부로	함부로/mag
나설	나서/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
그게	그거/nbn+이/jcs
국법이다	국법/ncn+이/jp+다/ef
."	./sf+"/sl
얼굴이	얼굴/ncn+이/jcs
시뻘개진	시뻘겋/paa+어/ecx+지/px+ㄴ/etm
원종이	원종/nq+이/jcs
홱	홱/mag
돌아섰다	돌/pvg+아/ecs+서/pvg+었/ep+다/ef
.	./sf
"	"/sl
떠그럴	떠그럴/mma
놈의	놈/nbn+의/jcm
것	것/nbn
-.	-/sd+./sf
요원이	요원/nq+이/jcs
,	,/sp
너나	너/npp+나/jxc
다녀와라	다니/pvg+어/ecs+오/pvg+아라/ef
."	./sf+"/sl
어쩔	어쩌/pvd+ㄹ/etm
줄	줄/nbn
모르고	모르/pvg+고/ecc
무르춤히	무르춤/ncn+히/xsa
서	서/pvg+어/ecx
있는	있/px+는/etm
요원의	요원/nq+의/jcm
등을	등/ncn+을/jco
애노가	애노/nq+가/jcs
떼밀었다	떼밀/pvg+었/ep+다/ef
.	./sf
"	"/sl
됐다	되/pvg+었/ep+다/ef
.	./sf
우리들은	우리/npp+들/xsn+은/jxc
여기서	여기/npd+서/jca
기다릴	기다리/pvg+ㄹ/etm
테니	터/nbn+이/jp+니/ecs
어서	어서/mag
들어가봐라	들/pvg+어/ecs+가/pvg+아/ecx+보/px+아라/ef
."	./sf+"/sl
그대로	그대로/mag
한참	한참/ncn
동안이나	동안/ncn+이나/jxc
서서	서/pvg+서/ecs
씨근대고	씨근대/pvg+고/ecx
있는	있/px+는/etm
원종을	원종/nq+을/jco
물끄러미	물끄러미/mag
쳐다보던	쳐다보/pvg+던/etm
요원이	요원/nq+이/jcs
큰	크/paa+ㄴ/etm
소리를	소리/ncn+를/jco
한마디를	한마디/ncn+를/jco
보태	보태/pvg+어/ecx
놓고	놓/px+고/ecs
돌아섰다	돌/pvg+아/ecs+서/pvg+었/ep+다/ef
.	./sf
"	"/sl
떠그럴	떠그럴/ncn
-.	-/sd+./sf
기다려라	기다리/pvg+어라/ef
.	./sf
세상이	세상/ncn+이/jcs
정말	정말/mag
잘못	잘못/mag
돼먹었다	돼먹/pvg+었/ep+다/ef
."	./sf+"/sl
수직군	수직/ncn+군/ncn
대장이	대장/ncn+이/jcs
고개를	고개/ncn+를/jco
번쩍	번쩍/mag
쳐들었다	쳐들/pvg+었/ep+다/ef
.	./sf
접어주고	접/pvg+어/ecx+주/px+고/ecs
생각해도	생각/ncpa+하/xsv+어도/ecs
,	,/sp
그것은	그것/npd+은/jxc
화랑답지	화랑/ncps+답/xsm+지/ecx
않은	않/px+은/etm
말투였다	말투/ncn+이/jp+었/ep+다/ef
.	./sf
수직군	수직/ncn+군/ncn
대장은	대장/ncn+은/jxc
잠시	잠시/mag
고개를	고개/ncn+를/jco
갸웃거리다가	갸웃거리/pvg+다가/ecs
혼잣소리	혼잣소리/ncn
한마디를	한마디/ncn+를/jco
떨궈놓고	떨구/pvg+어/ecx+놓/px+고/ecs
