<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0006.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0006.txt </filename>
<title>허공의 몸을 찾아서 </title>
<author>석지명  </author>
<date>1993  </date>
<publisher>불교시대사  </publisher>
<kdc>223  </kdc>
<ddc>294.38  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
법구경은	법구경/nq+은/jxc
어로부터	어/xsn+로부터/jxc
여러	여러/mma
종류의	종류/ncn+의/jcm
방언들이	방언/ncn+들/xsn+이/jcs
나왔는데	나오/pvg+았/ep+는데/ecs
팔리어도	팔리어/nq+도/jxc
그	그/mmd
중에	중/nbn+에/jca
하나이다	하나/nnc+이/jp+다/ef
.	./sf
현재의	현재/ncn+의/jcm
힌두어도	힌두어/nq+도/jxc
프라크리타어에	프라크리타어/nq+에/jca
그	그/mmd
기원을	기원/ncn+을/jco
두고	두/pvg+고/ecx
있다	있/paa+다/ef
.	./sf
불교경전도	불교/ncn+경전/ncn+도/jxc
처음에는	처음/ncn+에는/jca
인도의	인도/nq+의/jcm
각	각/mma
지방에서	지방/ncn+에서/jca
사용되던	사용/ncpa+되/xsv+던/etm
방언에	방언/ncn+에/jca
의해	의하/pvg+어/ecx
기록되었다	기록/ncpa+되/xsv+었/ep+다/ef
.	./sf
팔리어도	팔리어/nq+도/jxc
처음에는	처음/ncn+에는/jca
방언	방언/ncn
중의	중/nbn+의/jcm
하나였으나	하나/nnc+이/jp+었/ep+으나/ecs
차츰	차츰/mag
불경을	불경/ncn+을/jco
기록하는	기록/ncpa+하/xsv+는/etm
데	데/nbn
주로	주로/mag
쓰여졌다	쓰이/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
범어로	범어/nq+로/jca
불경이	불경/ncn+이/jcs
쓰여진	쓰이/pvg+어/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
부파불교시대부터였고	부파불교/nq+시대/ncn+부터/jxc+이/px+었/ep+고/ecc
설일체유부	설일체유부/ncn
(	(/sl
說一切有部	說一切有部/ncn
)	)/sr
에서	에서/jca
경전을	경전/ncn+을/jco
범어로	범어/nq+로/jca
쓰기	쓰/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
인도의	인도/nq+의/jcm
방언들로	방언/ncn+들/xsn+로/jca
기록되어	기록/ncpa+되/xsv+어/ecx
있던	있/px+던/etm
경전들도	경전/ncn+들/xsn+도/jxc
인도의	인도/nq+의/jcm
표준어로	표준/ncn+어/xsn+로/jca
간주되는	간주/ncpa+되/xsv+는/etm
범어로	범어/nq+로/jca
옮겨지게	옮기/pvg+어/ecx+지/px+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
그런데	그런데/maj
이	이/mmd
범어에	범어/nq+에/jca
삼스크리타	삼스크리타/nq
(	(/sl
samskrta	samskrta/f
)	)/sr
라는	라/ef+는/etm
순수한	순수/ncps+하/xsm+ㄴ/etm
범어와	범어/nq+와/jcj
프라크리타	프라크리타/nq
(	(/sl
prakrta	prakrta/f
)	)/sr
라는	라는/jxc
일반인	일반/ncn+인/xsn
사용의	사용/ncn+의/jcm
범어로	범어/nq+로/jca
나뉘어지기	나뉘/pvg+어/ecx+지/px+기/etn
때문에	때문/ncn+에/jca
대승불교	대승불교/nq
경전	경전/ncn
가운데	가운데/ncn
어떤	어떤/mmd
것은	것/nbn+은/jxc
순수한	순수/ncps+하/xsm+ㄴ/etm
고전	고전/ncn
범어로	범어/nq+로/jca
기록되고	기록/ncpa+되/xsv+고/ecc
어떤	어떤/mmd
것은	것/nbn+은/jxc
대중이	대중/ncn+이/jcs
사용하는	사용/ncpa+하/xsv+는/etm
혼합	혼합/ncn
속어인	속어/ncn+이/jp+ㄴ/etm
범어로	범어/nq+로/jca
기록되었다	기록/ncpa+되/xsv+었/ep+다/ef
.	./sf
대체로	대체로/mag
초기의	초기/ncn+의/jcm
경전은	경전/ncn+은/jxc
고전	고전/ncn
범어로	범어/nq+로/jca
,	,/sp
시대가	시대/ncn+가/jcs
뒤로	뒤/ncn+로/jca
가면서	가/pvg+면서/ecs
일반인들이	일반/ncn+인/xsn+들/xsn+이/jcs
사용하는	사용/ncpa+하/xsv+는/etm
범어로	범어/nq+로/jca
쓰여졌다	쓰이/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
법구경	법구경/nq
의	의/jcm
팔리어	팔리어/nq
이름은	이름/ncn+은/jxc
담마파다	담마파다/nq
(	(/sl
dhammapada	dhammapada/f
)	)/sr
이다	이/jp+다/ef
.	./sf
'	'/sl
담마	담마/nq
'	'/sr
는	는/jxc
진리를	진리/ncn+를/jco
뜻하고	뜻/ncpa+하/xsv+고/ecc
,	,/sp
'	'/sl
파다	파다/nq
'	'/sr
는	는/jxc
길을	길/ncn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
합하면	합/ncpa+하/xsv+면/ecs
'	'/sl
진리의	진리/ncn+의/jcm
길	길/ncn
''	'/sr+'/sl
진리로	진리/ncn+로/jca
가는	가/pvg+는/etm
길	길/ncn
'	'/sr
이	이/jcc
되겠다	되/pvg+겠/ep+다/ef
.	./sf
진리를	진리/ncn+를/jco
'	'/sl
법	법/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
말로	말/ncn+로/jca
,	,/sp
'	'/sl
길	길/ncn
'	'/sr
을	을/jco
구절이라는	구절/ncn+이/jp+라/ef+는/etm
말로	말/ncn+로/jca
번역해서	번역/ncpa+하/xsv+어서/ecs
법구경	법구경/nq
이	이/jcc
되었다	되/pvg+었/ep+다/ef
.	./sf
법구경	법구경/nq
에는	에는/jca
크게	크/paa+게/ecs
두	두/nnc
가지의	가지/nbu+의/jcm
계통이	계통/ncn+이/jxc
있는데	있/paa+는데/ecs
그것은	그것/npd+은/jxc
팔리어본과	팔리어/nq+본/xsn+과/jcj
범어본이다	범어/mq+본/xsn+이/jp+다/ef
.	./sf
첫째	첫째/nno
,	,/sp
팔리어본은	팔리어/nq+본/xsn+은/jxc
남방	남방/ncn
5	5/nnc
부	부/ncn
아함	아함/ncn
중에서	중/nbn+에서/jca
소부의	소부/ncn+의/jcm
15	15/nnc
개	개/nbu
경	경/ncn
중에	중/nbn+에/jca
있는	있/paa+는/etm
하나이다	하나/nnc+이/jp+다/ef
.	./sf
이	이/mmd
팔리어본	팔리어/nq+본/xsn
법구경	법구경/nq
은	은/jxc
다시	다시/mag
두	두/nnc
가지가	가지/nbu+가/jcs
있다	있/paa+다/ef
.	./sf
법구경	법구경/nq
과	과/jcj
법구비유강	법구비유강/nq
이다	이/jp+다/ef
.	./sf
법구경	법구경/nq
은	은/jxc
423	423/nnc
개의	개/nbu+의/jcm
짧은	짧/paa+은/etm
게송으로만	게송/ncn+으로/jca+만/jxc
되어	되/pvg+어/ecx
있고	있/px+고/ecc
,	,/sp
법구비유경	법구비유경/nq
은	은/jxc
그	그/mmd
게송에	게송/ncn+에/jca
인영비유담을	인영/ncn+비유/ncn+담/xsn+을/jco
주석적으로	주석/ncn+적/xsn+으로/jca
첨가한	첨가/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
계송	계송/ncn
(	(/sl
偈頌	偈頌/ncn
)	)/sr
으로만	으로/jca+만/jxc
되어	되/pvg+어/ecx
있는	있/px+는/etm
법구경	법구경/nq
은	은/jxc
제	제/xp
1	1/nno
회결집	회결집/ncn
당시의	당시/ncn+의/jcm
원형이	원형/ncn+이/jcs
보다	보다/mag
많이	많/paa+이/xsa
보존된	보존/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
여겨지고	여기/pvg+어/ecx+지/px+고/ecc
,	,/sp
법구비유경	법구비유경/nq
은	은/jxc
후세에	후세/ncn+에/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
것으로	것/nbn+으로/jca
짐작된다	짐작/ncpa+되/xsv+ㄴ다/ef
.	./sf
이	이/mmd
팔리어본의	팔리어/nq+본/xsn+의/jcm
법구경	법구경/nq
과	과/jcj
법구비유경	법구비유경/nq
은	은/jxc
한문으로	한문/nq+으로/jca
번역되어	번역/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
단지	단지/mag
팔리어본과	팔리어/nq+본/xsn+과/jcj
한문본이	한문/nq+본/xscn+이/jcs
일치하지는	일치/ncps+하/xsm+지/ecs+는/etm
않는다	않/px+는다/ef
.	./sf
팔리어본에	팔리어/nq+본/xsn+에/jca
없는	없/paa+는/etm
것이	것/nbn+이/jcs
한문본에	한문/nq+본/xsn+에/jca
첨가된	첨가/ncpa+되/xsv+ㄴ/etm
것도	것/nbn+도/jxc
있고	있/paa+고/ecc
또	또/maj
위치가	위치/ncn+가/jcs
옮겨진	옮기/pvg+어/ecx+지/px+ㄴ/etm
것도	것/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
둘째	둘째/nno
,	,/sp
범어	범어/nq
계통의	계통/ncn+의/jcm
것으로는	것/nbn+으로는/jca
<       </sl
우다나바르가	우다나바르가/nq
(	(/sl
Udanavarga	Udanavarga/f
)>	)/sr+>/sr
즉	즉/maj
<       </sl
우다나품	우다나품/nq
>	>/sr
이	이/jcs
있다	있/paa+다/ef
.	./sf
이것은	이것/npd+은/jxc
부파불교의	부파불교/nq+의/jcm
설일체유부	설일체유부/ncn
계통에서	계통/ncn+에서/jca
사용하던	사용/ncpa+하/xsv+던/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
법구경	법구경/nq
과	과/jct
같은	같/paa+은/etm
내용이다	내용/ncn+이/jp+다/ef
.	./sf
이것은	이것/npd+은/jxc
티벳어로도	티벳어/nq+로/jca+도/jxc
번역되었고	번역/ncpa+되/xsv+었/ep+고/ecc
한문으로는	한문/nq+으로/jca+는/jxc
법집요송경	법집요송경/nq
(	(/sl
法集要誦經	法集要誦經/nq
)	)/sr
으로	으로/jca
번역되어	번역/ncpa+되/xsv+어/ecx
있다	있/paa+다/ef
.	./sf
팔리어의	팔리어/nq+의/jcm
'	'/sl
담마파다	담마파다/nq
'	'/sr
를	를/jco
범어로	범어/nq+로/jca
표현하면	표현/ncpa+하/xsv+면/ecs
'	'/sl
우다나	우다나/nq
(	(/sl
Udana	Udana/f
)'	)/sr+'/sr
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
한문으로는	한문/nq+으로/jca+는/jxc
'	'/sl
출요	출요/nq
(	(/sl
出曜	出曜/nq
)'	)/sr+'/sr
이다	이/jp+다/ef
.	./sf
직역을	직역/ncn+을/jco
하면	하/pvg+면/ecs
'	'/sl
나감을	나가/pvg+ㅁ/etn+을/jco
비추는	비추/pvg+는/etm
것	것/nbn
'	'/sr
이	이/jcc
되겠는데	되/pvg+겠/ep+는데/ecs
의역을	의역/ncn+을/jco
해본다면	하/pvg+어/ecx+보/px+ㄴ다면/ecs
'	'/sl
윤회의	윤회/ncn+의/jcm
세계로부터	세계/ncn+로/jca+부터/jxc
길을	길/ncn+을/jco
비추는	비추/pvg+는/etm
것	것/nbn
'	'/sr
쯤이	쯤/nbn+이/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
팔리어본	팔리어/nq+본/xsn
법구경	법구경/nq
과	과/jct
마찬가지로	마찬가지/ncn+로/jca
범어본도	범어/nq+본/xsn+도/jxc
게송으로만	게송/ncn+으로/jca+만/jxc
된	된/pvg+ㄴ/etm
것은	것/nbn+은/jxc
법집요송경	법집요송경/nq
으로	으로/jca
불리우고	불리우/pvg+고/ecs
인연비유담이	인연/ncn+비유/ncn+담/xsn+이/jcs
붙은	붙/pvg+은/etm
것은	것/nbn+은/jxc
출요경	출요경/nq
(	(/sl
出曜經	出曜經/nq
)	)/sr
이	이/jcc
되었다	되/pvg+었/ep+다/ef
.	./sf
한문으로	한문/nq+으로/jca
된	되/pvg+ㄴ/etm
출요경	출요경/nq
에	에/jca
해당되는	해당/ncpa+되/xsv+는/etm
것이	것/nbn+이/jcs
티벳어본에도	티벳어/nq+본/xsn+에도/jca
있는	있/paa+는/etm
것으로	것/nbn+으로/jca
보아	보/pvg+아/ecs
같은	같/paa+은/etm
범어	범어/nq
원본에서	원본/ncn+에서/jca
한문본과	한문/nq+본/xsn+과/jcj
티벳어본이	티벳어/nq+본/xsn+이/jcs
생긴	생기/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
짐작된다	짐작/ncpa+되/xsv+ㄴ다/ef
.	./sf
이	이/mmd
법구경	법구경/nq
은	은/jxc
세계	세계/ncn
각국의	각국/ncn+의/jcm
현대	현대/ncn
언어로	언어/ncn+로/jca
번역된	번역/ncpa+되/xsv+ㄴ/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
경전	경전/ncn
중의	중/nbn+의/jcm
하나이다	하나/nnc+이/jp+다/ef
.	./sf
한글을	한글/nq+을/jco
비롯해서	비롯하/pvg+어서/ecs
영어	영어/nq
.	./sf
불어	불어/nq
.	./sf
독일어	독일어/nq
.	./sf
이태리어	이태리어/nq
.	./sf
러시아어	러시아어/nq
.	./sf
일본어	일본어/nq
등으로	등/nbn+으로/jca
여러	여러/mma
차례	차례/ncn
번역되었다	번역/ncpa+되/xsv+었/ep+다/ef
.	./sf
한글로	한글/nq+로/jca
번역된	번역/ncpa+되/xsv+ㄴ/etm
것	것/nbn
가운데	가운데/ncn
가장	가장/mag
최근에	최근/ncn+에/jca
번역된	번역/ncpa+되/xsv+ㄴ/etm
법구경	법구경/nq
으로는	으로/jca+는/jxc
한국에서	한국/nq+에서/jca
참선공부를	참선/ncn+공부/ncn+를/jco
하다가	하/pvg+다가/ecs
남방에	남방/ncn+에/jca
가서	가/pvg+서/ecs
10	10/nnc
여	여/xsn
년	년/nbu
수행하며	수행/ncpa+하/xsv+며/ecs
팔리어를	팔리어/nq+를/jco
익힌	익히/pvg+ㄴ/etm
거해스님이	거해스님/nq+이/jcs
편역한	편역/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
법구경	법구경/nq
은	은/etm
부피가	부피/ncn+가/jcs
큰	크/paa+ㄴ/etm
두	두/nnc
권으로	권/nbu+으로/jca
되어	되/pvg+어/ecx
있다	있/paa+다/ef
.	./sf
거해스님은	거해스님/nq+은/jxc
그	그/mmd
책의	책/ncn+의/jcm
제목을	제목/ncn+을/jco
법구경	법구경/nq
이라고	이/jp+라고/ecs
했지만	하/pvg+었/ep+지만/ecs
그	그/mmd
책에는	책/ncn+에는/jca
게송만	게송/ncn+만/jxc
담겨	담기/pvg+어/ecx
있는	있/px+는/etm
것이	것/nbn+이/jcc
아니고	아니/paa+고/ecc
인연비유담까지	인연/ncn+비유/ncn+담/xsn+까지/jxc
삽입되어	삽입/ncpa+되/xsv+어/ecx
있다	있/paa+다/ef
.	./sf
그래서	그래서/maj
정확히	정확/ncn+히/xsa
표현하자면	표현/ncps+하/xsv+자면/ecs
법구유비경	법구유비경/nq
을	을/jco
펴낸	펴내/pvg+ㄴ/etm
셈이	셈/nbn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
이	이/mmd
인연비유담들은	인연/ncn+비유/ncn+담/xsn+들/xsn+은/jxc
법구들을	법구/ncn+들/xsn+을/jco
감동적으로	감동/ncn+적/xsn+으로/jca
받아들이게	받/pvg+아/ecs+들이/pvg+게/ecx
하는	하/px+는/etm
데	데/nbn
큰	크/paa+ㄴ/etm
효력을	효력/ncn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
책이	책/ncn+이/jco
팔리어로부터	팔리어/nq+로부터/jxc
직접	직접/mag
