<tdmsfile>


모두들	모두/ncn+들/xsn
멈추려	멈추/pvg+려/ecs
하는	하/pvg+는/etm
힘이	힘/ncn+이/jcs
매우	매우/mag
약해서	약하/paa+어서/ecs
훨씬	훨씬/mag
멀리까지	멀리/mag+까지/jxc
미끄러질	미끄러지/pvg+ㄹ/etm
수	수/nbn
있죠	있/paa+지/ef+요/jxf
.	./sf

만약	만약/mag
이	이/mmd
멈추게	멈추/pvg+게/ecx
하려는	하/px+려/ecs+는/etm
힘이	힘/ncn+이/jcs
전혀	전혀/mag
없다면	없/paa+다면/ecs
스케이트를	스케이트/ncn+를/jco
타는	타/pvg+는/etm
사람은	사람/ncn+은/jxc
얼음	얼음/ncn
위를	위/ncn+를/jco
같은	같/paa+은/etm
속도로	속도/ncn+로/jca
영원히	영원/ncn+히/xsa
쭉	쭉/mag
미끄러져	미끄러지/pvg+어/ecs
갈	가/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있어요	있/paa+어/ef+요/jxf
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
부품과	부품/ncn+과/jcj
부품	부품/ncn
사이에	사이/ncn+에/jca
마찰이	마찰/ncn+이/jcs
큰	크/paa+ㄴ/etm
기계는	기계/ncn+는/jxc
어떻게	어떻/pad+게/ecs
되겠어요	되/pvg+겠/ep+어/ef+요/jxf
?	?/sf
삐꺽삐꺽	삐꺽삐꺽/mag
요란한	요란/ncps+하/xsm+ㄴ/etm
소리를	소리/ncn+를/jco
내며	내/pvg+며/ecs
간신히	간신/ncn+히/xsa
움직일거예요	움직이/pvg+ㄹ/etm+거/nbn+이/jp+어/ef+요/jxf
.	./sf

자전거가	자전거/ncn+가/jcs
처음	처음/mag
나왔을	나오/pvg+았/ep+을/etm
때는	때/ncn+는/jxc
바퀴가	바퀴/ncn+가/jcs
나무로	나무/ncn+로/jca
만들어졌는데	만들/pvg+어/ecx+지/px+었/ep+는데/ecs
1	1/nnc
km	km/su
도	도/jxc
못	못/mag
가서	가/pvg+서/ecs
탄	타/pvg+ㄴ/etm
사람이	사람/ncn+이/jcs
땀투성이가	땀/ncn+투성이/xsn+가/jcc
되었다고	되/pvg+었/ep+다/ef+고/jcr
해요	하/pvg+어/ef+요/jxf
.	./sf

왜	왜/mag
그렇지	그렇/pad+지/ef
?	?/sf
물건에	물건/ncn+에/jca
따라	따르/pvg+아/ecs
마찰의	마찰/ncn+의/jcm
크기가	크/paa+기/xsn+가/jcs
달라	다르/paa+아/ef
?	?/sf
예	예/ii
,	,/sp
물론	물론/mag
그래요	그렇/pad+어/ef+요/jxf
.	./sf

스케이트	스케이트/ncn
날이	날/ncn+이/jcs
얼음	얼음/ncn
위를	위/ncn+를/jco
움직이면	움직이/pvg+면/ecs
날이	날/ncn+이/jcs
닿는	닿/pvg+는/etm
지점에	지점/ncn+에/jca
얇은	얇/paa+은/etm
물의	물/ncn+의/jcm
막이	막/ncn+이/jcs
생겨서	생기/pvg+어서/ecs
,	,/sp
그것이	그것/npd+이/jcs
윤활유	윤활유/ncn
역할을	역할/ncn+을/jco
한다	하/pvg+ㄴ다/ef
!	!/sf
나는	나/npp+는/jxc
나도	나/npp+도/jxc
모르게	모르/pvg+게/ecs
끼어들었다	끼/pvg+어/ecs+들/pvg+었/ep+다/ef
.	./sf

그래서	그래서/maj
자동차	자동/ncn+차/ncn
,	,/sp
재봉틀	재봉틀/ncn
,	,/sp
시계	시계/ncn
등	등/nbn
어떤	어떤/mmd
기계에도	기계/ncn+에/jca+도/jxc
기름을	기름/ncn+을/jco
치는거로군	치/pvg+는/etm+거/nbn+로군/ef
!	!/sf
그런데	그런데/maj
마찰을	마찰/ncn+을/jco
작게	작/paa+게/ecx
하는	하/px+는/etm
다른	다르/paa+ㄴ/etm
방법은	방법/ncn+은/jxc
없을까요	없/paa+을까/ef+요/jxf
?	?/sf
얼음	얼음/ncn
위를	위/ncn+를/jco
미끄러져	미끄러지/pvg+어/ecs
가는	가/pvg+는/etm
것처럼	것/nbn+처럼/jca
아스팔트	아스팔트/ncn
위를	위/ncn+를/jco
미끄러져	미끄러지/pvg+어/ecs
가려면	가/pvg+려면/ecs
어떻게	어떻/pad+게/ecs
해야	하/pvg+어야/ecs
한다고	하/pvg+ㄴ다/ef+고/jcr
생각해요	생각/ncpa+하/xsv+어/ef+요/jxf
?	?/sf
모르겠어	모르/pvg+겠/ep+어/ef
.	./sf

축이	축/ncn+이/jcs
회전할	회전/ncpa+하/xsv+ㄹ/etm
때	때/ncn
,	,/sp
축과	축/ncn+과/jcj
축받침대가	축/ncn+받침/ncn+대/xsn+가/jcs
직접	직접/mag
닿지	닿/pvg+지/ecx
않도록	않/px+도록/ecs
그	그/mmd
사이에	사이/ncn+에/jca
공간을	공간/ncn+을/jco
만들어	만들/pvg+어/ecs
구형과	구형/ncn+과/jcj
원추형의	원추/ncn+형/xsn+의/jcm
베어링을	베어링/ncn+을/jco
넣어	넣/pvg+어/ecx
주는거죠	주/px+는/etm+거/nbn+지/ef+요/jxf
.	./sf

그렇게	그렇/pad+게/ecs
하면	하/pvg+면/ecs
축이	축/ncn+이/jcs
회전할	회전/ncpa+하/xsv+ㄹ/etm
때	때/ncn
베어링도	베어링/ncn+도/jxc
함께	함께/mag
움직여서	움직이/pvg+어서/ecs
마찰을	마찰/ncn+을/jco
줄이고	줄이/pvg+고/ecc
기계가	기계/ncn+가/jcs
잘	잘/mag
움직이게	움직이/pvg+게/ecx
돼요	되/pvg+어/ef+요/jxf
.	./sf

야아	야아/ii
!	!/sf
그렇게	그렇/pad+게/ecs
모든	모든/mma
걸	거/nbn+ㄹ/jco
잘	잘/mag
알고	알/pvg+고/ecx
있으니	있/px+으니/ecs
,	,/sp
너희	너희/npp
나라에서는	나라/ncn+에서/jca+는/jxc
이제	이제/mag
곧	곧/mag
성가신	성가시/paa+ㄴ/etm
마찰을	마찰/ncn+을/jco
완전히	완전/ncn+히/xsa
없앨	없애/pvg+ㄹ/etm
수	수/nbn
있겠구나	있/paa+겠/ep+구나/ef
.	./sf

마찰은	마찰/ncn+은/jxc
성가신	성가시/paa+ㄴ/etm
점도	점/ncn+도/jxc
많지만	많/paa+지만/ecs
그러나	그러나/maj
마찰이	마찰/ncn+이/jc
없으면	없/paa+으면/ecs
곤란한	곤란/ncps+하/xsm+ㄴ/etm
일이	일/ncn+이/jcs
너무	너무/mag
많이	많/paa+이/xsa
생겨요	생기/pvg+어/ef+요/jxf
.	./sf

어느	어느/mmd
한	한/nnc
곳에서	곳/ncn+에서/jca
계속	계속/mag
헛바퀴치든지	헛바퀴/ncn+치/pvg+든지/ecc
,	,/sp
그렇지	그렇/pad+지/ecx
않으면	않/px+으면/ecs
계속	계속/mag
미끄러질거야	미끄러지/pvg+ㄹ/etm+거/nbn+야/ef
.	./sf

차를	차/ncn+를/jco
타고	타/pvg+고/ecc
가다	가/pvg+다/ecs
-	-/sd
속도와	속도/ncn+와/jcj
가속도	가속도/ncn
이제껏	이제껏/mag
우리들에게	우리/npp+들/xsn+에게/jca
설명을	설명/ncn+을/jco
해	하/pvg+어/ecx
준	주/px+ㄴ/etm
역학평야의	역학/ncn+평야/ncn+의/jcm
그	그/mmd
아이의	아이/ncn+의/jcm
이름은	이름/ncn+은/jxc
코페르니였다	코페르니/nq+이/jp+었/ep+다/ef
.	./sf

우리나라의	우리/npp+나라/ncn+의/jcm
법칙을	법칙/ncn+을/jco
알지	알/pvg+지/ecx
못하니	못하/px+니/ecs
,	,/sp
곧	곧/mag
길을	길/ncn+을/jco
잃어	잃/pvg+어/ecx
버리고	버리/px+고/ecx
말거야	말/px+ㄹ/etm+거/nbn+야/ef
.	./sf

코페르니는	코페르니/nq+는/jxc
넓은	넓/paa+은/etm
길로	길/ncn+로/jca
나가더니	나가/pvg+더/ep+니/ecs
손을	손/ncn+을/jco
들어	들/pvg+어/ecs
차를	차/ncn+를/jco
한	한/nnc
대	대/nbu
세웠다	세우/pvg+었/ep+다/ef
.	./sf

차에	차/ncn+에/jca
타자마자	타/pvg+자마자/ecs
코페르니의	코페르니/nq+의/jcm
질문이	질문/ncn+이/jcs
시작되었다	시작/ncpa+되/xsv+었/ep+다/ef
.	./sf

만약	만약/mag
자동차가	자동/ncn+차/ncn+가/jcs
같은	같/paa+은/etm
상태로	상태/ncn+로/jca
계속	계속/mag
달린다면	달리/pvg+ㄴ다/ef+면/ecs
,	,/sp
요컨대	요컨대/mag
속도를	속도/ncn+를/jco
빨리하거나	빨리/mag+하/xsv+거나/ecc
늦추거나	늦추/pvg+거나/ecc
하지	하/pvg+지/ecx
않고	않/px+고/ecc
달린다면	달리/pvg+ㄴ다/ef+면/ecs
속도계의	속도/ncn+계/xsn+의/jcm
바늘은	바늘/ncn+은/jxc
한	한/nnc
곳에	곳/ncn+에/jca
멈춰	멈추/pvg+어/ecs
움직이지	움직이/pvg+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

이때	이/mmd+때/ncn
우리는	우리/npp+는/jxc
속도가	속도/ncn+가/jcs
일정하다	일정/ncps+하/xsm+다/ef
고	고/jcr
하며	하/pvg+며/ecc
,	,/sp
속도의	속도/ncn+의/jcm
크기는	크기/ncn+는/jxc
이동한	이동/ncpa+하/xsv+ㄴ/etm
거리를	거리/ncn+를/jco
시간으로	시간/ncn+으로/jca
나누면	나누/pvg+면/ecs
계산할	계산/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
평탄하고	평탄/ncps+하/xsm+고/ecc
똑바른	똑바르/paa+ㄴ/etm
길을	길/ncn+을/jco
2	2/nnc
시간	시간/nbu
달려	달리/pvg+어/ecs
120	120/nnc
km	km/su
를	를/jco
갔다고	가/pvg+았/ep+다/ef+고/jcr
하자	하/pvg+자/ef
.	./sf

거리	거리/ncn
120	120/nnc
km	km/su
를	를/jco
시간당으로	시간/ncn+당/xsn+으로/jca
계산하면	계산/ncpa+하/xsv+면/ecs
60	60/nnc
km	km/su
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

그리고	그리고/maj
이	이/mmd
경우	경우/ncn
속도는	속도/ncn+는/jxc
1	1/nnc
시간에	시간/nbu+에/jca
대해서	대하/pvg+어서/ecs
계산하므로	계산/ncpa+하/xsv+므로/ecs
시속	시속/ncn
60	60/nnc
km	km/su
라고	라/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

이	이/mmd
경우에는	경우/ncn+에/jca+는/jxc
순간적으로	순간/ncn+적/xsn+으로/jca
속도가	속도/ncn+가/jcs
변하므로	변하/pvg+므로/ecs
매순간의	매/mma+순간/ncn+의/jcm
속도	속도/ncn
,	,/sp
즉	즉/mag
순간속도라고	순간/ncn+속도/ncn+라/ef+고/jcr
불리는	불리/pvg+는/etm
속도를	속도/ncn+를/jco
일일이	일일/ncn+이/xsa
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

전체의	전체/ncn+의/jcm
거리를	거리/ncn+를/jco
시간으로	시간/ncn+으로/jca
나누면	나누/pvg+면/ecs
시속	시속/ncn
50	50/nnc
km	km/su
가	가/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
지금	지금/mag
타고	타/pvg+고/ecx
있는	있/px+는/etm
자동차가	자동/ncn+차/ncn+가/jcs
10	10/nnc
초	초/nbu
동안	동안/ncn
시속	시속/ncn
50	50/nnc
km	km/su
에서	에서/jca
56	56/nnc
km	km/su
로	로/jca
속도를	속도/ncn+를/jco
높였다면	높이/pvg+었/ep+다/ef+면/ecs
,	,/sp
1	1/nnc
시간에	시간/nbu+에/jca
6	6/nnc
km	km/su
를	를/jco
더	더/mag
달린	달리/pvg+ㄴ/etm
것이	것/nbn+이/jcc
되고	되/pvg+고/ecc
,	,/sp
1	1/nnc
초	초/nbu
동안엔	동안/ncn+에/jca+ㄴ/jxc
167	167/nnc
cm	cm/su
만큼	만큼/nbn
더	더/mag
달린	달리/pvg+ㄴ/etm
셈이	셈/nbn+이/jcc
돼요	되/pvg+어/ef+요/jxf
.	./sf

이	이/mmd
증가분은	증가/ncn+분/xsn+은/jxc
10	10/nnc
초	초/nbu
동안	동안/ncn
변화한	변화/ncpa+하/xsv+ㄴ/etm
양이므로	양/ncn+이/jp+므로/ecs
,	,/sp
1	1/nnc
초	초/nbu
동안	동안/ncn
변화한	변화/ncpa+하/xsv+ㄴ/etm
양	양/ncn
-	-/sd
가속도를	가속도/ncn+를/jco
계산하면	계산/ncpa+하/xsv+면/ecs
평균	평균/ncn
16	16/nnc
.	./sf

짧은	짧/paa+은/etm
시간에	시간/ncn+에/jca
속도를	속도/ncn+를/jco
더	더/mag
높이면	높이/pvg+면/ecs
높일수록	높이/pvg+ㄹ수록/ecs
그만큼	그/npd+만큼/jxc
가속도도	가속도/ncn+도/jxc
커지죠	크/paa+어/ecx+지/px+지/ef+요/jxf
.	./sf

저기	저기/npd
있는	있/paa+는/etm
돌을	돌/ncn+을/jco
집어서	집/pvg+어서/ecs
던져봐요	던지/pvg+어/ecx+보/px+아/ef+요/jxf
!	!/sf
돌은	돌/ncn+은/jxc
20	20/nnc
m	m/su
정도	정도/ncn
날아갔다	날/pvg+아/ecs+가/pvg+았/ep+다/ef
.	./sf

코페르니는	코페르니/nq+는/jxc
달려가서	달리/pvg+어/ecs+가/pvg+서/ecs
돌이	돌/ncn+이/jcs
떨어진	떨어지/pvg+ㄴ/etm
곳에	곳/ncn+에/jca
표시를	표시/ncn+를/jco
해	하/pvg+어/ecx
두고	두/px+고/ecc
돌아와서	돌/pvg+아/ecs+오/pvg+아서/ecs
이렇게	이렇/pad+게/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf

다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
당신은	당신/npp+은/jxc
첫번째보다	첫/nno+번째/nbu+보다/jca
더	더/mag
큰	크/paa+ㄴ/etm
힘을	힘/ncn+을/jco
들였고	들이/pvg+었/ep+고/ecc
그만큼	그/npd+만큼/nbn
돌도	돌/ncn+도/jxc
더	더/mag
크게	크/paa+게/ecs
가속된거예요	가속/ncpa+되/xsv+ㄴ/etm+거/nbn+이/jp+어/ef+요/jxf
.	./sf

물체는	물체/ncn+는/jxc
큰	크/paa+ㄴ/etm
힘을	힘/ncn+을/jco
받으면	받/pvg+으면/ecs
받은	받/pvg+은/etm
만큼	만큼/nbn
더	더/mag
큰	크/paa+ㄴ/etm
가속을	가속/ncn+을/jco
받게	받/pvg+게/ecx
되죠	되/pvg+지/ef+요/jxf
.	./sf

그렇게	그렇/pad+게/ecs
말하고	말/ncpa+하/xsv+고/ecc
코페르니는	코페르니/nq+는/jxc
대단히	대단/ncn+히/xsa
큰	크/paa+ㄴ/etm
돌을	돌/ncn+을/jco
가리키며	가리키/pvg+며/ecs
,	,/sp
아까와	아까/ncn+와/jct
같은	같/paa+은/etm
힘으로	힘/ncn+으로/jca
던져	던지/pvg+어/ecx
봐요	보/px+아/ef+요/jxf
!	!/sf
하고	하/px+고/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf

그	그/mmd
돌을	돌/ncn+을/jco
간신히	간신/ncn+히/xsa
들어	들/pvg+어/ecs
올려	올리/pvg+어/ecs
던져	던지/pvg+어/ecx
보니	보/px+니/ecs
바로	바로/mag
앞에	앞/ncn+에/jca
떨어졌다	떨어지/pvg+었/ep+다/ef
.	./sf

바꿔	바꾸/pvg+어/ecs
말하면	말/ncpa+하/xsv+면/ecs
물체가	물체/ncn+가/jcs
어느	어느/mmd
일정한	일정/ncps+하/xsm+ㄴ/etm
힘으로	힘/ncn+으로/jca
얻은	얻/pvg+은/etm
가속도는	가속도/ncn+는/jxc
그	그/mmd
물체의	물체/ncn+의/jcm
질량이	질량/ncn+이/jcs
커질수록	크/paa+어/ecx+지/px+ㄹ수록/ecs
적어지죠	적/pvg+어/ecx+지/px+지/ef+요/jxf
.	./sf

어떤	어떤/mmd
물체가	물체/ncn+가/jcs
얻는	얻/pvg+는/etm
가속도는	가속도/ncn+는/jxc
그	그/mmd
물체에	물체/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
힘에	힘/ncn+에/jca
비례하고	비례/ncpa+하/xsv+고/ecc
,	,/sp
그	그/mmd
물체의	물체/ncn+의/jcm
질량에	질량/ncn+에/jca
반비례한다	반비례/ncpa+하/xsv+ㄴ다/ef
.	./sf

그렇지만	그렇지만/maj
당신들은	당신/npp+들/xsn+은/jxc
물리의	물리/ncn+의/jcm
나라에	나라/ncn+에/jca
여행을	여행/ncn+을/jco
왔으니	오/pvg+았/ep+으니/ecs
수식을	수식/ncn+을/jco
사용하지	사용/ncpa+하/xsv+지/ecx
않아도	않/px+아도/ecs
상관없어요	상관/ncn+없/paa+어/ef+요/jxf
.	./sf

그렇지만	그렇지만/maj
물리의	물리/ncn+의/jcm
나라에서	나라/ncn+에서/jca
평생	평생/mag
살려고	살/pvg+려고/ecs
한다면	하/pvg+ㄴ다/ef+면/ecs
수학을	수학/ncn+을/jco
열심히	열심/ncn+히/xsa
공부해야만	공부/ncpa+하/xsv+어야/ecs+만/jxc
될거예요	되/pvg+ㄹ/etm+거/nbn+이/jp+어/ef+요/jxf
.	./sf

그런데	그런데/maj
역학평야의	역학/ncn+평야/ncn+의/jcm
법칙은	법칙/ncn+은/jxc
이	이/mmd
두	두/nnc
가지가	가지/nbu+가/jcs
다니	다/mag+니/ef
?	?/sf
나는	나/npp+는/jxc
깊이	깊/paa+이/xsa
생각해	생각/ncpa+하/xsv+어/ecx
보지	보/px+지/ecx
않고	않/px+고/ecc
물었다	묻/pvg+었/ep+다/ef
.	./sf

저의	저/npp+의/jcm
손바닥을	손/ncn+바닥/ncn+을/jco
한번	한/nnc+번/nbu
때려	때리/pvg+어/ecx
볼래요	보/px+ㄹ래/ef+요/jxf
?	?/sf
이렇게	이렇/pad+게/ecs
말하고	말/ncpa+하/xsv+고/ecc
코페르니는	코페르니/nq+는/jxc
손을	손/ncn+을/jco
내밀었다	내밀/pvg+었/ep+다/ef
.	./sf

그런데	그런데/maj
왜	왜/mag
나도	나/npp+도/jxc
아프지	아프/paa+지/ef
?	?/sf
내가	내/npp+가/jcs
너를	너/npp+를/jco
때린	때리/pvg+ㄴ/etm
것이지	것/nbn+이/jp+지/ef
,	,/sp
네가	네/npp+가/jcs
나를	나/npp+를/jco
때린	때리/pvg+ㄴ/etm
것은	것/nbn+은/jxc
아닌데	아니/paa+ㄴ데/ecs
린	린/nq
잘	잘/mag
모르겠어	모르/pvg+겠/ep+어/ef
.	./sf

그것은	그것/npd+은/jxc
당신이	당신/npp+이/jcs
내	나/npp+의/jcm
손에	손/ncn+에/jca
가한	가하/pvg+ㄴ/etm
힘과	힘/ncn+과/jcj
크기는	크/paa+기/xsn+는/jxc
같고	같/paa+고/ecc
방향은	방향/ncn+은/jxc
반대죠	반대/ncn+지/ef+요/jxf
.	./sf

어떤	어떤/mmd
힘이든	힘/ncn+이/jp+든/ecc
쌍둥이처럼	쌍둥이/ncn+처럼/jca
상대방이	상대방/ncn+이/jcs
있고	있/paa+고/ecc
,	,/sp
그리고	그리고/maj
그것이	그것/npd+이/jcs
반대방향으로	반대/ncn+방향/ncn+으로/jca
작용한단	작용/ncpa+하/xsv+ㄴ다/ef+ㄴ/etm
말이지	말/ncn+이/jp+지/ef
?	?/sf
바로	바로/mag
그래요	그렇/pad+어/ef+요/jxf
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
스프링이	스프링/ncn+이/jcs
들어	들/pvg+어/ecx
있는	있/px+는/etm
침대	침대/ncn
위에	위/ncn+에/jca
가방을	가방/ncn+을/jco
놓아	놓/pvg+아/ecx
봐요	보/px+아/ef+요/jxf
.	./sf

정말	정말/mag
모든	모든/mma
작용에는	작용/ncn+에/jca+는/jxc
항상	항상/mag
반작용이	반/xp+작용/ncn+이/jcs
있어	있/paa+어/ef
?	?/sf
나는	나/npp+는/jxc
코페르니를	코페르니/nq+를/jco
곧란하게	곧란/ncps+하/xsm+게/ecs
할	하/px+ㄹ/etm
질문이	질문/ncn+이/jcs
떠올라	떠오르/pvg+아/ecs
먼저	먼저/mag
이렇게	이렇/pad+게/ecs
물었다	묻/pvg+었/ep+다/ef
.	./sf

그래	그래/ii
?	?/sf
그렇다면	그렇다면/maj
어째서	어찌하/pad+어서/ecs
수레가	수레/ncn+가/jcs
앞으로	앞/ncn+으로/jca
가는지	가/pvg+는지/ef
설명해	설명/ncpa+하/xsv+어/ecx
봐	보/px+아/ef
!	!/sf
당나귀가	당나귀/ncn+가/jcs
앞에서	앞/ncn+에서/jca
수레를	수레/ncn+를/jco
당기면	당기/pvg+면/ecs
수레는	수레/ncn+는/jxc
뒤에서	뒤/ncn+에서/jca
당기고	당기/pvg+고/ecc
,	,/sp
이	이/mmd
두	두/nnc
힘의	힘/ncn+의/jcm
크기는	크기/ncn+는/jxc
균형을	균형/ncn+을/jco
이루어	이루/pvg+어/ecs
수레는	수레/ncn+는/jxc
한	한/nnc
곳에	곳/ncn+에/jca
당연히	당연/ncn+히/xsa
멈춰	멈추/pvg+어/ecx
있어야	있/px+어야/ecs
돼	되/pvg+어/ef
.	./sf

만약	만약/mag
우주	우주/ncn
공간	공간/ncn
어디쯤에	어디/npd+쯤/xsn+에/jca
있었다면	있/paa+었/ep+다/ef+면/ecs
당나귀가	당나귀/ncn+가/jcs
아무리	아무리/mag
애써도	애/ncn+쓰/pvg+어도/ecs
수레를	수레/ncn+를/jco
끄는	끌/pvg+는/etm
일은	일/ncn+은/jxc
불가능할거예요	불/xp+가능/ncps+하/xsm+ㄹ/etm+거/nbn+이/jp+어/ef
불가능할거예요	요/jxf
.	./sf

당나귀가	당나귀/ncn+가/jcs
지면을	지면/ncn+을/jco
차면	차/pvg+면/ecs
,	,/sp
지구는	지구/ncn+는/jxc
