<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
일정한	일정/ncps+하/xsm+ㄴ/etm
속력을	속력/ncn+을/jco
유지하며	유지/ncpa+하/xsv+며/ecs
,	,/sp
움직이면	움직이/pvg+면/ecs
당신의	당신/npp+의/jcm
몸이	몸/ncn+이/jcs
움직이고	움직이/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
그리고	그리고/maj
그	그/mmd
상자	상자/ncn
안에서	안/ncn+에서/jca
일어나는	일어나/pvg+는/etm
모든	모든/mma
일들은	일/ncpa+들/xsn+은/jxc
당신이	당신/npp+이/jcs
정지해	정지/ncpa+하/xsv+어/ecx
있을	있/px+을/etm
때의	때/ncn+의/jcm
것과	것/nbn+과/jct
똑같은	똑같/paa+은/etm
일로	일/ncn+로/jca
보일	보이/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것이	이것/npd+이/jcs
갈릴레오가	갈릴레오/nq+가/jcs
주장한	주장/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
좀	좀/mag
더	더/mag
나아가	나아가/pvg+아/ecs
상자의	상자/ncn+의/jcm
창문을	창문/ncn+을/jco
열고	열/pvg+고/ecs
밖을	밖/ncn+을/jco
보았을	보/pvg+았/ep+을/jco
때	때/ncn
똑같은	똑같/paa+은/etm
조건으로	조건/ncn+으로/jca
윤동하고	윤동/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
다른	다르/paa+ㄴ/etm
상자를	상자/ncn+를/jco
보았다면	보/pvg+았/ep+다면/ecs
당신은	당신/npp+은/jxc
그	그/mmd
상자가	상자/ncn+가/jcs
당신에게	당신/npp+에게/jcs
다가오는지	다가오/pvg+는지/ecs
아니면	아니/paa+면/ecs
당신이	당신/npp+이/jcs
그	그/mmd
상자에	상자/ncn+에/jca
다가가고	다가가/pvg+고/ecx
있는	있/px+는/etm
지를	지/nbn+를/jco
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
단지	단지/mag
당신이	당신/npp+이/jcs
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것은	것/nbn+은/jxc
두	두/nnc
상자	상자/ncn
사이에	사이/ncn+에/jca
상대	상대/ncn
운동만이	운동/ncn+만/jxc+이/jcs
있다는	있/paa+다는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
결론적으로	결론/ncpa+적/xsn+으로/jca
,	,/sp
모든	모든/mma
매끄러운	매끄럽/paa+ㄴ/etm
직선	직선/ncn
운동은	운동/ncn+은/jxc
상대적이라는	상대/ncpa+적/xsn+이/jp+라/ef+는/etm
것이	것/nbn+이/jcs
갈릴레오	갈릴레오/nq
주장의	주장/ncn+의/jcm
핵심이다	핵심/ncn+이/jp+다/ef
.	./sf
이	이/mmd
우주는	우주/ncn+는/jxc
서로	서로/mag
다른	다르/paa+ㄴ/etm
속력을	속력/ncn+을/jco
갖고	갖/pvg+고/ecs
움직이는	움직이/pvg+는/etm
작은	작/paa+은/etm
입자들로	입자/ncn+들/xsn+로/jca
가득	가득/mag
차	차/pvg+아/ecx
있다	있/px+다/ef
.	./sf
그렇기	그렇/pad+기/etn
때문에	때문/nbn+에/jca
아무도	아무/npp+도/jxc
입자들의	입자/ncn+들/xsn+의/jcm
절대	절대/ncn
운동을	운동/ncn+을/jco
이야기할	이야기/ncn+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
단지	단지/mag
상대운동만을	상대/ncn+운동/ncn+만/jxc+을/jco
이야기할	이야기/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
,	,/sp
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
이	이/mmd
입자의	입자/ncn+의/jcm
속도가	속도/ncn+가/jcs
시간당	시간/ncn+당/xsn
900	900/nnc
km라고	km/su+라/ef+고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없고	없/paa+고/ecs
,	,/sp
단지	단지/mag
공기에	공기/ncn+에/jca
대해서	대하/pvg+어서/ecs
시간당	시간/ncn+당/xsn
900	900/nnc
km의	km/su+의/jcm
속력을	속력/ncn+을/jco
갖는다고	갖/pvg+는다/ef+고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
있다	있/paa+다/ef
.	./sf
모든	모든/mma
것이	것/nbn+이/jcs
논리적이고	논리/ncn+적/xsn+이/jp+고/ecs
운동에	운동/ncn+에/jca
대한	대하/pvg+ㄴ/etm
모든	모든/mma
문제가	문제/ncn+가/jcs
해결된	해결/ncpa+되/xsv+ㄴ/etm
것	것/nbn
같았다	같/paa+았/ep+다/ef
.	./sf
그러나	그러나/maj
빛에	빛/ncn+에/jca
대한	대하/pvg+ㄴ/etm
매우	매우/mag
날카로운	날카롭/paa+ㄴ/etm
통찰력을	통찰/ncn+력/xsn+을/jco
지녔던	지니/pvg+었/ep+던/etm
프랜시스그리말디라는	프랜시스그리말디/nq+라/ef+는/etm
화가에	화가/ncn+에/jca
의해	의하/pvg+어/ecs
빛에	빛/ncn+에/jca
대한	대하/pvg+ㄴ/etm
의구심들이	의구/ncn+심/xsn+들/xsn+이/jcs
제기되기	제기/ncpa+되/xsv+기/etn
시작하였다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
그런데	그런데/maj
이	이/mmd
프랜시스그리말디는	프랜시스그리말디/nq+는/jxc
갈릴레오가	갈릴레오/nq+가/jcs
많은	많/paa+은/etm
어려움을	어렵/pvg+ㅁ/etn+을/jco
받았던	받/pvg+았/ep+던/etm
두	두/nnc
교황에	교황/ncn+에/jca
의해	의하/pvg+어/ecs
정식으로	정식/ncn+으로/jca
고용되었던	고용/ncpa+되/xsv+었/ep+던/etm
화가이다	화가/ncn+이/jp+다/ef
.	./sf
빛	빛/ncn
그리말디는	그리말디/nq+는/jxc
불투명한	불/xp+투명/ncps+하/xsm+ㄴ/etm
물체의	물체/ncn+의/jcm
그림자	그림자/ncn
안과	안/ncn+과/jcj
주변에	주변/ncn+에/jca
여러	여러/mma
개의	개/nbu+의/jcm
띠를	띠/ncn+를/jco
발견할	발견/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf
그	그/mmd
당시에는	당시/ncn+에/jca+는/jxc
빛이라는	빛/ncn+이/jp+라/ef+는/etm
것은	것/nbn+은/jxc
작은	작/paa+은/etm
입자들이	입자/ncn+들/xsn+이/jcs
비처럼	비/ncn+처럼/jca
내리는	내리/pvg+는/etm
것이라	것/nbn+이/jp+라/ecs
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
생각은	생각/ncpa+은/jxc
갈릴레오가	갈릴레오/nq+가/jct
갖고	갖/pvg+고/ecx
있던	있/px+던/etm
입자들로	입자/ncn+들/xsn+로/jca
이	이/mmd
우주가	우주/ncn+가/jcs
채워져	채우/pvg+어/ecx+지/px+어/ecx
있다는	있/px+다/ef+는/etm
생각과	생각/ncn+과/jcj
일치했고	일치/ncpa+하/xsv+었/ep+고/ecs
,	,/sp
또	또/maj
왜	왜/mag
빛이	빛/ncn+이/jcs
직선으로	직선/ncn+으로/jca
날아가서	날/pvg+아/ecx+가/px+서/ecs
물체에	물체/ncn+에/jca
어두운	어둡/paa+ㄴ/etm
윤곽을	윤곽/ncn+을/jco
나타내는	나타내/pvg+는/etm
그림자를	그림자/ncn+를/jco
만드는	만들/pvg+는/etm
지를	지/nbn+를/jco
잘	잘/mag
설명을	설명/ncpa+을/jco
해준다	하/pvg+어/ecx+주/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
이것은	이것/npd+은/jxc
그리말디가	그리말디/nq+가/jcs
관찰한	관찰/ncpa+하/xsv+ㄴ/etm
그림자의	그림자/ncn+의/jcm
띠를	띠/ncn+를/jco
주진	주/pvg+어/ecx+지/px+ㄴ/etm
못한다	못하/px+ㄴ다/ef
.	./sf
이	이/mmd
화가는	화가/ncn+는/jxc
빛이라는	빛/ncn+이/jp+라/ef+는/etm
것은	것/nbn+은/jxc
액체와	액체/ncn+와/jct
같은	같/paa+은/etm
것으로	것/nbn+으로/jca
물체의	물체/ncn+의/jcm
뒤와	뒤/ncn+와/jcj
주위를	주위/ncn+를/jco
흐르기도	흐르/pvg+기/etn+도/jxc
한다	하/px+ㄴ다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
띠라는	띠/ncn+라/ecs+는/etm
것은	것/nbn+은/jxc
빠른	빠르/paa+ㄴ/etm
물살	물살/ncn
속에	속/ncn+에/jca
위치한	위치/ncpa+하/xsv+ㄴ/etm
돌의	돌/ncn+의/jcm
가장자리로부터	가장자리/ncn+로/jca+부터/jxc
잔물결이	잔물결/ncn+이/jcs
생겨나듯	생기/pvg+어/ecx+나/px+듯/ecs
물체의	물체/ncn+의/jcm
가장자리로부터	가장자리/ncn+로/jca+부터/jxc
아래쪽으로	아래/ncn+쪽/nbn+으로/jca
퍼져가는	퍼지/pvg+어/ecx+가/px+는/etm
잔물결에	잔물결/ncn+에/jca
기인한	기인/ncpa+하/xsv+ㄴ/etm
것이라	것/nbn+이/jp+라/ecs
주장하였다	주장/ncpa+하/xsv+었/ep+다/ef
.	./sf
빛에	빛/ncn+에/jca
대한	대하/pvg+ㄴ/etm
이론이	이론/ncn+이/jcs
발전함에	발전/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
빛이	빛/ncn+이/jcs
매질	매질/ncn
속을	속/ncn+을/jco
액체처럼	액체/ncn+처럼/jca
흘러가는	흐르/pvg+어/ecx+가/px+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
매질	매질/ncn
속을	속/ncn+을/jco
진동하며	진동/ncpa+하/xsv+며/ecs
통과한다는	통과/ncpa+하/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
빛을	빛/ncn+을/jco
파동이론으로	파동/ncn+이론/ncn+으로/jca
설명하는	설명/ncpa+하/xsv+는/etm
데서	데/nbn+서/jca
얻어지는	얻/pvg+어/ecx+지/px+는/etm
성과는	성과/ncn+는/jxc
어떻게	어떠하/pad+게/ecs
빛이	빛/ncn+이/jcs
작은	작/paa+은/etm
물체를	물체/ncn+를/jco
돌아	돌/pvg+아/ecs
갈	가/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
지	지/nbn
그리고	그리고/maj
어떻게	어떠하/pad+게/ecs
빛이	빛/ncn+이/jcs
나타나야	나타나/pvg+야/ecx
할	하/px+ㄹ/etm
곳에	곳/ncn+에/jca
나타나지	나타나/pvg+지/ecx
않아도	않/px+아/ecs+도/jxc
되는지를	되/pvg+는지/ecs+를/jxc
이해할	이해/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
(	(/sl
파동의	파동/ncn+의/jcm
상쇄	상쇄/ncn
현상	현상/ncn
).	)/sr+./sf
빛의	빛/ncn+의/jcm
파동이론은	파동/ncn+이론/ncn+은/jxc
회절현상을	회절/ncn+현상/ncn+을/jco
잘	잘/mag
설명해	설명/ncpa+하/xsv+어/ecx
주는데	주/px+는데/ecs
이	이/mmd
현상은	현상/ncn+은/jxc
매우	매우/mag
작은	작/paa+은/etm
구멍을	구멍/ncn+을/jco
통해서	통하/pvg+어서/ecs
밝은	밝/paa+ㄴ/etm
빛을	빛/ncn+을/jco
볼	보/pvg+ㄹ/etm
때	때/ncn
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
이	이/mmd
빛의	빛/ncn+의/jcm
파동성은	파동성/ncn+은/jxc
왜	왜/mag
주전자의	주전자/ncn+의/jcm
주둥이에	주둥이/ncn+에/jca
매우	매우/mag
가까운	가깝/paa+ㄴ/etm
곳에서는	곳/ncn+에서/jca+는/jxc
뿜어	뿜/pvg+어/ecx
나오는	나오/px+는/etm
증기가	증기/ncn+가/jcs
잘	잘/mag
보이지	보이/pvg+지/ecx
않는가도	않/px+는가/ef+도/jxc
설명을	설명/ncpa+을/jco
해준다	하/pvg+어/ecx+주/px+ㄴ다/ef
.	./sf
이	이/mmd
빛의	빛/ncn+의/jcm
파동이론을	파동/ncn+이론/ncn+을/jco
학생들에게	학생/ncn+들/xsn+에게/jca
실험적으로	실험/ncn+적/xsn+으로/jca
보여주기	보이/pvg+어/ecx+주/px+기/etn
위해	위하/pvg+어/ecs
전기적	전기/ncn+적/xsn
장치를	장치/ncpa+를/jco
만들었는데	만들/pvg+었/ep+는데/ecs
,	,/sp
1887	1887/nno
년에	년/nbu+에/jca
헤르쯔	헤르쯔/nq
교수가	교수/ncn+가/jcs
학생들을	학생/ncn+들/xsn+을/jco
위해	위하/pvg+어/ecs
만든	만들/pvg+ㄴ/etm
이	이/mmd
장치는	장치/ncpa+는/jxc
최초의	최초/ncn+의/jcm
라디오파를	라디오/ncn+파/xsn+를/jco
만든	만들/pvg+ㄴ/etm
장치가	장치/ncpa+가/jcc
되었다	되/pvg+었/ep+다/ef
.	./sf
에테르의	에테르/ncn+의/jcm
시절	시절/ncn
만약	만약/ncn
물이	물/ncn+이/jcs
없다면	없/paa+다면/ecs
수면파를	수면파/ncn+를/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
없고	없/paa+고/ecc
또한	또한/maj
진공	진공/ncn
속에서는	속/ncn+에서/jca+는/jxc
음파를	음파/ncn+를/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
20	20/nno
세기로	세기/nbu+로/jca
넘어오기	넘/pvg+어/ecx+오/px+기/etn
전에	전/ncn+에/jca
빛의	빛/ncn+의/jcm
파동이론을	파동/ncn+이론/ncn+을/jco
진지하게	진지/ncps+하/xsm+게/ecs
받아들였다면	받/pvg+아/ecx+들이/px+었/ep+다면/ecs
태양으로부터	태양/ncn+으로/jxc+부터/jca
나오는	나오/pvg+는/etm
태양	태양/ncn
빛이	빛/ncn+이/jcs
지구에	지구/ncn+에/jca
도달하기	도달/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
지구와	지구/ncn+와/jcj
태양	태양/ncn
사이의	사이/ncn+의/jcm
빈	비/pvg+ㄴ/etm
공간에	공간/ncn+에/jca
어떤	어떤/mmd
매질이	매질/ncn+이/jcs
있어야만	있/paa+어야/ecx+만/jxc
했다	하/px+었/ep+다/ef
.	./sf
그래서	그래서/maj
태양으로부터	태양/ncn+으로/jca+부터/jxc
오는	오/pvg+는/etm
빛을	빛/ncn+을/jco
다시	다시/mag
지구에	지구/ncn+에/jca
재발사시켜야	재발사/ncpa+시키/xsv+어야/ecx
한다고	하/px+ㄴ다고/ecs
생각했고	생각/ncpa+하/xsv+었/ep+고/ecc
그	그/mmd
매질이	매질/ncn+이/jcs
바로	바로/mag
에테르라고	에테르/ncn+라고/jca
여겨졌다	여기/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
이	이/mmd
이름은	이름/ncn+은/jxc
사물의	사물/ncn+의/jcm
가장자리에	가장자리/ncn+에/jca
있는	있/paa+는/etm
어떤	어떤/mmd
것을	것/nbn+을/jco
설명하기	설명/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
데서	데/nbn+서/jca
유래한	유래/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
빛이	빛/ncn+이/jcs
에테르의	에테르/ncn+의/jcm
파동이라면	파동/ncn+이/jcs+라면/jxc
X-ray도	X-ray/f+도/jxc
라디오파도	라디오/ncn+파/xsn+도/jxc
이	이/mmd
에테르의	에테르/ncn+의/jcm
파동일	파동/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
그게	그것/npd+이/jcs
사실이라면	사실/ncn+이/jp+라면/jxc
이	이/mmd
에테르는	에테르/ncn+는/jxc
빈	비/pvg+ㄴ/etm
공간뿐만	공간/ncn+뿐/xsn+만/jxc
아니라	아니/paa+라/ecs
사물의	사물/ncn+의/jcm
속을	속/ncn+을/jco
뚫고	뚫/pvg+고/ecc
지나갈	지나가/pvg+ㄹ/etm
수	수/nbn
있어야	있/paa+어야/ecx
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
에테르는	에테르/ncn+는/jxc
빛뿐만	빛/ncn+뿐/xsn+만/jxc
아니라	아니/paa+라/ecs
중력과	중력/ncn+과/jcj
물질	물질/ncn
자체도	자체/ncn+도/jxc
잘	잘/mag
설명해주는	설명/ncpa+하/xsv+어/ecx+주/px+는/etm
아주	아주/mag
훌륭한	훌륭/ncps+하/xsm+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
중력이란	중력/ncn+이/jp+란/jxc
에테르의	에테르/ncn+의/jcm
압력차에	압력차/ncn+에/jca
기인한다고	기인/ncpa+하/xsv+ㄴ다고/ecs
볼	보/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
,	,/sp
무거운	무겁/paa+ㄴ/etm
물체	물체/ncn
근처에서	근처/ncn+에서/jca
에테르의	에테르/ncn+의/jcm
압력은	압력/ncn+은/jxc
먼	멀/paa+ㄴ/etm
곳의	곳/ncn+의/jcm
압력보다	압력/ncn+보다/jca
낮다고	낮/paa+다고/ecs
여겨졌다	여기/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
예로	예/ncn+로/jca
지구를	지구/ncn+를/jco
향한	향하/pvg+ㄴ/etm
달의	달/ncn+의/jcm
면에서는	면/ncn+에서/jca+는/jxc
에테르의	에테르/ncn+의/jcm
압력이	압력/ncn+이/jcs
윗면의	윗면/ncn+의/jcm
압력보다	압력/ncn+보다/jca
낮기	낮/paa+기/etn
때문에	때문/nbn+에/jca
달이	달/ncn+이/jcs
지구에	지구/ncn+에/jca
끌리는	끌리/pvg+는/etm
힘을	힘/ncn+을/jco
얻게	얻/pvg+게/ecx
되었고	되/px+었/ep+고/ecc
,	,/sp
마찬가지로	마찬가지/ncn+로/jca
달도	달/ncn+도/jxc
지구에	지구/ncn+에/jca
힘을	힘/ncn+을/jco
작용시킨다	작용/ncpa+시키/xsv+ㄴ다/ef
.	./sf
원자는	원자/ncn+는/jxc
에테르	에테르/ncn
안의	안/ncn+의/jcm
작은	작/paa+ㄴ/etm
소용돌이로	소용돌이/ncn+로/jca
여겨졌고	여기/pvg+어/ecx+지/px+었/ep+고/ecc
또한	또한/maj
이	이/mmd
원자는	원자/ncn+는/jxc
회전하고	회전/ncpa+하/xsv+고/ecx
있고	있/px+고/ecc
초유체처럼	초유체/ncn+처럼/jca
마찰이	마찰/ncpa+이/jcs
없는	없/paa+는/etm
에테르	에테르/ncn
속에서	속/ncn+에서/jca
영원한	영원/ncps+하/xsm+ㄴ/etm
원자결합을	원자/ncn+결합/ncpa+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
있다	있/paa+다/ef
.	./sf
만약	만약/mag
원자를	원자/ncn+를/jco
부숴뜨릴	부숴뜨리/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다면/ecs
이	이/mmd
원자는	원자/ncn+는/jxc
회전에너지를	회전/ncpa+에너지/ncn+를/jco
방출할	방출/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이렇듯	이렇/pad+듯/ecs
19	19/nno
세기의	세기/nbu+의/jcm
에테르	에테르/ncn
이론은	이론/ncn+은/jxc
이미	이미/mag
원자가	원자/ncn+가/jcs
부숴지면	부수/pvg+어/ecx+지/px+면/ecs
에너지가	에너지/ncn+가/jcs
방출될	방출/ncpa+되/xsv+ㄹ/etm
것을	것/nbn+을/jco
기대하고	기대/ncpa+하/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
이	이/mmd
에테르는	에테르/ncn+는/jxc
어떤	어떤/mmd
철학적인	철학/ncn+적/xsn+이/jp+ㄴ/etm
넌센스가	넌센스/ncn+가/jcc
아니라	아니/paa+라/ecs
,	,/sp
많은	많/paa+ㄴ/etm
광학적인	광학/ncn+적/xsn+이/jp+ㄴ/etm
현상들을	현상/ncn+들/xsn+을/jco
설명하는	설명/ncpa+하/xsv+는/etm
실제의	실제/ncn+의/jcm
모델이었고	모델/ncn+이/jp+었/ep+고/ecc
그	그/mmd
광학적인	광학/ncn+적/xsn+이/jp+ㄴ/etm
현상들인	현상/ncn+들/xsn+이/jp+ㄴ/etm
편과	편과/ncpa
,	,/sp
