<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0188.txt 
 kaist_corpus_96_explanation_pos_mh2-0188.txt 

최준식  
1993  
민족사  
151.7  
181.11  
  
  
  

한국에도	한국/nq+에/jca+도/jxc
,	,/sp
한	한/nnc
세기는	세기/ncn+는/jxc
앞서는	앞서/pvg+는/etm
가르침을	가르치/pvg+ㅁ/etn+을/jco
많이	많/paa+이/xsa
포함시켰다	포함/ncpa+시키/xsv+었/ep+다/ef
.	./sf
정산의	정산/nq+의/jcm
경우는	경우/ncn+는/jxc
대순전경	대순전경/nq
이외에는	이외/ncn+에/jca+는/jxc
다른	다르/paa+ㄴ/etm
믿을	믿/pvg+을/etm
만한	만하/paa+ㄴ/etm
출처가	출처/ncn+가/jcs
없어	없/paa+어/ecs
새로운	새롭/paa+ㄴ/etm
것을	것/nbn+을/jco
포함시키지	포함/ncpa+시키/xsv+지/ecx
못하고	못하/px+고/ecc
,	,/sp
이전의	이전/ncn+의/jcm
책에서	책/ncn+에서/jca
좋은	좋/paa+은/etm
가르침을	가르치/pvg+ㅁ/etn+을/jco
다시	다시/mag
뽑아	뽑/pvg+아/ecs
대폭	대폭/mag
가감	가감/ncn
수정하였다	수정/ncpa+하/xsv+었/ep+다/ef
.	./sf
한편	한편/maj
소태산과	소태산/nq+과/jcj
정산의	정산/nq+의/jcm
경우는	경우/ncn+는/jxc
새로운	새롭/paa+ㄴ/etm
내용들을	내용/ncn+들/xsn+을/jco
많이	많/paa+이/xsa
포함시켰는데	포함/ncpa+시키/xsv+었/ep+는데/ecs
,	,/sp
소태산은	소태산/nq+은/jxc
본래의	본래/ncn+의/jcm
경전에	경전/ncn+에/jca
포함되지	포함/ncpa+되/xsv+지/ecx
않았던	않/px+았/ep+던/etm
내용을	내용/ncn+을/jco
모아	모으/pvg+아/ecs
책으로	책/ncn+으로/jca
낸	내/pvg+ㄴ/etm
대종경선외록	대종경선외록/nq
(	(/sl
大宗經選外錄	大宗經選外錄/ncn
)에서	)/sr+에서/jca
뽑았고	뽑/pvg+았/ep+고/ecc
,	,/sp
정산은	정산/nq+은/jxc
그의	그/npp+의/jcm
사후에	사후/ncn+에/jca
제자들이	제자/ncn+들/xsn+이/jcs
집필한	집필/ncpa+하/xsv+ㄴ/etm
한울안_한_이치에라는	nq[한울안/ncn+_/sd+한/nnc+_/sd+이치/ncn+에/jca]nq+라/ef+는/etm
그의	그/npp+의/jcm
어록에서	어록/ncn+에서/jca
적절한	적절/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
다시	다시/mag
모았다	모/pvg+았/ep+다/ef
.	./sf
따라서	따라서/maj
어떤	어떤/mmd
경우가	경우/ncn+가/jcs
되든	되/pvg+든/ecs
이	이/mmd
책의	책/ncn+의/jcm
내용은	내용/ncn+은/jxc
그	그/mmd
동안	동안/ncn
필자가	필자/ncn+가/jcs
이	이/mmd
주제와	주제/ncn+와/jct
연관해서	연관/ncpa+하/xsv+어서/ecs
학교에서	학교/ncn+에서/jca
가르치고	가르치/pvg+고/ecc
연구하면서	연구/ncpa+하/xsv+면서/ecc
찾아	찾/pvg+아/ecx
내었던	내/px+었/ep+던/etm
,	,/sp
나름대로는	나름/nbn+대로/jca+는/jxc
새로운	새롭/paa+ㄴ/etm
내용들을	내용/ncn+들/xsn+을/jco
해설	해설/ncn
형식으로	형식/ncn+으로/jca
각	각/mma
본문에	본문/ncn+에/jca
달아	달/pvg+아/ecx
놓았기	놓/px+았/ep+기/etn
때문에	때문/nbn+에/jca
,	,/sp
독자들은	독자/ncn+들/xsn+은/jxc
지난번	지나/pvg+ㄴ/etm+번/nbn
한국의	한국/nq+의/jcm
스승의	스승/ncn+의/jcm
재탕이	재탕/ncn+이/jcc
아니냐	아니/paa+냐/ef
하는	하/pvg+는/etm
생각은	생각/ncn+은/jxc
안	안/mag
가져도	가지/pvg+어도/ecs
좋을	좋/paa+을/etm
성싶다	성싶/paa+다/ef
.	./sf
다만	다만/mag
해설이	해설/ncn+이/jcs
쓸데없이	쓸데없이/mag
길어	길/paa+어/ecs
독자들의	독자/ncn+들/xsn+의/jcm
이해를	이해/ncn+를/jco
오히려	오히려/mag
방해하지	방해/ncpa+하/xsv+지/ecx
않을까	않/px+을까/ef
조심스럽고	조심/ncpa+스럽/xsm+고/ecc
,	,/sp
필자의	필자/ncn+의/jcm
해석이	해석/ncn+이/jcs
각	각/mma
교단의	교단/ncn+의/jcm
정통적인	정통/ncn+적/xsn+이/jp+ㄴ/etm
해석과	해석/ncn+과/jct
달라	다르/paa+아/ecs
무리를	무리/ncn+를/jco
자아낼까	자아내/pvg+ㄹ까/ef
두려울	두렵/paa+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
한국의	한국/nq+의/jcm
스승을	스승/ncn+을/jco
세상에	세상/ncn+에/jca
내놓고	내놓/pvg+고/ecx
받았던	받/pvg+았/ep+던/etm
지적	지적/ncn
가운데	가운데/ncn
하나는	하나/ncn+는/jxc
너무	너무/mag
국수적이지	국수/ncn+적/xsn+이/jp+지/ecs
않느냐는	않/px+느냐/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
극단적으로	극단/ncn+적/xsn+으로/jca
표현하면	표현/ncpa+하/xsv+면/ecs
,	,/sp
망해	망하/pvg+어/ecx
가는	가/px+는/etm
조선의	조선/nq+의/jcm
촌에서	촌/ncn+에서/jca
태어난	태어나/pvg+ㄴ/etm
보잘것없는	보잘것없/paa+는/etm
사람들의	사람/ncn+들/xsn+의/jcm
가르침이	가르치/pvg+ㅁ/etn+이/jcs
뭐가	무어/npd+가/jcs
그리	그리/mad
대단하다고	대단하/paa+다/ef+고/ecs
그렇게	그렇게/mag
호들갑을	호들갑/ncn+을/jco
떨고	떨/pvg+고/ecc
야단이냐	야단/ncn+이/jp+냐/ef
하는	하/pvg+는/etm
투였다	투/ncn+이/jp+었/ep+다/ef
.	./sf
그러나	그러나/maj
필자가	필자/ncn+가/jcs
이	이/mmd
분들을	분/nbn+들/xsn+을/jco
우리나라의	우리/npp+나라/ncn+의/jcm
위대한	위대/ncps+하/xsm+ㄴ/etm
스승으로	스승/ncn+으로/jca
꼽고	꼽/pvg+고/ecc
,	,/sp
우리	우리/npp
민족에게	민족/ncn+에게/jca
가장	가장/mag
알맞은	알맞/paa+은/etm
가르침을	가르치/pvg+ㅁ/etn+을/jco
주신	주/pvg+시/ep+ㄴ/etm
분들이라고	분/nbn+들/xsn+이/jp+라고/ecs
생각하게	생각/ncpa+하/xsv+게/ecx
된	되/px+ㄴ/etm
것은	것/nbn+은/jxc
전혀	전혀/mag
즉흥적이거나	즉흥/ncn+적/xsn+이/jp+거나/ecc
,	,/sp
어떤	어떤/mmd
이해	이해/ncn
관계가	관계/ncn+가/jcs
얽혀	얽히/pvg+어/ecx
있기	있/px+기/etn
때문이	때문/nbn+이/jcc
아니다	아니/paa+다/ef
.	./sf
그것은	그것/npd+은/jxc
오랜	오랜/mma
시간	시간/ncn
나름대로의	나름/nbn+대로/jca+의/jcm
연구와	연구/ncn+와/jcj
생각	생각/ncn
끝에	끝/ncn+에/jca
나왔다는	나오/pvg+았/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
이	이/mmd
기회를	기회/ncn+를/jco
통해	통하/pvg+어/ecx
밝히고	밝히/pvg+고/ecx
싶다	싶/px+다/ef
.	./sf
필자는	필자/ncn+는/jxc
종교학이라는	종교/ncn+학/xsn+이/jp+라/ef+는/etm
학문을	학문/ncn+을/jco
시작하고	시작/ncpa+하/xsv+고/ecc
지난	지나/pvg+ㄴ/etm
10여	10/nnc+여/xsn
년	년/nbu
동안	동안/ncn
종교학	종교/ncn+학/xsn
자체나	자체/ncn+나/jcj
세계	세계/ncn
종교에	종교/ncn+에/jca
대해	대하/pvg+어/ecx
공부하고	공부/ncpa+하/xsv+고/ecc
가르쳐	가르치/pvg+어/ecx
왔지만	오/px+았/ep+지만/ecs
,	,/sp
그	그/mmd
외에도	외/ncn+에/jca+도/jxc
항상	항상/mag
관심을	관심/ncn+을/jco
갖고	갖/pvg+고/ecx
있었던	있/px+었/ep+던/etm
문제는	문제/ncn+는/jxc
마치	마치/mag
어버이를	어버이/ncn+를/jco
잃은	잃/pvg+은/etm
것처럼	것/nbn+처럼/jca
헤매기만	헤매/pvg+기/etn+만/jxc
하는	하/pvg+는/etm
우리	우리/npp
민족은	민족/ncn+은/jxc
과연	과연/mag
어떤	어떤/mmd
종교적	종교/ncn+적/xsn
가르침에	가르치/pvg+ㅁ/etn+에/jca
의지해	의지/ncpa+하/xsv+어/ecx
새로운	새롭/paa+ㄴ/etm
가치관을	가치/ncn+관/xsn+을/jco
세울	세우/pvg+ㄹ/etm
수	수/nbn
있는가	있/px+는가/ef
하는	하/pvg+는/etm
점이었다	점/ncn+이/jp+었/ep+다/ef
.	./sf
어느	어느/mmd
나라의	나라/ncn+의/jcm
국민이든	국민/ncn+이/jp+든/jxc
그	그/mmd
나라가	나라/ncn+가/jcs
잘되려면	잘되/pvg+려면/ecs
중심	중심/ncn
사상을	사상/ncn+을/jco
갖고	갖/pvg+고/ecx
있어야	있/px+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그런데	그런데/maj
우리나라는	우리/npp+나라/ncn+는/jxc
이것이	이것/npd+이/jcs
완전히	완전히/mag
분열된	분열/ncpa+되/xsv+ㄴ/etm
상태에	상태/ncn+에/jca
있다	있/px+다/ef
.	./sf
1600	1600/nnc
년	년/nbu
이상의	이상/ncn+의/jcm
찬란한	찬란/ncps+하/xsm+ㄴ/etm
역사에도	역사/ncn+에/jca+도/jxc
불구하고	불구/ncn+하/xsm+고/ecx
극보수화의	극보수/ncn+화/xsn+의/jcm
길에서	길/ncn+에서/jca
크게	크/paa+게/ecx
벗어나지	벗어나/pvg+지/ecx
못하고	못하/px+고/ecx
있는	있/px+는/etm
우리의	우리/npp+의/jcm
대표적	대표/ncn+적/xsn
전통	전통/ncn
종교인	종교/ncn+이/jp+ㄴ/etm
불교와	불교/nq+와/jcj
유교	유교/nq
,	,/sp
1	1/nnc
2	2/nnc
백	백/ncn
년의	년/nbu+의/jcm
짧은	짧/paa+은/etm
선교	선교/ncn
역사에도	역사/ncn+에/jca+도/jxc
불구하고	불구/ncn+하/xsm+고/ecx
큰	크/paa+ㄴ/etm
신장세를	신장/ncn+세/xsn+를/jco
보이고	보이/pvg+고/ecx
있지만	있/px+지만/ecs
아직도	아직도/mag
우리의	우리/npp+의/jcm
것이라고	것/nbn+이/jp+라/ef+고/ecs
하기에는	하/pvg+기/etn+에/jca+는/jxc
무리가	무리/ncn+가/jcs
많은	많/paa+은/etm
그리스도교	그리스도/nq+교/xsn
,	,/sp
일부	일부/ncn
파행적인	파행/ncn+적/xsn+이/jp+ㄴ/etm
신종교들	신/xp+종교/ncn+들/xsn
,	,/sp
가장	가장/mag
강한	강하/paa+ㄴ/etm
종교적	종교/ncn+적/xsn
세를	세/ncn+를/jco
갖고	갖/pvg+고/ecx
있지만	있/px+지만/ecs
음적인	음적/ncn+이/jp+ㄴ/etm
힘이라	힘/ncn+이/jp+라/ecs
국민을	국민/ncn+을/jco
적극적으로	적극/ncn+적/xsn+으로/jca
끌고	끌/pvg+고/ecx
나가지	나가/pvg+지/ecx
못하는	못하/px+는/etm
무교	무교/ncn
(	(/sl
巫敎	巫敎/ncn
)	)/sr
등등	등등/nbn
.	./sf
이제	이제/mag
그	그/mmd
어느	어느/mmd
것도	것/nbn+도/jxc
우리	우리/npp
국민의	국민/ncn+의/jcm
정신적	정신/ncn+적/xsn
가치관을	가치/ncn+관/xsn+을/jco
제대로	제대로/mag
정립시켜	정립/ncpa+시키/xsv+어/ecx
줄	주/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
다양하면서도	다양/ncps+하/xsm+면서/ecs+도/jxc
나름대로의	나름/nbn+대로/jca+의/jcm
통일성이	통일/ncn+성/xsn+이/jcs
있는	있/paa+는/etm
한국적인	한국/nq+적/xsn+이/jp+ㄴ/etm
종교적	종교/ncn+적/xsn
가르침은	가르치/pvg+ㅁ/etn+은/jxc
없는	없/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
필자는	필자/ncn+는/jxc
이를	이/npd+를/jco
위해	위하/pvg+어/ecs
단군신앙이	단군/nq+신앙/ncn+이/jcs
우리의	우리/npp+의/jcm
중심	중심/ncn
사상이	사상/ncn+이/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있을까도	있/paa+을까/ef+도/jxc
생각해	생각/ncpa+하/xsv+어/ecx
보았지만	보/px+았/ep+지만/ecs
,	,/sp
별	별/mag
신통한	신통/ncps+하/xsm+ㄴ/etm
답을	답/ncn+을/jco
얻지	얻/pvg+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf
우선	우선/mag
단군신화를	단군/nq+신화/ncn+를/jco
신화가	신화/ncn+가/jcc
아닌	아니/paa+ㄴ/etm
역사로	역사/ncn+로/jca
보는	보/pvg+는/etm
일부	일부/ncn
재야	재야/ncn
사학자들의	사학/ncn+자/xsn+들/xsn+의/jcm
시각은	시각/ncn+은/jxc
바람직하지	바람직하/paa+지/ecx
못하다고	못하/px+다/ef+고/ecs
생각한다	생각/ncpa+하/xsv+ㄴ다/ef
.	./sf
그것은	그것/npd+은/jxc
해석의	해석/ncn+의/jcm
통일을	통일/ncn+을/jco
가져올	가지/pvg+어/ecx+오/px+ㄹ/etm
수	수/nbn
없기	없/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
가령	가령/mag
단군신화를	단군/nq+신화/ncn+를/jco
역사적	역사/ncn+적/xsn
사실로	사실/ncn+로/jca
생각하여	생각/ncpa+하/xsv+어/ecs
단군조선이	단군/nq+조선/nq+이/jcs
기원전	기원/ncn+전/ncn
수천	수천/nnc
년	년/nbu
전부터	전/ncn+부터/jxc
아주	아주/mag
높은	높/paa+은/etm
문명을	문명/ncn+을/jco
누리면서	누리/pvg+면서/ecc
존재했다고	존재/ncpa+하/xsv+었/ep+다/ef+고/ecs
주장한다면	주장/ncpa+하/xsv+ㄴ다/ef+면/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
나라의	나라/ncn+의/jcm
개국신화도	개국/ncn+신화/ncn+도/jxc
그렇게	그렇게/mag
해석해야	해석/ncpa+하/xsv+어야/ecs
할	하/px+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
결국	결국/mag
인류의	인류/ncn+의/jcm
역사는	역사/ncn+는/jxc
엉망이	엉망/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
바로	바로/mag
이웃	이웃/ncn
나라인	나라/ncn+이/jp+ㄴ/etm
일본이	일본/nq+이/jcs
그들의	그/npp+들/xsn+의/jcm
개국신화를	개국/ncn+신화/ncn+를/jco
문자	문자/ncn
그대로	그대로/mag
역사적	역사/ncn+적/xsn
사실로	사실/ncn+로/jca
해석해	해석/ncpa+하/xsv+어/ecs
대동아공영권이니	대동아공영권/ncn+이니/jcj
하는	하/pvg+는/etm
터무니없는	터무니없/paa+는/etm
주장을	주장/ncn+을/jco
했던	하/pvg+었/ep+던/etm
것이	것/nbn+이/jcs
그	그/mmd
좋은	좋/paa+은/etm
예이다	예/ncn+이/jp+다/ef
.	./sf
그로	그/npd+로/jca
인해	인하/pvg+어/ecx
가장	가장/mag
막심하게	막심/ncps+하/xsm+게/ecx
피해를	피해/ncn+를/jco
받았던	받/pvg+았/ep+던/etm
국가가	국가/ncn+가/jcs
바로	바로/mag
우리나라인데	우리/npp+나라/ncn+이/jp+ㄴ데/ecs
,	,/sp
왜	왜/mag
그런	그런/mmd
전철을	전철/ncn+을/jco
밟으려	밟/pvg+으려/ecs
하는지	하/pvg+는지/ecs
모르겠다	모르/pvg+겠/ep+다/ef
.	./sf
그리고	그리고/maj
위와	위/ncn+와/jct
같은	같/paa+은/etm
식으로	식/ncn+으로/jca
단군신화를	단군/nq+신화/ncn+를/jco
말하는	말하/pvg+는/etm
규원사화나	규원사화/nq+나/jcj
환단고기	환단고기/nq
등의	등/nbn+의/jcm
책들이	책/ncn+들/xsn+이/jcs
대개	대개/mag
19	19/nnc
세기	세기/ncn
말경에	말/ncn+경/xsn+에/jca
씌어진	씌/pvg+어/ecx+지/px+ㄴ/etm
위서라는	위서/ncn+라/ef+는/etm
것이	것/nbn+이/jcs
서서히	서서히/mag
밝혀지고	밝히/pvg+어/ecx+지/px+고/ecx
있는	있/px+는/etm
마당에	마당/ncn+에/jca
,	,/sp
그런	그런/mmd
설이	설/ncn+이/jcs
나오게	나오/pvg+게/ecx
된	되/px+ㄴ/etm
역사적	역사/ncn+적/xsn
배경을	배경/ncn+을/jco
이해하는	이해/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
좋지만	좋/paa+지만/ecs
,	,/sp
그	그/mmd
진실성	진실/ncn+성/xsn
여부를	여부/ncn+를/jco
생각지	생각/pvg+지/ecx
않고	않/px+고/ecc
무조건	무조건/mag
사실로	사실/ncn+로/jca
믿어	믿/pvg+어/ecx
버리려는	버리/px+려/ecs+는/etm
것은	것/nbn+은/jxc
현명치	현명/ncn+치/xsa
못하다	못하/paa+다/ef
.	./sf
더욱이	더욱이/mag
이런	이런/mmd
설들은	설/ncn+들/xsn+은/jxc
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
역사학회에	역사/ncn+학회/ncn+에/jca
나가서는	나가/pvg+아/ecx+서/ep+는/jxc
한	한/nnc
줄도	줄/nbn+도/jxc
읽을	읽/pvg+을/etm
수	수/nbn
없을	없/paa+을/etm
정도로	정도/ncn+로/jca
논리적인	논리/ncn+적/xsn+이/jp+ㄴ/etm
비약이나	비약/ncn+이나/jcj
아전인수격인	아전인수/ncn+격/xsn+이/jp+ㄴ/etm
해석이	해석/ncn+이/jcs
많은	많/paa+은/etm
것으로	것/nbn+으로/jca
생각된다	생각/ncn+되/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
단군신화는	단군/nq+신화/ncn+는/jxc
꼭	꼭/mag
그렇게	그렇게/mag
해석하지	해석/ncpa+하/xsv+지/ecx
않아도	않/px+아도/ecs
