<tdmsfile>
<tdmsfile>
kbs1.hwp
여러분	여러분/npp
만납니다.	만나/pvg+ㅂ니다/ef+./sf
구룡폭포	구룡폭포/nq
바로	바로/mag
위로는	위/ncn+로/jca+는/jxc
8개의	8/nnc+개/nbu+의/jcm
맑고	맑/paa+고/ecc
푸른	푸르/paa+ㄴ/etm
못이	못/ncn+이/jcs
구슬을	구슬/ncn+을/jco
꿴	꿰/pvg+ㄴ/etm
듯	듯/nbn
잇따라	잇따르/pvg+아/ecs
펼쳐진	펼치/pvg+어/ecx+지/px+ㄴ/etm
상팔담이	상팔담/nq+이/jcs
있습니다.	있/paa+습니다/ef+./sf
옥류동과	옥류동/nq+과/jct
쌍벽을	쌍벽/ncn+을/jco
이루는	이루/pvg+는/etm
또	또/mag
다른	다르/paa+ㄴ/etm
외금강의	외금강/nq+의/jcm
백미	백미/ncn
만물상입니다.	만물/ncn+상/xsn+이/jp+ㅂ니다/ef+./sf
귀신의	귀신/ncn+의/jcm
형상을	형상/ncn+을/jco
했다	하/pvg+었/ep+다/ef
해서	하/pvg+어서/ecs
귀면암,	귀면암/nq+,/sp
세명의	세/nnc+명/nbu+의/jcm
신선을	신선/ncn+을/jco
빗댄	빗대/pvg+ㄴ/etm
삼선암,	삼선암/nq+,/sp
갖가지	갖가지/ncn
형상의	형상/ncn+의/jcm
봉우리들이	봉우리/ncn+들/xsn+이/jcs
자연이	자연/ncn+이/jcs
빚어낸	빚/pvg+어/ecs+내/pvg+ㄴ/etm
조각의	조각/ncn+의/jcm
극치를	극치/ncn+를/jco
보여줍니다.	보이/pvg+어/ecx+주/px+ㅂ니다/ef+./sf
내금강의	내금강/nq+의/jcm
백미,	백미/ncn+,/sp
만폭동	만폭동/nq
계곡입니다.	계곡/ncn+이/jp+ㅂ니다/ef+./sf
바위에서	바위/ncn+에서/jca
떨어지는	떨어지/pvg+는/etm
물이	물/ncn+이/jcs
진주알이	진주/ncn+알/ncn+이/jcs
흩어지는	흩어지/pvg+는/etm
듯하다	듯하/px+다/ef
해서	하/pvg+어서/ecs
붙여진	붙이/pvg+어/ecx+지/px+ㄴ/etm
진주담,	진주담/nq+,/sp
사람의	사람/ncn+의/jcm
얼굴을	얼굴/ncn+을/jco
꼭	꼭/mag
닮은	닮/pvg+은/etm
못난	못나/paa+ㄴ/etm
사나이	사나이/ncn
바위,	바위/ncn+,/sp
거북이	거북이/ncn
바위와	바위/ncn+와/jcj
개구리	개구리/ncn
바위	바위/ncn
등	등/nbn
천태만상의	천태만상/ncn+의/jcm
바위가	바위/ncn+가/jcs
금강의	금강/nq+의/jcm
신비를	신비/ncn+를/jco
더해줍니다.	더하/pvg+어/ecx+주/px+ㅂ니다/ef+./sf
그러나	그러나/maj
바위마다	바위/ncn+마다/jxc
김일성.	김일성/nq+./sf
김정일을	김정일/nq+을/jco
찬양하는	찬양/ncpa+하/xsv+는/etm
구호가	구호/ncn+가/jcs
새겨진	새기/pvg+어/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
금강산이라고	금강산/nq+이/jp+라/ef+고/jcr
해서	하/pvg+어서/ecs
예외가	예외/ncn+가/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
글쎄,	글쎄/ii+,/sp
통일이	통일/ncn+이/jcc
된다면	되/pvg+ㄴ다면/ecs
그걸	그거/npd+ㄹ/jco
어떻게	어떻/pad+게/ecs
하나	하/pvg+나/ef
싶은	싶/px+은/etm
생각이	생각/ncn+이/jcs
들기도	들/pvg+기/etn+도/jxc
하고,	하/pvg+고/ecc+,/sp
그	그/mmd
아까운데를	아깝/paa+ㄴ/etm+데/nbn+를/jco
그렇게	그렇/pad+게/ecs
그냥	그냥/mag
훼손해놓아서	훼손/ncpa+하/xsv+어/ecx+놓/px+아서/ecs
참	참/mag
가슴	가슴/ncn
아픕니다.	아프/paa+ㅂ니다/ef+./sf
내금강은	내금강/nq+은/jxc
또	또/mag
유적과	유적/ncn+과/jcj
문화재의	문화/ncn+재/xsn+의/jcm
보고이기도	보고/ncn+이/jp+기/etn+도/jxc
합니다.	하/px+ㅂ니다/ef+./sf
깍아지른	깍/pvg+아/ecs+지르/pvg+ㄴ/etm
절벽의	절벽/ncn+의/jcm
아슬아슬하게	아슬아슬/mag+하/xsm+게/ecs
걸려있는	걸리/pvg+어/ecx+있/px+는/etm
암자	암자/ncn
보덕암,	보덕암/nq+,/sp
7미터	7/nnc+미터/nbu
길이의	길이/ncn+의/jcm
대롱에	대롱/ncn+에/jca
의지한	의지/ncpa+하/xsv+ㄴ/etm
암자는	암자/ncn+는/jxc
자연과	자연/ncn+과/jcj
인공이	인공/ncn+이/jcs
어우러진	어우러지/pvg+ㄴ/etm
조화의	조화/ncn+의/jcm
극치입니다.	극치/ncn+이/jp+ㅂ니다/ef+./sf
청학대와	청학대/nq+와/jcj
금강대	금강대/nq
등	등/nbn
아름다운	아름/ncps+답/xsm+ㄴ/etm
봉우리에	봉우리/ncn+에/jca
둘러싸인	두르/pvg+어/ecs+싸이/pvg+ㄴ/etm
표훈사는	표훈사/nq+는/jxc
반야보전과	반야보전/nq+과/jcj
능팔호,	능팔호/nq+,/sp
명부전	명부전/nq
등	등/nbn
화려하고	화려/ncps+하/xsm+고/ecc
웅장한	웅장/ncps+하/xsm+ㄴ/etm
불교건축물의	불교/ncn+건축/ncn+물/xsn+의/jcm
진수를	진수/ncn+를/jco
보여줍니다.	보이/pvg+어/ecx+주/px+ㅂ니다/ef+./sf
산과	산/ncn+과/jcj
물,	물/ncn+,/sp
숲과	숲/ncn+과/jcj
계곡이	계곡/ncn+이/jcs
절묘하게	절묘/ncps+하/xsm+게/ecs
어우러진	어우러지/pvg+ㄴ/etm
금강산,	금강산/nq+,/sp
저마다	저/npd+마다/jxc
기묘한	기묘/ncps+하/xsm+ㄴ/etm
자태로	자태/ncn+로/jca
자연위의	자연/ncn+위/ncn+의/jcm
극치를	극치/ncn+를/jco
연출하는	연출/ncpa+하/xsv+는/etm
만2천봉을	만/nnc+2천/nnc+봉/ncn+을/jco
바라보노라면	바라보/pvg+노라면/ecs
새삼	새삼/mag
금강산이	금강산/nq+이/jcs
천하제일의	천하/ncn+제일/ncn+의/jcm
명산임을	명산/ncn+이/jp+ㅁ/etn+을/jco
실감합니다.	실감/ncpa+하/xsv+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
임병걸입니다.	임병걸/nq+이/jp+ㅂ니다/ef+./sf
국경	국경/ncn
자유시장	자유/ncn+시장/ncn
계속해서	계속/ncpa+하/xsv+어서/ecs
오늘도	오늘/ncn+도/jxc
미국	미국/nq
비디오	비디오/ncn
공급전문회사인	공급/ncn+전문/ncn+회사/ncn+이/jp+ㄴ/etm
WTN이	WTN/f+이/jcs
촬영한	촬영/ncpa+하/xsv+ㄴ/etm
북한	북한/nq
실상	실상/ncn
한가지	한/nnc+가지/nbu
소개해	소개/ncpa+하/xsv+어/ecx
드립니다.	드리/px+ㅂ니다/ef+./sf
무역특구로	무역/ncn+특구/ncn+로/jca
지정돼있는	지정/ncpa+되/xsv+어/ecx+있/px+는/etm
나진-선봉지역의	나진/nq+-/sd+선봉/nq+지역/ncn+의/jcm
장터는	장터/ncn+는/jxc
북한에서	북한/nq+에서/jca
유일하게	유일/ncps+하/xsm+게/ecs
시장경제논리가	시장/ncn+경제/ncn+논리/ncn+가/jcs
통용되는	통용/ncpa+되/xsv+는/etm
곳으로	곳/ncn+으로/jca
지금	지금/mag
북한사회에	북한/nq+사회/ncn+에/jca
새바람을	새/mma+바람/ncn+을/jco
일으키고	일으키/pvg+고/ecx
있는	있/px+는/etm
이색지대라고	이색/ncn+지대/ncn+라/ef+고/jcr
합니다.	하/pvg+ㅂ니다/ef+./sf
WTN	WTN/f
보도내용을	보도/ncn+내용/ncn+을/jco
이준희	이준희/nq
기자가	기자/ncn+가/jcs
전해	전하/pvg+어/ecx
드립니다.	드리/px+ㅂ니다/ef+./sf
두만강을	두만강/nq+을/jco
국경으로	국경/ncn+으로/jca
중국과	중국/nq+과/jct
마주한	마주/mag+하/xsv+ㄴ/etm
원정리	원정리/nq
자유시장,	자유/ncn+시장/ncn+,/sp
규모는	규모/ncn+는/jxc
작지만	작/paa+지만/ecs
시장특유의	시장/ncn+특유/ncn+의/jcm
시끌벅적함이	시끌벅적/ncps+하/xsm+ㅁ/etn+이/jcs
눈길을	눈길/ncn+을/jco
끕니다.	끌/pvg+ㅂ니다/ef+./sf
수요와	수요/ncn+와/jcj
공급의	공급/ncn+의/jcm
원칙이	원칙/ncn+이/jcs
제대로	제대로/mag
지켜지는	지키/pvg+어/ecx+지/px+는/etm
이	이/mmd
시장에서는	시장/ncn+에서/jca+는/jxc
북한의	북한/nq+의/jcm
다른	다르/paa+ㄴ/etm
곳에서는	곳/ncn+에서/jca+는/jxc
들을	듣/pvg+을/etm
수	수/nbn
없는	없/paa+는/etm
물건	물건/ncn
흥정하는	흥정/ncpa+하/xsv+는/etm
소리가	소리/ncn+가/jcs
요란합니다.	요란/ncps+하/xsm+ㅂ니다/ef+./sf
14개네!	14/nnc+개/nbu+네/ef+!/sf
하나	하나/nnc
더	더/mag
들어갔구만!	들/pvg+어/ecs+가/pvg+았/ep+구만/ef+!/sf
13개인데...	13/nnc+개/nbu+이/jp+ㄴ데/ef+.../se
물건에	물건/ncn+에/jca
흠은	흠/ncn+은/jxc
없는지	없/paa+는지/ecs
꼼꼼히	꼼꼼/ncn+히/xsa
살펴보는	살피/pvg+어/ecs+보/pvg+는/etm
눈매가	눈매/ncn+가/jcs
예사롭지	예사/ncps+롭/xsm+지/ecx
않습니다.	않/px+습니다/ef+./sf
거래는	거래/ncn+는/jxc
주로	주로/mag
중국의	중국/nq+의/jcm
상인들과	상인/ncn+들/xsn+과/jcj
북한	북한/nq
주민들의	주민/ncn+들/xsn+의/jcm
물물거래를	물물/ncn+거래/ncn+를/jco
통해	통하/pvg+어/ecs
이루어집니다.	이루/pvg+어/ecx+지/px+ㅂ니다/ef+./sf
중국	중국/nq
돈이나	돈/ncn+이나/j처
달러도	달러/ncn+도/jxc
통용되지만	통용/ncpa+되/xsv+지만/ecs
현찰이	현찰/ncn+이/jcs
있을	있/paa+을/etm
턱이	턱/nbn+이/jcs
없습니다.	없/paa+습니다/ef+./sf
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
동해바다	동해/nq+바다/ncn
아주	아주/mag
공해현상이	공해/ncn+현상/ncn+이/jcs
없는	없/paa+는/etm
좋은	좋/paa+은/etm
물고기들을	물고기/ncn+들/xsn+을/jco
비롯해서	비롯/ncpa+하/xsv+어서/ecs
도자기라든가	도자기/ncn+라든가/jxc
각종	각종/ncn
여러가지	여러/mma+가지/nbu
귀한	귀하/paa+ㄴ/etm
상품들이	상품/ncn+들/xsn+이/jcs
들어오고,	들/pvg+어/ecs+오/pvg+고/ecc+,/sp
그	그/mmd
다음에	다음/ncn+에/jca
중국측에서는	중국/nq+측/nbn+에서/jca+는/jxc
지금	지금/ncn
현재는	현재/ncn+는/jxc
식량을	식량/ncn+을/jco
기반으로	기반/ncn+으로/jca
해서	하/pvg+어서/ecs
여러가지	여러/mma+가지/nbu
공업품도	공업/ncn+품/xsn+도/jxc
있고...	있/paa+고/ecc+.../se
지난	지나/pvg+ㄴ/etm
6월	6/nno+월/nbu
이	이/mmd
시장이	시장/ncn+이/jcs
열린	열리/pvg+ㄴ/etm
뒤	뒤/ncn
사람들의	사람/ncn+들/xsn+의/jcm
옷차림과	옷/ncn+차림/ncn+과/jcj
걸음걸이마저	걸음걸이/ncn+마저/jxc
달라졌습니다.	다르/pvg+아/ecx+지/px+었/ep+습니다/ef+./sf
돈만	돈/ncn+만/jxc
있으면	있/paa+으면/ecs
필요한	필요/ncps+하/xsm+ㄴ/etm
물건을	물건/ncn+을/jco
살	살/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
옷차림도	옷/ncn+차림/ncn+도/jxc
다양하고	다양/ncps+하/xsm+고/ecc
깨끗해졌으며	깨끗/ncps+하/xsm+어/ecx+지/px+었/ep+으며/ecc
발걸음에도	발걸음/ncn+에/jca+도/jxc
활기가	활기/ncn+가/jcs
느껴집니다.	느끼/pvg+어/ecx+지/px+ㅂ니다/ef+./sf
한달	한/nnc+달/nbu
평균	평균/ncn
2천여명이	2천/nnc+여/xsn+명/nbu+이/jcs
이용하는	이용/ncpa+하/xsv+는/etm
이	이/mmd
시장의	시장/ncn+의/jcm
자유스런	자유/ncps+스럽/xsm+ㄴ/etm
분위기는	분위기/ncn+는/jxc
이	이/mmd
지역에	지역/ncn+에/jca
한정된	한정/ncpa+되/xsv+ㄴ/etm
것이지만	것/nbn+이/jp+지만/ecs
북한	북한/nq
경제개방의	경제/ncn+개방/ncn+의/jcm
의미있는	의미/ncn+있/paa+는/etm
변화로	변화/ncn+로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
이준희입니다.	이준희/nq+이/jp+ㅂ니다/ef+./sf
지난	지나/pvg+ㄴ/etm
8월	8/nno+월/nbu
검출	검출/ncn
다음	다음/ncn
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
o-157	o/f+-/sd+157/nno
파문이	파문/ncn+이/jcs
확산되고	확산/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
가운데	가운데/ncn
또	또/mag
다른	다르/paa+ㄴ/etm
병원성	병원/ncn+성/xsn
대장균인	대장균/ncn+이/jp+ㄴ/etm
o-26균이	o/f+-/sd+26/nno+균/ncn+이/jcs
미국산	미국/ncn+산/xsn
수입	수입/ncn
쇠고기에서	쇠고기/ncn+에서/jca
검출된	검출/ncpa+되/xsv+ㄴ/etm
사실이	사실/ncn+이/jcs
밝혀져서	밝히/pvg+어/ecx+지/px+어서/ecs
충격을	충격/ncn+을/jco
주고	주/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
보건	보건/ncn
당국은	당국/ncn+은/jxc
이	이/mmd
o-26균이	o/f+-/sd+26/nno+균/ncn+이/jcs
검출되자	검출/ncpa+되/xsv+자/ecs
수입	수입/ncn
쇠고기에	쇠고기/ncn+에/jca
대한	대하/pvg+ㄴ/etm
검사를	검사/ncn+를/jco
대폭	대폭/mag
강화하는	강화/ncpa+하/xsv+는/etm
한편,	한편/ncn+,/sp
감염경로를	감염/ncn+경로/ncn+를/jco
계속	계속/mag
추적하고	추적/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
보도에	보도/ncn+에/jca
박진현	박진현/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
식품의약품	nq[식품/ncn+의약/ncn+품/xsn
안전본부는	안전/ncn+본부/ncn]nq+는/jxc
어제	어제/ncn
밤	밤/ncn
국정감사에서	국정/ncn+감사/ncn+에서/jca
시중에	시중/ncn+에/jca
유통중인	유통/ncn+중/nbn+이/jp+ㄴ/etm
미국	미국/nq
텍사스	텍사스/nq
IBP사의	nq[IBP/f+사/xsn]nq+의/jcm
쇠고기로부터	쇠고기/ncn+로/jca+부터/jxc
지난	지나/pvg+ㄴ/etm
8월	8/nno+월/nbu
o-26균을	o/f+-/sd+26/nno+균/ncn+을/jco
발견했다고	발견/ncpa+하/xsv+었/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
정밀	정밀/ncn
역학	역학/ncn
조사를	조사/ncn+를/jco
벌였지만	벌이/pvg+었/ep+지만/ecs
정확한	정확/ncps+하/xsm+ㄴ/etm
감염경로를	감염/ncn+경로/ncn+를/jco
파악하는	파악/ncpa+하/xsv+는/etm
데는	데/nbn+는/jxc
실패했습니다.	실패/ncpa+하/xsv+었/ep+습니다/ef+./sf
수입	수입/ncn
쇠고기에	쇠고기/ncn+에/jca
있었었는지	있/paa+었었/ep+는지/ecs
아니면	아니/paa+면/ecs
유통과정에서	유통/ncn+과정/ncn+에서/jca
고기에	고기/ncn+에/jca
오염에됐는지	오염/ncpa+되/xsv+었/ep+는지/ecs
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
밝히지	밝히/pvg+지/ecx
못했습니다.	못하/px+었/ep+습니다/ef+./sf
여러가지...	여러/mma+가지/nbu+.../se
o-26균은	o/f+-/sd+26/nno+균/ncn+은/jxc
섭씨	섭씨/ncn
75도로	75/nnc+도/nbu+로/jca
3분만	3/nnc+분/nbu+만/jxc
가열하면	가열/ncpa+하/xsv+면/ecs
멸균되지만	멸균/ncpa+되/xsv+지만/ecs
출혈성	출혈/ncn+성/xsn
대장염을	대장염/ncn+을/jco
일으키고	일으키/pvg+고/ecc
심한	심하/paa+ㄴ/etm
경우	경우/ncn
신부전증으로	신부전증/ncn+으로/jca
발전돼	발전/ncpa+되/xsv+어/ecs
면역기능이	면역/ncn+기능/ncn+이/jcs
약한	약하/paa+ㄴ/etm
노약자와	노약자/ncn+와/jcj
유아들에게는	유아/ncn+들/xsn+에게/jca+는/jxc
치명적일	치명/ncn+적/xsn+이/jp+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
우리나라의	우리/npp+나라/ncn+의/jcm
경우	경우/ncn
이미	이미/mag
지난	지나/pvg+ㄴ/etm
87년에	87/nno+년/nbu+에/jca
한명의	한/nnc+명/nbu+의/jcm
o-26	o/f+-/sd+26/nno
환자가	환자/ncn+가/jcs
발생했지만	발생/ncpa+하/xsv+었/ep+지만/ecs
쇠고기에서	쇠고기/ncn+에서/jca
검출된	검출/ncpa+되/xsv+ㄴ/etm
것은	것/nbn+은/jxc
이번이	이/mmd+번/nbn+이/jcs
처음입니다.	처음/ncn+이/jp+ㅂ니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
식품의약품	nq[식품/ncn+의약/ncn+품/xsn
안전본부는	안전/ncn+본부/ncn]nq+는/jxc
현재	현재/mag
진행중인	진행/ncn+중/nbn+이/jp+ㄴ/etm
수입쇠고기에	수입/ncn+쇠고기/ncn+에/jca
대한	대하/pvg+ㄴ/etm
0-157	o/f+-/sd+157/nno
검사계획을	검사/ncn+계획/ncn+을/jco
수정했습니다.	수정/ncpa+하/xsv+었/ep+습니다/ef+./sf
0-157균과	o/f+-/sd+157/nno+균/ncn+과/jct
관련돼	관련/ncpa+되/xsv+어/ecs
수거된	수거/ncpa+되/xsv+ㄴ/etm
미국산	미국/nq+산/xsn
쇠고기들입니다.	쇠고기/ncn+들/xsn+이/jp+ㅂ니다/ef+./sf
식품의약품	nq[식품/ncn+의약/ncn+품/xsn
안전본부는	안전/ncn+본부/ncn]nq+는/jxc
0-157	o/f+-/sd+157/nno
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
o-26균도	o/f+-/sd+26/nno+균/ncn+도/jxc
같이	같이/mag
검사한다는	검사/ncpa+하/xsv+ㄴ다/ef+는/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
보건	보건/ncn
당국은	당국/ncn+은/jxc
또	또/maj
시중에	시중/ncn+에/jca
유통중인	유통/ncn+중/nbn+이/jp+ㄴ/etm
냉동피자에서	냉동/ncn+피자/ncn+에서/jca
리스테리아균을	리스테리아균/ncn+을/jco
검출하고	검출/ncpa+하/xsv+고/ecs
바짝	바짝/mag
긴장하고	긴장/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
조사	조사/ncn
결과	결과/ncn
(주)델리는	nq[(/sl+주/ncn+)/sr+델리/nq]nq+는/jxc
피자에	피자/ncn+에/jca
사용한	사용/ncpa+하/xsv+ㄴ/etm
햄이	햄/ncn+이/jcs
문제가	문제/ncn+가/jcc
됐고,	되/pvg+었/ep+고/ecc+,/sp
천일식품의	nq[천일/nq+식품/ncn]nq+의/jcm
경우는	경우/ncn+는/jxc
치즈	치즈/ncn
절단기	절단/ncn+기/xsn
등	등/nbn
생산	생산/ncn
설비가	설비/ncn+가/jcs
o-26균에	o/f+-/sd+26/nno+균/ncn+에/jca
오염된	오염/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
밝혀졌습니다.	밝히/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
보건	보건/ncn
당국은	당국/ncn+은/jxc
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
리스테리아균의	리스테리아균/ncn+의/jcm
정확한	정확/ncps+하/xsm+ㄴ/etm
감염경로를	감염/ncn+경로/ncn+를/jco
추적하고	추적/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
박진현입니다.	박진현/nq+이/jp+ㅂ니다/ef+./sf
빌	nq[빌/nq
클린턴	클린턴/nq]nq
미국	미국/nq
대통령은	대통령/ncn+은/jxc
미국의	미국/nq+의/jcm
식품안전기준을	식품/ncn+안전/ncn+기준/ncn+을/jco
충족시키지	충족/ncpa+시키/xsv+지/ecx
못하는	못하/px+는/etm
국가에서	국가/ncn+에서/jca
생산된	생산/ncpa+되/xsv+ㄴ/etm
농산물에	농산/ncn+물/xsn+에/jca
대해서	대하/pvg+어서/ecs
미	nq[미/nq
식품의약국이	식품/ncn+의약/ncn+국/xsn]nq+이/jcs
수입을	수입/ncn+을/jco
중지시킬	중지/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
하는	하/pvg+는/etm
법을	법/ncn+을/jco
마련할	마련/ncpa+하/xsv+ㄹ/etm
것을	것/nbn+을/jco
의회에	의회/ncn+에/jca
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
국제기구	국제/ncn+기구/ncn
공동대응	공동/ncn+대응/ncn
미국의	미국/nq+의/jcm
한국	한국/nq
자동차	자동/ncn+차/ncn
시장에	시장/ncn+에/jca
대한	대하/pvg+ㄴ/etm
슈퍼	nq[슈퍼/ncn
301조	301/nno+조/nbu]nq
발동과	발동/ncn+과/jct
관련해서	관련/ncpa+하/xsv+어서/ecs
우리	우리/npp
정부는	정부/ncn+는/jxc
국제기구를	국제/ncn+기구/ncn+를/jco
통해서	통하/pvg+어서/ecs
공동대응하겠다는	공동/ncn+대응/ncpa+하/xsv+겠/ep+다/ef+는/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
OECD,	OECD/f+,/sp
WTO	WTO/f
등에	등/nbn+에/jca
대표자를	대표/ncn+자/xsn+를/jco
파견	파견/ncn
해서	하/pvg+어서/ecs
미국의	미국/nq+의/jcm
일방적	일방/ncn+적/xsn
무역제재조치의	무역/ncn+제재/ncn+조치/ncn+의/jcm
부당성을	부당/ncn+성/xsn+을/jco
집중적으로	집중/ncn+적/xsn+으로/jca
부각시키겠다는	부각/ncpa+시키/xsv+겠/ep+다/ef+는/etm
게	거/nbn+이/jcs
우리	우리/npp
정부의	정부/ncn+의/jcm
생각입니다.	생각/ncn+이/jp+ㅂ니다/ef+./sf
보도에	보도/ncn+에/jca
박장범	박장범/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
정부는	정부/ncn+는/jxc
미국의	미국/nq+의/jcm
슈퍼	nq[슈퍼/ncn
