<tdmsfile>
<tdmsfile>
지금	지금/mag
탈당	탈당/ncn
등도	등/nbn+도/jxc
이와	이/npd+와/jct
무관하지	무관/ncps+하/xsm+지/ecx
않다는	않/px+다/ef+는/etm
얘기도	얘기/ncn+도/jxc
있다.	있/paa+다/ef+./sf
실제	실제/mag
김	김/nq
대통령이	대통령/ncn+이/jcs
움직이고	움직이/pvg+고/ecx
있는	있/px+는/etm
흔적도	흔적/ncn+도/jxc
있다.	있/paa+다/ef+./sf
이회창	이회창/nq
총재가	총재/ncn+가/jcs
지난달	지나/pvg+ㄴ/etm+달/ncn
22일	22/nno+일/nbu
김	김/nq
대통령	대통령/ncn
보고	보고/jca
"나가	"/sl+나가/pvg
달라"고	달라/px+"/sr+고/jcr
기자회견을	기자/ncn+회견/ncn+을/jco
한	하/pvg+ㄴ/etm
직후,	직후/ncn+,/sp
김	김/nq
대통령은	대통령/ncn+은/jcs
대선후보들을	대선/ncn+후보/ncn+들/xsn+을/jco
개별적으로	개별/ncn+적/xsn+으로/jca
만나	만나/pvg+아/ecx
오고	오/px+고/ecx
있다.	있/px+다/ef+./sf
당	당/ncn
내	내/nbn
인사중	인사/ncn+중/nbn
김	김/nq
대통령의	대통령/ncn+의/jcm
전화를	전화/ncn+를/jco
받은	받/pvg+은/etm
이도	이/npp+도/jxc
있고	있/paa+고/ecc
직접	직접/mag
만난	만나/pvg+ㄴ/etm
이도	이/npp+도/jxc
있다	있/paa+다/ef+./sf
이	이/nq
총재	총재/ncn
회견	회견/ncn
직후	직후/ncn
이한동	이한동/nq
대표가	대표/ncn+가/jcs
청와대를	청와대/nq+를/jco
다녀왔고	다니/pvg+어/ecs+오/pvg+았/ep+고/ecc
27일에는	27/nno+일/nbu+에/jca+는/jxc
김	김/nq
대통령이	대통령/ncn+이/jcs
이수성	이수성/nq
고문을	고문/ncn+을/jco
불러	부르/pvg+어/ecs
저녁식사를	저녁/ncn+식사/ncn+를/jco
함께	함께/mag
했다.	하/pvg+었/ep+다/ef+./sf
김	김/nq
대통령이	대통령/ncn+이/jcs
전화나	전화/ncn+나/jcj
면담을	면담/ncn+을/jco
통해	통하/pvg+어/ecs
무슨	무슨/mmd
얘기를	얘기/ncn+를/jco
하는지는	하/pvg+는지/ecs+는/jxc
정확히	정확/ncn+히/xsa
확인되지	확인/ncpa+되/xsv+지/ecx
않고	않/px+고/ecx
있다.	있/px+다/ef+./sf
그러나	그러나/maj
김	김/nq
대통령	대통령/ncn
직계	직계/ncn
인사들은	인사/ncn+들/xsn+은/jxc
서석재의원을	서석재/nq+의원/ncn+을/jco
필두로	필두/ncn+로/jca
이미	이미/mag
탈당을	탈당/ncn+을/jco
시작했다.	시작/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/nq
총재	총재/ncn
회견	회견/ncn
이후	이후/ncn
돌아가는	돌/pvg+아/ecs+가/pvg+는/etm
분위기를	분위기/ncn+를/jco
보면,	보/pvg+면/ecs+,/sp
김	김/nq
대통령이	대통령/ncn+이/jcs
사람에	사람/ncn+에/jca
따라	따르/pvg+아/ecs
무언가	무어/npd+ㄴ가/ef
서로	서로/mag
다른	다르/paa+ㄴ/etm
임무를	임무/ncn+를/jco
맡기는	맡기/pvg+는/etm
게	거/nbn+이/jcs
아니냐는	아니/paa+냐/ef+는/etm
추측도	추측/ncn+도/jxc
나돈다.	나/pvg+아/ecs+돌/pvg+ㄴ다/ef+./sf
김	김/nq
대통령이	대통령/ncn+이/jcs
탈당하겠다는	탈당/ncpa+하/xsv+겠/ep+다/ef+는/etm
이수성	이수성/nq
고문에게	고문/ncn+에게/jca
"당에	"/sl+당/ncn+에/jca
남아	남/pvg+아/ecx
달라"고	달라/px+"/sr+고/jcr
한	하/pvg+ㄴ/etm
것은,	것/nbn+은/jxc+,/sp
탈당보다는	탈당/ncn+보다/jca+는/jxc
일단	일단/mag
당에	당/ncn+에/jca
남아	남/pvg+아/ecs
반	반/xp
DJP	DJP/f
연대	연대/ncn
세력	세력/ncn
결집에	결집/ncn+에/jca
힘써	힘/ncn+쓰/pvg+어/ecx
달라는	달라/px+는/etm
취지였을	취지/ncn+이/jp+었/ep+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
게	거/nbn+이/jcs
당	당/ncn
관계자들의	관계/ncn+자/xsn+들/xsn+의/jcm
관측이다.	관측/ncn+이/jp+다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
현재	현재/mag
이	이/nq
총재로는	총재/ncn+로/jca+는/jxc
안되겠다는	안되/paa+겠/ep+다/ef+는/etm
생각	생각/ncn
아래,	아래/ncn+,/sp
일부를	일부/ncn+를/jco
우선	우선/mag
탈당시켜	탈당/ncpa+시키/xsv+어/ecs
이	이/nq
전지사	전/mma+지사/ncn
측에	측/nbn+에/jca
힘을	힘/ncn+을/jco
실어	싣/pvg+어/ecx
주면서,	주/px+면서/ecc+,/sp
동시에	동시/ncn+에/jca
당내에서는	당내/ncn+에서/jca+는/jxc
'반	'/sl+반/xp
DJP	DJP/f
연대론'의	연대/ncn+론/xsn+'/sr+의/jcm
간판	간판/ncn
아래	아래/ncn
반	반/xp
이	이/nq
총재	총재/ncn
세력을	세력/ncn+을/jco
최대한	최대한/ncn
결집,	결집/ncn+,/sp
최종	최종/ncn
순간	순간/ncn
이	이/nq
전지사	전/mma+지사/ncn
쪽으로	쪽/nbn+으로/jca
이동시키려는	이동/ncpa+시키/xsv+려는/ecs
게	거/nbn+이/jcc
아닌가	아니/paa+ㄴ가/ef
하는	하/pvg+는/etm
관측도	관측/ncn+도/jxc
있다.	있/paa+다/ef+./sf
청와대	청와대/nq
인사들도	인사/ncn+들/xsn+도/jxc
움직이고	움직이/pvg+고/ecx
있다.	있/px+다/ef+./sf
이	이/nq
총재측의	총재/ncn+측/xsn+의/jcm
한	한/nnc
핵심	핵심/ncn
인사는	인사/ncn+는/jxc
청와대	청와대/nq
인사가	인사/ncn+가/jcs
자신에게	자신/ncn+에게/jca
'이	'/sl+이/nq
총재로는	총재/ncn+로/jca+는/jxc
안되는	안되/paa+는/etm
것	것/nbn
아니냐	아니/paa+냐/ef
당신이	당신/npp+이/jcs
나서서	나서/pvg+어서/ecs
내려오게	내리/pvg+어/ecs+오/pvg+게/ecx
하고	하/px+고/ecs
다시	다시/mag
시작해	시작/ncpa+하/xsv+어/ecx
보자'는	보/px+자/ef+'/sr+는/etm
식으로	식/nbn+으로/jca
말한	말/ncpa+하/xsv+ㄴ/etm
적도	적/nbn+도/jxc
있다고	있/paa+다/ef+고/jcr
했다.	하/pvg+었/ep+다/ef+./sf
10일부터	10/nno+일/nbu+부터/jxc
대검	nq[대검/nq
공안부	공안부/nq]nq
등	등/nbn
전국의	전국/ncn+의/jcm
공안검사들은	공안/ncn+검사/ncn+들/xsn+은/jxc
움직임이	움직임/ncn+이/jcs
부산해졌다.	부산/ncps+하/xsm+어/ecx+지/px+었/ep+다/ef+./sf
선거사범	선거/ncn+사범/ncn
수사를	수사/ncn+를/jco
맡은	맡/pvg+은/etm
공안부	공안부/nq
검사들은	검사/ncn+들/xsn+은/jxc
그동안	그/mmd+동안/ncn
사실상	사실/ncn+상/xsn
'개점	'/sl+개점/ncn
휴업'	휴업/ncn+'/sr
상태라	상태/ncn+라/ecs
해도	하/pvg+어도/ecs
과언이	과언/ncn+이/jcc
아니었다.	아니/paa+었/ep+다/ef+./sf
정식	정식/ncn
법정선거운동	법정/ncn+선거/ncn+운동/ncn
기간이	기간/ncn+이/jcs
시작되지	시작/ncpa+되/xsv+지/ecx
않긴	않/px+기/etn+ㄴ/jxc
했지만,	하/pvg+었/ep+지/ecs+만/jxc+,/sp
올해는	올해/ncn+는/jxc
각	각/mma
정당이	정당/ncn+이/jcs
'집안	'/sl+집안/ncn
단속'에	단속/ncn+'/sr+에/jca
정신이	정신/ncn+이/jcs
없어	없/paa+어/ecs
검찰이	검찰/ncn+이/jcs
단속	단속/ncn
할	하/pvg+ㄹ/etm
불법-탈법	불법/ncn+-/sd+탈법/ncn
선거운동이	선거/ncn+운동/ncn+이/jcs
거의	거의/mag
없었기	없/paa+었/ep+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
그러나	그러나/maj
김영삼	김영삼/nq
대통령이	대통령/ncn+이/jcs
8일	8/nno+일/nbu
특별담화와	특별/ncn+담화/ncn+와/jcj
10일	10/nno+일/nbu
임시	임시/ncn
국무회의를	국무/ncn+회의/ncn+를/jco
통해	통하/pvg+어/ecs
각	각/mma
정당의	정당/ncn+의/jcm
대선관련	대선/ncn+관련/ncn
폭로전,	폭로/ncn+전/xsn+,/sp
흑색선전에	흑색/ncn+선전/ncn+에/jca
대해	대하/pvg+어/ecs
엄단방침을	엄단/ncn+방침/ncn+을/jco
밝힘에	밝히/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
검찰도	검찰/ncn+도/jxc
칼날을	칼날/ncn+을/jco
세우고	세우/pvg+고/ecx
있다.	있/px+다/ef+./sf
주선회	주선회/nq
대검	대검/nq
공안부장은	공안/nq+부장/ncn+은/jxc
"대통령이	"/sl+대통령/ncn+이/jcs
결심을	결심/ncn+을/jco
해준	하/pvg+어/ecx+주/px+ㄴ/etm
만큼,	만큼/nbn+,/sp
검찰은	검찰/ncn+은/jxc
홀가분하게	홀가분/ncps+하/xsm+게/ecs
본연의	본연/ncn+의/jcm
일에	일/ncn+에/jca
충실할	충실/ncps+하/xsm+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
됐다"고	되/pvg+었/ep+다/ef+"/sr+고/jcr
말했다	말/ncpa+하/xsv+었/ep+다/ef
앞으로	앞/ncn+으로/jca
'정치적	'/sl+정치/ncn+적/xsn
고려'	고려/ncn+'/sr
없이	없/paa+이/xsa
원칙대로	원칙/ncn+대로/jxc
밀고	밀/pvg+고/ecs
나가겠다는	나가/pvg+겠/ep+다/ef+는/etm
뜻이다.	뜻/ncn+이/jp+다/ef+./sf
검찰수사의	검찰/ncn+수사/ncn+의/jcm
초점은	초점/ncn+은/jxc
물론	물론/mag
허위사실	허위/ncn+사실/ncn
유포,	유포/ncn+,/sp
명예훼손,	명예/ncn+훼손/ncn+,/sp
인신공격	인신/ncn+공격/ncn
등	등/nbn
흑색선전에	흑색/ncn+선전/ncn+에/jca
맞춰질	맞추/pvg+어/ecx+지/px+ㄹ/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
고소-고발을	고소/ncn+-/sd+고발/ncn+을/jco
기다리지	기다리/pvg+지/ecx
않고	않/px+고/ecs
검찰이	검찰/ncn+이/jcs
직접	직접/mag
인지해서	인지/ncpa+하/xsv+어서/ecs
적극적으로	적극/ncn+적/xsn+으로/jca
수사해나간다는	수사/ncpa+하/xsv+어/ecx+나가/px+ㄴ다/ef+는/etm
방침도	방침/ncn+도/jxc
세웠다.	세우/pvg+었/ep+다/ef+./sf
검찰은	검찰/ncn+은/jxc
오는	오/pvg+는/etm
14일	14/nno+일/nbu
전국	전국/ncn
검사장회의와	검사/ncn+장/xsn+회의/ncn+와/jcj
공안부장회의를	공안/nq+부장/ncn+회의/ncn+를/jco
열어	열/pvg+어/ecs
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
선거사범	선거/ncn+사범/ncn
단속	단속/ncn
및	및/maj
처리지침을	처리/ncn+지침/ncn+을/jco
시달할	시달/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
일단	일단/mag
당장	당장/mag
검찰의	검찰/ncn+의/jcm
수사의지를	수사/ncn+의지/ncn+를/jco
엿볼	엿보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
사건은	사건/ncn+은/jxc
청와대의	청와대/nq+의/jcm
창당자금	창당/ncn+자금/ncn
지원설과	지원/ncn+설/xsn+과/jct
관련한	관련/ncpa+하/xsv+ㄴ/etm
국민신당측의	국민신당/nq+측/xsn+의/jcm
고소사건.	고소/ncn+사건/ncn+./sf
"김	"/sl+김/nq
대통령의	대통령/ncn+의/jcm
92년	92/nno+년/nbu
대선자금	대선/ncn+자금/ncn
잔여분	잔여/ncn+분/xsn
1천억원중	1천억/nnc+원/nbu+중/nbn
2백억원이	2백억/nnc+원/nbu+이/jcs
손명순	손명순/nq
여사를	여사/ncn+를/jco
통해	통하/pvg+어/ecs
이인제	이인제/nq
전	전/mma
지사의	지사/ncn+의/jcm
부인	부인/ncn
김은숙씨에게	김은숙/nq+씨/xsn+에게/jca
창당자금으로	창당/ncn+자금/ncn+으로/jca
전달됐다"는	전달/ncpa+되/xsv+었/ep+다/ef+"/sr+는/etm
폭로	폭로/ncn
내용은	내용/ncn+은/jxc
'청와대	'/sl+청와대/nq
안방'을	안방/ncn+'/sr+을/jco
직접	직접/mag
겨냥한	겨냥/ncpa+하/xsv+ㄴ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
점에서	점/ncn+에서/jca
'시범	'/sl+시범/ncn
케이스'로	케이스/ncn+'/sr+로/jca
처리될	처리/ncpa+되/xsv+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
높다는	높/paa+다/ef+는/etm
뜻이다.	뜻/ncn+이/jp+다/ef+./sf
검찰은	검찰/ncn+은/jxc
벌써부터	벌써/mag+부터/jxc
92년	92/nno+년/nbu
대선당시	대선/ncn+당시/ncn
"김영삼	"/sl+김영삼/nq
후보가	후보/ncn+가/jcs
미국에	미국/nq+에/jca
숨겨논	숨기/pvg+어/ecx+놓/px+ㄴ/etm
딸이	딸/ncn+이/jcs
있다"고	있/paa+다/ef+"/sr+고/jcr
보도한	보도/ncpa+하/xsv+ㄴ/etm
잡지	잡지/ncn
'인사이더월드'	'/sl+인사이더월드/nq+'/sr
대표	대표/ncn
손충무씨	손충무/nq+씨/xsn
구속사건을	구속/ncn+사건/ncn+을/jco
예로	예/ncn+로/jca
들며,	들/pvg+며/ecc+,/sp
폭로내용을	폭로/ncn+내용/ncn+을/jco
터뜨린	터뜨리/pvg+ㄴ/etm
측이	측/nbn+이/jcs
입증못하면	입증/ncn+못하/pvg+면/ecs
처벌될	처벌/ncpa+되/xsv+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다고	없/paa+다/ef+고/jcr
밝히고	밝히/paa+고/ecx
있어	있/px+어/ecs
심상찮은	심상찮/paa+은/etm
분위기를	분위기/ncn+를/jco
느끼게	느끼/pvg+게/ecx
하고	하/px+고/ecx
있다.	있/px+다/ef+./sf
그러나	그러나/maj
검찰도	검찰/ncn+도/jxc
고민은	고민/ncn+은/jxc
있는	있/paa+는/etm
것	것/nbn
같다.	같/paa+다/ef+./sf
김대중	김대중/nq
국민회의	국민회의/nq
총재	총재/ncn
비자금	비자금/ncn
의혹	의혹/ncn
수사를	수사/ncn+를/jco
'국가적	'/sl+국가/ncn+적/xsn
혼란'을	혼란/ncn+'/sr+을/jco
이유로	이유/ncn+로/jca
유보한	유보/ncpa+하/xsv+ㄴ/etm
만큼,	만큼/nbn+,/sp
'고강도	'/sl+고/xp+강도/ncn
사법처리'를	사법/ncn+처리/ncn+'/sr+를/jco
계속할	계속/ncpa+하/xsv+ㄹ/etm
경우,	경우/ncn+,/sp
관련	관련/ncn
정당이	정당/ncn+이/jcs
형평성	형평/ncn+성/xsn
시비를	시비/ncn+를/jco
제기할	제기/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있기	있/paa+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
청와대	청와대/nq
발칵	발칵/mag
뒤집혀...	뒤집히/pvg+어/ecs+.../se
명예훼손으로	명예/ncn+훼손/ncn+으로/jca
고소.	고소/ncn+./sf
김영삼대통령이	김영삼/nq+대통령/ncn+이/jcs
신한국당을	신한국당/nq+을/jco
탈당하고	탈당/ncpa+하/xsv+고/ecs
흑색선전	흑색/ncn+선전/ncn
엄단을	엄단/ncn+을/jco
골자로	골자/ncn+로/jca
한	하/pvg+ㄴ/etm
특별담화	특별/ncn+담화/ncn+를/jco
발표하게된	발표/ncpa+하/xsv+게/ecx+되/px+ㄴ/etm
이유중의	이유/ncn+중/nbn+의/jcm
하나는	하나/nnc+는/jxc
신한국당과	신한국당/nq+과/jcj
국민회의의	국민회의/nq+의/jcm
'손명순여사	'/sl+손명순/nq+여사/ncn
2백억	2백억/nnc
국민신당	국민신당/nq
전달설'	전달/ncn+설/xsn+'/sr
주장이었던	주장/ncn+이/jp+었/ep+던/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
이	이/mmd
주장	/ncn+은/jxc
5일	5/nno+일/nbu
국민회의	국민회의/nq
김민석부대변인이	김민석/nq+부대변/ncn+인/xsn+이/jcs
처음했다.	처음/ncpa+하/xsv+었/ep+다/ef+./sf
그는	그/npp+는/jxc
이날	이/mmd+날/ncn
열린	열리/pvg+ㄴ/etm
지도위회의	지도위/ncn+회의/ncn
내용	내용/ncn
브리핑에서	브리핑/ncn+에서/jca
"YS-이인제	"/sl+YS/f+-/sd+이인제/nq
신당에	신당/ncn+에/jca
대해	대하/pvg+어/ecs
의혹을	의혹/ncn+을/jco
분석했다.	분석/ncpa+하/xsv+었/ep+다/ef+./sf
92년	92/nno+년/nbu
대선자금	대선/ncn+자금/ncn
중	중/nbn
1천4백여억원을	1천4백/nnc+여/xsn+억/nnc+원/nbu+을/jco
현철씨가	현철/nq+씨/xsn+가/jcs
관리해왔는데	관리/ncpa+하/xsv+어/ecx+오/px+았/ep+는데/ecs
그	그/mmd
중	중/nbn
2백억원이	2백억/nnc+원/nbu+이/jcs
손명순여사를	손명순/nq+여사/ncn+를/jco
통해	통하/pvg+어/ecs
경기도의	경기도/nq+의/jcm
힐러리라고	힐러리/nq+라고/jcr
불리는	불리/pvg+는/etm
김은숙씨에게	김은숙/nq+씨/xsn+에게/jca
전달됐다는	전달/ncpa+되/xsv+었/ep+다/ef+는/etm
제보가	제보/ncn+가/jcs
있다"고	있/paa+다/ef+"/sr+고/jcr
발표했다.	발표/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
소식을	소식/ncn+을/jco
접한	접하/pvg+ㄴ/etm
신한국당	신한국당/nq
구범회부대변인도	구범회/nq+부대변/ncn+인/xsn+도/jxc
준비중이던	준비/ncn+중/nbn+이/jp+던/etm
'이인제	'/sl+이인제/nq
반란	반란/ncn
당은	당/ncn+은/jxc
창당자금	창당/ncn+자금/ncn
내역을	내역/ncn+을/jco
공개하라'는	공개/ncpa+하/xsv+라/ef+'/sr+는/etm
성명에	성명/ncn+에/jca
"잔여금	"/sl+잔여/ncn+금/xsn
중	중/nbn
2백억원이	2백억/nnc+원/nbu+이/jcs
이인제	이인제/nq
반란당으로	반란/ncn+당/ncn+으로/jca
흘러들어갔다는	흐르/pvg+어/ecs+들/pvg+어/ecs+가/pvg+았/ep+다/ef+는/etm
일부	일부/ncn
주장의	주장/ncn+의/jcm
진위를	진위/ncn+를/jco
밝혀라"고	밝히/pvg+어/ecs+라/ef+"/sr+고/jcr
추가했다.	추가/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
소식을	소식/ncn+을/jco
접한	접하/pvg+ㄴ/etm
청와대가	청와대/nq+가/jcs
발칵	발칵/mag
뒤집혔고	뒤집히/pvg+었/ep+고/ecc
국민회의측은	국민회의/nq+측/xsn+은/jxc
그날	그/mmd+날/ncn
오후들어	오후/ncn+들/pvg+어/ecs
"제보사항으로	"/sl+제보/ncn+사항/ncn+으로/jca
보고됐으나	보고/ncpa+되/xsv+었/ep+으나/ecs
당에서	당/ncn+에서/jca
공식의혹을	공식/ncn+의혹/ncn+을/jco
제기할	제기/ncpa+하/xsv+ㄹ/etm
단계가	단계/ncn+가/jcc
아니라고	아니/paa+라고/ecs
판단	판단/ncn
삭제한다"며	삭제/ncpa+하/xsv+ㄴ다/ef+"/sr+며/ecs
수정본을	수정/ncn+본/xsn+을/jco
내	내/pvg+어/ecs
이	이/mmd
부분을	부분/ncn+을/jco
철회했다.	철회/ncpa+하/xsv+었/ep+다/ef+./sf
신한국당은	신한국당/nq+은/jxc
정정하지	정정/ncpa+하/xsv+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
이후	이후/ncn
신당측	신당/ncn+측/xsn
반격이	반격/ncn+이/jcs
시작됐고	시작/ncpa+되/xsv+었/ep+고/ecc
다음날	다음/ncn+날/ncn
김용원법률특보가	김용원/nq+법률/ncn+특보/ncn+가/jcs
김민석	김민석/nq
구범회	구범회/nq
부대변인을	부대변/ncn+인/xsn+을/jco
명예훼손	명예/ncn+훼손/ncn
혐의로	혐의/ncn+로/jca
검찰에	검찰/ncn+에/jca
고소했다.	고소/ncpa+하/xsv+었/ep+다/ef+./sf
원화	원화/ncn
폭락이	폭락/ncn+이/jcs
해외여행과	해외/ncn+여행/ncn+과/jcj
유학생	유학/ncn+생/xsn
송금	송금/ncn
등	등/nbn
일반국민들의	일반/ncn+국민/ncn+들/xsn+의/jcm
경제활동에	경제/ncn+활동/ncn+에/jca
큰	크/paa+ㄴ/etm
영향을	영향/ncn+을/jco
미치고	미치/pvg+고/ecx
있다.	있/px+다/ef+./sf
우리나라	우리/npp+나라/ncn
돈의	돈/ncn+의/jcm
가치가	가치/ncn+가/jcs
떨어지면서	떨어지/pvg+면서/ecs
똑같은	똑같/paa+은/etm
행선지로	행선/ncn+지/xsn+로/jca
여행을	여행/ncn+을/jco
떠나거나	떠나/pvg+거나/ecc
해외에서	해외/ncn+에서/jca
물건을	물건/ncn+을/jco
사더라도	사/pvg+더라도/ecs
더	더/mag
많은	많/paa+은/etm
돈이	돈/ncn+이/jcs
들어가기	들/pvg+어/ecx+가/px+기/etn
때문.	때문/nbn+./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
지난해말	지나/pvg+ㄴ/etm+해/ncn+말/ncn
하와이로	하와이/nq+로/jca
여행을	여행/ncn+을/jco
다녀	다니/pvg+어/ecs
온	오/pvg+ㄴ/etm
사람은	사람/ncn+은/jxc
한국돈으로	한국/nq+돈/ncn+으로/jca
대강	대강/ncn
1백71만3천6백원(미화	1백71만/nnc+3천/nnc+6백/nnc+원/nbu+(/sl+미화/ncn
2천달러)이	2천/nnc+달러/nbu+)/sr+이/jcs
들었다.	들/pvg+었/ep+다/ef+./sf
하지만	하지만/maj
환율이	환율/ncn+이/jcs
1천원이	1천/nnc+원/nbu+이/jcs
넘어선	넘/pvg+어/ecs+서/pvg+ㄴ/etm
10일	10/nno+일/nbu
하와이로	하와이/nq+로/jca
여행을	여행/ncn+을/jco
떠나는	떠나/pvg+는/etm
사람은	사람/ncn+은/jxc
은행환전창구에	은행/ncn+환전/ncn+창구/ncn+에/jca
2백2만7천9백60원을	2백2만/nnc+7천/nnc+9백/nnc+60/nnc+원/nbu+을/jco
내고	내/pvg+고/ecs
2천달러를	2천/nnc+달러/nbu+를/jco
환전해야	환전/ncpa+하/xsv+어야/ecs
했다.	하/px+었/ep+다/ef+./sf
불과	불과/mag
11개월사이에	11/nnc+개월/nbu+사이/ncn+에/jca
31만4천3백60원의	31만/nnc+4천/nnc+3백/nnc+60/nnc+원/nbu+의/jcm
추가	추가/ncn
비용이	비용/ncn+이/jcs
늘어난	늘/pvg+어/ecx+나/px+ㄴ/etm
셈.	셈/nbn+./sf
해외	해외/ncn
유학생	유학/ncn+생/xsn
자녀를	자녀/ncn+를/jco
둔	두/pvg+ㄴ/etm
학부모들	학부모/ncn+들/xsn
사정은	사정/ncn+은/jxc
더욱	더욱/mag
심각하다.	심각/ncps+하/xsm+다/ef+./sf
해외	해외/ncn
유학생의	유학/ncn+생/xsn+의/jcm
경우	경우/ncn
학비와	학비/ncn+와/jcj
생활비를	생활/ncn+비/xsn+를/jco
합치면	합치/pvg+면/ecs
취급	취급/ncn
단위가	단위/ncn+가/jcs
몇	몇/mma
만달러로	만/nnc+달러/nbu+로/jca
높아져	높/paa+아/ecx+지/px+어/ecs
원화	원화/ncn
가치	가치/ncn
폭락에	폭락/ncn+에/jca
따른	따르/pvg+ㄴ/etm
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
손실액이	손실/ncn+액/xsn+이/jcs
상당하다.	상당/ncps+하/xsm+다/ef+./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
지난해말	지나/pvg+ㄴ/etm+해/ncn+말/ncn
올	올/mma
1년치	1/nnc+년/nbu+치/nbn
학비와	학비/ncn+와/jcj
생활비를	생활/ncn+비/xsn+를/jco
합쳐	합치/pvg+어/ecs
3만달러를	3만/nnc+달러/nbu+를/jco
미국	미국/nq
지역에	지역/ncn+에/jca
송금한	송금/ncpa+하/xsv+ㄴ/etm
학부모는	학부모/ncn+는/jxc
당시	당시/ncn
2천5백42만5천원(전신환	2천5백42만/nnc+5천/nnc+원/nbu+(/sl+전신환/ncn
매도율	매도/ncn+율/xsn
8백47원50	8백/nnc+47/nnc+원/nbu+50/nnc
전)이	전/nbu+)/sr+이/jcs
들었다.	들/pvg+었/ep+다/ef+./sf
결국	결국/mag
지난해말	지나/pvg+ㄴ/etm+해/ncn+말/ncn
3만달러를	3만/nnc+달러/nbu+를/jco
송금한	송금/ncpa+하/xsv+ㄴ/etm
학부모는	학부모/ncn+는/jxc
10일	10/nno+일/nbu
돈을	돈/ncn+을/jco
보낸	보내/pvg+ㄴ/etm
학부모보다	학부모/ncn+보다/jca
무려	무려/mag
4백72만2천원의	4백72만/nnc+2천/nnc+원/nbu+의/jcm
이득을	이득/ncn+을/jco
본	보/pvg+ㄴ/etm
셈.	셈/nbn+./sf
