<tdmsfile>


이곳에서는	이곳/npd+에서/jca+는/jxc
컴퓨터를	컴퓨터/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
게임은	게임/ncn+은/jxc
그	그/mmd
종류를	종류/ncn+를/jco
헤아릴	헤아리/pvg+ㄹ/etm
수조차	수/nbn+조차/jxc
없이	없/paa+이/xsa
많습니다	많/paa+습니다/ef
.	./sf

뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
게임을	게임/ncn+을/jco
전문적으로	전문/ncn+적/xsn+으로/jca
분석하고	분석/ncpa+하/xsv+고/ecc
소개하는	소개/ncpa+하/xsv+는/etm
잡지에다가	잡지/ncn+에다/jcj+가/jcs
게임을	게임/ncn+을/jco
사랑하는	사랑/ncpa+하/xsv+는/etm
사람들끼리	사람/ncn+들/xsn+끼리/xsn
모여	모이/pvg+어/ecs
만든	만들/pvg+ㄴ/etm
동호회가	동호/ncn+회/xsn+가/jcs
생겨날	생기/pvg+어/ecx+나/px+ㄹ/etm
정도로	정도/nbn+로/jca
컴퓨터와	컴퓨터/ncn+와/jcj
게임은	게임/ncn+은/jxc
뗄	떼/pvg+ㄹ/etm
수	수/ncn
없는	없/paa+는/jxc
관계가	관계/ncn+가/jcc
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf

이렇듯	이렇/pad+듯/ecs
,	,/sp
게임을	게임/ncn+을/jco
하다가	하/pvg+다가/ecs
어느새	어느새/mag
컴퓨터를	컴퓨터/ncn+를/jco
잘	잘/mag
다루게	다루/pvg+게/ecx
되는	되/pvg+는/etm
사람들도	사람/ncn+들/xsn+도/jxc
우리	우리/npp
주위에서	주위/ncn+에서/jca
흔히	흔히/mag
볼	보/pvg+ㄹ/etm
수	수/ncn
있습니다	있/paa+습니다/ef
.	./sf

무조건	무조건/mag
어렵게만	어렵/paa+게/ecx+만/jxc
느껴지던	느끼/pvg+어/ecx+지/px+던/etm
컴퓨터가	컴퓨터/ncn+가/jcs
게임으로	게임/ncn+으로/jca
가까워진다면	가깝/paa+어/ecx+지/px+ㄴ다/ef+면/ecs
,	,/sp
게임은	게임/ncn+은/jxc
단순히	단순/ncn+히/xsa
오락물로	오락/ncn+물/xsn+로/jca
그치는	그치/pvg+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
훌륭한	훌륭/ncps+하/xsm+ㄴ/etm
안내자가	안내/ncn+자/xsn+가/jcc
될	되/pvg+ㄹ/etm
수도	수/ncn+도/jxc
있겠지요	있/paa+겠/ep+지/ef+요/jxf
.	./sf

그가	그/npp+가/jcs
글씨를	글씨/ncn+를/jco
쓰면	쓰/pvg+면/ecs
용이	용/ncn+이/jcs
꿈틀거리고	꿈틀거리/pvg+고/ecc
봉황새가	봉황새/ncn+가/jcs
난다는	날/pvg+ㄴ다/ef+는/etm
극찬이	극찬/ncn+이/jcs
항상	항상/mag
따라다녔습니다	따르/pvg+아/ecs+다니/pvg+었/ep+습니다/ef
.	./sf

심지어	심지어/mag
한석봉이	한석봉/nq+이/jcs
어느	어느/mmd
고을에	고을/ncn+에/jca
들른다는	들르/pvg+ㄴ다/ef+는/etm
소문만	소문/ncn+만/jxc
있으면	있/paa+으면/ecs
,	,/sp
그	그/mmd
고을에	고을/ncn+에/jca
힘깨나	힘/ncn+깨나/jxc
쓰고	쓰/pvg+고/ecc
돈푼깨나	돈푼/ncn+깨나/jxc
있는	있/paa+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
모두	모두/mag
한석봉의	한석봉/nq+의/jcm
글씨를	글씨/ncn+를/jco
얻고자	얻/pvg+고자/ecs
난리법석을	난리/ncn+법석/ncn+을/jco
쳤다고	치/pvg+었/ep+다/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf

크고	크/paa+고/ecc
작은	작/paa+은/etm
글씨를	글씨/ncn+를/jco
여러	여러/mma
형태로	형태/ncn+로/jca
변화	변화/ncn
무쌍하게	무쌍/ncps+하/xsm+게/ecc
만들어내는가	만들/pvg+어/ecx+내/px+는가/ef
하면	하/px+면/ecs
,	,/sp
똑같은	똑같/paa+은/etm
글씨들을	글씨/ncn+들/xsn+을/jco
어느새	어느새/mag
수없이	수/ncn+없/paa+이/xsa
찍어냅니다	찍/pvg+어/ecx+내/px+ㅂ니다/ef
.	./sf

만일	만일/mag
옛날	옛날/ncn
사람들이	사람/ncn+들/xsn+이/jcs
이러한	이러하/pad+ㄴ/etm
장면을	장면/ncn+을/jco
본다면	보/pvg+ㄴ다/ef+면/ecs
,	,/sp
자유롭기가	자유/ncps+롭/xsm+기/etn+가/jcs
바다와	바다/ncn+와/jct
같고	같/paa+고/ecc
한결같기가	한결같/paa+기/etn+가/jcs
하늘과	하늘/ncn+과/jct
같다는	같/paa+다/ef+는/etm
식의	식/ncn+의/jcm
찬탄으로	찬탄/ncn+으로/jca
입을	입/ncn+을/jco
다물지	다물/pvg+지/ecx
못할	못하/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

한석봉에	한석봉/nq+에/jca
놀란	놀라/pvg+ㄴ/etm
사람이라면	사람/ncn+이/jp+라/ef+면/ecs
컴퓨터야말로	컴퓨터/ncn+야말로/jxc
`	`/sl
울트라	울트라/ncn
한석봉	한석봉/nq
`	`/sl
처럼	처럼/jca
보이겠지요	보이/pvg+겠/ep+지/ef+요/jxf
이렇듯	이렇/pad+듯/ecs
,	,/sp
개인용	개인/ncn+용/xsn
컴퓨터에서	컴퓨터/ncn+에서/jca
.	./sf

이	이/mmd
기능을	기능/ncn+을/jco
잘	잘/mag
활용하면	활용/ncpa+하/xsv+면/ecs
,	,/sp
글씨가	글씨/ncn+가/jcs
엉망인	엉망/ncn+이/jp+ㄴ/etm
사람들이라도	사람/ncn+들/xsn+이라도/jxc
전혀	전혀/mag
걱정할	걱정/ncpa+하/xsv+ㄹ/etm
것	것/nbn
없습니다	없/paa+습니다/ef
.	./sf

예전에는	예전/ncn+에/jca+는/jxc
글씨를	글씨/ncn+를/jco
잘	잘/mag
쓰는	쓰/pvg+는/etm
사람들에게	사람/ncn+들/xsn+에게/jca
대신	대신/ncn
써	쓰/pvg+어/ecx
달라고	달라/px+고/ecc
부탁을	부탁/ncn+을/jco
했지만	하/pvg+었/ep+지만/ecs
,	,/sp
이제	이제/mag
컴퓨터로	컴퓨터/ncn+로/jca
모두	모두/mag
해결할	해결/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf

그런데	그런데/maj
빠르기로	빠르/paa+기/etn+로/jca
따진다면	따지/pvg+ㄴ다/ef+면/ecs
타자기도	타자/ncn+기/xsn+도/jxc
무척	무척/mag
빠른	빠르/paa+ㄴ/etm
축에	축/ncn+에/jca
듭니다	들/pvg+ㅂ니다/ef
.	./sf

한결같은	한결같/paa+ㄴ/etm
글씨체로	글씨/ncn+체/ncn+로/jca
빨리	빨리/mag
글을	글/ncn+을/jco
써	쓰/pvg+어/ecs
내려가고	내리/pvg+어/ecx+가/px+고/ecc
깔끔하게	깔끔/ncps+하/xsm+게/ecs
문서를	문서/ncn+를/jco
작성한다는	작성/ncpa+하/xsv+ㄴ다/ef+는/etm
점에서	점/ncn+에서/jca
타자기도	타자/ncn+기/xsn+도/jxc
무척	무척/mag
빠른	빠르/paa+ㄴ/etm
축에	축/ncn+에/jca
듭니다	들/pvg+ㅂ니다/ef
.	./sf

한결같은	한결같/paa+ㄴ/etm
글씨체로	글씨/ncn+체/ncn+로/jca
빨리	빨리/mag
글을	글/ncn+을/jco
써	쓰/pvg+어/ecs
내려가고	내리/pvg+어/ecx+가/px+고/ecc
깔끔하게	깔끔/ncps+하/xsm+게/ecs
문서를	문서/ncn+를/jco
작성한다는	작성/ncpa+하/xsv+ㄴ다/ef+는/etm
점에서	점/ncn+에서/jca
타자기도	타자/ncn+기/xsn+도/jxc
매우	매우/mag
우수한	우수/ncps+하/xsm+ㄴ/etm
사무	사무/ncn
기기지요	기기/ncn+지/ef+요/jxf
.	./sf

타자	타자/ncn
실력을	실력/ncn+을/jco
늘리기	늘리/pvg+기/etn
위해	위하/pvg+어/ecs
손가락	손가락/ncn
힘을	힘/ncn+을/jco
기르는	기르/pvg+는/etm
데는	데/nbn+는/jxc
수동	수동/ncn
타자기를	타자/ncn+기/xsn+를/jco
치는	치/pvg+는/etm
것이	것/nbn+이/jcs
제일	제일/mag
좋습니다	좋/paa+습니다/ef
.	./sf

먼저	먼저/mag
비유적으로	비유/ncn+적/xsn+으로/jca
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
타자기가	타자/ncn+기/xsn+가/jcs
한	한/nnc
사람의	사람/ncn+의/jcm
한석봉	한석봉/nq
노릇을	노릇/nbn+을/jco
한다면	하/pvg+ㄴ다/ef+면/ecs
,	,/sp
컴퓨터의	컴퓨터/ncn+의/jcm
워드프로세서	워드프로세서/ncn
기능은	기능/ncn+은/jxc
무수히	무수/ncn+히/xsa
많은	많/paa+은/etm
한석봉	한석봉/nq
구실을	구실/ncn+을/jco
하는	하/pvg+는/etm
셈이다	셈/nbn+이/jp+다/ef
.	./sf

좀더	좀더/mag
구체적으로	구체/ncn+적/xsn+으로/jca
말해	말/ncpa+하/xsv+어/ecs
,	,/sp
우선	우선/mag
워드프로세서는	워드프로세서/ncn+는/jxc
타자기보다	타자/ncn+기/xsn+보다/jca
훨씬	훨씬/mag
수정이	수정/ncn+이/jcs
간편합니다	간편/ncps+하/xsm+ㅂ니다/ef
.	./sf

즉	즉/mag
,	,/sp
지면에	지면/ncn+에/jca
직접	직접/mag
쳐내려가다가	치/pvg+어/ecs+내리/pvg+어/ecx+가/px+다가/ecs
오타가	오타/ncn+가/jcs
나면	나/pvg+면/ecs
하나씩	하나/nnc+씩/xsn
번거롭게	번거/ncps+롭/xsm+게/ecs
고쳐야	고치/pvg+어야/ecs
하는	하/pvg+는/etm
타자기와는	타자/ncn+기/xsn+와/jct+는/jxc
달리	다르/paa+이/xsa
,	,/sp
워드프로세서는	워드프로세서/ncn+는/jxc
화면상에서	화면/ncn+상/xsn+에서/jca
문서를	문서/ncn+를/jco
작성하기	작성/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
매우	매우/mag
편리하게	편리/ncps+하/xsm+게/ecs
고칠	고치/pvg+ㄹ/etm
수가	수/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf

인쇄하기	인쇄/ncpa+하/xsv+기/etn
전에	전/ncn+에/jca
화면으로	화면/ncn+으로/jca
몇	몇/nnc
번이고	번/nbu+이/jp+고/ecc
확인까지	확인/ncn+까지/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
있으니	있/paa+으니/ecs
도대체	도대체/mag
틀리기가	틀리/pvg+기/etn+가/jcs
힘들	힘/ncn+들/pvg+ㄹ/etm
정도지요	정도/ncn+지/ef+요/jxf
.	./sf

`	`/sl
블록	블록/ncn
(	(/sl
Block	Block/f
)`	)/sr+`/sr
을	을/jco
설정하여	설정/ncpa+하/xsv+여/ecs
이쪽	이쪽/npd
단락을	단락/ncn+을/jco
저쪽에	저쪽/npd+에/jca
옮겨	옮기/pvg+어/ecs
풀로	풀/ncn+로/jca
붙이듯이	붙이/pvg+듯이/ecs
할	하/pvg+ㄹ/etm
수	수/ncn
있지요	있/paa+지/ef+요/jxf
.	./sf

그리고	그리고/maj
인쇄된	인쇄/ncpa+되/xsv+ㄴ/etm
문서들을	문서/ncn+들/xsn+을/jco
수량에	수량/ncn+에/jca
상관없이	상관/ncn+없/paa+이/xsa
152753000 
똑같이	똑같/paa+이/xsa
만들어낼	만들/pvg+어/ecx+내/px+ㄹ/etm
수	수/nbn
있으니	있/paa+으니/ecs
,	,/sp
능률과	능률/ncn+과/jcj
효과면에서	효과/ncn+면/ncn+에서/jca
보자면	보/pvg+자/ef+면/ecs
타자기와	타자/ncn+기/xsn+와/jcj
워드프로세서는	워드프로세서/ncn+는/jxc
비교가	비교/ncn+가/jcc
안	안/mag
됩니다	되/pvg+ㅂ니다/ef
.	./sf

알아두면	알/pvg+아/ecx+두/px+면/ecs
좋지요.	좋/paa+지/ef+요/jxf+./sf
워드프로세서는	워드프로세서/ncn+는/jxc
대개	대개/mag
나라마다	나라/ncn+마다/jxc
고유의	고유/ncn+의/jcm
말과	말/ncn+과/jcj
글을	글/ncn+을/jco
사용하기	사용/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
외국	외국/ncn
소프트웨어보다	소프트웨어/ncn+보다/jca
자기	자기/npp
나라의	나라/ncn+의/jcm
소프트웨어를	소프트웨어/ncn+를/jco
많이	많/paa+이/xsa
사용하게	사용/ncpa+하/xsv+게/ecx
됩니다	되/pvg+ㅂ니다/ef
.	./sf

그러므로	그러므로/maj
현재	현재/ncn
우리의	우리/npp+의/jcm
소프트웨어	소프트웨어/ncn
시장에서	시장/ncn+에서/jca
가장	가장/mag
경쟁력이	경쟁/ncn+력/xsn+이/jcs
높은	높/paa+은/etm
것도	것/nbn+도/jxc
역시	역시/mag
워드프로세서	워드프로세서/ncn
부문이라고	부문/ncn+이/jp+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/ncn
있습니다	있/paa+습니다/ef
.	./sf

하지만	하지만/maj
외국의	외국/ncn+의/jcm
소프트웨어들은	소프트웨어/ncn+들/xsn+은/jxc
국산	국산/ncn
소프트웨어보다	소프트웨어/ncn+보다/jca
여러	여러/mma
가지	가지/nbu
뛰어난	뛰어나/paa+ㄴ/etm
기능을	기능/ncn+을/jco
많이	많/paa+이/xsa
갖추고	갖추/pvg+고/ecx
있으므로	있/px+으므로/ecs
,	,/sp
우리도	우리/ncn+도/jxc
하루빨리	하루빨리/mag
그러한	그러하/pad+ㄴ/etm
기술을	기술/ncn+을/jco
개발하지	개발/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
언젠가는	언제/mag+ㄴ가/ef+는/jxc
워드프로세서마저	워드프로세서/ncn+마저/jxc
외국산	외국/ncn+산/xsn
소프트웨어를	소프트웨어/ncn+를/jco
쓸지	쓰/pvg+ㄹ지/ecs
모른다는	모르/pvg+ㄴ다/ef+는/etm
사실도	사실/ncn+도/jxc
가볍게	가볍/paa+게/ecc
넘겨서는	넘기/pvg+어서/ecs+는/jxc
안	안/mag
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

다시	다시/mag
빼기	빼기/ncn
삼백	삼백/nnc
구십	구십/nnc
팔만	팔만/nnc
팔천	팔천/nnc
이백	이백/nnc
육	육/nnc
원이요	원/nbu+이/jp+요/ef
예전에	예전/ncn+에/jca
주산	주산/ncn
학원에서는	학원/ncn+에서/jca+는/jxc
주산	주산/ncn
도사이신	도사/ncn+이/jp+시/ep+ㄴ/etm
선생님이	선생/ncn+님/xsn+이/jcs
이렇게	이렇/pad+게/xsa
숫자들을	숫자/ncn+들/xsn+을/jco
마구	마구/mag
불러	부르/pvg+어/ecx
주면	주/px+면/ecs
실력	실력/ncn
없는	없/paa+는/etm
초년생들은	초년/ncn+생/xsn+들/xsn+은/jxc
주판을	주판/ncn+을/jco
들고	들/pvg+고/ecc
열심히	열심/ncn+히/xsa
손가락을	손가락/ncn+을/jco
눌려	눌리/pvg+어/ecx
계산을	계산/ncn+을/jco
했습니다	하/pvg+었/ep+습니다/ef
.	./sf

역시	역시/mag
숫자를	숫자/ncn+를/jco
불러	불/pvg+러/ecx
주면서도	주/px+면서/ecs+도/jxc
한편으로	한편/ncn+으로/jca
암산하고	암산/ncpa+하/xsv+고/ecx
있었던	있/px+었/ep+던/etm
선생님의	선생/ncn+님/xsn+의/jcm
답과	답/ncn+과/jcj
비교하며	비교/ncpa+하/xsv+며/ecs
자신의	자신/npp+의/jcm
실력을	실력/ncn+을/jco
점검하기도	점검/ncpa+하/xsv+기/etn+도/jxc
했지요	하/pvg+었/ep+지/ef+요/jxf
.	./sf

주판이나	주판/ncn+이나/jcj
전자	전자/ncn
계산기를	계산/ncn+기/xsn+를/jco
동원하여	동원/ncpa+하/xsv+여/ecs
가로	가로/ncn
계산	계산/ncn
,	,/sp
세로	세로/ncn
계산	계산/ncn
등을	등/nbn+을/jco
하다	하/pvg+다/ecx
보면	보/px+면/ecs
대개	대개/mag
많은	많/paa+은/etm
시간이	시간/ncn+이/jcs
걸리게	걸리/pvg+게/ecx
마련입니다	마련/ncn+이/jp+ㅂ니다/ef
.	./sf

다	다/mag
끝났다고	끝/ncn+나/pvg+았/ep+다/ef+고/jcr
생각해서	생각/ncpa+하/xsv+어서/ecs
검산을	검산/ncn+을/jco
해	하/pvg+어/ecx
보면	보/px+면/ecs
조금씩	조금/ncn+씩/xsn
오차가	오차/ncn+가/jcs
생기기	생기/pvg+기/etn
일쑤이고	일쑤/ncn+이/jp+고/ecc
,	,/sp
그래서	그래서/maj
다시	다시/mag
계산하느라	계산/ncpa+하/xsv+느라/ecs
고생하는	고생/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
이루	이루/mag
말하기도	말/ncpa+하/xsv+기/etn+도/jxc
힘들	힘/ncn+들/pvg+ㄹ/etm
정도이지요	정도/nbn+이/jp+지/ef+요/jxf
.	./sf

이러한	이러하/pad+ㄴ/etm
문제는	문제/ncn+는/jxc
바로	바로/mag
`	`/sl
스프레드	nq[스프레드/ncn
시트	시트/ncn]nq
(	(/sl
Spread	Spread/f
Sheet	Sheet/f
)`	)/sr+`/sr
라는	라/ef+는/etm
프로그램을	프로그램/ncn+을/jco
통해서	통하/pvg+어서/ecs
간단하게	간단/ncpa+하/xsv+게/ecs
처리할	처리/ncna+하/xsv+하/pvg+ㄹ/etm
152778600 
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf

스프레드	nq[스프레드/ncn
시트란	시트/ncn]nq+란/jxc
우리말로	우리/npp+말/ncn+로/jca
풀어	풀/pvg+어/ecx
보면	보/px+면/ecs
`	`/sl
전자	전자/ncn
계산지	계산/ncn+지/xsn
`	`/sr
라고	라고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있어요	있/paa+어/ef+요/jxf
.	./sf

다시	다시/mag
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
컴퓨터	컴퓨터/ncn
속에	속/ncn+에/jca
들어	들/pvg+어/ecx
있는	있/px+는/etm
장부나	장부/ncn+나/jcj
계산서	계산/ncn+서/xsn
같은	같/paa+은/etm
모양의	모양/ncn+의/jcm
도표	도표/ncn
안에	안/ncn+에/jca
숫자들만	숫자/ncn+들/xsn+만/jxc
적어	적/pvg+어/ecx
놓으면	놓/px+으면/ecs
,	,/sp
계산은	계산/ncn+은/jxc
컴퓨터가	컴퓨터/ncn+가/jcs
알아서	알/pvg+아서/ecs
다	다/mag
처리해	처리/ncpa+하/xsv+어/ecx
준다는	주/px+ㄴ다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

그저	그저/mag
더하고	더하/pvg+고/ecc
빼고	빼/pvg+고/ecc
하는	하/pvg+는/etm
단순한	단순/ncpa+하/xsv+ㄴ/etm
계산만이	계산/ncn+만/jxc+이/jcc
아니라	아니/paa+라/ecs
복잡한	복잡/ncps+하/xsm+ㄴ/etm
계산을	계산/ncn+을/jco
하고	하/pvg+고/ecc
,	,/sp
여러	여러/mma
가지	가지/nbu
양식의	양식/ncn+의/jcm
표나	표/ncn+나/jcj
그래프로도	그래프/ncn+로/jca+도/jxc
표현이	표현/ncn+이/jcs
가능합니다	가능/ncpa+하/xsv+ㅂ니다/ef
.	./sf

점심엔	점심/ncn+에/jca+ㄴ/jxc
패스트	패스트/ncn
푸드	푸드/ncn
,	,/sp
쫓기는	쫓기/pvg+는/etm
