<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0146.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0146.txt </filename>
<title>정보화사회와 글로벌도시  </title>
<author>원제무, 박용훈 공저  </author>
<date> 1993 </date>
<publisher>박영사  </publisher>
<kdc>331.541  </kdc>
<ddc> 303.483 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
국제환경	국제/ncn+환경/ncn
한	하/pvg+ㄴ/etm
구도도	구도/ncn+도/jxc
로마시대나	로마/nq+시대/ncn+나/jcj
세기	세기/ncn
전의	전/ncn+의/jcm
그것과는	그것/npd+과/jct+는/jxc
다른	다르/paa+ㄴ/etm
양상으로	양상/ncn+으로/jca
나타날	나타나/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
당분간은	당분간/ncn+은/jxc
경제중심체제와	경제/ncn+중심/ncn+체제/ncn+와/jcj
민족주의	민족/ncn+주의/ncn
경향이	경향/ncn+이/jcs
혼재된	혼재/ncpa+되/xsv+ㄴ/etm
상태로	상태/ncn+로/jca
유지될	유지/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
이렇게	이렇/pad+게/ecs
되면	되/pvg+면/ecs
현재	현재/ncn
세계경찰의	세계/ncn+경찰/ncn+의/jcm
역할을	역할/ncn+을/jco
담당하고	담당/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
미국의	미국/nq+의/jcm
국제적	국제/ncn+적/xsn
역할은	역할/ncn+은/jxc
점차	점차/mag
강조될	강조/ncpa+되/xsv+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없고	없/paa+고/ecc
새로	새로/mag
부상하는	부상/ncpa+하/xsv+는/etm
일본과	일본/nq+과/jcj
EC	EC/f
의	의/jcm
영향력도	영향/ncn+력/xsn+도/jxc
커질	크/paa+어/ecx+지/px+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
1990	1990/nno
년을	년/nbu+을/jco
정점으로	정점/ncn+으로/jca
변화의	변화/ncn+의/jcm
바람을	바람/ncn+을/jco
맞기	맞/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
지구촌은	지구/ncn+촌/xsn+은/jxc
그동안	그/mms+동안/ncn
동서진영의	동서/ncn+진영/ncn+의/jcm
화해	화해/ncn
,	,/sp
동구권의	동구/ncn+권/xsn+의/jcm
개방과	개방/ncn+과/jcj
민주화	민주/ncn+화/xsn
,	,/sp
독일의	독일/nq+의/jcm
통일	통일/ncn
,	,/sp
공산당의	공산당/ncn+의/jcm
몰락과	몰락/ncn+과/jcj
소연방의	소연방/nq+의/jcm
해체	해체/ncn
등과	등/nbn+과/jct
같은	같/paa+은/etm
이데올로기	이데올로기/ncn
시대의	시대/ncn+의/jcm
종말을	종말/ncn+을/jco
경험했다	경험/ncpa+하/xsv+었/ep+다/ef
.	./sf
이뿐	이/npd+뿐/nbn
아니라	아니/paa+라/ecs
지구촌은	지구/ncn+촌/xsn+은/jcs
리투아니아	리투아니아/nq
,	,/sp
라트비아	라트비아/nq
,	,/sp
에스토니아의	에스토니아/nq+의/jcm
독립과	독립/ncn+과/jcj
유고슬라비아	유고슬라비아/nq
내전	내전/ncn
,	,/sp
크루드	크루드/nq
난민문제	난민/ncn+문제/ncn
등	등/nbn
종족의	종족/ncn+의/jcm
안전과	안전/ncn+과/jcj
생존을	생존/ncn+을/jco
보장받기	보장/ncn+받/pvg+기/etn
위한	위하/pvg+ㄴ/etm
몸부림으로	몸부림/ncn+으로/jca
분쟁이	분쟁/ncn+이/jcs
계속되고	계속/ncpa+되/xsv+고/ecx
있는데	있/px+는데/ecs
이것은	이것/npd+은/jxc
앞으로	앞/ncn+으로/jca
민족주의	민족/ncn+주의/ncn
경향이	경향/ncn+이/jcs
더욱	더욱/mag
드세질	드세/paa+어/ecx+지/px+ㄹ/etm
것을	것/nbn+을/jco
예고해	예고/ncpa+하/xsv+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
이데올로기와	이데올로기/ncn+와/jcj
민족주의에	민족/ncn+주의/ncn+에/jca
의한	의하/pvg+ㄴ/etm
혼란은	혼란/ncn+은/jxc
강대국들의	강대국/ncn+들/xsn+의/jcm
조정자	조정/ncn+자/xsn
역할을	역할/ncn+을/jco
불러일으키고	부르/pvg+어/ecs+일으키/pvg+고/ecx
있다	있/px+다/ef
.	./sf
특히	특히/mag
걸프전에서	걸프전/nq+에서/jca
미국을	미국/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
다국적군의	다국적/ncn+군/ncn+의/jcm
역할은	역할/ncn+은/jxc
앞으로	앞/ncn+으로/jca
국제적	국제/ncn+적/xsn
조정자의	조정/ncn+자/xsn+의/jcm
역할과	역할/ncn+과/jcj
조정방법의	조정/ncn+방법/ncn+의/jcm
좋은	좋/paa+은/etm
사례가	사례/ncn+가/jcc
되고	되/pvg+고/ecx
있다	있/px+다/ef
.	./sf
특히	특히/mag
걸프전에서	걸프전/nq+에서/jca
미국을	미국/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
다국적군의	다국적/ncn+군/ncn+의/jcm
역할은	역할/ncn+은/jxc
앞으로	앞/ncn+으로/jca
국제적	국제/ncn+적/xsn
조정자의	조정/ncn+자/xsn+의/jcm
역할과	역할/ncn+과/jcj
조정방법의	조정/ncn+방법/ncn+의/jcm
좋은	좋/paa+은/etm
사례가	사례/ncn+가/jcc
되고	되/pvg+고/ecx
있다	있/px+다/ef
.	./sf
당분간	당분간/ncn
세계대전으로	세계대전/ncn+으로/jca
치닫는	치닫/pvg+는/etm
전면전을	전면/ncn+전/xsn+을/jco
우려할	우려/ncpa+하/xsv+ㄹ/etm
필요는	필요/ncn+는/jxc
없겠지만	없/paa+겠/ep+지만/ecs
앞으로	앞/ncn+으로/jca
국제적	국제/ncn+적/xsn
조정자의	조정/ncn+자/xsn+의/jcm
역할과	역할/ncn+과/jcj
조정방법의	조정/ncn+방법/ncn+의/jcm
좋은	좋/paa+은/etm
사례가	사례/ncn+가/jcc
되고	되/pvg+고/ecx
있다	있/px+다/ef
.	./sf
당분간	당분간/ncn
세계대전으로	세계대전/ncn+으로/jca
치닫는	치닫/pvg+는/etm
전면전을	전면/ncn+전/xsn+을/jco
우려할	우려/ncpa+하/xsv+ㄹ/etm
필요는	필요/ncn+는/jxc
없겠지만	없/paa+겠/ep+지만/ecs
앞으로도	앞/ncn+으로/jca+도/jxc
걸프전	걸프전/nq
같이	같/paa+이/xsa
국제적	국제/ncn+적/xsn
이해관계가	이해/ncn+관계/ncn+가/jcs
얽힌	얽히/pvg+ㄴ/etm
국지전의	국지/ncn+전/xsn+의/jcm
발발	발발/ncn
가능성은	가능/ncn+성/xsn+은/jxc
세계대전으로	세계대전/ncn+으로/jca
치닫는	치닫/pvg+는/etm
전면전을	전면/ncn+전/xsn+을/jco
우려할	우려/ncpa+하/xsv+ㄹ/etm
필요는	필요/ncn+는/jxc
없겠지만	없/paa+겠/ep+지만/ecs
앞으로도	앞/ncn+으로/jca+도/jxc
걸프전같이	걸프전/nq+같/paa+이/xsa
국제적	국제/ncn+적/xsn
이해관계가	이해/ncn+관계/ncn+가/jcs
얽힌	얽히/pvg+ㄴ/etm
국지전의	국지/ncn+전/xsn+의/jcm
발발	발발/ncn
가능성은	가능/ncn+성/xsn+은/jxc
세계도처에	세계/ncn+도처/ncn+에/jca
상존하고	상존/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
특히	특히/mag
북한의	북한/nq+의/jcm
핵문제를	핵/ncn+문제/ncn+를/jco
빌미로	빌미/ncn+로/jca
국제적	국제/ncn+적/xsn
압력과	압력/ncn+과/jcj
통제를	통제/ncn+를/jco
위한	위하/pvg+ㄴ/etm
다국적군이	다국적/ncn+군/ncn+이/jcs
탄생될	탄생/ncpa+되/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있을	있/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
힘을	힘/ncn+을/jco
바탕으로	바탕/ncn+으로/jca
한	하/pvg+ㄴ/etm
강대국의	강대국/ncn+의/jcm
조정자	조정/ncn+자/xsn
역할	역할/ncn
,	,/sp
특히	특히/mag
미국의	미국/nq+의/jcm
국제적	국제/ncn+적/xsn
조정자로서의	조정/ncn+자/xsn+로서/jca+의/jcm
역할은	역할/ncn+은/jxc
계속될	계속/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
전망된다	전망/ncpa+되/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
,	,/sp
국제적	국제/ncn+적/xsn
조정자의	조정/ncn+자/xsn+의/jcm
능력은	능력/ncn+은/jxc
앞으로	앞/ncn+으로/jca
더	더/mag
이상	이상/ncn
군사력에	군사/ncn+력/xsn+에/jca
의존하지	의존/ncpa+하/xsv+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
앨빈토플러의	앨빈토플러/nq+의/jcm
'	'/sl
권력의	nq[권력/ncn+의/jcm
이동	이동/ncn]nq
'	'/sr
을	을/jco
예로	예/ncn+로/jca
들지	들/pvg+지/ecx
않더라도	않/px+더라도/ecs
앞으로	앞/ncn+으로/jca
국제관계에서	국제/ncn+관계/ncn+에서/jca
가장	가장/mag
큰	크/paa+ㄴ/etm
영향력을	영향/ncn+력/xsn+을/jco
갖는	갖/pvg+는/etm
것은	것/nbn+은/jxc
군사력보다는	군사/ncn+력/xsn+보다/jca+는/jxc
경제력이	경제/ncn+력/xsn+이/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
시간이	시간/ncn+이/jcs
흐름에	흐르/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
경제력보다는	경제/ncn+력/xsn+보다/jca+는/jxc
지식과	지식/ncn+과/jcj
정보력이	정보/ncn+력/xsn+이/jcs
더	더/mag
큰	크/paa+ㄴ/etm
힘을	힘/ncn+을/jco
발휘하게	발휘/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
권력의	권력/ncn+의/jcm
중심이	중심/ncn+이/jcs
경제력으로	경제/ncn+력/xsn+으로/jca
이동함에	이동/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
그	그/mmd
동안	동안/ncn
미국의	미국/nq+의/jcm
군사력에	군사/ncn+력/xsn+에/jca
묻혀있던	묻히/pvg+어/ecx+있/px+던/etm
일본과	일본/nq+과/jcj
유럽공동체가	유럽공동체/nq+가/jcs
국제사회에서	국제/ncn+사회/ncn+에서/jca
갖는	갖/pvg+는/etm
영향력은	영향/ncn+력/xsn+은/jxc
상대적으로	상대/ncn+적/xsn+으로/jca
커질	크/paa+어/ecx+지/px+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
권력의	권력/ncn+의/jcm
이동	이동/ncn
추세와	추세/ncn+와/jct
거리를	거리/ncn+를/jco
두고	두/pvg+고/ecx
있지만	있/px+지만/ecs
제	제/xp
3	3/nno
의	의/jcm
지구촌의	지구/ncn+촌/xsn+의/jcm
실세인	실세/ncn+이/jp+ㄴ/etm
중국의	중국/nq+의/jcm
부상도	부상/ncn+도/jxc
괄목할	괄목/ncpa+하/xsv+ㄹ/etm
만한	만하/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
한반도는	한반도/nq+는/jxc
근대화를	근대/ncn+화/xsn+를/jco
서두르고	서두르/pvg+고/ecx
있는	있/px+는/etm
중국과	중국/nq+과/jct
방위력을	방위/ncn+력/xsn+을/jco
꾸준히	꾸준/ncn+히/xsa
증가하고	증가/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
경제대국	경제/ncn+대국/ncn
일본의	일본/nq+의/jcm
사이에	사이/ncn+에/jca
놓이게	놓이/pvg+게/ecs
되어	되/pvg+어/ecs
동북아	동북아/nq
경제권의	경제/ncn+권/xsn+의/jcm
중심국이	중심국/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
뿐만	뿐만/maj
아니라	아니/paa+라/ecs
한반도는	한반도/nq+는/jcs
미국과	미국/nq+과/jcj
러시아의	러시아/nq+의/jcm
경제	경제/ncn
정치적	정치/ncn+적/xsn
이해관계가	이해/ncn+관계/ncn+가/jxc
얽혀	얽히/pvg+어/ecx
있어서	있/paa+어서/ecs
지구촌의	지구/ncn+촌/xsn+의/jcm
중요지역으로	중요/ncn+지역/ncn+으로/jca
부상될	부상/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
경제측면에서	경제/ncn+측면/ncn+에서/jca
지구촌은	지구/ncn+촌/xsn+은/jxc
지역간	지역/ncn+간/nbn
경제블록화	경제/ncn+블록/ncn+화/xsn
현상이	현상/ncn+이/jcs
강화될	강화/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
그	그/mmd
동안	동안/ncn
동구의	동구/ncn+의/jcm
공산주의와	공산/ncn+주의/ncn+와/jcj
사회주의체제가	사회/ncn+주의/ncn+체제/ncn+가/jcs
몰락함에	몰락/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
자본주의	자본/ncn+주의/ncn
경제체제가	경제/ncn+체제/ncn+가/jcs
사회주의	사회/ncn+주의/ncn
경제체제보다	경제/ncn+체제/ncn+보다/jca
우월하다는	우월/ncps+하/xsm+다/ef+는/etm
것이	것/nbn+이/jcs
입증되었다	입증/ncpa+되/xsv+었/ep+다/ef
.	./sf
따라서	따라서/maj
경제적이득을	경제/ncn+적/xsn+이득/ncn+을/jco
추구하기	추구/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
국가간	국가/ncn+간/nbn
경제협력체제가	경제/ncn+협력/ncn+체제/ncn+가/jcs
사회주의체제를	사회/ncn+주의/ncn+체제/ncn+를/jco
몰락한것이	몰락/ncpa+하/xsv+ㄴ/etm+것/nbn+이/jxc
입증되었다	입증/ncpa+되/xsv+었/ep+다/ef
.	./sf
따라서	따라서/maj
경제적	경제/ncn+적/xsn
이득을	이득/ncn+을/jco
추구하기	추구/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
국가간	국가/ncn+간/nbn
경제협력체제가	경제/ncn+협력/ncn+체제/ncn+가/jcs
활발히	활발/ncn+히/xsa
진행될	진행/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
협력체제는	협력/ncn+체제/ncn+는/jcs
통합을	통합/ncn+을/jco
이룩한	이룩/ncpa+하/xsv+ㄴ/etm
EC	EC/f
,	,/sp
미국과	미국/nq+과/jcj
캐나다	캐나다/nq
,	,/sp
그리고	그리고/maj
멕시코가	멕시코/nq+가/jcs
포함된	포함/ncpa+되/xsv+ㄴ/etm
북미자유무역지대	북미자유무역지대/nq
(	(/sl
NAFTA	NAFTA/f
),	)/sr+,/sp
아태경제협력회의	아태경제협력회의/nq
(	(/sl
APEC	APEC/f
:	:/sp
Asia	Asia/f
-	-/sd
Pacific	Pacific/f
Eco	Eco/f
-	-/sd
nomic	nomic/f
Cooperation	Cooperation/f
),	)/sr+,/sp
남북한	남북한/nq
중국	중국/nq
일본	일본/nq
러시아	러시아/nq
몽고	몽고/nq
등의	등/nbn+의/jcm
참여를	참여/ncn+를/jco
전제로	전제/ncn+로/jca
한	하/pvg+ㄴ/etm
동북아경제권	동북아/nq+경제/ncn+권/xsn
구상	구상/ncn
등	등/nbn
국제경제체제의	국제/ncn+경제/ncn+체제/ncn+의/jcm
블록화	블록/ncn+화/xsn
현상이	현상/ncn+이/jcs
가시화되고	가시화/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
세계경제	세계/ncn+경제/ncn
질서에서	질서/ncn+에서/jca
경제	경제/ncn
강대국	강대국/ncn
일본의	일본/nq+의/jcm
역할이	역할/ncn+이/jcs
증대되고	증대/ncpa+되/xsv+고/ecc
아시아지역을	아시아/nq+지역/ncn+을/jco
중심으로	중심/ncn+으로/jca
한	하/pvg+ㄴ/etm
신흥공업국이	신흥/ncn+공업/ncn+국/xsn+이/jcs
급부상될	급부상/ncpa+되/xsv+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
경제블록간	경제/ncn+블록/ncn+간/nbn
보호무역주의가	보호/ncn+무역/ncn+주의/ncn+가/jcs
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
또한	또한/maj
선진국에서는	선진/ncn+국/xsn+에서/jca+는/jxc
정보산업	정보/ncn+산업/ncn
,	,/sp
중동국가에서는	중동/nq+국가/ncn+에서/jca+는/jxc
중화학	중화학/ncn
공업	공업/ncn
,	,/sp
후발개도국에서는	후발/ncn+개도/ncn+국/xsn+에서/jca+는/jxc
중화학	중화학/ncn
공업	공업/ncn
,	,/sp
후발개도국에서는	후발/ncn+개도/ncn+국/xsn+에서/jca+는/jxc
노동집약적	노동/ncn+집약/ncn+적/xsn
경공업	경공업/ncn
및	및/maj
단순중공업	단순/ncn+중공업/ncn
등의	등/nbn+의/jcm
산업발전이	산업/ncn+발전/ncn+이/jcs
전개되어	전개/ncpa+되/xsv+어/ecx
산업의	산업/ncn+의/jcm
국제	국제/ncn
분업화	분업/ncn+화/xsn
현상이	현상/ncn+이/jcs
더욱	더욱/mag
진전될	진전/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
국내환경	국내/ncn+환경/ncn
변화전망	변화/ncn+전망/ncn
현재의	현재/ncn+의/jcm
경제성장	경제/ncn+성장/ncn
추세를	추세/ncn+를/jco
유지하고	유지/ncpa+하/xsv+고/ecc
국제정세가	국제/ncn+정세/ncn+가/jxc
예측	예측/ncn
가능한	가능/ncpa+하/xsv+ㄴ/etm
수준에서	수준/ncn+에서/jca
안정된다고	안정/ncpa+되/xsv+ㄴ다고/ecs
가정할	가정/ncpa+하/xsv+ㄹ/etm
때	때/ncn
21	21/nno
세기	세기/ncn
초	초/ncn
한국의	한국/nq+의/jcm
경제규모는	경제/ncn+규모/ncn+는/jcs
선진국	선진/ncn+국/xsn
수준에	수준/ncn+에/jca
이를	이르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
전망된다	전망/ncpa+되/xsv+ㄴ다/ef
.	./sf
즉	즉/maj
2001	2001/nno
년경의	년/nbn+경/xsn+의/jcm
국민	국민/ncn
총생산액이	총/xp+생산/ncn+액/xsn+이/jcs
약	약/mma
8,000	8,000/nnc
억	억/nbu
$,	$/su+,/sp
1	1/nnc
인당	인/nbu+당/xsn
GNP	GNP/f
약	약/mma
17,000	17,000/nnc
$	$/su
이상	이상/ncn
,	,/sp
수출입액	수출입/ncn+액/xsn
약	약/mma
4,000	4,000/nnc
억	억/nbu
$	$/su
이상으로	이상/ncn+으로/jca
확대될	확대/ncpa+되/xsv+ㄹ/etm
전망이다	전망/ncn+이/jp+다/ef
.	./sf
산업구조면에서	산업/ncn+구조/ncn+면/ncn+에서/jca
농림어업은	농림/ncn+어업/ncn+은/jxc
현	현/mma
10	10/nnc
%	%/su
수준에서	수준/ncn+에서/jca
더욱	더욱/mag
감소되어	감소/ncpa+되/xsv+어/ecx
8	8/nnc
%	%/su
수준으로	수준/ncn+으로/jca
내려가는	내리/pvg+어/ecs+가/pvg+는/etm
반면	반면/maj
,	,/sp
광공업은	광공업/ncn+은/jcs
성장주도산업으로의	성장/ncn+주도/ncn+산업/ncn+으로/jca+의/jcm
꾸준한	꾸준/ncps+하/xsm+ㄴ/etm
증가로	증가/ncn+로/jca
현	현/mma
약	약/mma
32	32/nnc
%	%/su
수준에서	수준/ncn+에서/jca
35	35/nnc
%	%/su
수준	수준/ncn
이상으로	이상/ncn+으로/jca
높아지며	높/paa+아/ecx+지/px+며/ecc
,	,/sp
사회간접자본	사회/ncn+간접/ncn+자본/ncn
및	및/maj
서비스부문은	서비스/ncn+부문/ncn+은/jcs
정보화	정보/ncn+화/xsn
산업의	산업/ncn+의/jcm
진전과	진전/ncn+과/jcj
개인서비스	개인/ncn+서비스/ncn
산업이	산업/ncn+이/jcs
확대됨에	확대/ncpa+되/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
업종은	업종/ncn+은/jxc
다양화	다양/ncn+화/xsn
되겠지만	되/pvg+겠/ep+지만/ecs
부가가치	부가/ncn+가치/ncn
기준으로는	기준/ncn+으로/jca+는/jxc
오히려	오히려/mag
감소하여	감소/ncpa+하/xsv+어/ecx
현수준인	현/mma+수준/ncn+이/jp+ㄴ/etm
56	56/nnc
%	%/su
정도를	정도/ncn+를/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
취업구조면에서는	취업/ncn+구조/ncn+면/ncn+에서/jca+는/jxc
농림	농림/ncn
어업은	어업/ncn+은/jxc
현	현/mma
10	10/nnc
%	%/su
수준에서	수준/ncn+에서/jca
더욱	더욱/mag
감소되어	감소/ncpa+되/xsv+어/ecx
8	8/nnc
%	%/su
수준으로	수준/ncn+으로/jca
내려가는	내리/pvg+어/ecs+가/pvg+는/etm
반면	반면/maj
,	,/sp
광공업은	광공업/ncn+은/jcs
성장주도산업으로의	성장/ncn+주도/ncn+산업/ncn+으로/jca+의/jcm
꾸준한	꾸준/ncps+하/xsm+ㄴ/etm
증가로	증가/ncn+로/jca
현	현/mma
약	약/mma
32	32/nnc
%	%/su
수준에서	수준/ncn+에서/jca
35	35/nnc
%	%/su
수준	수준/ncn
이상으로	이상/ncn+으로/jca
높아지며	높/paa+아/ecx+지/px+며/ecc
,	,/sp
사회간접자본	사회/ncn+간접/ncn+자본/ncn
및	및/maj
서비스부문은	서비스/ncn+부문/ncn+은/jcs
정보화	정보/ncn+화/xsn
산업의	산업/ncn+의/jcm
진전과	진전/ncn+과/jcj
개인서비스	개인/ncn+서비스/ncn
산업이	산업/ncn+이/jcs
확대됨에	확대/ncpa+되/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
업종은	업종/ncn+은/jxc
다양화되겠지만	다양/ncn+화/xsn+되/xsv+겠/ep+지만/ecs
부가가치	부가/ncn+가치/ncn
기준으로는	기준/ncn+으로/jca+는/jxc
오히려	오히려/mag
감소하여	감소/ncpa+하/xsv+어/ecx
현수준인	현/mma+수준/ncn+이/jp+ㄴ/etm
56	56/nnc
%	%/su
정도를	정도/ncn+를/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
취업	취업/ncn
구조면에서는	구조/ncn+면/ncn+에서/jca+는/jxc
농림어업은	농림/ncn+어업/ncn+은/jcs
꾸준히	꾸준/ncn+히/xsa
감소되어	감소/ncpa+되/xsv+어/ecx
현	현/mma
약	약/mma
21	21/nnc
%	%/su
수준에서	수준/ncn+에서/jca
14	14/nnc
%	%/su
이하로	이하/ncn+로/jca
내려가고	내리/pvg+어/ecs+가/pvg+고/ecs
,	,/sp
광공업과	광공업/ncn+과/jcj
사회간접자본	사회/ncn+간접/ncn+자본/ncn
및	및/maj
서비스	서비스/ncn
부문은	부문/ncn+은/jcs
업종의	업종/ncn+의/jcm
다양화로	다양/ncn+화/xsn+로/jca
취업자	취업/ncn+자/xsn
구성비가	구성/ncn+비/ncn+가/jcs
꾸준히	꾸준/ncn+히/xsa
증가되어	증가/ncpa+되/xsv+어/ecx
각각	각각/mag
현	현/mma
약	약/mma
29	29/nnc
%,	%/su+,/sp
50	50/nnc
%	%/su
수준에서	수준/ncn+에서/jca
32	32/nnc
%,	%/su+,/sp
55	55/nnc
%	%/su
수준으로	수준/ncn+으로/jca
높아질	높/paa+아/ecx+지/px+ㄹ/etm
전망이다	전망/ncpa+이/jp+다/ef
.	./sf
도시화가	도시/ncn+화/xsn+가/jcs
진전되고	진전/ncpa+되/xsv+고/ecc
산업기술이	산업/ncn+기술/ncn+이/jcs
고도화됨에	고도/ncn+화/xsn+되/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
사회구조가	사회/ncn+구조/ncn+가/jcs
변화될	변화/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
2001	2001/nno
년경	년/nbn+경/xsn
우리나라의	우리/npp+나라/ncn+의/jcm
인구는	인구/ncn+는/jcs
약	약/mma
4,700	4,700/nnc
만	만/nnc
