<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
.	./sf
민들레	민들레/nq
/	//sp
땅	땅/ncn
속	속/ncn
깊이	깊/paa+이/xsa
뿌리내리는	뿌리/ncn+내리/pvg+는/etm
민초	민초/ncn
26	26/nno
.	./sf
소나무	소나무/ncn
/	//sp
이파리	이파리/ncn
두	두/nnc
개	개/nbu
달린	달리/pvg+ㄴ/etm
이엽송이	이엽송/ncn+이/jcs
토종	토종/ncn
27	27/nno
.	./sf
고추	고추/ncn
/	//sp
톡	톡/mag
쏘는	쏘/pvg+는/etm
매운맛	맵/paa+ㄴ/etm+맛/ncn
,	,/sp
시집살이의	시집/ncn+살이/xsn+의/jcm
상징	상징/ncn
28	28/nno
.	./sf
마늘	마늘/ncn
/	//sp
단군신화에도	단군/nq+신화/ncn+에/jca+도/jxc
등장하는	등장/ncpa+하/xsv+는/etm
강력한	강력/ncps+하/xsm+ㄴ/etm
-	-/sd
4	4/nno
-	-/sd
항균제	항균/ncn+제/xsn
29	29/nno
.	./sf
생강	생강/ncn
/	//sp
독특한	독특/ncps+하/xsm+ㄴ/etm
맛과	맛/ncn+과/jcj
향기	향기/ncn
270     <       </sl
과실류	과실/ncn+류/xsn
>	>/sr
30	30/nno
.	./sf
밤	밤/ncn
/	//sp
토종밤은	토종/ncn+밤/ncn+은/jxc
약밤	약밤/ncn
31	31/nno
.	./sf
은행	은행/ncn
/	//sp
무병장수하는	무병/ncn+장수/ncpa+하/xsv+는/etm
이	이/mmd
땅의	땅/ncn+의/jcm
황금나무	황금/ncn+나무/ncn
32	32/nno
.	./sf
대추	대추/ncn
/	//sp
단오날	단오/nq+날/ncn
시집가는	시집/ncn+가/pvg+는/etm
양반	양반/ncn
나무	나무/ncn
33	33/nno
.	./sf
감	감/ncn
(	(/sl
곶감	곶감/ncn
)/	)/sr+//sp
울던	울/pvg+더/ep+ㄴ/etm
아이도	아이/ncn+도/jxc
울음을	울음/ncn+을/jco
그친	그치/pvg+ㄴ/etm
곶감맛	곶감/ncn+맛/ncn
34	34/nno
.	./sf
도토리	도토리/ncn
/	//sp
옛날엔	옛날/ncn+에/jca+는/jxc
개밥에	개밥/ncn+에/jca
도토리	도토리/ncn
,	,/sp
지금은	지금/ncn+은/jxc
미용건강식	미용/ncn+건강식/ncn
35	35/nno
.	./sf
사과	사과/ncn
/	//sp
마술의	마술/ncn+의/jcm
과일	과일/ncn
36	36/nno
.	./sf
잣	잣/ncn
/	//sp
우리나라의	우리/npp+나라/ncn+의/jcm
특산물	특산/ncn+물/xsn
37	37/nno
.	./sf
호두	호두/ncn
/	//sp
사람의	사람/ncn+의/jcm
머리를	머리/ncn+를/jco
닮은	닮/pvg+은/etm
고급	고급/ncn
과일	과일/ncn
337     <       </sl
해산물류	해산/ncn+물/xsn+류/xsn
>	>/sr
38	38/nno
.	./sf
명태	명태/ncn
/	//sp
동해안의	동해안/nq+의/jcm
보물	보물/ncn
39	39/nno
.	./sf
김	김/ncn
/	//sp
식욕	식욕/ncn
돋구는	돋구/pvg+는/etm
장수식품	장수/ncn+식품/ncn
40	40/nno
.	./sf
미역	미역/ncn
/	//sp
산후	산후/ncn
조리에	조리/ncn+에/jca
빠질	빠지/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
회복식	회복식/ncn
41	41/nno
.	./sf
가자미	가자미/ncn
/	//sp
가자미	가자미/ncn
눈은	눈/ncn+은/jxc
오른쪽에	오른쪽/ncn+에/jca
치우쳐	치우치/pvg+어/ecs
42	42/nno
.	./sf
갈치	갈치/ncn
/	//sp
배고픔을	배고픔/ncn+을/jco
참지	참/pvg+지/ecx
못하는	못하/px+는/etm
칼	칼/ncn
모양의	모양/ncn+의/jcm
바닷고기	바닷고기/ncn
43	43/nno
.	./sf
돔	돔/ncn
/	//sp
백	백/nnc
가지	가지/nbu
물고기의	물고기/ncn+의/jcm
왕	왕/ncn
,	,/sp
최고의	최고/ncn+의/jcm
횟감	횟감/ncn
44	44/nno
.	./sf
돔	돔/ncn
(	(/sl
참조기	참조기/ncn
)/	)/sr+//sp
누런	누렇/paa+ㄴ/etm
황금색의	황금/ncn+색/ncn+의/jcm
영광굴비가	영광굴비/nq+가/jcs
토종	토종/ncn
45	45/nno
.	./sf
오징어	오징어/ncn
/	//sp
까마귀의	까마귀/ncn+의/jcm
적	적/ncn
오적어	오적어/ncn
(	(/sl
烏賊魚	烏賊魚/ncn
)	)/sr
46	46/nno
.	./sf
해삼	해삼/ncn
/	//sp
여름잠	여름/ncn+잠/ncn
자는	자/pvg+는/etm
바다의	바다/ncn+의/jcm
삼	삼/ncn
(	(/sl
蔘	蔘/ncn
)	)/sr
47	47/nno
.	./sf
굴	굴/ncn
/	//sp
갯바위에	갯바위/ncn+에/jca
피는	피/pvg+는/etm
꽃	꽃/ncn
430     <       </sl
동물류	동물/ncn+류/xsn
>	>/sr
48	48/nno
.	./sf
한우	한우/ncn
/	//sp
이	이/mmd
땅의	땅/ncn+의/jcm
농부를	농부/ncn+를/jco
닮은	닮/pvg+은/etm
우공	우공/ncn
49	49/nno
.	./sf
오리	오리/ncn
/	//sp
현대인의	현대/ncn+인/xsn+의/jcm
공해독을	공해/ncn+독/ncn+을/jco
풀어주는	풀/pvg+어/ecx+주/px+는/etm
명약	명약/ncn
50	50/nno
.	./sf
염소	염소/ncn
/	//sp
정력에	정력/ncn+에/jca
좋은	좋/paa+은/etm
수염있는	수염/ncn+있/paa+는/etm
소	소/ncn
51	51/nno
.	./sf
토종닭	토종/ncn+닭/ncn
(	(/sl
오골계	오골계/nq
)/	)/sr+//sp
토속적인	토속/ncn+적/xsn+이/jp+ㄴ/etm
삶	삶/ncn
속에	속/ncn+에/jca
뿌리내린	뿌리/ncn+내리/pvg+ㄴ/etm
영물	영물/ncn
52	52/nno
.	./sf
토종	토종/ncn
돼지	돼지/ncn
/	//sp
제사상에	제사/ncn+상/ncn+에/jca
머리	머리/ncn
올리는	올리/pvg+는/etm
부와	부/ncn+와/jcj
재물의	재물/ncn+의/jcm
상징	상징/ncn
53	53/nno
.	./sf
토종벌	토종/ncn+벌/ncn
(	(/sl
한봉	한봉/nq
)/	)/sr+//sp
추위와	추위/ncn+와/jcj
전염병에	전염/ncn+병/ncn+에/jca
강한	강하/paa+ㄴ/etm
토종벌	토종/ncn+벌/ncn
54	54/nno
.	./sf
한국호랑이	한국/nq+호랑이/ncn
/	//sp
우리나라를	우리/npp+나라/ncn+를/jco
상징하는	상징/ncpa+하/xsv+는/etm
백수의	백수/ncn+의/jcm
왕	왕/ncn
55	55/nno
.	./sf
까치	까치/ncn
/	//sp
상서로운	상서롭/paa+ㄴ/etm
영물	영물/ncn
,	,/sp
한국의	한국/nq+의/jcm
나라새	나라/ncn+새/ncn
56	56/nno
.	./sf
개	개/ncn
/	//sp
충성과	충성/ncn+과/jcj
의리의	의리/ncn+의/jcm
화신	화신/ncn
514     <       </sl
기호품	기호/ncn+품/xsn
>	>/sr
57	57/nno
.	./sf
차	차/ncn
(	(/sl
茶	茶/ncn
)/	)/sr+//sp
애연가와	애연/ncn+가/xsn+와/jcj
고기를	고기/ncn+를/jco
즐기는	즐기/pvg+는/etm
사람에게	사람/ncn+에게/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
비타민의	비타민/ncn+의/jcm
보고	보고/ncn
58	58/nno
.	./sf
토종술	토종/ncn+술/ncn
/	//sp
인류와	인류/ncn+와/jct
함께	함께/mag
탄생한	탄생/ncpa+하/xsv+ㄴ/etm
풍류의	풍류/ncn+의/jcm
상징	상징/ncn
-	-/sd
8	8/nno
-	-/sd
-	-/sd
8	8/nno
-	-/sd
545     <       </sl
토종이란	토종/ncn+이/jp+란/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
>	>/sr
신토불이	신토불이/ncn
(	(/sl
身土不二	身土不二/ncn
),	)/sr+,/sp
향토식	향토식/ncn
(	(/sl
鄕土食	鄕土食/ncn
)	)/sr
은	은/jxc
자연건강의	자연/ncps+건강/ncn+의/jcm
원리	원리/ncn
서구식	서구/ncn+식/xsn
식단으로	식단/ncn+으로/jca
식생활문화가	식생활/ncn+문화/ncn+가/jcs
바뀌고외국	바뀌/pvg+고/ecc+외국/ncn
농산물이	농산/ncn+물/xsn+이/jcs
우리	우리/npp
식탁을	식탁/ncn+을/jco
점령하는	점령/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
염려하는	염려/ncpa+하/xsv+는/etm
목소리가	목소리/ncn+가/jcs
여기저기서들려오고	여기저기/npd+서/jca+들리/pvg+어/ecx+오/px+고
여기저기서들려오고	/ecx
있다	있/px+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
움직임은	움직임/ncn+은/jxc
'	'/sl
우리	우리/npp
농산물	농산/ncn+물/xsn
먹기	먹/pvg+기/etn
'	'/sr
또는	또는/maj
'	'/sl
우리밀	우리/npp+밀/ncn
살리기	살리/pvg+기/etn
운동	운동/ncn
'	'/sl
등	등/nbn
여러가지	여러/mma+가지/nbu
방법으로	방법/ncn+으로/jca
실천되고	실천/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
농산물	농산/ncn+물/xsn
수입개방화	수입/ncn+개방/ncn+화/xsn
물결에	물결/ncn+에/jca
맞서	맞서/pvg+어/ecs
펼쳐지고있는	펼치/pvg+어/ecx+지/px+고/ecx+있/px+는/etm
이러한	이러하/pad+ㄴ/etm
운동의	운동/ncn+의/jcm
사상적	사상/ncn+적/xsn
바탕은	바탕/ncn+은/jxc
'	'/sl
신토불이	신토불이/ncn
(	(/sl
身土不二	身土不二/nq
)'	)/sr+'/sl
라는	라/ef+는/etm
말로	말/ncn+로/jca
요약할수	요약/ncpa+하/xsv+ㄹ/etm+수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
신토불이	신토불이/ncn
(	(/sl
身土不二	身土不二/ncn
).	)/sr+./sf
이것은	이것/npd+은/jxc
우리	우리/npp
몸과	몸/ncn+과/jcj
우리가	우리/npp+가/jcs
발붙이고살아가는	발/ncn+붙이/pvg+고/ecc+살/pvg+아/ecx+가/px+는/etm
땅이	땅/ncn+이/jcs
둘이	둘/nnc+이/jcs
아닌	아니/paa+ㄴ/etm
하나라는	하나/nnc+라/ef+는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf
우리	우리/npp
인간도	인간/ncn+도/jxc
자연계	자연/ncn+계/xsn
생물	생물/ncn
중의하나이며	중/nbn+의/jcm+하나/nnc+이/jp+며/ecc
자연의	자연/ncn+의/jcm
일부라는	일부/ncn+라/ef+는/etm
얘기다	얘기/ncn+다/ef
.	./sf
그러므로	그러므로/maj
우리	우리/npp
몸의	몸/ncn+의/jcm
조화를	조화/ncn+를/jco
유지하기위해서는	유지/ncpa+하/xsv+기/etn+위하/pvg+어서/ecs+는/jxc
제	제/npp
고장의	고장/ncn+의/jcm
풍토에서	풍토/ncn+에서/jca
생산되어	생산/ncpa+되/xsv+어/ecs
우리	우리/npp
체질에	체질/ncn+에/jca
맞는	맞/pvg+는/etm
것을	것/nbn+을/jco
먹어야	먹/pvg+어야/ecs
한다는의미다	하/pvg+ㄴ다/ef+는/etm+의미/ncn+다/ef
.	./sf
신토불이	신토불이/ncn
사상은	사상/ncn+은/jxc
원래	원래/mag
다섯가지자연건강식	다섯/nnc+가지/nbu+자연/ncn+건강식/ncn
원리	원리/ncn
중의	중/nbn+의/jcm
하나다	하나/nnc+다/ef
.	./sf
1	1/nno
)	)/sr
제	제/npp
철에	철/ncn+에/jca
나오는	나오/pvg+는/etm
식품을섭취	식품/ncn+을/jco+섭취/ncn
(	(/sl
時食	時食/ncn
)	)/sr
하고	하/pvg+고/ecc
,	,/sp
2	2/nno
)	)/sr
제	제/npp
고장에서	고장/ncn+에서/jca
생산된	생산/ncpa+되/xsv+ㄴ/etm
것을먹으며	것/nbn+을/jco+먹/pvg+으며/ecc
(	(/sl
身土不二	身土不二/ncn
),	)/sr+,/sp
3	3/nno
)	)/sr
한	한/nnc
가지	가지/nbu
먹을거리는	먹/pvg+을/etm+거리/xsn+는/jxc
그	그/mmd
전체를먹어야	전체/ncn+를/jco+먹/pvg+어야/ecs
하며	하/pvg+며/ecc
(	(/sl
一物全體食	一物全體食/ncn
),	)/sr+,/sp
4	4/nno
)	)/sr
골고루	골고루/mag
섭취해야	섭취/ncpa+하/xsv+어야/ecs
하며	하/pvg+며/ecc
(	(/sl
均衡食	均衡食/ncn
),	)/sr+,/sp
5	5/nno
)	)/sr
가공되지	가공/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
것을	것/nbn+을/jco
먹어야한다	먹/pvg+어야/ecs+하/pvg+ㄴ다/ef
(	(/sl
非加工食	非加工食/ncn
).	)/sr+./sf
원래	원래/mag
신토불이는	신토불이/ncn+는/jxc
불교의불이	불교/nq+의/jcm+불이/ncn
(	(/sl
不二	不二/ncn
)	)/sr
사상에서	사상/ncn+에서/jca
유래된	유래/ncpa+되/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
불교에서는	불교/nq+에서/jca+는/jxc
,	,/sp
삶과	삶/ncn+과/jcj
죽음이	죽음/ncn+이/jcs
둘이	둘/nnc+이/jcc
아닌하나	아니/paa+ㄴ/etm+하나/nnc
(	(/sl
生死不二	生死不二/ncn
)	)/sr
이며	이/jp+며/ecc
색과	색/ncn+과/jcj
공은	공/ncn+은/jxc
다르지	다르/paa+지/ecx
않다	않/px+다/ef
(	(/sl
色不二空	色不二空/ncn
)	)/sr
고	고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
이것을불이철학	이것/npd+을/jco+불이철학/nq
(	(/sl
不二哲學	不二哲學/nq
)	)/sr
이라고	이/jp+라고/ecs
하는데	하/pvg+는데/ecs
이와	이/npd+와/jct
같은	같/paa+은/etm
사상이	사상/ncn+이/jcs
자연식	자연식/ncn
운동과	운동/ncn+과/jct
결부되어신토불이식의	결부/ncpa+되/xsv+어/ecs+신토불이식/ncn+의/jcm
원리를	원리/ncn+를/jco
탄생시킨	탄생/ncpa+시키/xsv+ㄴ/etm
것이라	것/nbn+이라/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
한편	한편/maj
,	,/sp
불교철학에	불교/nq+철학/ncn+에/jca
근원을	근원/ncn+을/jco
둔	두/pvg+ㄴ/etm
신토불이식은	신토불이식/ncn+은/jxc
일찌기	일찌기/mag
일본에서자연건강식	일본/nq+에서/jca+자연/ncn+건강식/ncn
운동으로	운동/ncn+으로/jca
전개된	전개/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
우리	우리/npp
입장에서는	입장/ncn+에서/jca+는/jxc
향토식	향토식/ncn
(	(/sl
鄕土食	鄕土食/ncn
)	)/sr
이라고	이/jp+라고/ecs
하는게	하/pvg+는/etm+것/nbn+이/jcs
바람직하다는	바람직/ncps+하/xsm+다/ef+는/etm
견해도	견해/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
반면에	반면/maj+에/jca
신토불이	신토불이/ncn
사상은	사상/ncn+은/jxc
신라	신라/nq
화랑도들도	화랑도/nq+들/xsn+도/jxc
추구하던	추구/ncpa+하/xsv+더/ep+ㄴ/etm
철학으로	철학/ncn+으로/jca
우리의	우리/npp+의/jcm
수천	수천/nnc
년역사와	년/nbu+역사/ncn+와/jct
맥을	맥/ncn+을/jco
같이	같이/mag
하는	하/pvg+는/etm
것이라고	것/nbn+이/jp+라고/ecs
보기도	보/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
용어의	용어/ncn+의/jcm
유래가	유래/ncn+가/jcs
어찌되었건	어찌/mag+되/xsv+었/ep+건/ecs
우리가	우리/npp+가/jcs
살고	살/pvg+고/ecx
있는	있/px+는/etm
토양에서	토양/ncn+에서/jca
얻은농산물에	얻/pvg+은/etm+농산/ncn+물/xsn+에/jca
우리에게	우리/npp+에게/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
영양소가	영양소/ncn+가/jcs
풍부히	풍부/ncn+히/xsa
들어있다는	들/pvg+어/ecx+있/px+다/ef+는/etm
사실은	사실/mag+은/jxc
이제불문가지의	이제/mag+불문가지/ncn+의/jcm
사실로	사실/ncn+로/jca
받아들여지고	받/pvg+아/ecs+들이/pvg+어/ecx+지/px+고/ecx
있다	있/px+다/ef
.	./sf
사람뿐만	사람/ncn+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
모든	모든/mma
생명체가	생명/ncn+체/xsn+가/jcs
자기가태어난	자기/ncn+가/jcs+태어나/pvg+ㄴ/etm
땅에서	땅/ncn+에서/jca
자란	자라/pvg+ㄴ/etm
식물과	식물/ncn+과/jcj
동물을	동물/ncn+을/jco
먹어야	먹/pvg+어야/ecs
건강하게	건강/ncps+하/xsm+게/ecs
생명을	생명/ncn+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
사람이	사람/ncn+이/jcs
죽으면	죽/pvg+으면/ecs
흙으로	흙/ncn+으로/jca
다시	다시/mag
돌아가게	돌아가/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
우리의	우리/npp+의/jcm
몸은	몸/ncn+은/jxc
흙의	흙/ncn+의/jcm
성질을닮았으며	성질/ncn+을/jco+닮/paa+았/ep+으며/ecc
,	,/sp
흙	흙/ncn
자체가	자체/ncn+가/jcs
생명의	생명/ncn+의/jcm
원천이라	원천/ncn+이라/jca
해도	하/pvg+어도/ecs
지나친	지나치/pvg+ㄴ/etm
말이	말/ncn+이/jcc
아니다	아니/paa+다/ef
.	./sf
인간은	인간/ncn+은/jxc
잡식동물이므로	잡식/ncn+동물/ncn+이/jp+므로/ecs
동물과	동물/ncn+과/jcj
식물을	식물/ncn+을/jco
번갈아	번갈/pvg+아/ecs
섭취하게	섭취/ncpa+하/xsv+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
이때	이/mmd+때/ncn
우리가	우리/npp+가/jcs
섭취하는	섭취/ncpa+하/xsv+는/etm
식물은	식물/ncn+은/jxc
당연히	당연/ncn+히/xsa
그	그/mmd
영양분을토양에서	영양분/ncn+을/jco+토양/ncn+에서/jca
섭취하게	섭취/ncpa+하/xsv+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
따라서	따라서/maj
토양의	토양/ncn+의/jcm
성질에	성질/ncn+에/jca
따라서	따르/pvg+아서/ecs
식물의	식물/ncn+의/jcm
성분도	성분/ncn+도/jxc
결정되는것이다	결정/ncpa+되/xsv+는/etm+것/nbn+이/jp+다/ef
.	./sf
그리고	그리고/maj
그것을	그것/npd+을/jco
섭취하는	섭취/ncpa+하/xsv+는/etm
인간의	인간/ncn+의/jcm
체질도	체질/ncn+도/jxc
결국	결국/mag
토양의	토양/ncn+의/jcm
성질을	성질/ncn+을/jco
따라가기마련이다	따르/pvg+아/ecx+가/px+기/etn+마련/nbn+이/jp+다/ef
.	./sf
동물의	동물/ncn+의/jcm
경우도	경우/ncn+도/jxc
마찬가지다	마찬가지/ncn+다/ef
.	./sf
초식동물은	초식/ncn+동물/ncn+은/jxc
그	그/mmd
땅에서	땅/ncn+에서/jca
자란	자라/pvg+ㄴ/etm
식물을	식물/ncn+을/jco
먹을것이며	먹/pvg+을/etm+것/nbn+이/jp+며/ecc
,	,/sp
육식동물은	육식/ncn+동물/ncn+은/jxc
토양	토양/ncn
-	-/sd
식물	식물/ncn
-	-/sd
초식동물	초식/ncn+동물/ncn
-	-/sd
육식동물	육식/ncn+동물/ncn
-	-/sd
인간의먹이사슬	인간/ncn+의/jcm+먹이/ncn+사슬/ncn
속에서	속/ncn+에서/jca
살아가게	살/pvg+아/ecx+가/px+게/ecx
되는	되/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
사실만으로도	사실/ncn+만/nbn+으로/jca+도/jxc
우리는	우리/npp+는/jxc
사람의	사람/ncn+의/jcm
몸과땅이	몸/ncn+과/jcj+땅/ncn+이/jcs
하나의	하나/nnc+의/jcm
유기적인	유기/ncn+적/xsn+이/jp+ㄴ/etm
관계를	관계/ncn+를/jco
이루고	이루/pvg+고/ecx
있다는	있/px+다/ef+는/etm
사실을	사실/ncn+을/jco
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
감로수가	감로수/ncn+가/jcs
흐르는	흐르/pvg+는/etm
우리	우리/npp
땅	땅/ncn
국산	국산/ncn
농산물이	농산/ncn+물/xsn+이/jcs
우리	우리/npp
입맛에	입맛/ncn+에/jca
잘	잘/mag
맞는다는	맞/pvg+는다/ef+는/etm
것은	것/nbn+은/jxc
우리의	우리/npp+의/jcm
체질이	체질/ncn+이/jcs
오랜	오래/paa+ㄴ/etm
세월동안	세월/ncn+동안/nbn
거기에	거기/npd+에/jca
길들여져	길들이/pvg+어/ecx+지/px+어/ecx
왔기	오/px+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
쌀의	쌀/ncn+의/jcm
