<tdmsfile>
<tdmsfile>
Han2.hwp
전대협과	전대협/nq+과/jcj
했다.	하/px+었/ep+다/ef+./sf
하지만	하지만/maj
황씨는	황/nq+씨/xsn+는/jxc
지금까지도	지금/ncn+까지/jxc+도/jxc
여전히	여전/ncn+히/xsa
석방촉구	석방/ncn+촉구/ncn
대상으로	대상/ncn+으로/jca
남아	남/pvg+아/ecx
있다.	있/px+다/ef+./sf
지난	지나/pvg+ㄴ/etm
7월	7/nno+월/nbu
김홍신	김홍신/nq
의원(민주)은	의원/ncn+(/sl+민주/nq+)/sr+은/jxc
황씨와	황/nq+씨/xsn+와/jct
함께	함께/mag
사노맹	nq[사노맹/nq
사건으로	사건/ncn]nq+으로/jca
무기징역을	무기/ncn+징역/ncn+을/jco
살고	살/pvg+고/ecx
있는	있/px+는/etm
시인	시인/ncn
박노해씨	박노해/nq+씨/xsn
등	등/nbn
양심수	양심/ncn+수/xsn
9명에	9/nnc+명/nbu+에/jca
대한	대하/pvg+ㄴ/etm
석방촉구	석방/ncn+촉구/ncn
서명운동을	서명/ncn+운동/ncn+을/jco
벌였다.	벌이/pvg+었/ep+다/ef+./sf
또	또/maj
지난	지나/pvg+ㄴ/etm
7월	7/nno+월/nbu
김수환	김수환/nq
추기경	추기경/ncn
등	등/nbn
141명의	141/nnc+명/nbu+의/jcm
원로는	원로/ncn+는/jxc
92년	92/nno+년/nbu
사노맹	nq[사노맹/nq
사건으로	사건/ncn]/nq+으로/jca
15년형을	15/nnc+년/nbu+형/ncn+을/jco
선고받고	선고/ncn+받/pvg+고/ecs
복역중인	복역/ncn+중/nbn+이/jp+ㄴ/etm
백태웅씨의	백태웅/nq+씨/xsn+의/jcm
사면	사면/ncn
청원을	청원/ncn+을/jco
내기도	내/pvg+기/etn+도/jxc
했다.	하/px+었/ep+다/ef+./sf
지난달	지나/pvg+ㄴ/etm+달/ncn
27일	27/nno+일/nbu
과거	과거/ncn
군사정권에서	군사/ncn+정권/ncn+에서/jca
안기부장을	안기부/nq+장/xsn+을/jco
지낸	지내/pvg+ㄴ/etm
박세직	박세직/nq
의원(신한국)은	의원/ncn+(/sl+신한국/nq+)/sr+은/jxc
국회	국회/ncn
환경노동위에서	환경노동위/nq+에서/jca
서면질의를	서면/ncn+질의/ncn+를/jco
통해	통하/pvg+어/ecs
구속	구속/ncn
노동자	노동/ncn+자/xsn
대사면을	대/xp+사면/ncn+을/jco
제안했다.	제안/ncpa+하/xsv+었/ep+다/ef+./sf
이번	이/mmd+번/nbn
논란에	논란/ncn+에/jca
대해	대하/pvg+어/ecs
학계와	학계/ncn+와/jcj
재야법조계는	재야/ncn+법조/ncn+계/xsn+는/jxc
양심수	양심/ncn+수/xsn
개념에	개념/ncn+에/jca
대해	대하/pvg+어/ecs
정부가	정부/ncn+가/jcs
편협한	편협/ncps+하/xsm+ㄴ/etm
인식과	인식/ncn+과/jct
함께	함께/mag
이중잣대를	이중/ncn+잣대/ncn+를/jco
가지고	가지/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
주장했다.	주장/ncpa+하/xsv+었/ep+다/ef+./sf
그렇지만	그렇지만/maj
검찰이나	검찰/ncn+이나/jcj
공안당국은	공안/ncn+당국/ncn+은/jxc
아무런	아무런/mmd
문제제기를	문제/ncn+제기/ncn+를/jco
하지	하/pvg+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
집권여당의	집권/ncn+여당/ncn+의/jcm
대선후보	대선/ncn+후보/ncn
경선에	경선/ncn+에/jca
나선	나서/pvg+ㄴ/etm
전	전/mma
국무총리가	국무/ncn+총리/ncn+가/jcs
이야기	이야기/ncn
할	하/pvg+ㄹ/etm
때는	때/ncn+는/jxc
아무	아무/mmd
문제가	문제/ncn+가/jcc
아니고	아니/paa+고/ecc
당선이	당선/ncn+이/jcs
유력한	유력/ncps+하/xsm+ㄴ/etm
야당총재가	야당/ncn+총재/ncn+가/jcs
이야기하면	이야기/ncpa+하/xsv+면/ecs
문제가	문제/ncn+가/jcc
되는	되/pvg+는/etm
것은	것/nbn+은/jxc
명백히	명백/ncn+히/xsa
이중	이중/ncn
잣대다.	잣대/ncn+다/ef+./sf
국내	국내/ncn
인권단체나	인권/ncn+단체/ncn+나/jcj
엠네스티	nq[엠네스티/nq
인터내셔날의	인터내셔날/ncn]nq+의/jcm
조사와	조사/ncn+와/jcj
발표에	발표/ncn+에/jca
따르면	따르/pvg+면/ecs
국내에도	국내/ncn+에/jca+도/jxc
양심수가	양심/ncn+수/xsn+가/jcs
있으며,	있/paa+으며/ecc+,/sp
엠네스티는	엠네스티/nq+는/jxc
얼마	얼마/ncn
전	전/ncn
대권	대권/ncn
후보들에게	후보/ncn+들/xsn+에게/jca
양심수문제에	양심/ncn+수/xsn+문제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공개질의를	공개/ncn+질의/ncn+를/jco
하기도	하/pvg+기/etn+도/jxc
했다.	하/px+었/ep+다/ef+./sf
북한의	북한/nq+의/jcm
정치범과	정치/ncn+범/xsn+과/jcj
인권박해에	인권/ncn+박해/ncn+에/jca
대한	대하/pvg+ㄴ/etm
엠네스티의	엠네스티/nq+의/jcm
발표를	발표/ncn+를/jco
기초로	기초/ncn+로/jca
북한의	북한/nq+의/jcm
인권개선을	인권/ncn+개선/ncn+을/jco
촉구하면서	촉구/ncpa+하/xsv+면서/ecs
우리의	우리/npp+의/jcm
인권상황에	인권/ncn+상황/ncn+에/jca
대한	대하/pvg+ㄴ/etm
엠네스티	엠네스티/nq
발표는	발표/ncn+는/jxc
무시하는	무시/ncpa+하/xsv+는/etm
것도	것/nbn+도/jxc
이중잣대다.	이중/ncn+잣대/ncn+다/ef+./sf
`폭력을	`/sl+폭력/ncn+을/jco
쓰지	쓰/pvg+지/ecx
않고	않/px+고/ecs
결과적으로	결과/ncn+적/xsn+으로/jca
실정법을	실정/ncn+법/ncn+을/jco
위반했다	위반/ncpa+하/xsv+었/ep+다/ef
하더라도	하/pvg+더라도/ecs
권위주의	권위/ncn+주의/ncn
독재정권에	독재/ncn+정권/ncn+에/jca
항의했던	항의/ncpa+하/xsv+었/ep+던/etm
반대자들을	반대/ncn+자/xsn+들/xsn+을/jco
국민통합	국민/ncn+통합/ncn
차원에서	차원/ncn+에서/jca
사면해야	사면/ncpa+하/xsv+어야/ecs
한다'고	하/px+ㄴ다/ef+'/sr+고/jcr
했으면	하pvg+었/ep+으면/ecs
좋았을	좋/paa+았/ep+을/etm
것이다.	것/nbn+이/jp+다/ef+./sf
먼저	먼저/mag
`양심수가	`/sl+양심/ncn+수/xsn+가/jcs
있느냐'는	있/paa+느냐/ef+'/sr+는/etm
기준에	기준/ncn+에/jca
따라	따르/pvg+아/ecs
달라진다.	다르/pvg+아/ecx+지/px+ㄴ다/ef+./sf
남아프리카공화국의	남아프리카공화국/nq+의/jcm
만델라	만델라/nq
대통령도	대통령/ncn+도/jxc
폭력을	폭력/ncn+을/jco
행사했지만	행사/ncpa+하/xsv+었/ep+지만/ecs
양심수의	양심/ncn+수/xsn+의/jcm
상징으로	상징/ncn+으로/jca
받아들여지고	받/pvg+아/ecs+들이/pvg+어/ecx+지/px+고/ecx
있다.	있/px+다/ef+./sf
우리사회에서	우리/npp+사회/ncn+에서/jca
양심수란	양심/ncn+수/xsn+란/jxc
반독재투쟁의	반/xp+독재/ncn+투쟁/ncn+의/jcm
과정에서	과정/ncn+에서/jca
실정법을	실정/ncn+법/ncn+을/jco
어길	어기/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없었던	없/paa+었/ep+던/etm
사람들을	사람/ncn+들/xsn+을/jco
가리킨다고	가리키/pvg+ㄴ다/ef+고/jcr
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
투쟁방법이	투쟁/ncn+방법/ncn+이/jcs
평화적이어야	평화/ncn+적/xsn+이/jp+어야/ecs
하지만	하/px+지만/ecs
설사	설사/mag
폭력적	폭력/ncn+적/xsn
방법을	방법/ncn+을/jco
사용했더라도	사용/ncpa+하/xsv+었/ep+더라도/ecs
국민저항권	국민/ncn+저항/ncn+권/xsn
차원에서	차원/ncn+에서/jca
인정될	인정/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
경우도	경우/ncn+도/jxc
있다.	있/paa+다/ef+./sf
양심수가	양심/ncn+수/xsn+가/jcs
있느냐	있/paa+느냐/ef
여부에	여부/ncn+에/jca
대한	대하/pvg+ㄴ/etm
논쟁에서	논쟁/ncn+에서/jca
`실정법을	`/sl+실정/ncn+법/ncn+을/jco
어겼느냐	어기/pvg+었/ep+느냐/ef
아니냐'는	아니/paa+냐/ef+'/sr+는/jxc
실정법상의	실정/ncn+법/ncn+상/xsn+의/jcm
기준이지만	기준/ncn+이/jp+지만/ecs
`양심과	`/sl+양심/ncn+과/jcj
사상의	사상/ncn+의/jcm
자유가	자유/ncn+가/jcs
보장돼	보장/ncpa+되/xsv+어/ecx
있느냐'는	있/px+느냐/ef+'/sr+는/jxc
국제기준으로	국제/ncn+기준/ncn+으로/jca
이보다	이/npd+보다/jca
상위개념이다.	상위/ncn+개념/ncn+이/jp+다/ef+./sf
일반적으로	일반/ncn+적/xsn+으로/jca
받아들여지는	받/pvg+아/ecs+들이/pvg+어/ecx+지/px+는/etm
`양심수'	`/sl+양심/ncn+수/xsn+'/sr
기준을	기준/ncn+을/jco
정해놓고	정하/pvg+어/ecx+놓/px+고/ecx
있는	있/px+는/etm
엠네스티의	엠네스티/nq+의/jcm
양심수	양심/ncn+수/xsn
명단에는	명단/ncn+에/jca+는/jxc
우리나라	우리/npp+나라/ncn
수감자도	수감/ncn+자/xsn+도/jxc
포함돼	포함/ncpa+되/xsv+어/ecx
있다.	있/px+다/ef+./sf
양심수란	양심/ncn+수/xsn+라/ef+ㄴ/etm
개념은	개념/ncn+은/jxc
무척	무척/mag
복잡하고	복잡/ncps+하/xsm+고/ecc
다층적인	다층/ncn+적/xsn+이/jp+ㄴ/etm
문제지만,	문제/ncn+지만/ecs+,/sp
설사	설사/mag
공산주의자라고	공산/ncn+주의/ncn+자/xsn+라/ef+고/jcr
해도	하/pvg+어도/ecs
그	그/mmd
사상을	사상/ncn+을/jco
가졌다는	가지/pvg+었/ep+다/ef+는/etm
이유로	이유/ncn+로/jca
처벌당하지	처벌/ncn+당하/pvg+지/ecx
않는	않/px+는/etm
것이	것/nbn+이/jcs
민주주의의	민주/ncn+주의/ncn+의/jcm
원칙에	원칙/ncn+에/jca
맞다.	맞/pvg+다/ef+./sf
검찰의	검찰/ncn+의/jcm
주장은	주장/ncn+은/jxc
`우리나라에는	`/sl+우리/npp+나라/ncn+에/jca+는/jxc
양심수가	양심/ncn+수/xsn+가/jcs
없다'	없/paa+다/ef+'/sr
`공산주의자는	`/sl+공산/ncn+주의/ncn+자/xsn+는/jxc
양심수가	양심/ncn+수/xsn+가/jcc
아니다'는	아니/paa+다/ef+'/sr+는/etm
두가지	두/nnc+가지/nbu
전제에	전제/ncn+에/jca
바탕을	바탕/ncn+을/jco
두고	두/pvg+고/ecx
있다.	있/px+다/ef+./sf
또	또/maj
우리	우리/npp
현실에서	현실/ncn+에서/jca
`나는	`/sl+나/npp+는/jxc
공산주의자다'고	공산/ncn+주의/ncn+자/xsn+다/ef+'/sr+고/jcr
자인하는	자인/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
공안당국에	공안/ncn+당국/ncn+에/jca
의해	의하/pvg+어/ecs
공산주의자가	공산/ncn+주의/ncn+자/xsn+가/jcc
되는	되/pvg+는/etm
것이	것/nbn+이/jcs
문제다.	문제/ncn+다/ef+./sf
북한에	북한/nq+에/jca
대해	대하/pvg+어/ecs
우호적이거나	우호/ncn+적/xsn+이/jp+거나/ecc
자본주의	자본/ncn+주의/ncn
옹호자더라도	옹호/ncn+자/xsn+더라도/ecs
현재	현재/ncn
남한	남한/nq
자본주의에	자본/ncn+주의/ncn+에/jca
비판적인	비판/ncn+적/xsn+이/jp+ㄴ/etm
사람은	사람/ncn+은/jxc
검찰에	검찰/ncn+에/jca
의해	의하/pvg+어/ecs
공산주의자가	공산/ncn+주의/ncn+자/xsn+가/jcc
된다.	되/pvg+ㄴ다/ef+./sf
사람의	사람/ncn+의/jcm
생각을	생각/ncn+을/jco
국가권력이	국가/ncn+권력/ncn+이/jcs
낙인을	낙인/ncn+을/jco
찍어	찍/pvg+어/ecs
처벌하는	처벌/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
극단적이고	극단/ncn+적/xsn+이/jp+고/ecc
위험한	위험/ncps+하/xsm+ㄴ/etm
이분법에서	이분/ncn+법/xsn+에서/jca
비롯된	비롯/ncpa+되/xsv+ㄴ/etm
것으로,	것/nbn+으로/jca+,/sp
자칫	자칫/mag
`나에게	`/sl+나/npp+에게/jca
동조하면	동조/ncpa+하/xsv+면/ecs
착한	착하/paa+ㄴ/etm
사람이고	사람/ncn+이/jp+고/ecc
반대하면	반대/ncpa+하/xsv+면/ecs
공산주의자'란	공산/ncn+주의/ncn+자/xsn+'/sr+라/ef+ㄴ/etm
전체주의	전체/ncn+주의/ncn
논리에서	논리/ncn+에서/jca
빠지기	빠지/pvg+기/etn
쉽다.	쉽/paa+다/ef+./sf
양식을	양식/ncn+을/jco
가진	가지/pvg+ㄴ/etm
사람이라면	사람/ncn+이/jp+라면/ecs
극단적	극단/ncn+적/xsn
냉전의식에서	냉전/ncn+의식/ncn+에서/jca
비롯된	비롯/ncpa+되/xsv+ㄴ/etm
우리사회의	우리/npp+사회/ncn+의/jcm
깊은	깊/paa+은/etm
갈등구조를	갈등/ncn+구조/ncn+를/jco
합리적	합리/ncn+적/xsn
논의를	논의/ncn+를/jco
통해	통하/pvg+어/ecs
풀어나가는	풀/pvg+어/ecx+나가/px+는/etm
방법을	방법/ncn+을/jco
찾아야	찾/pvg+아야/ecs
한다.	하/px+ㄴ다/ef+./sf
북한	북한/nq
김정일이	김정일/nq+이/jcs
당	당/ncn
총비서로	총비서/ncn+로/jca
추대된	추대/ncpa+되/xsv+ㄴ/etm
뒤	뒤/ncn
군부	군부/ncn
우대정책을	우대/ncn+정책/ncn+을/jco
더욱	더욱/mag
강화하면서	강화/ncpa+하/xsv+면서/ecs
최근	최근/ncn
일반	일반/ncn
당	당/ncn
간부들은	간부/ncn+들/xsn+은/jxc
물론	물론/ncn
김국태,	김국태/nq+,/sp
김용순,	김용순/nq+,/sp
김기남	김기남/nq
등	등/nbn
김정일의	김정일/nq+의/jcm
측근	측근/ncn
당	당/ncn
비서들도	비서/ncn+들/xsn+도/jxc
심한	심하/paa+ㄴ/etm
무력감에	무력/ncn+감/xsn+에/jca
빠져있는	빠지/pvg+어/ecx+있/px+는/etm
것	것/nbn
같다고	같/paa+다/ef+고/jcr
정부	정부/ncn
고위	고위/ncn
당국자가	당국/ncn+자/xsn+가/jcs
2일	2/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
정부는	정부/ncn+는/jxc
대국민	대/xp+국민/ncn
서비스의	서비스/ncn+의/jcm
질을	질/ncn+을/jco
높이고,	높이/pvg+고/ecc+,/sp
행정기관간	행정/ncn+기관/ncn+간/nbn
업무협조를	업무/ncn+협조/ncn+를/jco
원활히	원활/ncn+히/xsa
하기	하/pvg+기/etn
위해	위하/pvg+어/ecs
지방의	지방/ncn+의/jcm
각종	각종/ncn
국가행정기관	국가/ncn+행정/ncn+기관/ncn
청사를	청사/ncn+를/jco
한	한/nnc
건물로	건물/ncn+로/jca
모을	모으/pvg+ㄹ/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
국민회의는	국민회의/nq+는/jxc
오는	오/pvg+는/etm
6일	6/nno+일/nbu
전직	전직/ncn
의원	의원/ncn
등	등/nbn
정치인	정치/ncn+인/xsn
20여명에	20/nnc+여/xsn+명/nbu+에/jca
대한	대하/pvg+ㄴ/etm
입당식을	입당/ncn+식/xsn+을/jco
연다.	열/pvg+ㄴ다/ef+./sf
이들	이/npp+들/xsn
중에는	중/nbn+에/jca+는/jxc
백찬기	백찬기/nq
안병규씨	안병규/nq+씨/xsn
등	등/nbn
옛	옛/mma
민정당과	민정당/nq+과/jcj
민주당	민주당/nq
소속	소속/ncn
정치인들이	정치/ncn+인/xsn+들/xsn+이/jcs
포함된	포함/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
한국통신은	한국통신/nq+은/jxc
3일	3/nno+일/nbu
오전	오전/ncn
서울	서울/nq
신라호텔에서	신라호텔/nq+에서/jca
프랑스	프랑스/nq
파리국립은행과	파리국립은행/nq+과/jcj
일본	일본/nq
도쿄미쓰비시은행	도쿄미쓰비시은행/nq
등	등/nbn
8개	8/nnc+개/nbu
외국은행과	외국/ncn+은행/ncn+과/jct
1억달러의	1억/nnc+달러/nbu+의/jcm
상업차관	상업/ncn+차관/ncn
도입	도입/ncn
계약을	계약/ncn+을/jco
체결한다.	체결/ncpa+하/xsv+ㄴ다/ef+./sf
한국통신은	한국통신/nq+은/jxc
이를	이/npd+를/jco
국산	국산/ncn
전	전/mma
전자교환기	전자/ncn+교환/ncn+기/xsn
구매에	구매/ncn+에/jca
사용할	사용/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
2일	2/nno+일/nbu
통상산업부와	통상산업부/nq+와/jcj
한국기계공업진흥회에	한국기계공업진흥회/nq+에/jca
따르면	따르/pvg+면/ecs
이번	이/mmd+번/nbn
전시회에는	전시/ncn+회/xsn+에/jca+는/jxc
우리나라의	우리/npp+나라/ncn+의/jcm
372개사를	372/nnc+개/nbu+사/xsn+를/jco
포함해	포함/ncpa+하/xsv+어/ecs
총	총/mma
19개국	19/nnc+개국/nbu
408개사가	408/nnc+개/nbu+사/xsn+가/jcs
4600여종의	4600/nnc+여/xsn+종/nbu+의/jcm
첨단	첨단/ncn
기계류를	기계/ncn+류/xsn+를/jco
선보인다.	선/ncn+보이/pvg+ㄴ다/ef+./sf
여의도종합전시장에는	여의도종합전시장/nq+에/jca+는/jxc
공작기계와	공작/ncn+기계/ncn+와/jcj
공구류가,	공구/ncn+류/xsn+가/jcs+,/sp
삼성동	[삼성동/nq
종합전시장에는	종합/ncn+전시/ncn+장/xsn]nq+에/jca+는/jxc
사무자동화	사무/ncn+자동/ncn+화/xsn
기기,	기기/ncn+,/sp
포장기기,	포장/ncn+기기/ncn+,/sp
에너지	에너지/ncn
기자재,	기자재/ncn+,/sp
환경기술설비	환경/ncn+기술/ncn+설비/ncn
등이	등/nbn+이/jcs
전시된다.	전시/ncpa+되/xsv+ㄴ다/ef+./sf
한편	한편/maj
3일	3/nno+일/nbu
임창열	임창열/nq
통상산업부	통상산업부/nq
장관과	장관/ncn+과/jcj
박운서	박운서/nq
기계공업진흥회	기계공업진흥회/nq
회장	회장/ncn
등이	등/nbn+이/jcs
참석한	참석/ncpa+하/xsv+ㄴ/etm
가운데	가운데/ncn
삼성동	삼성동/nq
인터컨티넨탈호텔에서	인터컨티넨탈호텔/nq+에서/jca
열리는	열리/pvg+는/etm
개막리셉션에서는	개막/ncn+리셉션/ncn+에서/jca+는/jxc
기계류	기계/ncn+류/xsn
국산화	국산/ncn+화/xsn
유공자	유공/ncn+자/xsn
43명이	43/nnc+명/nbu+이/jcs
훈포장	훈포장/ncn
및	및/maj
표창을	표창/ncn+을/jco
받게	받/pvg+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
주요	주요/ncn
포상자	포상/ncn+자/xsn
명단은	명단/ncn+은/jxc
다음과	다음/ncn+과/jct
같다.	같/paa+다/ef+./sf
2일	2/nno+일/nbu
금융계에	금융/ncn+계/xsn+에/jca
따르면	따르/pvg+면/ecs
동화은행	동화은행/nq
임원들은	임원/ncn+들/xsn+은/jxc
지난	지나/pvg+ㄴ/etm
1일	1/nno+일/nbu
어려운	어렵/paa+ㄴ/etm
은행	은행/ncn
경영사정을	경영/ncn+사정/ncn+을/jco
감안해	감안/ncpa+하/xsv+어/ecs
급여의	급여/ncn+의/jcm
30%를	30/nnc+%/su+를/jco
자진	자진/ncn
반납하기로	반납/ncpa+하/xsv+기/etn+로/jca
결의했다.	결의/ncpa+하/xsv+었/ep+다/ef+./sf
중국과	중국/nq+과/jcj
미국은	미국/nq+은/jxc
공해상에서	공해/ncn+상/xsn+에서/jca
양국	양국/ncn
해군함정	해군/ncn+함정/ncn
간에	간/nbn+에/jca
발생할	발생/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있는	있/paa+는/etm
충돌을	충돌/ncn+을/jco
방지하기	방지/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
금년내에	금년/ncn+내/nbn+에/jca
해상군사안전	해상/ncn+군사/ncn+안전/ncn
확보	확보/ncn
방안에	방안/ncn+에/jca
합의할	합의/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
28일	28/nno+일/nbu
전해졌다.	전하/pvg+어/ecx+지/px+었/ep+다/ef+./sf
중국	중국/nq
상하이에서	상하이/nq+에서/jca
발간되는	발간/ncpa+되/xsv+는/etm
<문회보>는     </sl+문회보/nq+>/sr+는/jxc
이날	이/mmd+날/ncn
