<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0300.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0300.txt </filename>
<title>수학과의 만남  </title>
<author>써지 랭 저 ; 송교식 역  </author>
<date>1992  </date>
<publisher>가서원  </publisher>
<kdc>410  </kdc>
<ddc> 510 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
수학을	수학/ncn+을/jco
라고	라/ef+고/jcr
했는데	하/pvg+었/ep+는데/ecs
그것이	그것/npd+이/jcc
정확한	정확/ncps+하/xsm+ㄴ/etm
표현입니까	표현/ncn+이/jp+ㅂ니까/ef
?	?/sf
그	그/npp
학생	학생/ncn
:	:/sp
아니오	아니/paa+오/ef
.	./sf
그렇지	그렇/pad+지/ecx
않습니다	않/px+습니다/ef
.	./sf
써지	nq[nq[써지/nq
랭	랭/nq]nq]nq
:	:/sp
그러면	그러면/maj
왜	왜/mag
3.14	3.14/nnc
라고	라/ef+고/jcr
말했습니까	말/ncpa+하/xsv+었/ep+습니까/ef
?	?/sf
학생	학생/ncn
:	:/sp
그것이	그것/npd+이/jcs
계속되기	계속/ncpa+되/xsv+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[nq[써지/nq
랭	랭/nq]nq]nq
:	:/sp
맞았어요	맞/pvg+았/ep+어/ef+요/jxf
.	./sf
그래서	그래서/maj
우리는	우리/npp+는/jxc
그	그/mmd
아래	아래/ncn
계속된다는	계속/ncpa+되/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
나타내기	나타내/pvg+기/etn
위해서	위하/pvg+어서/ecs
3.14	3.14/nnc
이라고	이/jp+라/ef+고/jcr
씁니다	쓰/pvg+ㅂ니다/ef
.	./sf
이것이	이것/npd+이/jcs
어떻게	어떻/pad+게/ecs
계속	계속/mag
될런지	되/pvg+ㄹ런지/ecs
어떻게	어떻/pad+게/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있습니까	있/paa+습니까/ef
?(	?/sf+(/sl
학생들이	학생/ncn+들/xsn+이/jcs
다양하게	다양/ncps+하/xsm+게/ecs
반응한다	반응/ncpa+하/xsv+ㄴ다/ef
.)	./sf+)/sr
써지	nq[nq[써지/nq
랭	랭/nq]nq]nq
:	:/sp
이것은	이것/npd+은/jxc
그렇게	그렇/pad+게/ecs
분명하지가	분명/ncps+하/xsm+지/ecx+가/jcs
않습니다	않/px+습니다/ef
.	./sf
그래서	그래서/maj
그것	그것/npd
주를	주/ncn+를/jco
반지름의	반지름/ncn+의/jcm
두	두/nnc
배인	배/nbu+이/jp+ㄴ/etm
,	,/sp
지름으로	지름/ncn+으로/jca
나눈	나누/pvg+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말한다면	말/ncpa+하/xsv+ㄴ다/ef+면/ecs
학생은	학생/ncn+은/jxc
저의로써	저의/ncn+로써/jca
시작한	시작/ncpa+하/xsv+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그렇다면	그렇다면/maj
또	또/maj
다른	다르/paa+ㄴ/etm
공식인	공식/ncn+이/jp+ㄴ/etm
어떤	어떤/mmd
것을	것/nbn+을/jco
증명해야만	증명/ncpa+하/xsv+어야/ecs+만/jxc
합니다	하/px+ㅂ니다/ef
.	./sf
그러면	그러면/maj
우리는	우리/npp+는/jxc
정의를	정의/ncn+를/jco
가지고	가지/pvg+고/ecs
어떤	어떤/mmd
것으로부터	것/nbn+으로/jca+부터/jxc
시작해야	시작/ncpa+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
그렇지	그렇/pad+지/ecx
않으면	않/px+으면/ecs
나는	나/npp+는/jxc
어떤	어떤/mmd
것도	것/nbn+도/jxc
증명할	증명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없게	없/paa+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
자	자/ii
그러면	그러면/maj
논리적으로	논리/ncn+적/xsn+으로/jca
공식을	공식/ncn+을/jco
유도합시다	유도/ncpa+하/xsv+ㅂ시다/ef
.	./sf
그럼	그럼/mag
문제는	문제/ncn+는/jxc
'	'/sl
어디서부터	어디/npd+서/jca+부터/jxc
시작하는가	시작/ncpa+하/xsv+는가/ef
?'	?/sf+'/sl
입니다	이/jp+ㅂ니다/ef
.	./sf
그것이	그것/npd+이/jcs
내가	내/npp+가/jcs
뒤에서	뒤/ncn+에서/jca
의미하는	의미/ncpa+하/xsv+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
나는	나/npp+는/jxc
어디에선가	어디/npd+에서/jca+ㄴ가/ef
시작하여	시작/ncpa+하/xsv+여/ecs
,	,/sp
이들	이/npd+들/xsn
두	두/nnc
공식을	공식/ncn+을/jco
얻기를	얻/pvg+기/etn+를/jco
원합니다	원하/pvg+ㅂ니다/ef
.	./sf
나는	나/npp+는/jxc
이	이/mmd
공식들에	공식/ncn+들/xsn+에/jca
대해서	대하/pvg+어서/ecs
두	두/nnc
가지를	가지/nbu+를/jco
설명해야	설명/ncpa+하/xsv+어야/ecs
할	하/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
하나는	하나/ncn+는/jxc
r	r/f
이	이/jp
어디서	어디/npd+서/jca
왔는가	오/pvg+았/ep+는가/ef
하는	하/pvg+는/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
두	두/nnc
번째는	번째/nbu+는/jxc
가	가/jcs
어디서	어디/npd+서/jca
왔는가	오/pvg+았/ep+는가/ef
하는	하/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그것은	그것/npd+은/jxc
문제의	문제/ncn+의/jcm
두	두/nnc
가지	가지/nbu
다른	다르/paa+ㄴ/etm
관점에서	관점/ncn+에서/jca
왔습니다	오/pvg+았/ep+습니다/ef
.	./sf
그	그/npp
관점들	관점/ncn+들/xsn
중	중/nbn
하나는	하나/ncn+는/jxc
r	r/f
과	과/jct
관계가	관계/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
넓이에	넓이/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공식에서	공식/ncn+에서/jca
r	r/f
이	이/jcs
왜	왜/mag
있습니까	있/paa+습니까/ef
?	?/sf
그리고	그리고/maj
원주에서는	원주/ncn+에서/jca+는/jxc
왜	왜/mag
(	(/sl
r	r/f
이	이/jcs
아니라	아니/paa+라/ecs
)	)/sr
r	r/f
이	이/jcs
있습니까	있/paa+습니까/ef
?	?/sf
r	r/f
과	과/jct
r	r/f
의	의/jcm
실체에	실체/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
논의가	논의/ncn+가/jcs
되어져야만	되/pvg+어/ecx+지/px+어야/ecs+만/jxc
합니다	하/px+ㅂ니다/ef
.	./sf
그리고	그리고/maj
논의되어야	논의/ncpa+되/xsv+어야/ecs
할	하/px+ㄹ/etm
다른	다르/paa+ㄴ/etm
것은	것/nbn+은/jxc
입니다	이/jp+ㅂ니다/ef
.	./sf
자	자/ii
,	,/sp
그럼	그럼/mag
시작합시다	시작/ncpa+하/xsv+ㅂ시다/ef
.	./sf
먼저	먼저/mag
r	r/f
에	에/jca
대해	대하/pvg+어/ecs
설명하고	설명/ncpa+하/xsv+고/ecc
,	,/sp
뒤에	뒤/ncn+에/jca
에	에/jca
대해	대하/pvg+어/ecs
설명하겠습니다	설명/ncpa+하/xsv+겠/ep+습니다/ef
.	./sf
직사각형과	직사각형/ncn+과/jct
같은	같/paa+은/etm
매우	매우/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
예로	예/ncn+로/jca
돌아갑시다	돌/pvg+아/ecs+가/pvg+ㅂ시다/ef
.	./sf
두	두/nnc
변이	변/ncn+이/jcs
a	a/f
,	,/sp
b	b/f
인	이/jp+ㄴ/etm
직사각형이	직사각형/ncn+이/jcs
있다고	있/paa+다/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
그러면	그러면/maj
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마나	얼마나/mag
변할까요	변하/pvg+ㄹ까/ef+요/jxf
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
2	2/nnc
배가	배/nbu+가/jcs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
학생의	학생/ncn+의/jcm
이름은	이름/ncn+은/jxc
?	?/sf
그	그/npp
학생	학생/ncn
:	:/sp
아돌프	아돌프/nq
(	(/sl
Adolph	Adolph/f
)	)/sr
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
넓이가	넓이/ncn+가/jcs
두	두/nnc
배가	배/nbu+가/jcs
된다고요	되/pvg+ㄴ다/ef+고/jcr+요/jxf
?	?/sf
새	새/mma
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
(	(/sl
다른	다르/paa+ㄴ/etm
학생이	학생/ncn+이/jcs
말하려고	말/ncpa+하/xsv+려고/ecs
한다	하/px+ㄴ다/ef
.)	./sf+)/sr
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
아니	아니/mag
아돌프	아돌프/nq
,	,/sp
나는	나/npp+는/jxc
아돌프에게	아돌프/nq+에게/jca
묻고	묻/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
각	각/mma
변의	변/ncn+의/jcm
곱이지요	곱/ncn+이/jp+지/ef+요/jxf
?	?/sf
맞습니까	맞/pvg+습니까/ef
?	?/sf
아돌프	아돌프/nq
:	:/sp
예	예/ii
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그렇다면	그렇다면/maj
새	새/mma
직사각형의	직사각형/ncn+의/jcm
한	한/nnc
변은	변/ncn+은/jxc
2	2/nnc
a	a/f
인데	이/jp+ㄴ데/ecs
다른	다르/paa+ㄴ/etm
한	한/nnc
변은	변/ncn+은/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
아돌프	아돌프/nq
:	:/sp
2	2/nnc
b	b/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
맞습니다	맞/pvg+습니다/ef
.	./sf
그러면	그러면/maj
전체	전체/ncn
차이는	차이/ncn+는/etm
2	2/nnc
a	a/f
곱하기	곱하기/ncn
2	2/nnc
b	b/f
인	이/jp+ㄴ/etm
4	4/nnc
ab	ab/f
이죠	이/jp+지/ef+요/jxf
.	./sf
자	자/ii
,	,/sp
각	각/mma
변을	변/ncn+을/jco
세	세/pvg+어/ecs
배로	배/ncn+로/jca
늘린	늘리/pvg+ㄴ/etm
직사각형을	직사각형/ncn+을/jco
봅시다	보/pvg+ㅂ시다/ef
.	./sf
그럼	그럼/mag
각	각/mma
변의	변/ncn+의/jcm
길이는	길이/ncn+는/jxc
3	3/nnc
a	a/f
3	3/nnc
b	b/f
입니다	이/jp+ㅂ니다/ef
.	./sf
각	각/mma
변을	변/ncn+을/jco
세	세/pvg+어/ecs
배한	배하/pvg+ㄴ/etm
이	이/mmd
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
아돌프	아돌프/nq
.	./sf
아돌프	아돌프/nq
:	:/sp
9	9/nnc
ab	ab/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
9	9/nnc
ab	ab/f
,	,/sp
맞습니다	맞/pvg+습니다/ef
.	./sf
3	3/nnc
a	a/f
곱하기	곱하기/ncn
3	3/nnc
b	b/f
인	이/jp+ㄴ/etm
9	9/nnc
ab	ab/f
이죠	이/jp+지/ef+요/jxf
.	./sf
이제	이제/mag
각변의	각/mma+변/ncn+의/jcm
반인	반/nnc+이/jp+ㄴ/etm
직사각형	직사각형/ncn
,	,/sp
즉	즉/maj
,	,/sp
두	두/nnc
변이	변/ncn+이/jcs
a	a/f
와	와/jcj
b	b/f
인	이/jp+ㄴ/etm
직사각형을	직사각형/ncn+을/jco
생각합시다	생각/ncpa+하/xsv+ㅂ시다/ef
.	./sf
이	이/mmd
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
아돌프	아돌프/nq
:	:/sp
ab	ab/f
의	의/jcm
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
바로	바로/mag
그렇습니다	그렇/pad+습니다/ef
.	./sf
ab	ab/f
입니다	이/jp+ㅂ니다/ef
.	./sf
자	자/ii
,	,/sp
이제	이제/mag
일반적으로	일반/ncn+적/xsn+으로/jca
각	각/mma
변이	변/ncn+이/jcs
ra	ra/f
와	와/jcj
rb	rb/f
인	이/jp+ㄴ/etm
직사각형을	직사각형/ncn+을/jco
택했다고	택하/pvg+었/ep+다/ef+고/jcr
가정합시다	가정/ncpa+하/xsv+ㅂ시다/ef
.	./sf
아돌프	아돌프/nq
,	,/sp
이	이/mmd
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
아돌프	아돌프/nq
:	:/sp
ra	ra/f
곱하기	곱하기/ncn
rb	rb/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
맞습니다	맞/pvg+습니다/ef
.	./sf
ra	ra/f
곱하기	곱하기/ncn
rb	rb/f
는	는/etm
얼마죠	얼마/ncn+지/ef+요/jxf
?	?/sf
아돌프	아돌프/nq
:	:/sp
r	r/f
제곱	제곱/ncn
ab	ab/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
예	예/ii
,	,/sp
r	r/f
ab	ab/f
입니다	이/jp+ㅂ니다/ef
.	./sf
그러면	그러면/maj
인수	인수/ncn
r	r/f
에	에/jca
의해	의하/pvg+어/ecs
부풀려진	부풀리/pvg+어/ecx+지/px+ㄴ/etm
직사각형에서는	직사각형/ncn+에서/jca+는/jxc
넓이가	넓이/ncn+가/jcs
어떻게	어떻/pad+게/ecs
변하죠	변하/pvg+지/ef+요/jxf
,	,/sp
아돌프	아돌프/nq
?	?/sf
아돌프	아돌프/nq
:	:/sp
다시	다시/mag
말씀해	말씀/ncpa+하/xsv+어/ecx
주시겠습니까	주/px+시/ep+겠/ep+습니까/ef
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
좋아요	좋/paa+아/ef+요/jxf
.	./sf
원래의	원래/ncn+의/jcm
직사각형을	직사각형/ncn+을/jco
인수	인수/ncn
r	r/f
만큼	만큼/nbn
양쪽	양쪽/ncn
방향으로	방향/ncn+으로/jca
부풀립시다	부풀립시/ncn+다/jca
.	./sf
보다시피	보/pvg+다시피/ecs
새로운	새롭/paa+ㄴ/etm
변이	변/ncn+이/jcs
ra	ra/f
,	,/sp
rb	rb/f
이면	이/jp+면/ecs
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
원래의	원래/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
ab	ab/f
였죠	이/jp+었/ep+지/ef+요/jxf
.	./sf
새	새/mma
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
?	?/sf
아돌프	아돌프/nq
:	:/sp
r	r/f
제곱	제곱/ncn
ab	ab/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그렇습니다	그렇/pad+습니다/ef
.	./sf
rab	rab/f
가	가/jcc
아니라	아니/paa+라/ecs
r	r/f
ab	ab/f
입니다	이/jp+ㅂ니다/ef
.	./sf
넓이가	넓이/ncn+가/jcs
어떤	어떤/mmd
비율만큼	비율/ncn+만큼/nbn
변합니까	변하/pvg+ㅂ니까/ef
?	?/sf
아돌프	아돌프/nq
:	:/sp
r	r/f
만큼입니다	만큼/nbn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
조금	조금/ncn
전에는	전/ncn+에/jca+는/jxc
r	r/f
이라고	이/jp+라/ef+고/jcr
말했었지요	말/ncpa+하/xsv+었었/ep+지/ef+요/jxf
?	?/sf
r	r/f
이	이/jcs
아니라	아니/paa+라/ecs
r	r/f
만큼입니다	만큼/nbn+이/jp+ㅂ니다/ef
.	./sf
알겠죠	알/pvg+겠/ep+지/ef+요/jxf
?	?/sf
여러분	여러분/npp
모두	모두/mag
알겠습니까	알/pvg+겠/ep+습니까/ef
?	?/sf
(	(/sl
학생들이	학생/ncn+들/xsn+이/jcs
모두	모두/mag
알겠다고	알/pvg+겠/ep+다/ef+고/jcr
동의한다	동의/ncpa+하/xsv+ㄴ다/ef
.)	./sf+)/sr
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그와	그/npd+와/jct
같이	같/paa+이/xsa
인수	인수/ncn
r	r/f
의	의/jcm
비율로	비율/ncn+로/jca
부풀리면	부풀리/pvg+면/ecs
직사각형의	직사각형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
r	r/f
만큼	만큼/nbn
변합니다	변하/pvg+ㅂ니다/ef
.	./sf
물론	물론/mag
,	,/sp
r	r/f
은	은/jxc
1	1/nnc
보다	보다/mag
크거나	크/paa+거나/ecc
,	,/sp
또는	또는/maj
처럼	처럼/jca
1	1/nnc
보다	보다/mag
작을	작/paa+을/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
그런	그런/mmd
식으로	식/ncn+으로/jca
직사각형의	직사각형/ncn+의/jcm
넓이가	넓이/ncn+가/jcs
어떻게	어떻/pad+게/ecs
변하는	변하/pvg+는/etm
지를	지/nbn+를/jco
보았습니다	보/pvg+았/ep+습니다/ef
.	./sf
질문	질문/ncn
없습니까	없/paa+습니까/ef
?	?/sf
모두가	모두/ncn+가/jcs
알겠어요	알/pvg+겠/ep+어/ef+요/jxf
?	?/sf
(	(/sl
질문이	질문/ncn+이/jcs
없다	없/paa+다/ef
.)	./sf+)/sr
좋습니다	좋/paa+습니다/ef
.	./sf
이제	이제/mag
직사각형	직사각형/ncn
대신에	대신/ncn+에/jca
다른	다르/paa+ㄴ/etm
도형을	도형/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
봅시다	보/pvg+ㅂ시다/ef
.	./sf
여기	여기/npd
이처럼	이/npd+처럼/jca
곡선으로	곡선/ncn+으로/jca
생긴	생기/pvg+ㄴ/etm
도형이	도형/ncn+이/jcs
있다고	있/paa+다/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
꼭	꼭/mag
콩팥처럼	콩팥/ncn+처럼/jca
생겼군요	생기/pvg+었/ep+군/ef+요/jxf
.	./sf
넓이가	넓이/ncn+가/jcs
A	A/f
인	이/jp+ㄴ/etm
콩팥이	콩팥/ncn+이/jcs
있다고	있/paa+다/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
자	자/ii
,	,/sp
이	이/mmd
콩팥을	콩팥/ncn+을/jco
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
,	,/sp
인수	인수/ncn
2	2/nnc
의	의/jcm
비율로	비율/ncn+로/jca
부풀려	부풀리/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
그럼	그럼/mag
이	이/mmd
콩팥의	콩팥/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
A	A/f
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
앞으로	앞/ncn+으로/jca
돌아가	돌/pvg+아/ecx+가/jcs
봅시다	보/pvg+ㅂ시다/ef
.	./sf
넓이가	넓이/ncn+가/jcc
A	A/f
인	이/jp+ㄴ/etm
직사각형이	직사각형/ncn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf
이	이/mmd
직사각형을	직사각형/ncn+을/jco
인수	인수/ncn
2	2/nnc
의	의/jcm
비율로	비율/ncn+로/jca
부풀리면	부풀리/pvg+면/ecs
새	새/mma
도형의	도형/ncn+의/jcm
넓이는	넓이/ncn+는/jxc
얼마입니까	얼마/ncn+이/jp+ㅂ니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
4	4/nnc
A	A/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
