<tdmsfile>
<project>  </project>
92      관계구성은      관계/ncpa+구성/ncpa+은/jxc
93      통사론과        통사론/ncn+과/jcj
94      의미론의        의미론/ncn+의/jcm
95      두      두/nnc
96      부문이  부문/ncn+이/jcs
97      함께    함께/mag
98      작용하는        작용/ncpa+하/xsv+는/etm
99      복합적인        복합/ncpa+적/xsn+이/jp+ㄴ/etm
100     면을    면/ncn+을/jco
101     보이고  보이/pvg+고/ecc
102     ,        ,/sp
103     더      더/mag
104     나아가  나아가/pvg+아/ecs
105     화용적인        화용/ncn+적/xsn+이/jp+ㄴ/etm
106     상황까지        상황/ncn+까지/jca
107     요구되는        요구/ncpa+되/xsv+는/etm
108     측면    측면/ncn
109     을      을/jco
110     보이므로        보이/pvg+므로/ecs
111     현재    현재/ncn
112     어느    어느/mmd
113     다른    다른/mma
114     문법이론보다    문법이론/ncn+보다/jca
115     통사    통사/ncn
116     의미구조의      의미/ncps+구조/ncpa+의/jcm
117     정보    정보/ncn
118     및      및/maj
119     화용적  화용/ncn+적/xsn
120     상황    상황/ncn
121     까지    까지/jca
122     포괄할  포괄/ncpa+하/xsv+ㄹ/etm
123     수      수/nbn
124     있는    있/paa+는/etm
125     HPSG  HPSG/f
126     가      가/jcs
127     이      이/mmd
128     관계를  관계/ncpa+를/jco
129     잘      잘/mag
130     포착할  포착/ncpa+하/xsv+ㄹ/etm
131     수      수/nbn
132     있다    있/paa+다/ef
133     .        ./sf
134     관형화  관형화/ncn
135     (       (/sl
136     adnominalization adnominalization/f
137     )       )/sr
138     는      는/jxc
139     한      한/nnc
140     문장이  문장/ncn+이/jcs
141     일정한  일정하/paa+ㄴ/etm
142     관형형  관형형/ncn
143     어미에  어미/ncn+에/jca
144     의해    의하/pvg+어/ecs
145     뒤에    뒤/ncn+에/jca
146     오는    오/pvg+는/etm
147     명사나  명사/ncn+나/jcj
149     명사구를        명사구/ncn+를/jco
150     수식하는        수식/ncpa+하/xsv+는/etm
151     절차로  절차/ncn+로/jca
152     본      보/pvg+ㄴ/etm
153     논의에서는      논의/ncn+에서/jca+는/jxc
154     관형을  관형/ncn+을/jco
155     상위의  상위/ncn+의/jcm
156     범주로  범주/ncn+로/jca
157     하고    하/pvg+고/ecc
158     ,        ,/sp
159     그      그/mmd
160     하위    하위/ncn
161     유형으로        유형/ncn+으로/jca
162     보문    보문/ncn
163     /       //sp
164     동격구성        동격/ncn+구성/ncpa
165     (       (/sl
166     appositive       appositive/f
167     construction     construction/f
168     ),       )/sr+,/sp
169     관계구성        관계/ncpa+구성/ncpa
170     (       (/sl
171     relative relative/f
172     construction     construction/f
173     ),       )/sr+,/sp
174     그리고  그리고/maj
175     의사관계구성    의사/ncn+관계/ncpa+구성/ncpa
176     (       (/sl
177     pseudo pseudo/f
178     -       -/sd
179     relative relative/f
180     construction     construction/f
181     )       )/sr
182     을      을/jco
183     설정하고        설정/ncpa+하/xsv+고/ecc
184     그      그/mmd
185     통사    통사/ncn
186     의미적  의미/ncps+적/xsn
187     특징을  특징/ncpa+을/jco
188     고찰하여        고찰/ncpa+하/xsv+어/ecs
189     ,        ,/sp
190     기존의  기존/ncpa+의/jcm
191     보문    보문/ncn
192     /       //sp
193     동격구성과      동격/ncn+구성/ncpa+과/jcj
194     관계구성이라는  관계/ncpa+구성/ncpa+이/jp+라는/etm
195     이분법적인      이분법/ncn+적/xsn+이/jp+ㄴ/etm
196     분류를  분류/ncpa+를/jco
197     지양하였다      지양/ncpa+하/xsv+었/ep+다/ef
198     .        ./sf
199     논의의  논의/ncn+의/jcm
200     출발은  출발/ncpa+은/jxc
201     관계구성의      관계/ncpa+구성/ncpa+의/jcm
202     기본개념에서부터        기본개념/ncn+에서부터/jca
203     시작한다        시작/ncpa+하/xsv+ㄴ다/ef
204     .        ./sf
205     관계구성과      관계/ncpa+구성/ncpa+과/jcj
206     관련된  관련/ncpa+되/xsv+ㄴ/etm
207     여러    여러/mma
208     개념    개념/ncn
209     -       -/sd
210     관계사  관계사/ncn
211     ,        ,/sp
212     공백에  공백/ncn+에/jca
213     대한    대하/pvg+ㄴ/etm
214     접근    접근/ncpa
215     ,        ,/sp
216     복귀대명사      복귀/ncpa+대명사/ncn
217     등      등/ncn
218     -       -/sd
219     을      을/jco
220     살펴보고        살피/pvg+어/ecx+보/px+고/ecc
221     ,        ,/sp
222     한국어  한국어/ncn
223     관계구성에      관계/ncpa+구성/ncpa+에/jca
224     대한    대하/pvg+ㄴ/etm
225     개략적인        개략/ncpa+적/xsn+이/jp+ㄴ/etm
226     연구사도        연구사/ncpa+도/jxc
227     아울러  아울러/mag
228     살핀다  살피/pvg+ㄴ다/ef
229     .        ./sf
230     기존의  기존/ncpa+의/jcm
231     많은    많/paa+ㄴ/etm
232     논의들은        논의/ncn+들/xsn+은/jxc
233     관계구성을      관계/ncpa+구성/ncpa+을/jco
234     명사와  명사/ncn+와/jcj
235     그      그/mmd
236     수식이라는      수식/ncpa+이/jp+라는/etm
237     한정된  한정/ncpa+되/xsv+ㄴ/etm
238     영역이나        영역/ncn+이나/jcj
239     아니면  아니/paa+면/ecs
240     주어    주어/ncn
241     ,        ,/sp
242     목적어  목적어/ncn
243     등의    등/ncn+의/jcm
244     제한된  제한/ncpa+되/xsv+ㄴ/etm
245     문법기능        문법/ncn+기능/ncn
246     내에서  내/ncn+에서/jca
247     고찰하지만      고찰/ncpa+하/xsv+지만/ecs
248     ,        ,/sp
249     여기서는        여기/npd+서/jca+는/jxc
250     보충어  보충어/ncn
251     (       (/sl
252     complement     complement/f
253     )       )/sr
254     와      와/jct
255     첨가어  첨가어/ncn
256     (       (/sl
257     adjunct adjunct/f
258     )       )/sr
259     라는    라는/etm
260     관점에서        관점/ncn+에서/jca
261     관계화에        관계화/ncn+에/jca
262     접근한다        접근/ncpa+하/xsv+ㄴ다/ef
263     .        ./sf
264     관계화가        관계화/ncn+가/jcs
265     그      그/mmd
266     핵      핵/ncn
267     심명사를        심명사/ncn+를/jco
268     '       '/sl
269     제한    제한/ncpa
270     (       (/sl
271     restrict restrict/f
272     )'      )/sr+'/sl
273     하고    하/pvg+고/ecc
274     한정하는        한정/ncpa+하/xsv+는/etm
275     과정이라면      과정/ncpa+이/jp+라면/ecs
276     일반적으로      일반/ncn+적/xsn+으로/jca
277     의미적으로      의미/ncps+적/xsn+으로/jca
278     제한되지        제한/ncpa+되/xsv+지/ecx
279     않는    않/px+는/etm
280     성분인  성분/ncn+이/jp+ㄴ/etm
281     보충어들이      보충어/ncn+들/xsn+이/jcs
282     관계화  관계화/mag
283     가능성이        가능성/ncn+이/jcs
284     높고    높/paa+고/ecc
285     의미적으로      의미/ncps+적/xsn+으로/jca
286     더      더/mag
287     구체적인        구체/ncn+적/xsn+이/jp+ㄴ/etm
288     첨가어들은      첨가어/ncn+들/xsn+은/jxc
289     그      그/mmd
290     가능성이        가능성/ncn+이/jcs
291     낮다    낮/paa+다/ef
292     .        ./sf
293     이는    이/npd+는/jxc
294     섬제약과        섬제약/ncn+과/jcj
295     관련된  관련/ncpa+되/xsv+ㄴ/etm
296     관계구성에서도  관계/ncpa+구성/ncpa+에서/jca+도/jxc
297     잘      잘/mag
298     드러난다        드러나/pvg+ㄴ다/ef
299     .        ./sf
300     또한    또한/maj
301     SOV    SOV/f
302     의      의/jcm
303     어순을  어순/ncn+을/jco
304     가진    가지/pvg+ㄴ/etm
305     언어에서        언어/ncn+에서/jca
306     주로    주로/mag
307     나타나는        나타나/pvg+는/etm
308     소위    소위/mag
309     머리어가        머리어/ncn+가/jcs
310     내재된  내재/ncpa+되/xsv+ㄴ/etm
311     관계구성        관계/ncpa+구성/ncpa
312     (       (/sl
313     internally       internally/f
314     headed headed/f
315     relative relative/f
316     construction     construction/f
317     )       )/sr
318     을      을/jco
319     살펴보고        살피/pvg+어/ecx+보/px+고/ecc
320     이      이/mmd
321     구조와  구조/ncpa+와/jcj
322     보문구성과의    보문/ncn+구성/ncpa+과/jct+의/jcm
323     차이점  차이점/ncn
324     그리고  그리고/mag
326     이      이/mmd
327     구조    구조/ncpa
328     내에서  내/ncn+에서/jca
329     여러    여러/mma
330     특징적인        특징/ncpa+적/xsn+이/jp+ㄴ/etm
331     현상들  현상/ncn+들/xsn
332     -       -/sd
333     동시성  동시성/ncn
334     (       (/sl
335     simultaneous    simultaneous/f
336     ),       )/sr+,/sp
337     대용표현 대용/ncpa+표현/ncpa
339     -       -/sd
340     을      을/jco
341     체계화한다      체계화/ncpa+하/xsv+ㄴ다/ef
342     .        ./sf
343     한편    한편/maj
344     한국어  한국어/ncn
345     관계구조에는    관계/ncpa+구조/ncpa+에/jca+는/jxc
346     일반    일반/ncn
347     관계구조와도    관계/ncpa+구조/ncpa+와/jct+도/jxc
348     다르고  다르/paa+고/ecc
349     동격구성과      동격/ncn+구성/ncpa+과/jct
350     도      도/jxc
351     다른    다른/mma
352     특수한  특수/ncpa+하/xsv+ㄴ/etm
353     구조들이        구조/ncpa+들/xsn+이/jcs
354     있는데  있/paa+는데/ecs
355     이를    이/npd+를/jco
356     의사관계구성    의사/ncn+관계/ncpa+구성/ncpa
357     (       (/sl
358     pseudo pseudo/f
359     -       -/sd
360     relative relative/f
361     construction     construction/f
362     )       )/sr
363     으로    으로/jca
364     분류하고        분류/ncpa+하/xsv+고/ecc
365     ,        ,/sp
366     보문    보문/ncn
367     /       //sp
368     동격구성과      동격/ncn+구성/ncpa+과/jcj
369     관계구성과는    관계/ncpa+구성/ncpa+과/jct+는/jxc
370     다른    다른/mma
371     별도의  별도/ncn+의/jcm
372     유형으로        유형/ncn+으로/jca
373     정립되어야      정립/ncpa+되/xsv+어야/ecx
374     함      하/px+ㅁ/etn
375     을      을/jco
376     논의한다        논의/ncpa+하/xsv+ㄴ다/ef
377     .        ./sf
378     관계구성은      관계/ncpa+구성/ncpa+은/jxc
379     통사론적        통사론/ncn+적/xsn
380     측면    측면/ncn
381     외에    외/ncn+에/jca
382     의미론적        의미론/ncn+적/xsn
383     측면과도        측면/ncn+과/jct+도/jxc
384     밀접한  밀접/ncps+하/xsm+ㄴ/etm
385     관련을  관련/ncpa+을/jco
386     맺고    맺/pvg+고/ecx
387     있는데  있/px+는데/ecs
388     ,        ,/sp
389     이      이/mmd
390     관계문의        관계문/ncn+의/jcm
391     의미를  의미/ncps+를/jco
392     기술하는데는    기술/ncpa+하/xsv+는데/ecs+는/jxc
393     형식의미론에    형식의미론+에/jca
394     기초한  기초/ncpa+하/xsv+ㄴ/etm
395     접근방법과      접근/ncpa+방법/ncn+과/jcj
396     의미    의미/ncps
397     -       -/sd
398     기능주의적      기능주의/ncn+적/xsn
399     접근방법이      접근/ncpa+방법/ncn+이/jcs
400     있다    있/paa+다/ef
401     .        ./sf
402     본      본/mmd
403     논의에서는      논의/ncn+에서/jca+는/jxc
404     의미    의미/ncps
405     -       -/sd
406     기능주의적인    기능주의/ncn+적/xsn+이/jp+ㄴ/etm
407     접근방법을      접근/ncpa+방법/ncn+을/jco
408     기초로  기초/ncpa+로/jca
409     하고    하/pvg+고/ecc
410     관계문에        관계문/ncn+에/jca
411     의해    의하/pvg+어/ecs
412     그      그/mmd
413     핵심명사가      핵심/ncn+명사/ncn+가/jcs
414     제한    제한/ncpa
415     (       (/sl
416     restrict restrict/f
417     )       )/sr
418     되는    되/pvg+는/etm
419     관계를  관계/ncpa+를/jco
420     중시하고        중시/ncpa+하/xsv+고/ecc
421     이      이/mmd
422     유형을  유형/ncn+을/jco
423     속성    속성/ncn
424     ,        ,/sp
425     대상성  대상성/ncn
426     ,        ,/sp
427     행위성  행위성/ncn
429     ,        ,/sp
430     배경성  배경성/ncn
431     등으로  등/nbn+으로/jca
432     명시적으로      명시/ncpa+적/xsn+으로/jca
433     구분하였다      구분/ncpa+하/xsv+었/ep+다/ef
434     .        ./sf
435     또한    또한/maj
436     관계문의        관계문/ncn+의/jcm
437     의미적인        의미/ncps+적/xsn+이/jp+ㄴ/etm
438     제약인  제약/ncpa+이/jp+ㄴ/etm
439     의미적  의미/ncps+적/xsn
440     정연성  정연성/ncn
442     조건을  조건/ncn+을/jco
443     설정하고        설정/ncpa+하/xsv+고/ecc
444     통사적으로      통사/ncn+적/xsn+으로/jca
445     설명되기        설명/ncpa+되/xsv+기/etn
446     어려운  어렵/paa+ㄴ/etm
447     여러    여러/mma
448     현상들을        현상/ncn+들/xsn+을/jco
449     이      이/mmd
450     의미원리에      의미/ncps+원리/ncn+에/jca
451     따라    따르/pvg+아/ecs
453     기술하였다      기술/ncpa+하/xsv+었/ep+다/ef
454     .        ./sf
455     또한    또한/maj
456     관형의  관형/ncn+의/jcm
457     의미기능을      의미/ncps+기능/ncn+을/jco
458     그      그/mmd
459     후행명사에      후행명사/ncn+에/jca
460     대한    대하/pvg+ㄴ/etm
461     서술    서술/ncpa
462     (       (/sl
463     predication      predication/f
464     )       )/sr
465     로      로/jca
466     규정짓고        규정짓/pvg+고/ecc
467     관형적  관형/ncn+적/xsn
468     서술관계        서술/ncpa+관계/ncpa
469     (       (/sl
470     adnominal       adnominal/f
471     predication      predication/f
472     relation relation/f
473     )       )/sr
474     의      의/jcm
475     여러    여러/mma
476     하위유형을      하위유형/ncn+을/jco
478     구분하였다      구분/ncpa+하/xsv+었/ep+다/ef
479     통사적  통사/ncn+적/xsn
480     의미적으로      의미/ncps+적/xsn+으로/jca
481     규정되고        규정/ncpa+되/xsv+고/ecc
482     논의된  논의/ncpa+되/xsv+ㄴ/etm
483     관계구문을      관계/ncpa+구문/ncn+을/jco
484     HPSG  HPSG/f
485     를      를/jco
486     바탕으로        바탕/ncpa+으로/jca
487     기술함에        기술/ncpa+하/xsv+ㅁ/etn+에/jca
488     있어서는        있/paa+어서/ecs+는/jxc
489     우선    우선/mag
490     영어의  영어/ncn+의/jcm
491     경우와  경우/ncn+와/jct
492     달리    달리/mag
493     공관계사구      공관계사구/ncn
494     (       (/sl
495     RP     RP/f
496     )       )/sr
497     를      를/jco
498     설정하지        설정/ncpa+하/xsv+지/ecx
499     않고    않/px+고/ecc
500     용언의  용언/ncn+의/jcm
501     활용질에        활용질/ncn+에/jca
502     관형    관형/ncn
503     (       (/sl
504     ADNOMINALIZER      ADNOMINALIZER/f
505     )       )/sr
506     자질을  자질/ncn+을/jco
507     명시하는        명시/ncpa+하/xsv+는/etm
508     방법을  방법/ncn+을/jco
509     채택하였다      채택/ncpa+하/xsv+었/ep+다/ef
510     .        ./sf
511     한국어  한국어/ncn
512     관형구성은      관형구성/ncn+은/jxc
513     관계구성        관계/ncpa+구성/ncpa
515     ,        ,/sp
516     보문구성        보문구성/ncn
517     ,        ,/sp
518     그리고  그리고/maj
519     의사관계구성    의사/ncn+관계/ncpa+구성/ncpa
520     등의    등/ncn+의/jcm
521     하위유형이      하위/ncn+유형/ncn+이/jcs
522     통사적으로는    통사/ncn+적/xsn+으로/jca+는/jxc
523     '       '/sl
524     관형    관형/nq
525     '       '/sr
526     이라는  이/jp+라는/etm
527     동일한  동일/ncpa+하/xsv+ㄴ/etm
528     구조를  구조/ncpa+를/jco
529     공유하는        공유/ncpa+하/xsv+는/etm
530     관계로  관계/ncpa+로/jca
531     나타난다        나타나/pvg+ㄴ다/ef
532     .        ./sf
533     그러나  그러나/maj
534     의미적으로      의미/ncps+적/xsn+으로/jca
535     psoa    psoa/f
536     에      에/jca
537     기초한  기초/ncpa+하/xsv+ㄴ/etm
538     접근방식을  접근/ncpa+방식/ncn+을/jco
540     채택하여        채택/ncpa+하/xsv+어/ecs
541     이      이/mmd
542     구조들이        구조/ncpa+들/xsn+이/jcs
543     의미기능에      의미/ncps+기능/ncn+에/jca
544     있어    있/paa+어/ecs
545     서로    서로/mag
546     차이가  차이/ncn+가/jcs
547     나는    나/npp+는/jxc
548     구조임을        구조/ncpa+이/jp+ㅁ/etn+을/jco
549     지적하였다      지적/ncpa+하/xsv+었/ep+다/ef
551     .        ./sf
552     따라서  따라서/maj
553     HPSG  HPSG/f
554     에서    에서/jca
555     두첨구조의      두첨구조/ncn+의/jcm
556     수식구로        수식구/ncn+로/jca
557     단순히  단순히/mag
558     기술되는        기술/ncpa+되/xsv+는/etm
559     구조에서        구조/ncpa+에서/jca
560     벗어나  벗어나/pvg+아/ecs
561     한국어  한국어/ncn
563     관형구성의      관형구성/ncn+의/jcm
564     여러    여러/mma
565     특징들이        특징/ncpa+들/xsn+이/jcs
566     명시될  명시/ncpa+되/xsv+ㄹ/etm
567     수      수/nbn
568     있는    있/paa+는/etm
569     자질구조를      자질/ncn+구조/ncpa+를/jco
570     모색해  모색/ncpa+하/xsv+어/ecx
571     보았다  보/px+았/ep+다/ef
572     .        ./sf
573     이러한  이러하/pad+ㄴ/etm
574     통사    통사/ncn
575     의미적  의미/ncps+적/xsn
576     ,        ,/sp
577     더      더/mag
578     나아가  나아가/pvg+아/ecs
579     화용적  화용/ncn+적/xsn
580     상황까지        상황/ncn+까지/jca
581     고려한  고려/ncpa+하/xsv+ㄴ/etm
582     접근방법        접근/ncpa+방법/ncn
583     및      및/maj
584     기술은  기술/ncn+은/jxc
585     기      기/ncn
586     간의    간/ncn+의/jcm
587     관계구문에      관계/ncpa+구문/ncn+에/jca
588     관한    관하/pvg+ㄴ/etm
589     논의가  논의/ncn+가/jcs
590     통사론  통사론/ncn
591     또는    또는/maj
592     의미론  의미론/ncn
593     양자의  양자/ncn+의/jcm
594     한      한/nnc
595     극단에서        극단/ncn+에서/jca
596     이루어진        이루/pvg+어/ecx+지/px+ㄴ/etm
597     점      점/ncn
598     과는    과/ncn+는/jxc
599     달리    달리/mag
600     이      이/mmd
601     세      세/nnc
602     부문을  부문/ncn+을/jco
603     모두    모두/mag
604     파악할  파악/ncpa+하/xsv+ㄹ/etm
605     수      수/nbn
606     있게    있/paa+게/ecx
607     하고    하/px+고/ecc
608     ,        ,/sp
609     언어현상에      언어/ncn+현상/ncn+에/jca
610     대한    대하/pvg+ㄴ/etm
611     통합문법적인    통합/ncpa+문법/ncn+적/xsn+이/jp+ㄴ/etm
612     기술을  기술/ncn+을/jco
613     가능하게        가능/ncpa+하/xsv+게/ecx
614     하였다  하/px+었/ep+다/ef
615     .        ./sf
616     주요어  주요어/nno
617     :       :/sp
618     관계구성        관계/ncpa+구성/ncpa
619     ,        ,/sp
620     관형구성        관형구성/ncn
621     ,        ,/sp
622     HPSG  HPSG/f
623     ,        ,/sp
624     섬제약과        섬제약/ncn+과/jcj
625     관련한  관련/ncpa+하/xsv+ㄴ/etm
626     관계구문        관계/ncpa+구문/ncn
627     ,        ,/sp
628     머리어가        머리어/ncn가/jcs
629     내재된  내재/ncpa+되/xsv+ㄴ/etm
630     관계구문        관계/ncpa+구문/ncn
631     ,        ,/sp
632     통합문법적      통합/ncpa+문법/ncn+적/xsn
633     접근    접근/ncpa
634     ,        ,/sp
635     의미적  의미/ncps+적/xsn
636     정연성  정연성/ncn
637     ,        ,/sp
638     의사관계구성    의사/ncn+관계/ncpa+구성/ncn
639     1       1/nnc
640     .        ./sf
641     머리말  머리말/ncn
644     1       1/nnc
645     .        ./sf
646     1       1/nnc
647     .        ./sf
648     논의의  논의/ncn+의/jcm
649     목적    목적/ncpa
650     한국어  한국어/ncn
651     관계구성은      관계/ncpa+구성/ncpa+은/jxc
652     보문    보문/ncn
653     /       //sp
654     동격구성과      동격/ncn+구성/ncpa+과/jct
655     함께    함께/mag
656     관형구성의      관형구성/ncn+의/jcm
657     일종으로        일종/ncn+으로/jca
658     오래    오래/mag
659     전부터  전/ncn+부터/jca
660     연구되었다      연구/ncpa+되/xsv+었/ep+다/ef
662     .        ./sf
663     그러나  그러나/maj
664     대부분의        대부분/ncn+의/jcm
665     전통적인        전통/ncn+적/xsn+이/jp+ㄴ/etm
666     연구는  연구/ncpa+는/jxc
667     관형사형        관형사형/ncn
668     어미나  어미/ncn+나/jcj
669     그      그/mmd
670     시제    시제/ncn
671     및      및/maj
672     의미에  의미/ncps+에/jca
673     집중되었고      집중/ncpa+되/xsv+었/ep+고/ecc
675     ,        ,/sp
676     생성문법의      생성문법/ncn+의/jcm
677     방법론이        방법론/ncn+이/jcs
678     한국어  한국어/ncn
679     기술에  기술/ncn+에/jca
680     도입된  도입/ncpa+되/xsv+ㄴ/etm
681     후      후/ncn
682     관계구성        관계/ncpa+구성/ncpa
683     내지    내지/ncn
684     관형구성에      관형구성/ncn+에/jca
685     대한    대하/pvg+ㄴ/etm
686     활      활/ncn
687     발한    발하/pvg+ㄴ/etm
688     연구로  연구/ncpa+로/jca
689     많은    많/paa+ㄴ/etm
690     특징적인        특징/ncpa+적/xsn+이/jp+ㄴ/etm
691     현상들이        현상/ncn+들/xsn+이/jcs
692     밝혀졌다        밝히/pvg+어/ecx+지/px+었/ep+다/ef
693     .        ./sf
694     본      본/mmd
695     연구는  연구/ncpa+는/jxc
696     이러한  이러하/pad+ㄴ/etm
697     맥락에서        맥락/ncn+에서/jca
698     한국어  한국어/ncn
699     관계구성의      관계/ncpa+구성/ncpa+의/jcm
700     통사    통사/ncn
701     의미적인        의미/ncps+적/xsn+이/jp+ㄴ/etm
702     특성을  특성/ncn+을/jco
703     살피고  살피/pvg+고/ecc
704     다시    다시/mag
705     이를    이/npd+를/jco
706     정보기반적      정보/ncn+기반/ncn+적/xsn
707     (       (/sl
708     information      information/f
709     -       -/sd
710     based   based/f
711     )       )/sr
712     이고    이/jp+고/ecc
713     통합문법적인    통합/ncpa+문법/ncn+적/xsn+이/jp+ㄴ/etm
714     머리중심        머리/ncn+중심/ncn
715     구구조문법      구구조문법/ncn
716     (       (/sl
717     Head   Head/f
718     -       -/sd
719     driven  driven/f
720     Phrase Phrase/f
721     Structure       Structure/f
722     Grammar       Grammar/f
723     :       :/sp
724     HPSG  HPSG/f
725     )       )/sr
726     을      을/jco
727     중심으로        중심/ncn+으로/jca
728     통사와  통사/ncn+와/jcj
729     의미가  의미/ncps+가/jcs
730     상호작용하는    상호작용/ncpa+하/xsv+는/etm
731     문법    문법/ncn
732     모형    모형/ncn
733     안에서  안/ncn+에서/jca
734     이와    이/npd+와/jct
735     관련된  관련/ncpa+되/xsv+ㄴ/etm
736     여러    여러/mma
737     현상들을        현상/ncn+들/xsn+을/jco
738     기술해보는      기술/ncpa+하/xsv+어/ecx+보/px+는/etm
739     것을    것/nbn+을/jco
740     목표로  목표/ncpa+로/jca
741     삼는다  삼/pvg+는다/ef
742     .        ./sf
743     한국어  한국어/ncn
744     관계구성은      관계/ncpa+구성/ncpa+은/jxc
745     그동안  그동안/ncn
746     통사론이나      통사론/ncn+이나/jcj
747     의미론  의미론/ncn
748     어느    어느/mmd
749     한쪽의  한쪽/ncn+의/jcm
750     접근방법에      접근/ncpa+방법/ncn+에/jca
751     의해서만        의하/pvg+어서/ecs+만/jxc
752     논의되어        논의/ncpa+되/xsv+어/ecx
753     왔다    오/px+았/ep+다/ef
755     .        ./sf
756     그러나  그러나/maj
757     이      이/mmd
758     구성은  구성/ncpa+은/jxc
759     두      두/nnc
760     부문이  부문/ncn+이/jcs
761     함께    함께/mag
762     작용하는        작용/ncpa+하/xsv+는/etm
763     복합적인        복합/ncpa+적/xsn+이/jp+ㄴ/etm
764     면을    면/ncn+을/jco
765     보이고  보이/pvg+고/ecc
766     ,        ,/sp
767     더      더/mag
768     나아가  나아가/pvg+아/ecs
769     화용    화용/ncn
770     적인    적/nbn+이/jp+ㄴ/etm
771     상황까지        상황/ncn+까지/jca
772     요구되는        요구/ncpa+되/xsv+는/etm
773     측면을  측면/ncn+을/jco
774     보이므로        보이/pvg+므로/ecs
775     현재    현재/ncn
776     어느    어느/mmd
777     다른    다른/mma
778     문법이론보다    문법이론/ncn+보다/jca
779     통사    통사/ncn
780     의미구조의      의미/ncps+구조/ncpa+의/jcm
782     정보    정보/ncn
783     및      및/maj
784     화용적  화용/ncn+적/xsn
785     상황까지도      상황/ncn+까지도/jxc
786     포괄할  포괄/ncpa+하/xsv+ㄹ/etm
787     수      수/nbn
788     있는    있/paa+는/etm
789     HPSG  HPSG/f
790     가      가/jcs
791     이      이/mmd
792     관계를  관계/ncpa+를/jco
793     잘      잘/mag
794     파악할  파악/ncpa+하/xsv+ㄹ/etm
795     수      수/nbn
796     있다    있/paa+다/ef
798     .        ./sf
799     본      본/mmd
800     연구에서는      연구/ncpa+에서/jca+는/jxc
