
그리스	그리스/nq
단백질	단백질/ncn
대체로	대체로/mag
단백질이	단백질/ncn+이/jcs
많은	많/paa+은/etm
음식물은	음식/ncn+물/xsn+은/jxc
단백질이	단백질/ncn+이/jcs
적은	적/paa+은/etm
음식물보다	음식/ncn+물/xsn+보다/jca
비싼데다	비싸/paa+ㄴ데다/ecs
공급도	공급/ncn+도/jxc
충분하지	충분/ncps+하/xsm+지/ecx
않다	않/px+다/ef
.	./sf

채식주의도	채식/ncn+주의/ncn+도/jxc
나름대로	나름/nbn+대로/jxc
의미는	의미/ncn+는/jxc
있지만	있/paa+지만/ecs
채식주의를	채식/ncn+주의/ncn+를/jco
실행하는	실행/ncpa+하/xsv+는/etm
사람은	사람/ncn+은/jxc
적절한	적절/ncps+하/xsm+ㄴ/etm
양의	양/ncn+의/jcm
단백질을	단백질/ncn+을/jco
섭취하도록	섭취/ncpa+하/xsv+도록/ecs
노력해야	노력/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf

7	7/nnc
g	g/su
의	의/jcm
단백질을	단백질/ncn+을/jco
섭취하면	섭취/ncpa+하/xsv+면/ecs
되는데	되/pvg+는데/ecs
어린이나	어린이/ncn+나/jcj
임산부에게는	임산/ncn+부/xsn+에게/jca+는/jxc
좀더	좀더/mag
많은	많/paa+은/etm
양이	양/ncn+이/jcs
필요하다	필요/ncps+하/xsm+다/ef
.	./sf

19	19/nno
세기에	세기/nbu+에/jca
과학자들은	과학/ncn+자/xsn+들/xsn+은/jxc
,	,/sp
기근이	기근/ncn+이/jcs
들자	들/pvg+자/ecs
뼈나	뼈/ncn+나/jcj
힘줄	힘줄/ncn
그리고	그리고/maj
그	그/mmd
외의	외/nbn+의/jcm
먹기	먹/pvg+기/etn
힘든	힘들/pvg+ㄴ/etm
부분을	부분/ncn+을/jco
가열하면	가열/ncpa+하/xsv+면/ecs
나오는	나오/pvg+는/etm
단백질의	단백질/ncn+의/jcm
일종인	일종/ncn+이/jp+ㄴ/etm
젤라틴으로	젤라틴/ncn+으로/jca
사람이	사람/ncn+이/jcs
살	살/pvg+ㄹ/etm
수	수/nbn
있는지	있/paa+는지/ecs
밝히려	밝히/pvg+려/ecs
하였다	하/pvg+었/ep+다/ef
.	./sf

프랑스의	프랑스/nq+의/jcm
생리학자	생리/ncn+학자/ncn
마장디는	마장디/nq+는/jxc
개에게	개/ncn+에게/jca
단백질원으로	단백질/ncn+원/xsn+으로/jca
젤라틴만을	젤라틴/ncn+만/jxc+을/jco
주었더니	주/pvg+었/ep+더니/ecs
몸무게가	몸무게/ncn+가/jcs
줄어들면서	줄/pvg+어/ecx+들/px+면서/ecs
결국	결국/mag
죽었다는	죽/pvg+었/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
발표하였다	발표/ncpa+하/xsv+었/ep+다/ef
.	./sf

이	이/mmd
결과는	결과/ncn+는/jxc
,	,/sp
젤라틴이	젤라틴/ncn+이/jcs
음식물로서	음식/ncn+물/xsn+로서/jca
적합하지	적합/ncps+하/xsm+지/ecx
않다는	않/px+다/ef+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
젤라틴만으로는	젤라틴/ncn+만/jxc+으로/jca+는/jxc
몸에	몸/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
물질을	물질/ncn+을/jco
충분히	충분/ncn+히/xsa
공급할	공급/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없음을	없/paa+음/etn+을/jco
알려	알리/pvg+어/ecx
주는	주/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

단백질의	단백질/ncn+의/jcm
주요	주요/ncn
유용성은	유용/ncn+성/xsn+은/jxc
,	,/sp
단백질에	단백질/ncn+에/jca
의해	의하/pvg+어/ecs
공급되는	공급/ncpa+되/xsv+는/etm
질소를	질소/ncn+를/jco
신체에서	신체/ncn+에서/jca
얼마나	얼마나/mag
잘	잘/mag
이용하는가	이용/ncpa+하/xsv+는가/ef
하는	하/px+는/etm
효율성에	효율/ncn+성/xsn+에/jca
있다	있/paa+다/ef
.	./sf

1854	1854/nno
년	년/nbu
영국의	영국/nq+의/jcm
농학자	농학/ncn+자/xsn
로스와	로스/nq+와/jcj
길버트는	길버트/nq+는/jxc
돼지에게	돼지/ncn+에게/jca
단백질원으로	단백질/ncn+원/xsn+으로/jca
콩과	콩/ncn+과/jcj
보리를	보리/ncn+를/jco
주어	주/pvg+어/ecs
비교	비교/ncn
실험을	실험/ncn+을/jco
하였다	하/pvg+었/ep+다/ef
.	./sf

만일	만일/mag
굶는다든가	굶/pvg+는다/ef+든가/ecs
질병으로	질병/ncn+으로/jca
인해	인하/pvg+어/ecs
젤라틴이	젤라틴/ncn+이/jcs
유일한	유일/ncps+하/xsm+ㄴ/etm
단백질	단백질/ncn
공급원이	공급/ncn+원/xsn+이/jcc
되는	되/pvg+는/etm
경유에는	경유/ncn+에/jca+는/jxc
질소	질소/ncn
균형	균형/ncn
관점에서	관점/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때	때/ncn
신체는	신체/ncn+는/jxc
계속	계속/mag
질소를	질소/ncn+를/jco
얻지	얻/pvg+지/ecx
못하거나	못하/px+거나/ecc
소모하게	소모/ncpa+하/xsv+게/ecx
된다	되/pvg+ㄴ다/ef
(	(/sl
이	이/mmd
상황을	상황/ncn+을/jco
'	'/sl
음성	음성/ncn
질소	질소/ncn
균형	균형/ncn
'	'/sr
이라	이/jp+라/ef
부른다	부르/pvg+ㄴ다/ef
).	)/sr+./sf

이	이/mmd
경우에	경우/ncn+에/jca
아무리	아무리/mag
많은	많/paa+은/etm
양의	양/ncn+의/jcm
젤라틴이	젤라틴/ncn+이/jcs
공급되어도	공급/ncpa+되/xsv+어도/ecs
질소를	질소/ncn+를/jco
얻기보다는	얻/pvg+기/etn+보다/jca+는/jxc
잃는	잃/pvg+는/etm
것이	것/nbn+이/jcs
더	더/mag
많다	많/paa+다/ef
.	./sf

이	이/mmd
구성	구성/ncn
물질이	물질/ncn+이/jcs
없으면	없/paa+으면/ecs
신체는	신체/ncn+는/jxc
그	그/mmd
구성에	구성/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
단백질을	단백질/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
없게	없/paa+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

따라서	따라서/maj
다른	다르/paa+ㄴ/etm
음식물을	음식/ncn+물/xsn+을/jco
통해	통하/pvg+어/ecs
다른	다르/paa+ㄴ/etm
단백질의	단백질/ncn+의/jcm
형태로	형태/ncn+로/jca
흡수해야	흡수/ncpa+하/xsv+어야/ecs
하며	하/pvg+며/ecc
,	,/sp
젤라틴에	젤라틴/ncn+에/jca
있는	있/paa+는/etm
아미노산은	아미노산/ncn+은/jxc
필요없는	필요/ncn+없/paa+는/etm
것만	것/nbn+만/jxc
있게	있/paa+게/ecx
되므로	되/pvg+므로/ecs
배설된다	배설/ncpa+되/xsv+ㄴ다/ef
.	./sf

이것은	이것/npd+은/jxc
마치	마치/mag
집을	집/ncn+을/jco
짓는	짓/pvg+는/etm
사람에게	사람/ncn+에게/jca
목재는	목재/ncn+는/jxc
주었지만	주/pvg+었/ep+지만/ecs
못은	못/ncn+은/jxc
주지	주/pvg+지/ecx
않은	않/px+은/etm
것과	것/nbn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
상황이다	상황/ncn+이/jp+다/ef
.	./sf

집을	집/ncn+을/jco
지을	짓/pvg+을/etm
수	수/nbn
없음은	없/paa+음/etn+은/jxc
물론이거니와	물론/mag+이/jp+거니와/ecs
목재도	목재/ncn+도/jxc
방치된	방치/ncpa+되/xsv+ㄴ/etm
채로	채/nbn+로/jca
있다가	있/paa+다가/ecs
결국에는	결국/mag+에/jca+는/jxc
버려질	버리/pvg+어/ecx+지/px+ㄹ/etm
