<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0417.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0417.txt </filename>
<title> 최부의 표류기 </title>
<author>최부 저 ; 박화목 역 </author>
<date>1993  </date>
<publisher>민문고  </publisher>
<kdc>981.2  </kdc>
<ddc>915.1  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
멀리	멀리/mag
포구에까지	포구/ncn+에/jca+까지/jxc
찾아	찾/pvg+아/ecs
와서	오/pvg+아서/ecs
송별	송별/ncn
인사까지도	인사/ncn+까지도/jxc
한	하/pvg+ㄴ/etm
바가	바/nbn+가/jcs
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
그러니까	그러니까/maj
으레	으레/mag
떠나는	떠나/pvg+는/etm
것으로	것/nbn+으로/jca
여길	여기/pvg+ㄹ/etm
법한	법하/px+ㄴ/etm
일이었습니다	일/ncn+이/jp+었/ep+습니다/ef
.	./sf
오늘	오늘/ncn
떠날	떠나/pvg+ㄹ/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
,	,/sp
아니면	아니/paa+면/ecs
좋은	좋/paa+은/etm
날씨를	날씨/ncn+를/jco
기다려	기다리/pvg+어/ecs
미룰	미루/pvg+ㄹ/etm
것인지는	것/nbn+이/jp+ㄴ지/ecs+는/jxc
,	,/sp
최부가	최부/nq+가/jcs
끝으로	끝/ncn+으로/jca
결정할	결정/ncpa+하/xsv+ㄹ/etm
일인데	일/ncn+이/jp+ㄴ데/ecs
,	,/sp
그는	그/npp+는/jxc
지금	지금/mag
그것을	그것/npd+을/jco
적이	적이/mag
망설이고	망설이/pvg+고/ecx
있는	있/px+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
그때	그/mmd+때/ncn
,	,/sp
어느새	어느새/mag
옆에	옆/ncn+에/jca
왔는지	오/pvg+았/ep+는지/ecs
말을	말/ncn+을/jco
건네는	건네/pvg+는/jxc
사람이	사람/ncn+이/jcs
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
떠나는	떠나/pvg+는/etm
것을	것/nbn+을/jco
연기함이	연기/ncpa+하/xsv+ㅁ/etn+이/jcs
좋을	좋/paa+을/etm
듯싶습니다	듯/nbn+싶/paa+습니다/ef
."	./sf+"/sr
고개를	고개/ncn+를/jco
돌려	돌리/pvg+어/ecx
보니까	보/px+니까/ecs
,	,/sp
제주	제주/nq
항교	항교/ncn
(	(/sl
조선	조선/nq
시대	시대/ncn
지방에	지방/ncn+에/jca
있던	있/paa+던/etm
학교	학교/ncn
)	)/sr
의	의/jcm
학장인	학장/ncn+이/jp+ㄴ/etm
김존려란	김존려/nq+라/ef+ㄴ/etm
사람이었습니다	사람/ncn+이/jp+었/ep+습니다/ef
.	./sf
김득례란	김득례/nq+라/ef+ㄴ/etm
사람도	사람/ncn+도/jxc
함께	함께/mag
와	오/pvg+아/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
"	"/sl
연기하다니요	연기하/pvg+다니/ef+요/jxf
?"	?/sf+"/sl
최부가	최부/nq+가/jcs
되물었습니다	되묻/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
예	예/ii
,	,/sp
저희들은	저희/npp+들/xsn+은/jxc
섬	섬/ncn
지방에서	지방/ncn+에서/jca
자랐기	자라/pvg+았/ep+기/etn
때문에	때문/nbn+에/ecs
바닷길을	바닷길/ncn+을/jco
잘	잘/mag
알고	알/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
또	또/maj
,	,/sp
바다	바다/ncn
날씨도	날씨/ncn+도/jxc
잘	잘/mag
알고	알/pvg+고/ecx
있지요	있/px+지/ef+요/jxf
."	./sf+"/sr
"	"/sl
그래서요	그리하/pvd+어서/ecs+요/jxf
?"	?/sf+"/sr
"	"/sl
저희들이	저희/npp+들/xsn+이/jcs
보니까	보/pvg+니까/ecs
,	,/sp
한라산에	한라산/nq+에/jca
구름이	구름/ncn+이/jcs
끼여	끼이/pvg+어/ecs
있잖습니까	있/paa+잖습니까/ef
.	./sf
또한	또한/maj
저	저/mmd
구름은	구름/ncn+은/jxc
비를	비/ncn+를/jco
동반할	동반/ncpa+하/xsv+ㄹ/etm
것	것/nbn
같습니다	같/paa+습니다/ef
.	./sf
한라산에	한라산/nq+에/jca
구름이	구름/ncn+이/jcs
끼거나	끼/pvg+거나/ecc
,	,/sp
비가	비/ncn+가/jcs
내려	내/pvg+려/ecs
날씨가	날씨/ncn+가/jcs
고르지	고르/pvg+지/ecx
못하면	못하/px+면/ecs
,	,/sp
바다에는	바다/ncn+에/jca+는/jxc
반드시	반드시/mag
큰	크/paa+ㄴ/etm
바람이	바람/ncn+이/jcs
일고	일/pvg+고/ecc
,	,/sp
바닷길이	바닷길/ncn+이/jcs
순탄치	순탄치/mag
못하게	못하/px+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
그러니	그러니/maj
,	,/sp
배를	배/ncn+를/jco
타서는	타/ncn+서/jca+는/jxc
안	안/mag
되옵니다	되/pvg+오/ep+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
정말	정말/mag
그러하옵니다	그러하/pad+오/ep+ㅂ니다/ef
.	./sf
오늘	오늘/ncn
같은	같/paa+은/etm
날씨에	날씨/ncn+에/jca
배를	배/ncn+를/jco
타는	타/pvg+는/etm
일은	일/ncn+은/jxc
깊이	깊이/mag
생각해	생각하/pvg+어/ecx
보셔야	보/px+시/ep+어야/ecs
합니다	하/pvg+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
글쎄요	글쎄/ii+요/jxf
?"	?/sf+"/sl
"	"/sl
물의	물/ncn+의/jcm
길도	길/ncn+도/jxc
아니고	아니/paa+고/ecc
,	,/sp
큰	크/paa+ㄴ/etm
바다를	바다/ncn+를/jco
건너가는	건너/pvg+어/ecs+가/pvg+는/etm
바닷길인데	바닷길/ncn+이/jp+ㄴ데/ecs
,	,/sp
조심하지	조심하/pvg+지/ecx
않을	않/px+을/etm
수가	수/nbn+가/jcs
있겠어요	있/paa+겠/ep+어/ef+요/jxf
?"	?/sf+"/sl
"	"/sl
깊이	깊이/mag
생각해	생각/ncpa+하/xsv+어/ecx
보심이	보/px+시/ep+ㅁ/etn+이/jcs
마땅한	마땅/ncps+하/xsm+ㄴ/etm
줄	줄/nbn
아옵니다	알/pvg+오/ep+ㅂ니다/ef
."	./sf+"/sr
이말을	이/mmd+말/ncn+을/jco
듣자	듣/pvg+자/ecs
,	,/sp
최부는	최부/nq+는/jxc
더욱더	더욱더/mag
망설일	망설이/pvg+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없는	없/paa+는/etm
노릇이었습니다	노릇/nbn+이/jp+었/ep+습니다/ef
.	./sf
하지만	하지만/maj
,	,/sp
하루라도	하루/ncn+라도/jxc
빨리	빨리/mag
가야	가/pvg+야/ecx
하는	하/px+는/etm
이번	이/mmd+번/nbn
여행길이었습니다	여행길/ncn+이/jp+었/ep+습니다/ef
.	./sf
최부의	최부/nq+의/jcm
남자	남자/ncn
종인	종/ncn+이/jp+ㄴ/etm
막금이가	막금이/nq+가/jcs
나주로부터	나주/ncn+로부터/jca
달려와서	달리/pvg+어/ecs+오/pvg+아서/ecs
,	,/sp
아버지가	아버지/ncn+가/jcs
돌아가셨다는	돌아가/pvg+시/ep+었/ep+다/ef+는/etm
소식을	소식/ncn+을/jco
알려	알리/pvg+어/ecx
준	주/px+ㄴ/etm
지도	지/nbn+도/jxc
벌써	벌써/mag
사흘이	사흘/ncn+이/jcs
지났습니다	지나/pvg+았/ep+습니다/ef
.	./sf
그제	그제/ncn
저녁에는	저녁/ncn+에/jca+는/jxc
제주	제주/nq
목사가	목사/ncn+가/jcs
조문	조문/ncn
(	(/sl
상사를	상사/ncn+를/jco
당한	당하/pvg+ㄴ/etm
사람을	사람/ncn+을/jco
위로하는	위로/ncpa+하/xsv+는/etm
것	것/nbn
)	)/sr
을	을/jco
해	하/pvg+어/ecx
오면서	오/px+면서/ecs
,	,/sp
수정사의	수정사/nq+의/jcm
지자라는	지자/nq+라/ef+는/etm
중의	중/ncn+의/jcm
배를	배/ncn+를/jco
알선해	알선/ncpa+하/xsv+어/ecx
주기도	주/px+기/etn+도/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
그	그/mmd
배가	배/ncn+가/jcs
단단하고	단단/ncps+하/xsm+고/ecc
빨리	빨리/mag
가므로	가/pvg+므로/ecs
,	,/sp
관가의	관가/ncn+의/jcm
배가	배/ncn+가/jcs
따르지	따르/pvg+지/ecx
못한다는	못하/px+ㄴ다/ef+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
그래서	그래서/maj
,	,/sp
최부는	최부/nq+는/jxc
그	그/mmd
배를	배/ncn+를/jco
얻어	얻/pvg+어/ecs
별도포	별도포/nq
항구에	항구/ncn+에/jca
돌려	돌리/pvg+어/ecs
대게	대/pvg+게/ecx
하고는	하/px+고/ecs+는/jxc
떠날	떠나/pvg+ㄹ/etm
준비를	준비/ncn+를/jco
시켰던	시키/pvg+었/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
윤정월에	윤정월/ncn+에/jca
들어서	들/pvg+어서/ecs
초하루	초하루/ncn
초이틀이	초이틀/ncn+이/jcs
지나고	지나/pvg+고/ecc
,	,/sp
어느덧	어느덧/mag
오늘이	오늘/ncn+이/jcs
초사흘이었습니다	초사흘/ncn+이/jp+었/ep+습니다/ef
.	./sf
날씨도	날씨/ncn+도/jxc
날씨였거니와	날씨/ncn+이/jp+었/ep+거니와/ecs
,	,/sp
그	그/mmd
동안	동안/ncn
이곳에	이/mmd+곳/ncn+에/jca
파견되어	파견/ncpa+되/xsv+어/ecs
온	오/pvg+ㄴ/etm
나라일들을	나라/ncn+일/ncn+들/xsn+을/jco
대충이나마	대충/ncn+이나마/jxc
얼른	얼른/mag
매듭을	매듭/ncn+을/jco
지어	짓/pvg+어/ecs
,	,/sp
문서며	문서/ncn+며/jcj
서목을	서목/ncn+을/jco
꾸며야	꾸미/pvg+어야/ecs
했기	하/pvg+었/ep+기/etn
때문에	때문/nbn+에/jca
하루	하루/ncn
이틀	이틀/ncn
늦어진	늦/paa+어/ecx+지/px+ㄴ/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
떠날	떠나/pvg+ㄹ/etm
채비가	채비/ncn+가/jcs
거의	거의/mag
다	다/mag
갖추어졌으므로	갖추/pvg+어/ecx+지/px+었/ep+으므로/ecs
더이상	더이상/mag
지체할	지체/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
윤정원	윤정원/ncn
초사흘인	초사흘/ncn+이/jp+ㄴ/etm
오늘은	오늘/ncn+은/jxc
기어코	기어코/mag
배를	배/ncn+를/jco
띄어야만	띄우/pvg+어야/ecs+만/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
최부는	최불/nq+는/etm
별도포의	별도포/nq+의/jcm
포구로	포구/ncn+로/jca
나왔습니다	나오/pvg+았/ep+습니다/ef
.	./sf
한데	한데/maj
오늘도	오늘/ncn+도/jxc
날씨는	날씨/ncn+는/jcs
아침부터	아침/ncn+부터/jxc
흐리다	흐리/paa+다/ecc
비오다	비/ncn+오/pvg+다/ecs
하며	하/pvg+며/ecc
,	,/sp
동풍이	동풍/ncn+이/jcs
조금	조금/mag
불었습니다	불/pvg+었/ep+습니다/ef
.	./sf
얼른	얼른/mag
보기에도	보/pvg+기/etn+에/jca+도/jxc
썩	썩/mag
좋은	좋/paa+은/etm
날씨가	날씨/ncn+가/jcs
아니었습니다	아니/paa+었/ep+습니다/ef
.	./sf
아니	아니/ii
,	,/sp
배웅	배웅/ncn
나온	나오/pvg+ㄴ/etm
김존려들은	김존려/nq+들/xsn+은/jcs
떠나는	떠나/pvg+는/etm
것을	것/nbn+을/jco
한사코	한사코/mag
말리는	말리/pvg+는/jxc
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
한자리에	한자리/ncn+에/jca
있던	있/paa+던/etm
여러	여러/mma
사람들이	사람/ncn+들/xsn+이/jcs
어떤	어떤/mmd
이는	이/nbn+는/jxc
권하기도	권하/pvg+기/etn+도/jxc
하고	하/pvg+고/ecs
,	,/sp
또	또/maj
다른	다른/mma
어떤	어떤/mmd
이는	이/nbn+는/jxc
말리기도	말리/pvg+기/etn+도/jxc
해서	하/pvg+어서/ecs
,	,/sp
해가	해/ncn+가/jcs
중천에	중천/ncn+에/jca
높이	높이/mag
솟아오를	솟/pvg+아/ecs+오르/pvg+ㄹ/etm
때까지	때/ncn+까지/jca
일을	일/ncn+을/jco
결정짓지	결정짓/pvg+지/ecx
못하고	못하/px+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
'	'/sl
어찌하면	어찌하/pvd+면/ecs
좋을꼬	좋/paa+을/etm+꼬/ef
?	?/sf
더	더/mag
지체할	지체/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
없거늘	없/paa+거늘/ecs
.'	./sf+'/sl
최부는	최부/nq+는/jxc
망설이면서	망설이/pvg+면서/ecs
먼	멀/paa+ㄴ/etm
바다와	바다/ncn+와/jcj
또	또/maj
바다가	바다/ncn+가/jcs
잇닿은	잇닿/pvg+은/etm
하늘을	하늘/ncn+을/jco
하염없이	하염없/paa+이/xsa
바라보고	바라보/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
안의라는	안의/nq+라/ef+는/etm
진무	진무/ncn
(	(/sl
조선	조선/nq
시대의	시대/ncn+의/jcm
무관	무관/ncn
벼슬	벼슬/ncn
)	)/sr
벼슬자리에	벼슬/ncn+자리/ncn+에/jxc
있는	있/paa+는/etm
사람이	사람/ncn+이/jcs
찾아와서	찾/pvg+아/ecs+오/pvg+아서/ecs
,	,/sp
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
동풍은	동풍/ncn+은/jxc
괜찮은	괜찮/paa+은/etm
바람이오니	바람/ncn+이/jp+오/ep+니/ecs
떠날	떠나/pvg+ㄹ/etm
만합니다	만하/px+ㅂ니다/ef
.	./sf
떠나도록	떠나/pvg+도록/ecs
하시지요	하/pvg+시/ep+지/ef+요/jxf
."	./sf+"/sr
하고	하/pvg+고/ecc
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
또	또/maj
,	,/sp
옆의	옆/ncn+의/jcm
다른	다른/mma
두	두/nnc
사람도	사람/ncn+도/jxc
,	,/sp
"	"/sl
갈	가/pvg+ㄹ/etm
길이	길/ncn+이/jcs
바쁘시온데	바쁘/pvg+시/ep+오/데+ㄴ데/ecs
어서	어서/mag
떠나시지요	떠나/pvg+시/ep+지/ef+요/jxf
."	./sf+"/sr
하고	하/pvg+고/ecc
,	,/sp
권하는	권하/pvg+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
이윽고	이윽고/maj
,	,/sp
최부는	최부/nq+는/jxc
떠나기로	떠나/pvg+기/etn+로/jca
마음먹었습니다	마음먹/pvg+었/ep+습니다/ef
.	./sf
그래서	그래서/maj
,	,/sp
선원들에게	선원/ncn+들/xsn+에게/jca
,	,/sp
"	"/sl
배를	배/ncn+를/jco
띄워라	띄우/pvg+어라/ef
!"	!/sf+"/sl
하고	하/pvg+고/ecc
명령했습니다	명령/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
선원들은	선원/ncn+들/xsn+은/jxc
닻을	닻/ncn+을/jco
올렸습니다	올리/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
바닷길	바닷길/ncn
조심해서	조심/ncpa+하/xsv+어서/ecs
안녕히	안녕히/mag
가십시오	가/pvg+십시오/ef
."	./sf+"/sr
"	"/sl
배웅	배웅/ncn
나와	나오/pvg+아/ecx
주어서	주/px+어서/ecs
고맙소	고맙/paa+소/ef
.	./sf
모두	모두/mag
안녕히	안녕히/mag
계시오	계시/pvg+오/ef
."	./sf+"/sr
최부와	최부/nq+와/jcj
그	그/mmd
일행은	일행/ncn+은/jxc
배웅	배웅/ncn
나온	나오/pvg+ㄴ/etm
사람들과	사람/ncn+들/xsn+과/jct
작별	작별/ncn
인사를	인사/ncn+를/jco
하고	하/pvg+고/ecc
배를	배/ncn+를/jco
탔습니다	타/pvg+았/ep+습니다/ef
.	./sf
배는	배/ncn+는/jxc
천천히	천천히/mag
포구를	포구/ncn+를/jco
떠났습니다	떠나/pvg+았/ep+습니다/ef
.	./sf
선창가의	선창/ncn+가/xsn+의/jcm
사람들은	사람/ncn+들/xsn+은/jxc
점점	점점/mag
작아져	작아지/paa+어/ecs
보였습니다	보이/pvg+었/ep+습니다/ef
.	./sf
노를	노/ncn+를/jco
저어	젓/pvg+어/ecs
한	한/mag
5	5/nnc
리쯤	리/nbn+쯤/xsn
갔을	가/pvg+았/ep+을/etm
때였습니다	때/ncn+이/jp+었/ep+습니다/ef
.	./sf
일행	일행/ncn
중	중/nbn
군인인	군인/ncn+이/jp+ㄴ/etm
권산이란	권산/nq+이/jp+라/ef+ㄴ/etm
사람이	사람/ncn+이/jcs
무슨	무슨/mmd
생각이	생각/ncn+이/jcs
들었는지	들/pvg+었/ep+는지/ecs
,	,/sp
이렇게	이렇게/mag
불쑥	불쑥/mag
말하는	말/ncpa+하/xsv+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
아무래도	아무렇/pad+어/ecs+도/jxc
배를	배/ncn+를/jco
되돌려야	되돌리/pvg+어야/ecs
할	하/pvg+ㄹ/etm
것	것/nbn
같습니다	같/paa+습니다/ef
."	./sf+"/sr
"	"/sl
이미	이미/mag
작별	작별/ncn
인사까지	인사/ncn+까지/jca
하고	하/pvg+고/ecc
떠나지	떠나/pvg+지/ecx
않았는가	않/px+았/ep+는가/ef
?"	?/sf+"/sl
"	"/sl
하오나	하오나/maj
,	,/sp
뱃길을	뱃길/ncn+을/jco
가기에는	가/pvg+기/etn+에/jca+는/jxc
바람이	바람/ncn+이/jcs
순조롭지	순조롭/paa+지/ecx
못한	못하/px+ㄴ/etm
날씨이옵니다	날씨/ncn+이/jp+오/ep+ㅂ니다/ef
."	./sf+"/sr
그러자	그러자/maj
,	,/sp
역시	역시/mag
군인인	군인/ncn+이/jp+ㄴ/etm
허상리란	허상리/nq+라/ef+ㄴ/etm
사람도	사람/ncn+도/jxc
,	,/sp
"	"/sl
권산의	권산/nq+의/jcm
말이	말/ncn+이/jcs
옳은	옳/paa+은/etm
줄	줄/nbn
아옵니다	알/pvg+오/ep+ㅂ니다/ef
.	./sf
오늘은	오늘/ncn+은/jxc
바람	바람/ncn
기세가	기세/ncn+가/jcs
일어났다	일어나/pvg+았/ep+다/ecs
그치기도	그치/pvg+기/etn+도/jxc
하고	하/pvg+고/ecc
,	,/sp
또	또/maj
구름과	구름/ncn+과/jcj
흙비가	흙비/ncn+가/jcs
덮였다가	덮이/pvg+었/ep+다가/ecs
개기도	개/pvg+기/etn+도/jxc
하는	하/pvg+는/etm
모양이	모양/ncn+이/jcs
,	,/sp
날씨가	날씨/ncn+가/jcs
순조롭지	순조롭/paa+지/ecx
못하다는	못하/px+다/ef+는/etm
징조이옵니다	징조/ncn+이/jp+오/ep+ㅂ니다/ef
.	./sf
바다의	바다/ncn+의/jcm
파도가	파도/ncn+가/jcs
험악할	험악/ncps+하/xsm+ㄹ/etm
것이	것/nbn+이/jcs
분명합니다	분명/ncps+하/xsm+ㅂ니다/ef
.	./sf
이대로	이/npd+대로/jca
계속	계속/mag
바다를	바다/ncn+를/jco
건넌다면	건너/pvg+ㄴ다면/ecs
후회스러운	후회/ncps+스럽/xsm+ㄴ/etm
일이	일/ncn+이/jcs
있을지도	있/paa+을지도/jxc
모르옵니다	모르/paa+오/ep+ㅂ니다/ef
."	./sf+"/sr
하고	하고/jcr
,	,/sp
덧붙여	덧붙이/pvg+어/ecs
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jxc
이	이/mmd
말을	말/ncn+을/jco
듣고서도	듣/pvg+고서/ecs+도/jxc
잠자코	잠자코/mag
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
권산이	권산/nq+이/jcs
다시	다시/mag
입을	입/ncn+을/jco
열어	열/pvg+어/ecs
,	,/sp
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
청컨대	청하/pvg+건대/ecs
배를	배/ncn+를/jco
별도포로	별도포/nq+로/jca
돌리시지요	돌리/pvg+시/ep+지/ef+요/jxf
.	./sf
순풍을	순풍/ncn+을/jco
기다렸다가	기다리/pvg+었/ep+다가/ecs
다시	다시/mag
떠나도	떠나/pvg+도/jxc
늦지는	늦/paa+지/ecx+는/jxc
않을	않/px+을/etm
것이옵니다	것/nbn+이/jp+오/ep+ㅂ니다/ef
."	./sf+"/sr
하고	하고/jcr
,	,/sp
간곡히	간곡/ncn+히/xsa
권하는	권하/pvg+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
그때	그/mmd+때/ncn
