<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0054.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0054.txt </filename>
<title>한국경제,  설 땅이 없다 : 일본, 동남아연합, 한국경제의 선택과 전략</title>
<author>이경규 [외]  </author>
<date>1993  </date>
<publisher>중앙일보사  </publisher>
<kdc>320.911  </kdc>
<ddc>330.9519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
동남아서	동남아/nq+서/jca
것이다	것/nbn+이/jp+다/ef
.	./sf
장소와	장소/ncn+와/jcj
종업원들의	종업/ncn+원/xsn+들/xsn+의/jcm
국적만	국적/ncn+만/jxc
태국이지	태국/nq+이/jp+지/ef
,	,/sp
모든	모든/mma
경영시스팀이나	경영/ncn+시스팀/ncn+이나/jcj
정신은	정신/ncn+은/jxc
완전	완전/ncn
일본식이다	일본/ncn+식/xsn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
만든	만들/pvg+ㄴ/etm
초정밀	초/xp+정밀/ncn
베어링은	베어링/ncn+은/jxc
일본의	일본/nq+의/jcm
전자회사들로	전자/ncn+회사/ncn+들/xsn+로/jca
역수출된다	역/xp+수출/ncpa+되/xsv+ㄴ다/ef
.	./sf
한국회사들도	한국/nq+회사/ncn+들/xsn+도/jxc
사다	사/pvg+다/ecs
써야	쓰/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
세계	세계/ncn
최고	최고/ncn
수준의	수준/ncn+의/jcm
품질관리가	품질/ncn+관리/ncn+가/jcs
열대지방에서	열대/ncn+지방/ncn+에서/jca
성공하고	성공/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
'	'/sl
동남아산	동남아/nq+산/xsn
(	(/sl
産	産/ncn
)'	)/sr+'/sl
이라고	이/jp+라/ef+고/jcr
해서	하/pvg+어서/ecs
'	'/sl
메이드	메이드/ncn
인	인/ncn
재팬	재팬/ncn
'	'/sr
보다	보다/jxc
못할	못하/px+ㄹ/etm
게	거/nbn+이/jcs
없다	없/paa+다/ef
.	./sf
소니	소니/nq
상표를	상표/ncn+를/jco
단	달/pvg+ㄴ/etm
TV가	TV/f+가/jca
일제상품	일제/ncn+상품/ncn
수입규제를	수입/ncn+규제/ncn+를/jco
피해	피하/pvg+어/ecx
한국시장에	한국/nq+시장/ncn+에/jca
선보일	선/ncn+보이/pvg+ㄹ/etm
날도	날/ncn+도/jxc
시간	시간/ncn
문제다	문제/ncn+다/ef
.	./sf
일본을	일본/nq+을/jco
중심으로	중심/ncn+으로/jca
아시아권	아시아/nq+권/xsn
전체가	전체/ncn+가/jcs
새로운	새롭/paa+ㄴ/etm
분업체제를	분업/ncn+체제/ncn+를/jco
형성	형성/ncn
작업에	작업/ncn+에/jca
피치를	피치/ncn+를/jco
올리고	올리/pvg+고/ecx
있다	있/px+다/ef
.	./sf
도요타자동차의	도요타자동차/nq+의/jcm
경우	경우/ncn
트랜스미션은	트랜스미션/ncn+은/jxc
마닐라	마닐라/nq
공장에서	공장/ncn+에서/jca
만들고	만들/pvg+고/ecc
,	,/sp
금형은	금형/ncn+은/jxc
태국공장에서	태국/nq+공장/ncn+에서/jca
떠서	뜨/paa+어서/ecs
서로	서로/mag
주고	주/pvg+고/ecs
받는다	받/pvg+는다/ef
.	./sf
전자회사들은	전자/ncn+회사/ncn+들/xsn+은/jxc
갖가지	갖가지/ncn
부품생산을	부품/ncn+생산/ncn+을/jco
국가별로	국가/ncn+별/xsn+로/jca
전문화시켜	전문/ncn+화/xsn+시키/xsv+어/ecx
국경을	국경/ncn+을/jco
넘나든다	넘나들/pvg+ㄴ다/ef
.	./sf
값은	값/ncn+은/jxc
싸지고	싸/pvg+아/ecx+지/px+고/ecc
품질은	품질/ncn+은/jxc
좋아진다	좋/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
일본은	일본/nq+은/jxc
열심히	열심/ncn+히/xsa
동남아를	동남아/nq+를/jco
가르친다	가르치/pvg+ㄴ다/ef
.	./sf
일본	일본/nq
자신이	자신/ncn+이/jcs
필요해서다	필요/ncps+하/xsv+어서/ecs+다/ef
.	./sf
일본	일본/nq
국내	국내/ncn
소비자들의	소비/ncn+자/xsn+들/xsn+의/jcm
까다로운	까다롭/paa+ㄴ/etm
입맞에	입맞/ncn+에/jca
맞추기	맞추/pvg+기/etn
위해서라도	위하/pvg+어서/ecs+라도/jxc
적극적일	적극/ncn+적/xsn+이/jp+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다	없/paa+다/ef
.	./sf
일본은	일본/nq+은/jxc
돈으로만	돈/ncn+으로/jca+만/jxc
동남아를	동남아/nq+를/jco
지배하는	지배/ncpa+하/xsv+는/etm
게	거/nbn+이/jcs
아니다	아니/paa+다/ef
.	./sf
그들	그/npp+들/xsn
특유의	특유/ncn+의/jcm
정신과	정신/ncn+과/jcj
경영기법을	경영/ncn+기법/ncn+을/jco
심어가며	심/pvg+어/ecx+가/px+며/ecc
철저하게	철저/ncps+하/xsm+게/ecs
일본화시켜	일본/ncn+화/xsn+시키/xsv+어/ecx
나가고	나가/pvg+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그럼에도	그러/pvd+ㅁ/etn+에/jca+도/jxc
불구하고	불구/ncps+하/xsm+고/ecc
어느	어느/mmd
나라에서건	나라/ncn+에서/jca+건/jxc
별다른	별다르/paa+ㄴ/etm
반일감정	반일/ncn+감정/ncn
따위는	따위/nbn+는/jxc
찾아보기	찾/pvg+아/ecx+보/px+기/etn
어렵다	어렵/paa+다/ef
.	./sf
오히려	오히려/mag
겸손한	겸손/ncps+하/xsm+ㄴ/etm
시혜자쯤으로	시혜/ncn+자/xsn+쯤/xsn+으로/jca
인식한다	인식/ncpa+하/xsv+ㄴ다/ef
.	./sf
세계	세계/ncn
최대의	최대/ncn+의/jcm
원조국이면서도	원조/ncn+국/xsn+이/jp+면서/ecs+도/jxc
이래라	이리하/pvd+여라/ef
저래라는	저리하/pvd+여라/ef+는/etm
식의	식/ncn+의/jcm
간섭은	간섭/ncn+은/jxc
일체	일체/ncn
삼간다	삼가/pvg+ㄴ다/ef
.	./sf
돈은	돈/nq+은/jxc
돈대로	돈/ncn+대로/jca
벌면서	벌/pvg+면서/ecs
모두들	모두/ncn+들/xsn
인본주의를	인본/ncn+주의/ncn+를/jco
고창한다	고창/ncpa+하/xsv+ㄴ다/ef
.	./sf
이처럼	이/npd+처럼/jca
일본과	일본/nq+과/jcj
동남아는	동남아/nq+는/jxc
서로	서로/mag
없으면	없/paa+으면/ecs
죽고	죽/pvg+고/ecx
못사는	못살/pvg+는/etm
관계가	관계/ncn+가/jcc
되어가고	되/pvg+어/ecx+가/px+고/ecx
있다	있/px+다/ef
.	./sf
일본에	일본/nq+에/jca
대해	대하/pvg+어/ecx
무역적자를	무역/ncn+적자/ncn+를/jco
계속내고	계속/mag+내/pvg+고/ecx
있고	있/px+고/ecc
왕년에	왕년/ncn+에/jca
점령당했다고	점령/ncpa+당하/pvg+었/ep+다/ef+고/ecx
해서	하/px+어서/ecs
일본에	일본/nq+에/jca
대한	대하/pvg+ㄴ/etm
정서가	정서/ncn+가/jcs
한국과	한국/nq+과/jct
같거나	같/paa+거나/ecc
비슷할	비슷/ncps+하/xsm+ㄹ/etm
것으로	것/nbn+으로/jca
생각하는	생각/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
우리만의	우리/npp+만/jxc+의/jcm
착각일	착각/ncn+이/jp+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
오히려	오히려/mag
일본은	일본/nq+은/jxc
동남아에서	동남아/nq+에서/jca
지극히	지극/ncn+히/xsa
너그러운	너그럽/paa+ㄴ/etm
존재로	존재/ncn+로/jca
비쳐지게	비치/pvg+어/ecx+지/px+게/ecx
변신하고	변신/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이런	이런/mmd
상황속에서	상황/ncn+속/ncn+에서/jca
한국경제가	한국/nq+경제/ncn+가/jcs
설	서/pvg+ㄹ/etm
땅은	땅/ncn+은/jxc
어디인가	어디/npd+이/jp+ㄴ가/ef
.	./sf
후발개도국뿐	후발/ncn+개도국/ncn+뿐/nbn
아니라	아니/paa+라/ecs
우리보다	우리/npp+보다/jca
앞서가는	앞/ncn+서/pvg+어/ecs+가/pvg+는/etm
대만과	대만/nq+과/jcj
싱가포르	싱가포르/nq
홍콩까지도	홍콩/nq+까지/jxc+도/jxc
일본과	일본/nq+과/jcj
한통속이	한통속/ncn+이/jcc
034632300  
되어	되/pvg+어/ecx
돌아가는	돌/pvg+아/ecs+가/pvg+는/etm
판에	판/ncn+에/jca
일본기업들	일본/nq+기업/ncn+들/xsn
,	,/sp
"	"/sl
한국이	한국/nq+이/jcs
싫어졌다	싫/paa+어/ecx+지/px+었/ep+다/ef
"	"/sl
최근	최근/ncn
들어	들/pvg+어/ecs
일본이	일본/nq+이/jcs
한국을	한국/nq+을/jco
대하는	대하/pvg+는/etm
태도가	태도/ncn+가/jcs
달라지고	다르/paa+아/ecx+지/px+고/ecx
있음은	있/px+음/etn+은/jxc
여러	여러/mma
면에서	면/ncn+에서/jca
감지된다	감지/ncpa+되/xsv+ㄴ다/ef
.	./sf
'	'/sl
문예춘추	문예춘추/nq
'	'/sl
를	를/jco
비롯한	비롯/ncps+하/xsm+ㄴ/etm
일본의	일본/nq+의/jcm
언론이	언론/ncn+이/jcs
노골적인	노골/ncn+적/xsn+이/jp+ㄴ/etm
비판을	비판/ncn+을/jco
가하는가	가하/pvg+는가/ef
하면	하/pvg+면/ecs
기업인과	기업/ncn+인/xsn+과/jcj
정부	정부/ncn
당국자의	당국/ncn+자/xsn+의/jcm
태도도	태도/ncn+도/jxc
현저하게	현저/ncps+하/xsm+게/ecs
달라졌다	다르/pvg+아/ecx+지/px+었/ep+다/ef
.	./sf
얼마	얼마/ncn
전	전/ncn
어느	어느/mmd
일본	일본/nq
정부	정부/ncn
당국자는	당국/ncn+자/xsn+는/jxc
사석에서	사석/ncn+에서/jca
이렇게	이렇/pad+게/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
"	"/sl
우선	우선/mag
안보	안보/ncn
면에서	면/ncn+에서/jca
한국이라는	한국/nq+이/jp+라/ef+는/etm
나라는	나라/ncn+는/jxc
값어치가	값어치/ncn+가/jcs
없어졌습니다	없/paa+어/ecx+지/px+었/ep+습니다/ef
.	./sf
최대의	최대/ncn+의/jcm
적국으로	적국/ncn+으로/jca
간주되었던	간주/ncpa+되/xsv+었/ep+던/etm
소련이	소련/nq+이/jcs
저	저/mmd
지경이	지경/ncn+이/jcc
되었고	되/pvg+었/ep+고/ecc
,	,/sp
북한의	북한/nq+의/jcm
변화도	변화/ncn+도/jxc
시간문제로	시간/ncn+문제/ncn+로/jca
바뀌었으므로	바뀌/pvg+었/ep+으므로/ecs
한국이	한국/nq+이/jcs
지녀왔던	지니/pvg+어/ecx+오/px+았/ep+던/etm
방패역활이	방패/ncn+역활/ncn+이/jcs
끝나버린	끝/ncn+나/pvg+아/ecx+버리/px+ㄴ/etm
셈이니까요	셈/nbn+이/jp+니까/ef+요/jxf
."	./sf+"/sl
경제정책	경제/ncn+정책/ncn
관계자들은	관계/ncn+자/xsn+들/xsn+은/jxc
훨씬	훨씬/mag
직설적이다	직설/ncn+적/xsn+이/jp+다/ef
.	./sf
"	"/sl
솔직히	솔직/ncn+히/xsm
말해	말/ncpa+하/xsv+어/ecx
이젠	이제/ncn+ㄴ/jxc
한국과는	한국/nq+과/jct+는/jxc
함께	함께/mag
일을	일/ncn+을/jco
도모하고	도모/ncpa+하/xsv+고/ecx
싶지	싶/px+지/ecx
않습니다	않/px+습니다/ef
.	./sf
정권이	정권/ncn+이/jcs
바뀔	바뀌/pvg+ㄹ/etm
때마다	때/nbn+마다/jxc
사과하라고	사과/ncpa+하/xsv+라/ef+고/ecs
을러대면서	으르/pvg+어/ecx+대/px+면서/ecs
다른	다르/paa+ㄴ/etm
한편으로는	한편/ncn+으로/jca+는/jxc
기술	기술/ncn
내놓으라고	내/pvg+어/ecs+놓/pvg+으라/ef+고/jcr
야단	야단/ncn
아닙니까	아니/paa+ㅂ니까/ef
.	./sf
기술개발은	기술/ncn+개발/ncn+은/jxc
피와	피/ncn+와/jcj
땀의	땀/ncn+의/jcm
결과인데	결과/ncn+이/jp+ㄴ데/ecs
왜	왜/mag
그걸	그거/npd+ㄹ/etm
안주느냐고	안/mag+주/pvg+느냐/ef+고/jcr
억지를	억지/ncn+를/jco
쓰는지	쓰/pvg+는지/ecs
모르겠습니다	모르/pvg+겠/ep+습니다/ef
."	./sf+"/sl
모	모/ncn
외교관의	외교/ncn+관/xsn+의/jcm
말은	말/ncn+은/jxc
한술	한술/ncn
더	더/mag
떴다	뜨/paa+었/ep+다/ef
.	./sf
"	"/sl
사업의	사업/ncn+의/jcm
파트너로서	파트너/ncn+로서/jca
한국은	한국/nq+은/jxc
한마디로	한마디/ncn+로/jca
부적절합니다	부/xp+적절/ncps+하/xsm+ㅂ니다/ef
.	./sf
대만과	대만/nq+과/jct
좋은	좋/paa+은/etm
대비를	대비/ncn+를/jco
이룹니다	이루/pvg+ㅂ니다/ef
.	./sf
대만은	대만/nq+은/jxc
한국보다	한국/nq+보다/jca
훨씬	훨씬/mag
신뢰할	신뢰/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
산업	산업/ncn
파트너일	파트너/ncn+이/jp+ㄹ/etm
뿐더러	뿐/nbn+더러/jxc
반일감정도	반일/ncn+감정/ncn+도/jxc
덜하며	덜하/paa+며/ecs
협조도	협조/ncn+도/jxc
잘	잘/mag
됩니다	되/pvg+ㅂ니다/ef
.	./sf
그에	그/npp+에/jca
비하면	비하/pvg+면/ecs
한국기업은	한국/nq+기업/ncn+은/jxc
걸핏하면	걸핏하/pvg+면/ecs
약속을	약속/ncn+을/jco
안지키고	안/mag+지키/pvg+고/ecc
,	,/sp
불편하며	불편/ncps+하/xsm+며/ecc
,	,/sp
수시로	수시/ncn+로/jca
반일감정을	반일/ncn+감정/ncn+을/jco
폭발시켜대니	폭발/ncpa+시키/xsv+어/ecx+대/px+니/ecs
어느	어느/mmd
일본	일본/nq
기업인들	기업/ncn+인/xsn+들/jxc
좋아하겠습니까	좋/paa+아/ecx+하/px+겠/ep+습니까/ef
."	./sf+"/sl
서울에	서울/nq+에/jca
오래	오래/mag
주재했던	주재/ncpa+하/xsv+었/ep+던/etm
한	한/nnc
일본기자는	일본/nq+기자/ncn+는/jxc
이렇게	이렇/pad+게/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
"	"/sl
한국	한국/nq
사람들은	사람/ncn+들/xsn+은/jxc
묘한	묘하/paa+ㄴ/etm
오해를	오해/ncn+를/jco
하고	하/pvg+고/ecx
있는	있/px+는/etm
것	것/nbn
같아요	같/paa+아/ef+요/jxf
.	./sf
한국은	한국/nq+은/jxc
일본한테	일본/nq+한테/jca
없어서는	없/paa+어서/ecs+는/etm
안될	안되/paa+ㄹ/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
존재로	존재/ncn+로/jca
여기는가	여기/pvg+는가/ef
하면	하/pvg+면/ecs
일본기업이	일본/nq+기업/ncn+이/jcs
한국기업	한국/nq+기업/ncn
대신	대신/ncn
동남아와	동남아/nq+와/jct
가까워지는	가깝/paa+어/ecx+지/px+는/etm
것이	것/nbn+이/jcs
한국을	한국/nq+을/jco
따돌리기	따돌리/pvg+기/etn
위해	위하/pvg+어/ecx
무슨	무슨/mmd
특별한	특별/ncps+하/xsm+ㄴ/etm
음모라도	음모/ncn+라도/jxc
꾸미는	꾸미/pvg+는/etm
것처럼	것/nbn+처럼/jca
보여지는	보이/pvg+어/ecx+지/px+는/etm
모양이에요	모양/ncn+이/jp+에/ef+요/jxf
.	./sf
사실은	사실/ncn+은/jxc
정반대지요	정반대/ncn+지/ef+요/jxf
.	./sf
동남아는	동남아/nq+는/jxc
일본이	일본/nq+이/jcs
부족한	부족/ncps+하/xsm+ㄴ/etm
자원과	자원/ncn+과/jcj
노동력을	노동/ncn+력/xsn+을/jco
공급하는	공급/ncpa+하/xsv+는/etm
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
파트너이기	파트너/ncn+이/jp+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
따라서	따라서/maj
일본에	일본/nq+에/jca
더	더/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
한국과의	한국/nq+과/jct+의/jxc
관계보다	관계/ncn+보다/jca
동남아와의	동남아/nq+와/jct+의/jcm
관계입니다	관계/ncn+이/jp+ㅂ니다/ef
."	./sf+"/sl
이같은	이/npd+같/paa+은/jxc
일본인의	일본/ncn+인/xsn+의/jcm
반응들은	반응/ncn+들/xsn+은/jxc
한마디로	한마디/ncn+로/jca
말해	말/ncpa+하/xsv+어/ecs
"	"/sl
한국은	한국/nq+은/jxc
심한	심하/paa+ㄴ/etm
착각에	착각/ncn+에/jca
빠져있다	빠지/pvg+어/ecx+있/px+다/ef
"	"/sr
는	는/etm
이야기였다	이야기/ncn+이/jp+었/ep+다/ef
.	./sf
세상이	세상/ncn+이/jcs
어떻게	어떻/pad+게/ecs
변화하고	변화/ncpa+하/xsv+고/ecx
있는데	있/px+는데/ecs
당신네들은	당신/ncn+네/xsn+들/xsn+은/jxc
과거에만	과거/ncn+에/jca+만/jxc
매달려	매달리/pvg+어/ecx
있느냐는	있/px+느냐/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
'	'/sl
떼를	떼/ncn+를/jco
쓰는	쓰/pvg+는/etm
한국	한국/nq
'	'/sl
이라는	이/jp+라/ef+는/etm
특집기사로	특집/ncn+기사/ncn+로/jca
주목을	주목/ncn+을/jco
받았던	받/pvg+았/ep+던/etm
'	'/sl
문예춘추	문예춘추/nq
'	'/sl
의	의/jcm
시라카와	nq[시라카와/nq
히로시	히로시/nq]nq
편집장은	편집/ncn+장/xsn+은/jxc
기자와의	기자/ncn+와/jcj+의/jcm
인터뷰에서	인터뷰/ncn+에서/jca
이렇게	이렇/pad+게/ecs
밝혔다	밝히/pvg+었/ep+다/ef
.	./sf
"	"/sl
과거	과거/ncn
식민지	식민/ncn+지/xsn
역사가	역사/ncn+가/jcs
잘못된	잘못/ncpa+되/xsv+ㄴ/etm
것이긴	것/nbn+이/jp+기/etn+ㄴ/etm
하나	하/pvg+나/ecs
일본	일본/nq
수상이	수상/ncn+이/jcs
때마다	때/ncn+마다/jxc
사과를	사과/ncn+를/jco
반복하는	반복/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
옳지	옳/paa+지/ecx
않다는	않/px+다/ef+는/etm
여론이	여론/ncn+이/jcs
최근	최근/ncn
일본	일본/nq
재계를	재계/ncn+를/jco
중심으로	중심/ncn+으로/jca
일기	일/pvg+기/etn
시작했고	시작/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
나도	나/npp+도/jxc
같은	같/paa+은/etm
생각이어서	생각/ncn+이/jp+어서/ecs
관련기사를	관련/ncn+기사/ncn+를/jco
기획했던	기획/ncpa+하/xsv+었/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
요컨대	요컨대/mag
한국한테도	한국/nq+한테/jca+도/jxc
과거의	과거/ncn+의/jcm
집착보다는	집착/ncn+보다/jca+는/jxc
당면한	당면/ncpa+하/xsv+ㄴ/etm
경제문제를	경제/ncn+문제/ncn+를/jco
비롯한	비롯/ncps+하/xsm+ㄴ/etm
현실이	현실/ncn+이/jcs
더	더/mag
중요하지	중요/ncps+하/xsm+지/ecx
않느냐고	않/px+느냐/ef+고/ecs
말하고	말/ncpa+하/xsv+고/ecx
싶었습니다	싶/px+었/ep+습니다/ef
.	./sf
그	그/mmd
기사에	기사/ncn+에/jca
대해	대하/pvg+어/ecx
독자들의	독자/ncn+들/xsn+의/jcm
반응도	반응/ncn+도/jxc
'	'/sl
말	말/ncn
한번	한/nnc+번/nbu
잘했다	잘/mag+하/pvg+었/ep+다/ef
'	'/sr
는	는/etm
식이었고	식/ncn+이/jp+었/ep+고/ecc
,	,/sp
심지어는	심지어/ncn+는/jxc
한국의	한국/nq+의/jcm
기업인들도	기업/ncn+인/xsn+들/xsn+도/jxc
호의적인	호의/ncn+적/xsn+이/jp+ㄴ/etm
반응을	반응/ncn+을/jco
보여왔습니다	보이/pvg+어/ecx+오/px+았/ep+습니다/ef
."	./sf+"/sl
'	'/sl
문예춘추	문예춘추/nq
'	'/sl
편집장의	편집/ncn+장/xsn+의/jcm
말처럼	말/ncn+처럼/jca
일본	일본/nq
재계의	재계/ncn+의/jcm
한국에	한국/nq+에/jca
대한	대하/pvg+ㄴ/etm
태도는	태도/ncn+는/jxc
최근들어	최근/ncn+들/pvg+어/ecx
눈에	눈/ncn+에/jca
띄게	띄/pvg+게/ecs
냉랭해졌다	냉랭/ncps+하/xsm+어/ecx+지/px+었/ep+다/ef
.	./sf
양국이	양국/ncn+이/jcs
정부차원에서	정부/ncn+차원/ncn+에서/jca
경제협력을	경제/ncn+협력/ncn+을/jco
도모한다는	도모/ncpa+하/xsv+ㄴ다/ef+는/etm
흉내를	흉내/ncn+를/jco
몇차례	몇/mma+차례/ncn
내긴	내/pvg+기/etn+ㄴ/etm
했었으나	하/pvg+었었/ep+으나/ecs
정작	정작/mag
성의를	성의/ncn+를/jco
보여야	보이/pvg+어야/ecs
할	하/px+ㄹ/etm
재야는	재야/ncn+는/jxc
오히려	오히려/mag
더	더/mag
