<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0058.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0058.txt </filename>
<title>(속)나무이야기  </title>
<author>권영한  </author>
<date>1993  </date>
<publisher>전원문화사  </publisher>
<kdc>480.4  </kdc>
<ddc>580  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
가을이	가을/ncn+이/jcc
친숙한	친숙/ncps+하/xsm+ㄴ/etm
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
옛날에는	옛날/ncn+에/jca+는/jxc
서울에서도	서울/nq+에서/jca+도/jca
이	이/mmd
나무를	나무/ncn+를/jco
한	한/nnc
때	때/ncn
가로수로	가로수/ncn+로/jca
심은	심/pvg+은/etm
일이	일/ncn+이/jcs
있었는데	있/paa+었/ep+는데/ecs
그래서인지	그래서/maj+이/jp+ㄴ지/ecs
지금도	지금/ncn+도/jxc
가끔	가끔/mag
이	이/mmd
나무를	나무/ncn+를/jco
서울	서울/nq
시내에서	시내/ncn+에서/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
가죽나무	가죽/ncn+나무/ncn
잎에서는	잎/ncn+에서/jca+는/jxc
역겨운	역겹/paa+ㄴ/etm
냄새가	냄새/ncn+가/jcs
납니다.	나/pvg+ㅂ니다/ef+./sf
이	이/mmd
냄새가	냄새/ncn+가/jcs
나는	나/pvg+는/etm
곳은,	곳/ncn+은/jxc+,/sp
잎	잎/ncn
아래쪽에	아래/ncn+쪽/nbn+에/jca
조금	조금/ncn
큰	크/paa+ㄴ/etm
톱니가	톱니/ncn+가/jcs
서너개	서너/nnc+개/nbu
있는데,	있/paa+는데/ecs+,/sp
그	그/mmd
톱니	톱니/ncn
끝쪽에	끝/ncn+쪽/nbn+에/jca
하나	하나/nnc
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
진한	진하/paa+ㄴ/etm
색깔의	색깔/ncn+의/jcm
사마귀에서	사마귀/ncn+에서/jca
나오는	나오/pvg+는/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
가죽나무의	가죽나무/ncn+의/jcm
어린	어리/paa+ㄴ/etm
잎은,	잎/ncn+은/jxc+,/sp
연할	연하/paa+ㄹ/etm
때	때/nbn
따서	따/pvg+서/ecs
밀가루와	밀가루/ncn+와/jcj
고추장을	고추장/ncn+을/jco
바른	바르/paa+ㄴ/etm
다음	다음/ncn
잘	잘/mag
말려서	말리/pvg+어서/ecs
별미	별미/ncn
반찬으로	반찬/ncn+으로/jca
먹기도	먹/pvg+기/etn+도/jxc
합니다.	하/pvg+ㅂ니다/ef+./sf
특히	특히/mag
김천	김천/nq
지방에서는	지방/ncn+에서/jca+는/jxc
이	이/mmd
요리를	요리/ncn+를/jco
옛날부터	옛날/ncn+부터/jxc
잘	잘/mag
하였는데,	하/pvg+였/ep+는데/ecs+,/sp
내가	내/npp+가/jcs
김천중학교	김천중학교/nq
다닐	다니/pvg+ㄹ/etm
때에도	때/ncn+에/jca+도/jxc
하숙집	하숙집/ncn
아주머니가	아주머니/ncn+가/jcs
주는	주/pvg+는/etm
이	이/mmd
가죽나무	가죽/ncn+나무/ncn
요리를	요리/ncn+를/jco
처음에는	처음/ncn+에/jca+는/jxc
그	그/mmd
고약한	고약/ncps+하/xsm+ㄴ/etm
냄새	냄새/ncn
때문에	때문/nbn+에/jca
도저히	도저히/mag
먹을	먹/pvg+을/etm
수가	수/nbn+가/jcs
없었습니다.	없/paa+었/ep+습니다/ef+./sf
그러나	그러나/maj
그	그/mmd
후	후/ncn
맛을	맛/ncn+을/jco
들이니	들이/pvg+니/ecs
너무도	너무/mag+도/jxc
맛이	맛/ncn+이/jcs
좋아서,	좋/paa+아서/ecs+,/sp
지금은	지금/ncn+은/jxc
다시	다시/mag
먹어보고	먹/pvg+어/ecx+보/px+고/ecx
싶은	싶/px+은/etm
그리운	그립/paa+ㄴ/etm
음식이	음식/ncn+이/jcc
되었습니다.	되/pvg+었/ep+습니다/ef+./sf
가죽나무를	가죽나무/ncn+를/jco
한자로는	한자/ncn+로/jca+는/jxc
가승목(假僧木)이라고	가승목/ncn+(/sl+假僧木/ncn+)/sr+이/jp+라고/ecs
쓰는데	쓰/pvg+는데/ecs
이는	이/npd+는/jxc
가짜중이라는	가짜/ncn+중/ncn+이/jp+라/ef+는/etm
뜻입니다.	뜻/ncn+이/jp+ㅂ니다/ef+./sf
왜	왜/mag
이	이/mmd
나무를	나무/ncn+를/jco
가짜중이라고	가짜/ncn+중/ncn+이/jp+라고/ecs
하였는지	하/pvg+었/ep+는지/ecs
그	그/mmd
이유는	이유/ncn+는/jxc
잘	잘/mag
알	알/pvg+ㄹ/etm
수	수/nbn
없으나	없/paa+으나/ecs
'가중나무	'/sl+가중나무/ncn+'/sr+라/ef+는/etm
발음대로	발음/ncn+대로/jxc
한자	한자/ncn
표기를	표기/ncn+를/jco
하다	하/pvg+다/ef
보니	보/pvg+니/ecs
가승목(假僧木)이	가승목/ncn+(/sl+假僧木/ncn+)/sr+이/jcc
된	되/pvg+ㄴ/etm
듯합니다.	듯/nbn+하/xsm+ㅂ니다/ef+./sf
가죽나무의	가죽/ncn+나무/ncn+의/jcm
일본말	일본/nq+말/ncn
이름은	이름/ncn+은/jxc
'니와우시(庭漆)인데	'/sl+니와우루시/ncn+(/sl+庭漆/ncn+)/sr+'/sl+이/jp+ㄴ데
'니와우시(庭漆)인데	/ecs
이는	이/npd+는/jxc
이	이/mmd
나무의	나무/ncn+의/jcm
잎이	잎/ncn+이/jcs
얼핏	얼핏/mag
보기에	보/pvg+기/etn+에/jca
옻나무를	옻나무/ncn+를/jco
닯았다고,	닮/pvg+았/ep+다고/ecs+,/sp
'마당에	'/sl+마당/ncn+에/jca
있는	있/paa+는/etm
옻나무'라는	옻나무/ncn+'/sr+라/ef+는/etm
뜻으로	뜻/ncn+으로/jca
'니와우루시'라고	'/sl+니와우루시/ncn+'/sl+라/ef+고/jcr
한	하/pvg+ㄴ/etm
것	것/nbn
같습니다.	같/paa+습니다/ef+./sf
나무를	나무/ncn+를/jco
잘	잘/mag
모르는	모르/pvg+는/etm
어릴	어리/paa+ㄹ/etm
때는	때/ncn+는/jxc
이	이/mmd
나무가	나무/ncn+가/jcs
옻나무와	옻나무/ncn+와/jct
너무	너무/mag
많이	많/paa+이/xsa
닮았고	닮/pvg+았/ep+고/ecc
또	또/maj
나무에서	나무/ncn+에서/jca
고약한	고약하/paa+ㄴ/etm
냄새가	냄새/ncn+가/jcs
나므로,	나/pvg+므로/ecs+,/sp
가죽나무를	가죽나무/ncn+를/jco
옻나무인	옻나무/ncn+이/jp+ㄴ/etm
줄	줄/nbn
알고	알/pvg+고/ecc
겁을	겁/ncn+을/jco
낸	내/pvg+ㄴ/etm
일이	일/ncn+이/jcs
있었습니다.	있/paa+었/ep+습니다/ef+./sf
영어로는	영어/nq+로/jca+는/jxc
'	'/sl
하늘나무(天木	하늘나무/ncn+(/sl+天木/ncn
Tree	Tree/f
of	of/f
Heaven'라고	Heaven/f+)/sr+'/sl+라/ef+고/jcr
부르는데,	부르/pvg+는데/ecs+,/sp
이는	이/npd+는/jxc
이	이/mmd
나무가	나무/ncn+가/jcs
높이	높/paa+이/xsa
큰다는	크/paa+ㄴ다/ef+는/etm
데에	데/nbn+에/jca
인상을	인상/ncn+을/jco
받고,	받/pvg+고/ecc+,/sp
하늘	하늘/ncn
나라의	나라/ncn+의/jcm
나무라는	나무/ncn+라/ef+는/etm
뜻으로	뜻/ncn+으로/jca
지은	짓/pvg+은/etm
이름이라고	이름/ncn+이/jp+라고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
소태나무과에	소태나무/ncn+과/ncn+에/jca
속하는	속하/pvg+는/etm
낙엽	낙엽/ncn
활엽	활엽/ncn
교목인	교목/ncn+이/jp+ㄴ/etm
이	이/mmd
나무의	나무/ncn+의/jcm
원산지는	원산/ncn+지/xsn+는/jxc
중국	중국/nq
대륙이지만	대륙/ncn+이/jp+지만/ecs
지금은	지금/ncn+은/jxc
우리나라	우리/npp+나라/ncn
전역에	전역/ncn+에/jca
고루	고루/mag
분포되어	분포/ncpa+되/xsv+어/ecx
있는,	있/px+는/etm+,/sp
완전	완전/ncn
귀화한	귀화/ncpa+하/xsv+ㄴ/etm
우리의	우리/npp+의/jcm
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
줄기는	줄기/ncn+는/jxc
밋밋하고	밋밋하/paa+고/ecc
성장이	성장/ncn+이/jcs
빠르며	빠르/paa+며/ecs
지름	지름/ncn
50cm,	50/nnc+cm/su+,/sp
높이	높이/ncn
30m	30/nnc+m/f
정도이고	정도/ncn+이/jp+고/ecc
나무껍질이	나무/ncn+껍질/ncn+이/jcs
회갈색입니다.	회갈색/ncn+이/jp+ㅂ니다/ef+./sf
잎은	잎/ncn+은/jxc
어긋나며	어긋나/pvg+며/ecs
기수일회우상복엽(寄數一回羽狀複燁)으로	기수일회우상복엽/ncn+(/sl+寄數一回
기수일회우상복엽(寄數一回羽狀複燁)으로	羽狀複葉/nq+)/sr+으로/jca
길이	길이/ncn
60	60/nnc
70cm	70/nnc+cm/su
정도입니다.	정도/ncn+이/jp+ㅂ니다/ef+./sf
작은잎(小葉)은	작/paa+은/etm+잎/ncn+(/sl+小葉/ncn+)/sr+은/jxc
13개로	1325/nnc+개/nbu+로/jca
넓은	넓/paa+은/etm
피침상	피침상/ncn
난형이며	난형/ncn+이/jp+며/ecs
털이	털/ncn+이/jcs
없고	없/paa+고/ecc
표면은	표면/ncn+은/jxc
진한	진하/paa+ㄴ/etm
녹색이고	녹색/ncn+이/jp+고/ecc
뒷면은	뒷면/ncn+은/jxc
연한	연하/paa+ㄴ/etm
녹색입니다.	녹색/ncn+이/jp+ㅂ니다/ef+./sf
가죽나무는	가죽/ncn+나무/ncn+는/jxc
은행나무처럼	은행/ncn+나무/ncn+처럼/jca
암나무와	암/ncn+나무/ncn+와/jcj
수나무가	수/ncn+나무/ncn+가/jcs
따로	따로/mag
있는	있/paa+는/etm
자웅이주의	자웅/ncc+이주/ncn+의/jcm
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
수나무는	수/ncn+나무/ncn+는/jxc
암나무에	암/ncn+나무/ncn+에/jca
비해서	비하/pvg+어서/ecs
세력이	세력/ncn+이/jcs
강하고	강하/paa+고/ecc
꽃냄새도	꽃/ncn+냄새/ncn+도/jxc
매우	매우/mag
나쁘고	나쁘/paa+고/ecc
또한	또한/maj
꽃가루가	꽃/ncn+가루/ncn+가/jcs
많이	많/paa+이/xsa
날려	날리/pvg+어/ecs
알레르기를	알레르기/ncn+를/jco
일으키므로	일으키/pvg+므로/ecs
가로수로	가로수/ncn+로/jca
심기에	심/pvg+기/etn+에/jca
부적당합니다.	부/xp+적당/ncps+하/xsm+ㅂ니다/ef+./sf
암나무는	암/ncn+나무/ncn+는/jxc
가을에	가을/ncn+에/jca
낙엽이	낙엽/ncn+이/jcs
질	지/pvg+ㄹ/etm
때	때/ncn
수나무보다	수/ncn+나무/ncn+보다/jca
일찍	일찍/mag
낙엽이	낙엽/ncn+이/jcs
지고	지/pvg+고/ecc
열매는	열매/ncn+는/jxc
늦봄까지	늦봄/ncn+까지/jxc
오래도록	오래/paa+도록/ecs
나무에	나무/ncn+에/jca
달고	달/pvg+고/ecx
있으므로	있/px+으므로/ecs
쉽게	쉽/paa+게/ecx
찾을	찾/pvg+을/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
한방에서는	한방/ncn+에서/jca+는/jxc
봄과	봄/ncn+과/jcj
가을에	가을/ncn+에/jca
뿌리의	뿌리/ncn+의/jcm
껍질을	껍질/ncn+을/jco
채취하여,	채취/ncpa+하/xsv+여/ecs+,/sp
다시	다시/mag
겉	겉/ncn
껍질을	껍질/ncn+을/jco
벗기고	벗기/pvg+고/ecc
햇볕에	햇볕/ncn+에/jca
말려서	말리/pvg+어서/ecs
이질,	이질/ncn+,/sp
치질,	치질/nnc+,/sp
장풍(腸風)에	장풍/ncn+(/sl+腸風/ncn+)/sr+에/jca
사용하고,	사용/ncpa+하/xsv+고/ecc+,/sp
민간요법에서는	민간/ncn+요법/ncn+에서/jca+는/jxc
이질을	이질/ncn+을/jco
앓을	앓/pvg+을/etm
때,	때/ncn+,/sp
혈변이	혈변/ncn+이/jcs
있을	있/paa+을/etm
때,	때/ncn+,/sp
혹은	혹은/maj
위궤양에	위궤양/ncn+에/jca
뿌리를	뿌리/ncn+를/jco
진하게	진하/pvg+게/ecs
달여서	달/ncn+이/jp+어서/ecs
먹는다고	먹/pvg+는다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
옛	옛/mma
사람들은	사람/ncn+들/xsn+은/jxc
이	이/mmd
나무를	나무/ncn+를/jco
별로	별로/mag
좋아하지	좋/paa+아/ecx+하/px+지/ecx
않았으며	않/px+았/ep+으며/ecs
못	못/mag
쓰는	쓰/pvg+는/etm
나무로	나무/ncn+로/jca
생각하고	생각/ncpa+하/xsv+고/ecc
그	그/mmd
이름도	이름/ncn
저수(樗樹)라고	저수/ncn+(/sl+樗樹/ncn+)/sr+라고/jcr
하였습니다.	하/pvg+었/ep+습니다/ef+./sf
'樗'	'/sl+樗/ncn+'/sr
자는	자/ncn+는/jxc
'개똥나무	'/sl+개똥나무/ncn
저'로서,	저/ncn+'/sr+로서/jca+,/sp
樗樹란	樗樹/ncn+란/jxc
'개똥나무'라는	'/sl+개똥나무/ncn+'/sr+라/ef+는/etm
뜻입니다.	뜻/ncn+이/jp+ㅂ니다/ef+./sf
옛날부터	옛날/ncn+부터/jxc
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
무엇이든	무엇/npd+이든/jxc
천하고	천하/paa+고/ecc
나쁜	나쁘/paa+ㄴ/etm
것에는	것/nbn+에/jca+는/jxc
'개'	'/sl+개/ncn+'/sr
자를	자/ncn+를/jco
붙여	붙이/pvg+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
개멀구,	개멀구/ncn+,/sp
개살구,	개살구/ncn+,/sp
개다래,	개다래/ncn+,/sp
개비자나무	개비자나무/ncn
등	등/nbn
그	그/mmd
보기는	보기/ncn+는/jxc
수없이	수없/paa+이/mag
많습니다.	많/paa+습니다/ef+./sf
사람에게도	사람/ncn+에게/jca+도/jxc
돼지	돼지/ncn
같다든지,	같/paa+다/ef+든지/ecc+,/sp
소	소/ncn
같다든지,	같/paa+다/ef+든지/ecc+,/sp
양과	양/ncn+과/jct
같다든지	같/paa+다/ef+든지/ecs
하면	하/pvg+면/ecs
별로	별로/mag
기분	기분/ncn
나쁘게	나쁘/paa+게/ecx
듣지	듣/pvg+지/ecx
않는데	않/px+는데/ecs
개	개/ncn
같다고	같/paa+다고/ecs
하면	하/pvg+면/ecs
십중팔구	십중팔구/ncn
화를	화/ncn+를/jco
낼	내/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
이렇게	이렇/pad+게/ecs
싫어하는	싫/paa+어/ecx+하/px+는/etm
개자를	개/ncn+자/ncn+를/jco
붙여	붙이/pvg+어/ecs
그	그/mmd
개의	개/ncn+의/jcm
똥	똥/ncn
같다고까지	같/paa+다고/ecs+까지/jxc
혹평을	혹평/ncn+을/jco
받는	받/pvg+는/etm
이	이/mmd
나무는	나무/ncn+는/jxc
옛	옛/mma
사람들의	사람/ncn+들/xsn+의/jcm
눈으로	눈/ncn+으로/jca
보면	보/pvg+면/ecs
나무가	나무/ncn+가/jcs
너무	너무/mag
무르고	무르/paa+고/ecx
연해서	연하/paa+어서/ecs
재목으로도	재목/ncn+으로/jca+도/jxc
쓸모가	쓸모/ncn+가/jcs
없고,	없/paa+고/ecc+,/sp
먹을	먹/pvg+을/etm
만한	만하/px+ㄴ/etm
열매도	열매/ncn+도/jxc
달리지	달리/pvg+지/ecx
않으며,	않/px+으며/ecs+,/sp
땔감으로도	땔감/ncn+으로/jca+도/jxc
불꽃이	불꽃/ncn+이/jcs
별로	별로/mag
없을	없/paa+을/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
너무나	너무나/mag
잘	잘/mag
썩기	썩/pvg+기/etn
때문에	때문/nbn+에/jca
아무튼	아무튼/mag
이용	이용/ncn
가치가	가치/ncn+가/jcs
없다고	없/paa+다고/ecs
천시를	천시/ncn+를/jco
했던	하/pvg+었/ep+던/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
최근에는	최근/ncn+에/jca+는/jxc
목재	목재/ncn
가공	가공/ncn
기술의	기술/ncn+의/jcm
발달로	발달/ncn+로/jca
전에	전/ncn+에/jca
쓸모	쓸모/ncn
없다고	없/paa+다고/ecs
하던	하/pvg+던/etm
이	이/mmd
나무의	나무/ncn+의/jcm
무늬가	무늬/ncn+가/jcs
특이해서	특이/ncps+하/xsm+어서/ecs
가구재	가구/ncn+재/xsn
등	등/nbn
치장무늬목으로	치장/ncn+무늬/ncn+목/ncn+으로/jca
널리	널리/mag
이용될	이용/ncpa+되/xsv+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
합판,	합판/ncn+,/sp
가구	가구/ncn
제작용	제작/ncn+용/xsn
펄프	펄프/ncn
재료로도	재료/ncn+로/jca+도/jxc
좋아서	좋/paa+아서/ecs
지금은	지금/ncn+은/jxc
없어서	없/paa+어서/ecs
못	못/mag
쓰는	쓰/pvg+는/etm
실정입니다.	실정/ncn+이/jp+ㅂ니다/ef+./sf
이외에도	이/npd+외/nbn+에/jca+도/jxc
농기구나	농기구/ncn+나/jcj
건축의	건축/ncn+의/jcm
잡용재로도	잡용/ncn+재/xsn+로/jca+도/jxc
많이	많/paa+이/xsa
이용됩니다.	이용/ncpa+되/xsv+ㅂ니다/ef+./sf
속성수이므로	속성수/ncn+이/jp+므로/ecs
단시간	단시간/ncn
내에	내/nbn+에/jca
많은	많/paa+은/etm
그늘을	그늘/ncn+을/jco
만들어	만들/pvg+어/ecx
주어	주/px+어/ecs
가로수로도	가로수/ncn+로/jca+도/jxc
