<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
나눠	나누/pvg+어/ecs
한	한/nnc
번	번/nbu
훈련에	훈련/ncn+에/jca
400명씩,	400/nnc+명/nbu+씩/xsn+,/sp
모두	모두/mag
5차례에	5/nnc+차례/nbu+에/jca
걸쳐	걸치/pvg+어/ecs
실시할	실시/ncpa+하/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
4박5일간	4/nnc+박/nbu+5/nnc+일/nbu+간/xsn
훈련	훈련/ncn
기간	기간/ncn
동안	동안/ncn
각개	각개/ncn
전투와	전투/ncn+와/jcj
산악	산악/ncn
행군,	행군/ncn+,/sp
유격과	유격/ncn+과/jcj
공수	공수/ncn
기초	기초/ncn
훈련	훈련/ncn
등	등/nbn
과정을	과정/ncn+을/jco
거치고	거치/pvg+고/ecc
훈련용	훈련/ncn+용/xsn
상륙정도	상륙/ncn+정/xsn+도/jxc
타	타/pvg+아/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
특히	특히/mag
크리스마스와	크리스마스/nq+와/jcj
가족	가족/ncn
캠프	캠프/ncn
기간	기간/ncn
내에는	내/nbn+에/jca+는/jxc
가족끼리	가족/ncn+끼리/xsn
힘을	힘/ncn+을/jco
합쳐야	합치/pvg+어야/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
프로그램이	프로그램/ncn+이/jcs
마련되어	마련/ncpa+되/xsv+어/ecx
있어	있/px+어/ecs
참가	참가/ncn
희망자들의	희망/ncn+자/xsn+들/xsn+의/jcm
관심을	관심/ncn+을/jco
끌고	끌/pvg+고/ecx
있습니다	있/px+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
심원택입니다.	심원택/nq+이/jp+ㅂ니다/ef+./sf
"김	"/sl+김/nq
대통령	대통령/ncn
'저축의	'/sr+nq[저축/ncn+의/jcm
날'	날/ncn]nq+'/sl]
수상자	수상/ncn+자/xsn
격려"	격려/ncn+"/sl
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
오늘	오늘/ncn
저축의	nq[저축/ncn+의/jcm
날을	날/ncn]nq+을/jco
맞아	맞/pvg+아/ecs
연예인	연예/ncn+인/xsn
김용림	김용림/nq
씨	씨/xsn
등	등/nbn
저축	저축/ncn
유공자와	유공/ncn+자/xsn+와/jcj
이관우	이관우/nq
한일은행장	한일은행/nq+장/xsn
등	등/nbn
원로	원로/ncn
금융인을	금융/ncn+인/xsn+을/jco
청와대로	청와대/nq+로/jca
초청해	초청/ncpa+하/xsv+어/ecs
점심을	점심/ncn+을/jco
함께	함께/mag
하면서	하/pvg+면서/ecs
이들의	이/npd+들/xsn+의/jcm
수상을	수상/ncn+을/jco
축하하고	축하/ncpa+하/xsv+고/ecc
격려했습니다.	격려/ncpa+하/xsv+었/ep+습니다/ef+./sf
이에	이/npd+에/jca
앞서	앞/ncn+서/pvg+어/ecs
김	김/nq
대통령은	대통령/ncn+은/jxc
레온	nq[레온/nq
브리튼	브리튼/nq]nq
EU	nq[EU/nq
집행	집행/ncn
위원회의	위원/ncn+회/xsn]nq+의/jcm
부위원장을	부위원/ncn+장/xsn+을/jco
접견하고	접견/ncpa+하/xsv+고/ecc
한국과	한국/nq+과/jcj
EU간	EU/f+간/nbn
관계	관계/ncn
증진	증진/ncn
방안을	방안/ncn+을/jco
논의했습니다.	논의/ncpa+하/xsv+었/ep+습니다/ef+./sf
"토요일은	"/sl+토요일/ncn+은/jxc
피합시다"	피하/pvg+ㅂ시다/ef+"/sr
김연석	김연석/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
토요일	토요일/ncn
오후	오후/ncn
약속은	약속/ncn+은/jxc
모두	모두/mag
취소한	취소/ncpa+하/xsv+ㄴ/etm
지	지/nbn
오래입니다	오래/ncn+이/jp+ㅂ니다/ef
무조건	무조건/mag
약속	약속/ncn
비워	비우/pvg+어/ecx
놨지요.	놓/px+았/ep+지/ef+요/jxf+./sf
축구장	축구/ncn+장/xsn
가야죠.	가/pvg+야지/ef+요/jxf+./sf
축구장	축구/ncn+장/xsn
저희	저희/npp
집은	집/ncn+은/jxc
그	그/mmd
저	저/mmd
붉은	붉/paa+은/etm
악마	악마/ncn
유니폼이	유니폼/ncn+이/jcs
있습니다.	있/paa+습니다/ef+./sf
서울	서울/nq
시내	시내/ncn
대형	대형/ncn
호텔마다	호텔/ncn+마다/jxc
일본	일본/nq
관광객	관광/ncn+객/xsn
예약이	예약/ncn+이/jcs
20%	20/nnc+%/su
정도	정도/ncn
늘었습니다	늘/pvg+었/ep+습니다/ef
20%	20/nnc+%/su
정도	정도/ncn
올라가	오르/pvg+아/ecx+가/px+아/ecx
있는	있/px+는/etm
상황입니다	상황/ncn+이/jp+ㅂ니다/ef
그런데	그런데/maj
저희뿐만이	저희/npp+뿐/nbn+만/jxc+이/jcc
아니고	아니/paa+고/ecc
서울	서울/nq
시내가	시내/ncn+가/jcs
전반적으로	전반/ncn+적/xsn+으로/jca
같은	같/paa+은/etm
상황인	상황/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
알고	알/pvg+고/ecx
있습니다	있/px+습니다/ef
또	또/maj
한국과	한국/nq+과/jcj
일본으로	일본/nq+으로/jca
가는	가/pvg+는/etm
주말	주말/ncn
비행기편도	비행/ncn+기/xsn+편/nbn+도/jxc
예약이	예약/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
상태입니다.	상태/ncn+이/jp+ㅂ니다/ef+./sf
반면,	반면/maj+,/sp
이사	이사/ncn
전문	전문/ncn
업체는	업체/ncn+는/jxc
울상입니다.	울상/ncn+이/jp+ㅂ니다/ef+./sf
이사하는	이사/ncpa+하/xsv+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
새벽부터	새벽/ncn+부터/jxc
서두르거나	서두르/pvg+거나/ecc
아예	아예/mag
다음	다음/mmd
날로	날/ncn+로/jca
이사를	이사/ncn+를/jco
미루었기	미루/pvg+었/ep+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
새벽에	새벽/ncn+에/jca
일을	일/ncn+을/jco
시작해서	시작/ncpa+하/xsv+어서/ecs
3시	3/nno+시/nbu
전까지	전/ncn+까지/jxc
끝내야	끝/ncn+내/pvg+어야/ecs
한다는	하/pvg+ㄴ다/ef+는/etm
주문이	주문/ncn+이/jcs
많이	많/paa+이/xsa
늘고	늘/pvg+고/ecx
있습니다	있/px+습니다/ef
결혼식장	결혼/ncn+식장/ncn
주변	주변/ncn
유흥업소도	유흥/ncn+업소/ncn+도/jxc
평소	평소/ncn
주말보다	주말/ncn+보다/jca
피로연	피로연/ncn
예약이	예약/ncn+이/jcs
절반	절반/ncn
이상	이상/ncn
줄었습니다.	줄/pvg+었/ep+습니다/ef+./sf
모두들	모두/ncn+들/xsn
11월	11/nno+월/nbu
1일	1/nno+일/nbu
약속을	약속/ncn+을/jco
피하고	피하/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
김연석입니다.	김연석/nq+이/jp+ㅂ니다/ef+./sf
"현대,	"/sl+nq[현대/ncn+,/sp
제철소	제철/ncn+소/xsn]nq
건설	건설/ncn
강행"	강행/ncn+"/sr
현대그룹이	현대그룹/nq+이/jcs
경남	경남/nq
하동에	하동/nq+에/jca
제철소를	제철/ncn+소/xsn+를/jco
짓기로	짓/pvg+기/etn+로/jca
하고	하/pvg+고/ecc
오늘	오늘/ncn
경상남도와	경상남도/nq+와/jcj
합의서를	합의/ncn+서/xsn+를/jco
체결했습니다.	체결/ncpa+하/xsv+었/ep+습니다/ef+./sf
지방	지방/ncn
정부와의	정부/ncn+와/jct+의/jcm
합의를	합의/ncn+를/jco
통해서,	통하/pvg+어서/ecs+,/sp
현대의	현대/nq+의/jcm
제철소	제철/ncn+소/xsn
건립에	건립/ncn+에/jca
반대해	반대/ncpa+하/xsv+어/ecx
온	오/px+ㄴ/etm
중앙	중앙/ncn
정부에	정부/ncn+에/jca
압력을	압력/ncn+을/jco
넣기	넣/pvg+기/etn
위한	위하/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
분석됩니다.	분석/ncpa+되/xsv+ㅂ니다/ef+./sf
양찬승	양찬승/nq
기자입니다	기자/ncn+이/jp+ㅂ니다/ef
정몽구	정몽구/nq
현대	nq[현대/nq
그룹	그룹/ncn]nq
회장은	회장/ncn+은/jxc
오늘	오늘/ncn
경남	경남/nq
하동에	하동/nq+에/jca
제철소를	제철/ncn+소/xsn+를/jco
짓기	짓/pvg+기/etn
위한	위하/pvg+ㄴ/etm
합의서에	합의/ncn+서/xsn+에/jca
김혁규	김혁규/nq
경남	경남/nq
도지사와	도지사/ncn+와/jct
함께	함께/mag
서명했습니다.	서명/ncpa+하/xsv+었/ep+습니다/ef+./sf
정	정/nq
회장은	회장/ncn+은/jxc
과거와는	과거/ncn+와/jct+는/jxc
달리	다르/paa+이/xsa
이제는	이제/mag+는/jxc
정부가	정부/ncn+가/jcs
반대할	반대/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
것이라며	것/nbn+이/jp+라/ef+며/ecs
제철소	제철/ncn+소/xsn
건설에	건설/ncn+에/jca
자신감을	자신/ncn+감/xsn+을/jco
보였습니다	보이/pvg+었/ep+습니다/ef
내가	내/npp+가/jcs
규정이나	규정/ncn+이나/jxc
이런	이런/mmd
것을	것/nbn+을/jco
볼	보/pvg+ㄹ/etm
적에	적/nbn+에/jca
허가	허가/ncn
사항이	사항/ncn+이/jcc
아니라고	아니/paa+라/ef+고/jcr
저는	저/npp+는/jxc
생각이	생각/ncn+이/jcs
듭니다	들/pvg+ㅂ니다/ef
현대가	현대/nq+가/jcs
중앙	중앙/ncn
정부를	정부/ncn+를/jco
제쳐두고	제치/pvg+어/ecx+두/px+고/ecc
지방	지방/ncn
자치단체와	자치/ncn+단체/ncn+와/jct
합의서를	합의/ncn+서/xsn+를/jco
체결한	체결/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
중앙	중앙/ncn
정부에	정부/ncn+에/jca
압력을	압력/ncn+을/jco
넣기	넣/pvg+기/etn
위해서라는게	위하/pvg+어서/ecs+라/ef+는/etm+거/nbn+이/jcs
업계의	업계/ncn+의/jcm
분석입니다.	분석/ncn+이/jp+ㅂ니다/ef+./sf
실제로	실제로/mag
경상남도는	경상남도/nq+는/jxc
제철소	제철/ncn+소/xsn
유치를	유치/ncn+를/jco
위해	위하/pvg+어/ecs
주민들의	주민/ncn+들/xsn+의/jcm
서명을	서명/ncn+을/jco
받아	받/pvg+아/ecx
왔을	오/px+았/ep+을/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
앞으로	앞/ncn+으로/jca
중앙	중앙/ncn
정부	정부/ncn
설득에도	설득/ncn+에/jca+도/jxc
직접	직접/mag
나서겠다고	나서/pvg+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
오늘	오늘/ncn
합의로	합의/ncn+로/jca
하동은	하동/nq+은/jxc
경상남도에	경상남도/nq+에/jca
의해	의하/pvg+어/ecs
지방	지방/ncn
산업	산업/ncn
단지로	단지/ncn+로/jca
곧	곧/mag
지정될	지정/ncpa+되/xsv+ㄹ/etm
전망이지만	전망/ncn+이/jp+지만/ecs
이어	이어/mag
건설교통부의	건설교통부/nq+의/jcm
공유	공유/ncn
수면	수면/ncn
매립	매립/ncn
허가를	허가/ncn+를/jco
비롯해	비롯/ncpa+하/xsv+어/ecs
적지	적/pvg+지/ecx
않은	않/px+은/etm
중앙	중앙/ncn
정부와의	정부/ncn+와/jct+의/jcm
협의	협의/ncn
절차를	절차/ncn+를/jco
남겨두고	남기/pvg+어/ecx+두/px+고/ecx
있습니다	있/px+습니다/ef
이	이/mmd
과정에서	과정/ncn+에서/jca
정부는	정부/ncn+는/jxc
오는	오/pvg+는/etm
2000년대	2000/nno+년대/nbu
국내	국내/ncn
철강의	철강/ncn+의/jcm
공급	공급/ncn
과잉	과잉/ncn
우려를	우려/ncn+를/jco
내세워서	내/pvg+어/ecs+세우/pvg+어서/ecs
제철소	제철/ncn+소/xsn
건설에	건설/ncn+에/jca
반대할	반대/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
현대가	현대/nq+가/jcs
이같은	이/npd+같/paa+은/etm
정부의	정부/ncn+의/jcm
반대를	반대/ncn+를/jco
무릅쓰고	무릅쓰/pvg+고/ecc
또,	또/mag+,/sp
전남과	전남/nq+과/jcj
전북의	전북/nq+의/jcm
다른	다르/paa+ㄴ/etm
제철소	제철/ncn+소/xsn
후보지를	후보/ncn+지/xsn+를/jco
놔둔	놓/pvg+아/ecs+두/pvg+ㄴ/etm
채	채/nbn
굳이	굳이/mag
경남	경남/nq
하동의	하동/nq+의/jcm
매립지를	매립/ncn+지/xsn+를/jco
입지로	입지/ncn+로/jca
선택한	선택/ncpa+하/xsv+ㄴ/etm
이유가	이유/ncn+가/jcs
과연	과연/mag
무엇인지	무엇/npd+이/jp+ㄴ지/ecs
궁금증을	궁금/ncn+증/xsn+을/jco
일으키고	일으키/pvg+고/ecx
있습니다	있/px+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
양찬승입니다.	양찬승/nq+이/jp+ㅂ니다/ef+./sf
"1달러에	"/sl+1/nnc+달러/nbu+에/jca
957원"	957/nnc+원/nbu+"/sr
이렇게	이렇/pad+게/ecx
주가는	주가/ncn+는/jxc
폭락했고	폭락/ncpa+하/xsv+었/ep+고/ecc
반면에	반면/maj+에/jxc
환율은	환율/ncn+은/jxc
급등했습니다.	급등/ncpa+하/xsv+었/ep+습니다/ef+./sf
환율은	환율/ncn+은/jxc
오늘	오늘/ncn
한	한/nnc
때	때/ncn
1달러에	1/nnc+달러/nbu+에/jca
950원대를	950/nnc+원/nbu+대/xsn+를/jco
넘어	넘/pvg+어/ecs
서기도	서/pvg+기/etn+도/jxc
했습니다.	하/pvg+었/ep+습니다/ef+./sf
송형근	송형근/nq
기자입니다	기자/ncn+이/jp+ㅂ니다/ef
오늘	오늘/ncn
외환	외환/ncn
시장에서	시장/ncn+에서/jca
미	미/nq
달러화에	달러화/ncn+에/jca
대한	대하/pvg+ㄴ/etm
원화	원화/ncn
환율은	환율/ncn+은/jxc
매매	매매/ncn
기준율보다	기준/ncn+율/xsn+보다/jca
1달러에	1/nnc+달러/nbu+에/jca
3.2원	3.2/nnc+원/nbu
오른	오르/pvg+ㄴ/etm
939.8원에	939.8/nnc+원/nbu+에/jca
시작한	시작/ncpa+하/xsv+ㄴ/etm
뒤,	뒤/ncn+,/sp
오전장	오전/ncn+장/ncn
마감	마감/ncn
무렵	무렵/nbn
948.5원까지	948.5/nnc+원/nbu+까지/jxc
폭등했습니다.	폭등/ncpa+하/xsv+었/ep+습니다/ef+./sf
오후장	오후/ncn+장/ncn
들어	들/pvg+어/ecs
외환	외환/ncn
당국이	당국/ncn+이/jcs
시장	시장/ncn
개입을	개입/ncn+을/jco
포기하면서	포기/ncpa+하/xsv+면서/ecs
변동	변동/ncn
제한폭인	제한/ncn+폭/ncn+이/jp+ㄴ/etm
21원까지	21/nnc+원/nbu+까지/jxc
치솟은	치솟/pvg+은/etm
957.6원을	957.6/nnc+원/nbu+을/jco
기록한	기록/ncpa+하/xsv+ㄴ/etm
뒤,	뒤/ncn+,/sp
오후	오후/ncn
2시	2/nno+시/nbu
26분	26/nno+분/nbu
거래가	거래/ncn+가/jcs
중단되었습니다.	중단/ncpa+되/xsv+었/ep+습니다/ef+./sf
오늘	오늘/ncn
달러화가	달러화/ncn+가/jcs
환율	환율/ncn
변동	변동/ncn
제한폭까지	제한/ncn+폭/ncn+까지/jxc
오르면서	오르/pvg+면서/ecs
고시	고시/ncn
환율이	환율/ncn+이/jcs
세	세/nnc
번이나	번/nbu+이나/jxc
바뀌었습니다.	바뀌/pvg+었/ep+습니다/ef+./sf
환율	환율/ncn
변동	변동/ncn
제한폭까지	제한/ncn+폭/ncn+까지/jxc
오른	오르/pvg+ㄴ/etm
것은	것/nbn+은/jxc
지난	지나/pvg+ㄴ/etm
95년	95/nno+년/nbu
12월	12/nno+월/nbu
하루	하루/ncn
환율	환율/ncn
변동	변동/ncn
제한폭이	제한/ncn+폭/ncn+이/jcs
기준	기준/ncn
환율	환율/ncn
대비	대비/ncn
2.25포인트로	2.25/nnc+포인트/nbu+로/jca
확대된	확대/ncpa+되/xsv+ㄴ/etm
뒤	뒤/ncn
처음입니다	처음/ncn+이/jp+ㅂ니다/ef
오후에	오후/ncn+에/jca
외환	외환/ncn
당국에서	당국/ncn+에서/jca
현실적으로	현실/ncn+적/xsn+으로/jca
방어할	방어/ncpa+하/xsv+ㄹ/etm
대안이	대안/ncn+이/jcs
없다고	없/paa+다/ef+고/jcr
발표한	발표/ncpa+하/xsv+ㄴ/etm
후에	후/ncn+에/jca
급작스럽게	급작/ncps+스럽/xsm+게/ecs
상한가까지	상한/ncn+가/xsn+까지/jxc
폭등을	폭등/ncn+을/jco
했습니다	하/pvg+었/ep+습니다/ef
외환	외환/ncn
관계자들은	관계/ncn+자/xsn+들/xsn+은/jxc
당국이	당국/ncn+이/jcs
목표로	목표/ncn+로/jca
한	하/pvg+ㄴ/etm
환율	환율/ncn
방어	방어/ncn
수준이	수준/ncn+이/jcs
얼마인지	얼마/npd+이/jp+ㄴ지/ecs
추정하기	추정/ncpa+하/xsv+기/etn
어려워	어렵/paa+어/ecs
불안	불안/ncn
심리가	심리/ncn+가/jcs
계속될	계속/ncpa+되/xsv+ㄹ/etm
경우	경우/ncn
추가	추가/ncn
상승이	상승/ncn+이/jcs
불가피하다고	불가피/ncps+하/xsm+다/ef+고/jcr
예상했습니다.	예상/ncpa+하/xsv+었/ep+습니다/ef+./sf
내일	내일/ncn
고시	고시/ncn
기준	기준/ncn
환율은	환율/ncn+은/jxc
오늘보다	오늘/ncn+보다/jca
6.2원	6.2/nnc+원/nbu
오른	오르/pvg+ㄴ/etm
942.8원으로	942.8/nnc+원/nbu+으로/jca
환율은	환율/ncn+은/jxc
지난	지나/pvg+ㄴ/etm
연말의	연말/ncn+의/jcm
1달러에	1/nnc+달러/nbu+에/jca
844.2원과	844.2/nnc+원/nbu+과/jct
비교할	비교/ncpa+하/xsv+ㄹ/etm
때	때/ncn
무려	무려/mag
10%	10/nnc+%/su
이상	이상/ncn
올랐습니다.	오르/pvg+았/ep+습니다/ef+./sf
지난	지나/pvg+ㄴ/etm
7월	7/nno+월/nbu
말에	말/ncn+에/jca
337억	337억/nnc
달러까지	달러/nbu+까지/jxc
올랐던	오르/pvg+았/ep+던/etm
외환	외환/ncn
보유고는	보유/ncn+고/xsn+는/jxc
한국은행이	한국은행/nq+이/jcs
이	이/mmd
달	달/ncn
들어	들/pvg+어/ecs
환율	환율/ncn
상승을	상승/ncn+을/jco
막기	막/pvg+기/etn
위해	위하/pvg+어/ecs
30억	30억/nnc
달러	달러/nbu
가량을	가량/nbn+을/jco
풀어	풀/paa+어/ecs
지난	지나/pvg+ㄴ/etm
달	달/ncn
말	말/ncn
304억	304억/nnc
달러에	달러/nbu+에/jca
이어	이어/mag
현재는	현재/ncn+는/jxc
280억	280억/nnc
달러	달러/nbu
수준으로	수준/ncn+으로/jca
떨어진	떨어지/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
추정돼,	추정/ncpa+되/xsv+어/ecs+,/sp
국제통화기금의	국제통화기금/nq+의/jcm
권고	권고/ncn
수준에	수준/ncn+에/jca
미치지	미치/pvg+지/ecx
못하고	못하/px+고/ecx
있습니다	있/px+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
송형근입니다.	송형근/nq+이/jp+ㅂ니다/ef+./sf
"특단	"특단/ncn
대책	대책/ncn
검토"	검토/ncn+"/sr
이렇게	이렇/pad+게/ecx
주가가	주가/ncn+가/jcs
폭락하고,	폭락/ncpa+하/xsv+고/ecc+,/sp
환율이	환율/ncn+이/jcs
치솟는	치솟/pvg+는/etm
것은	것/nbn+은/jxc
왜	왜/mag
그런지,	그렇/pad+ㄴ지/ecs+,/sp
그리고	그리고/maj
정부는	정부/ncn+는/jxc
어떤	어떤/mmd
대책을	대책/ncn+을/jco
마련하고	마련/ncpa+하/xsv+고/ecx
있는지	있/px+는지/ecs
홍은주	홍은주/nq
기자가	기자/ncn+가/jcs
전해드리겠습니다.	전하/pvg+어/ecx+드리/px+겠/ep+습니다/ef+./sf
아시아	아시아/nq
경제는	경제/ncn+는/jxc
지난	지나/pvg+ㄴ/etm
7월부터	7/nno+월/nbu+부터/jxc
국제적	국제/ncn+적/xsn
투기	투기/ncn
자금의	자금/ncn+의/jcm
습격을	습격/ncn+을/jco
받아서	받/pvg+아서/ecs
초토화	초토/ncn+화/xsn
상태입니다.	상태/ncn+이/jp+ㅂ니다/ef+./sf
태국의	태국/nq+의/jcm
바트화	바트화/ncn
가치는	가치/ncn+는/jxc
석	석/nnc
달	달/nbu
동안	동안/ncn
50%나	50/nnc+%/su+나/jxc
하락했으며,	하락/ncpa+하/xsv+었/ep+으며/ecc+,/sp
홍콩은	홍콩/nq+은/jxc
최근	최근/ncn
주가가	주가/ncn+가/jcs
대폭락했고,	대/xp+폭락/ncpa+하/xsv+었/ep+고/ecc+,/sp
우리	우리/npp
나라	나라/ncn
역시	역시/mag
이같은	이/npd+같/paa+은/etm
금융	금융/ncn
태풍의	태풍/ncn+의/jcm
영향권에	영향/ncn+권/xsn+에/jca
있습니다	있/paa+습니다/ef
호주,	호주/nq+,/sp
뉴질랜드를	뉴질랜드/nq+를/jco
포함해	포함/ncpa+하/xsv+어/ecs
아시아	아시아/nq
전역에	전역/ncn+에/jca
금융	금융/ncn
위기가	위기/ncn+가/jcs
확산됐다	확산/ncpa+되/xsv+었/ep+다/ecs
우리	우리/npp
나라	나라/ncn
증시에	증시/ncn+에/jca
들어와	들/pvg+어/ecs+오/pvg+아/ecx
있는	있/px+는/etm
외국	외국/ncn
자본은	자본/ncn+은/jxc
약	약/mma
200억	200억/nnc
달러.	달러/nbu+./sf
이	이/mmd
가운데	가운데/ncn
실제	실제/mag
빠져나간	빠지/pvg+어/ecs+나가/pvg+ㄴ/etm
돈은	돈/ncn+은/jxc
이	이/mmd
달	달/ncn
들어	들/pvg+어/ecs
10억	10억/nnc
달러	달러/nbu
정도에	정도/ncn+에/jca
불과합니다.	불과/ncps+하/xsm+ㅂ니다/ef+./sf
그러나	그러나/maj
아시아	아시아/nq
전역에	전역/ncn+에/jca
금융	금융/ncn
위기가	위기/ncn+가/jcs
확산되면서,	확산/ncpa+되/xsv+면서/ecs+,/sp
불안을	불안/ncn+을/jco
느낀	느끼/pvg+ㄴ/etm
외국	외국/ncn
투자가들이	투자/ncn+가/xsn+들/xsn+이/jcs
남은	남/pvg+은/etm
돈까지	돈/ncn+까지/jxc
모두	모두/mag
빼내갈	빼내/pvg+어/ecx+가/px+ㄹ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
공포감이	공포/ncn+감/xsn+이/jcs
국내	국내/ncn
증권,외환시장에	증권/ncn+,/sp+외환/ncn+시장/ncn+에/jca
심리적인	심리/ncn+적/xsn+이/jp+ㄴ/etm
공황상태를	공황/ncn+상태/ncn+를/jco
불러	부르/pvg+어/ecs
일으키고	일으키/pvg+고/ecx
있는	있/px+는/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
재경원은	재경원/nq+은/jxc
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
외국인들이	외국/ncn+인/xsn+들/xsn+이/jcs
실제로	실제로/mag
돈을	돈/ncn+을/jco
빼내어	빼/pvg+어/ecs+내/pvg+어/ecx
가는	가/px+는/etm
금융	금융/ncn
위기가	위기/ncn+가/jcs
발생할	발생/ncpa+하/xsv+ㄹ/etm
경우에	경우/ncn+에/jca
대비해서	대비/ncpa+하/xsv+어서/ecs
각종	각종/ncn
