<tdmsfile>
<tdmsfile>
Chosun2. 2차 수정 hwp
새로운	새롭/paa+ㄴ/etm
포석정과	포석정/nq+과/jcj
석상	석상/ncn
등으로	등/nbn+으로/jca
장식한	장식/ncpa+하/xsv+ㄴ/etm
'민속	'/sl+민속/ncn
정원'과	정원/ncn+'/sr+과/jcj
'놀이	'/sl+놀이/ncn
마당',	마당/ncn+'/sr+,/sp
불고기나	불고기/ncn+나/jcj
비빔밥은	비빔밥/ncn+은/jxc
물론	물론/mag
막걸리와	막걸리/ncn+와/jcj
소주까지	소주/ncn+까지/jxc
파는	팔/pvg+는/etm
'음식	'/sl+음식/ncn
문화관',	문화/ncn+관/xsn+'/sr+,/sp
그리고	그리고/maj
야마가타와	야마가타/nq+와/jcj
한반도의	한반도/nq+의/jcm
삼국시대	삼국/nq+시대/ncn
이후	이후/ncn
교류	교류/ncn
내용을	내용/ncn+을/jco
집약한	집약/ncpa+하/xsv+ㄴ/etm
'역사	'/sl+역사/ncn
자료관'	자료/ncn+관/xsn+'/sr
등을	등/nbn+을/jco
갖추었다.	갖추/pvg+었/ep+다/ef+./sf
각	각/mma
건물의	건물/ncn+의/jcm
처마와	처마/ncn+와/jcj
단청이	단청/ncn+이/jcs
우리	우리/npp
양식	양식/ncn
그대로	그대로/mag
복제됐고,	복제/ncpa+되/xsv+었/ep+고/ecc+,/sp
특히	특히/mag
포석정은	포석정/nq+은/jxc
흐르는	흐르/pvg+는/etm
물을	물/ncn+을/jco
따라	따르/pvg+아/ecs
실제로	실제로/mag
술잔이	술잔/ncn+이/jcs
돌도록	돌/pvg+도록/ecs
만들어져	만들/pvg+어/ecx+지/px+어/ecs
관광객의	관광/ncn+객/xsn+의/jcm
눈길을	눈길/ncn+을/jco
끌고	끌/pvg+고/ecx
있다.	있/px+다/ef+./sf
청동	청동/ncn
기마상과	기마/ncn+상/ncn+과/jcj
신라	신라/nq
왕관,	왕관/ncn+,/sp
도자기	도자기/ncn
등	등/nbn
우리의	우리/npp+의/jcm
국보급	국보/ncn+급/ncn
문화재도	문화/ncn+재/xsn+도/jxc
진품	진품/ncn
뺨치는	뺨/ncn+치/pvg+는/etm
수준으로	수준/ncn+으로/jca
만들어	만들/pvg+어/ecs
전시하고	전시/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
야마가타는	야마가타/nq+는/jxc
백제를	백제/nq+를/jco
비롯해	비롯/ncpa+하/xsv+어/ecs
오래	오래/mag
전부터	전/ncn+부터/jxc
한국과의	한국/nq+과/jct+의/jcm
직접	직접/ncn
교류가	교류/ncn+가/jcs
잦았던	잦/paa+았/ep+던/etm
지역으로	지역/ncn+으로/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
곳.	곳/ncn+./sf
요즘도	요즘/ncn+도/jxc
충북	충북/nq
제천시와	제천시/nq+와/jct
자매결연을	자매/ncn+결연/ncn+을/jco
맺어	맺/pvg+어/ecs
오가고	오가/pvg+고/ecx
있다.	있/px+다/ef+./sf
특히	특히/mag
고려관	고려관/nq
개관에	개관/ncn+에/jca
앞서	앞서/mag
야마가타에서	야마가타/nq+에서/jca
사는	살/pvg+는/etm
한국인	한국/nq+인/xsn
주부	주부/ncn
20	20/nnc
여명으로	여/xsn+명/nbu+으로/jca
자원봉사	자원/ncn+봉사/ncn
통역팀까지	통역/ncn+팀/ncn+까지/jxc
만들었을	만들/pvg+었/ep+을/etm
정도로	정도/ncn+로/jca
열성이다.	열성/ncn+이/jp+다/ef+./sf
안내	안내/ncn
책임을	책임/ncn+을/jco
맡은	맡/pvg+은/etm
데라우치씨는	데라우치/nq+씨/xsn+는/jxc
"스키와	"/sl+스키/ncn+와/jcj
온천	온천/ncn
관광을	관광/ncn+을/jco
위해	위하/pvg+어/ecs
현을	현/nq+을/jco
찾는	찾/pvg+는/etm
한국	한국/nq
관광객이	관광/ncn+객/xsn+이/jcs
늘고	늘/pvg+고/ecx
있고,	있/px+고/ecc+,/sp
한반도로부터	한반도/nq+로/jca+부터/jxc
적잖게	적잖/paa+게/ecs
영향받은	영향/ncn+받/pvg+은/etm
지역사도	지역/ncn+사/xsn+도/jxc
정리할	정리/ncpa+하/xsv+ㄹ/etm
겸	겸/nbn
고려관을	고려관/nq+을/jco
세웠다"고	세우/pvg+었/ep+다/ef+"/sr+고/jcr
했다.	하/pvg+었/ep+다/ef+./sf
야마가타는	야마가타/nq+는/jxc
궁핍했던	궁핍/ncps+하/xsm+었/ep+던/etm
30년대	30/nno+년대/nbu
한	한/nnc
여인의	여인/ncn+의/jcm
삶을	삶/ncn+을/jco
실감나게	실감/ncn+나/pvg+게/ecs
그려	그리/pvg+어/ecs
유명했던	유명/ncps+하/xsm+었/ep+던/etm
드라마	드라마/ncn
'오싱'의	'오싱'/nq+의/jcm
무대.	무대/ncn+./sf
요즘은	요즘/ncn+은/jxc
'쟈오'	'쟈오/nq+'/sr
지역을	지역/ncn+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
수백군데의	수백/nnc+군데/nbu+의/jcm
온천과	온천/ncn+과/jcj
스키장	스키/ncn+장/xsn
덕분에	덕분/ncn+에/jca
겨울관광의	겨울/ncn+관광/ncn+의/jcm
명소로	명소/ncn+로/jca
꼽히고	꼽히/pvg+고/ecx
있다.	있/px+다/ef+./sf
귀국	귀국/ncn
4일째를	4/nnc+일/nbu+째/xsn+를/jco
맞은	맞/pvg+은/etm
박찬호는	박찬호/nq+는/jxc
14일	14/nno+일/nbu
숙소인	숙소/ncn+이/jp+ㄴ/etm
신라호텔	신라호텔/nq
중식당	중식당/ncn
팔선에서	팔선/nq+에서/jca
아시아나	nq[아시아나/nq
항공	항공/ncn]nq
박삼구	박삼구/nq
사장과	사장/ncn+과/jcj
오찬을	오찬/ncn+을/jco
같이	같/paa+이/xsa
했다.	하/pvg+었/ep+다/ef+./sf
박	박/nq
사장의	사장/ncn+의/jcm
초청으로	초청/ncn+으로/jca
이뤄진	이루/pvg+어/ecx+지/px+ㄴ/etm
이	이/mmd
자리에서	자리/ncn+에서/jca
박찬호는	박찬호/nq+는/jxc
"아시아나	"/sl+nq[아시아나/nq
항공이	항공/ncn]nq+이/jcs
올	올/mma
연말까지	연말/ncn+까지/jxc
무료로	무료/ncn+로/jca
항공편을	항공/ncn+편/nbn+을/jco
제공해	제공/ncpa+하/xsv+어/ecs
줘	주/pvg+어/ecs
고맙다"고	고맙/paa+다/ef+"/sr+고/jcr
인사했다.	인사/ncpa+하/xsv+었/ep+다/ef+./sf
박	박/nq
사장은	사장/ncn+은/jxc
이에	이/npd+에/jca
대해	대하/pvg+어/ecs
"내년	"/sl+내년/ncn
시즌에도	시즌/ncn+에/jca+도/jxc
올해에	올해/ncn+에/jca
못지않은	못지않/paa+은/etm
좋은	좋/paa+은/etm
성적을	성적/ncn+을/jco
내달라"고	내/pvg+어/ecs+달라/pvg+"/sr+고/jcr
당부했다.	당부/ncpa+하/xsv+었/ep+다/ef+./sf
박찬호는	박찬호/nq+는/jxc
오후엔	오후/ncn+에/jca+ㄴ/jxc
자신이	자신/npp+이/jcs
광고출연했던	광고/ncn+출연/ncpa+하/xsv+었/ep+던/etm
제일제당과	제일제당/nq+과/jcj
동양제과의	동양제과/nq+의/jcm
행사에	행사/ncn+에/jca
잇따라	잇따르/pvg+아/ecs
참석,	참석/ncn+,/sp
관계자들과	관계/ncn+자/xsn+들/xsn+과/jct
인사를	인사/ncn+를/jco
나눴다	나누/pvg+었/ep+다/ef
오후	오후/ncn
3시부터	3/nno+시/nbu+부터/jxc
서울	서울/nq
양재동	양재동/nq
교육문화회관	교육문화회관/nq
대극장에서	대/xp+극장/ncn+에서/jca
열린	열리/pvg+ㄴ/etm
제일제당	제일제당/nq
사내행사에서	사내/ncn+행사/ncn+에서/jca
직원들과	직원/ncn+들/xsn+과/jct
대화의	대화/ncn+의/jcm
시간을	시간/ncn+을/jco
갖고	갖/pvg+고/ecc
사인볼을	사인/ncn+볼/ncn+을/jco
증정했다.	증정/ncpa+하/xsv+었/ep+다/ef+./sf
또	또/maj
저녁	저녁/ncn
6시부터는	6/nno+시/nbu+부터/jxc+는/jxc
도곡동	도곡동/nq
베니건스식당에서	베니건스식당/nq+에서/jca
동양제과	동양제과/nq
임직원들과	임직원/ncn+들/xsn+과/jct
저녁식사를	저녁/ncn+식사/ncn+를/jco
함께하며	함께/mag+하/pvg+며/ecc
사인을	사인/ncn+을/jco
해줬다.	하/pvg+어/ecs+주/pvg+었/ep+다/ef+./sf
15일부터는	15/nno+일/nbu+부터/jxc+는/jxc
팬들과	팬/ncn+들/xsn+과/jct
직접	직접/mag
만나는	만나/pvg+는/etm
사인회가	사인/ncn+회/xsn+가/jcs
이어져	잇/pvg+어/ecx+지/px+어/ecs
팬들로선	팬/ncn+들/xsn+로서/jca+ㄴ/jxc
기대가	기대/ncn+가/jcs
크다.	크/paa+다/ef+./sf
오전	오전/ncn
11시	11/nno+시/nbu
압구정동	압구정동/nq
현대백화점에서	현대백화점/nq+에서/jca
2시간동안	2/nnc+시간/nbu+동안/ncn
팬사인회가	팬/ncn+사인/ncn+회/xsn+가/jcs
열리며	열리/pvg+며/ecc
오후	오후/ncn
3시부터는	3/nno+시/nbu+부터/jxc+는/jxc
천호동	천호동/nq
현대백화점으로	현대백화점/nq+으로/jca
장소를	장소/ncn+를/jco
옮겨	옮기/pvg+어/ecs
역시	역시/mag
2시간동안	2/nnc+시간/nbu+동안/ncn
사인를	사인/ncn+회/xsn+를/jco
갖는다.	갖/pvg+는다/ef+./sf
16일에는	16/nno+일/nbu+에/jca+는/jxc
올림픽공원	올림픽공원/nq
역도경기장에서	역도/ncn+경기/ncn+장/xsn+에서/jca
삼보컴퓨터	삼보컴퓨터/nq
주최의	주최/ncn+의/jcm
'팬과의	'/sl+팬/ncn+과/jct+의/jcm
만남'이	만남/ncn+'/sr+이/jcs
예정돼	예정/ncpa+되/xsv+어/ecx
있다.	있/px+다/ef+./sf
위저즈의	위저즈/nq+의/jcm
로드	nq[로드/nq
스트릭랜드는	스트릭랜드/nq]nq+는/jxc
연장서	연장/ncn+서/jca
팀이	팀/ncn+이/jcs
올린	올리/pvg+ㄴ/etm
9점중	9/nnc+점/nbu+중/nbn
6점을	6/nnc+점/nbu+을/jco
책임지며	책임/ncn+지/pvg+며/ecs
팀의	팀/ncn+의/jcm
91대	91/nnc+대/nbn
88	88/nnc
승리를	승리/ncn+를/jco
이끌었다.	이끌/pvg+었/ep+다/ef+./sf
위저즈의	위저즈/nq+의/jcm
최고	최고/ncn
득점자는	득점/ncn+자/xsn+는/jxc
크리스	nq[크리스/nq
웨버.	웨버/nq]nq+./sf
웨버는	웨버/nq+는/jxc
22점	22/nnc+점/nbu
17리바운드	17/nnc+리바운드/nbu
4어시스트를	4/nnc+어시스트/nbu+를/jco
기록했고,	기록/ncpa+하/xsv+었/ep+고/ecc+,/sp
수훈갑	수훈갑/ncn
스트릭랜드는	스트릭랜드/nq+는/jxc
득점외에	득점/ncn+외/nbn+에/jca
8어시스트로	8/nnc+어시스트/nbu+로/jca
경기를	경기/ncn+를/jco
이끌었다.	이끌/pvg+었/ep+다/ef+./sf
팀버울브스의	팀버울브스/nq+의/jcm
새로운	새롭/paa+ㄴ/etm
스타콤비인	스타/ncn+콤비/ncn+이/jp+ㄴ/etm
스테판	nq[스테판/nq
마버리와	마버리/nq]nq+와/jct
케빈	nq[케빈/nq
가네트는	가네트/nq]nq+는/jxc
각각	각각/mag
26점	26/nnc+점/nbu
10어시스트	10/nnc+어시스트/nbu
5스틸,	5/nnc+스틸/ncn+,/sp
20점	20/nnc+점/nbu
20리바운드를	20/nnc+리바운드/nbu+를/jco
기록하며	기록/ncpa+하/xsv+며/ecc
분전했지만	분전/ncpa+하/xsv+었/ep+지만/ecs
막판	막판/ncn
경험부족으로	경험/ncn+부족/ncn+으로/jca
고배를	고배/ncn+를/jco
마셨다.	마시/pvg+었/ep+다/ef+./sf
시애틀	nq[시애틀/nq
슈퍼소닉스는	슈퍼소닉스/nq]nq+는/jxc
게리	nq[게리/nq
페이튼이	페이튼/nq]nq+이/jcs
25점	25/nnc+점/nbu
9리바운드	9/nnc+리바운드/nbu
9어시스트로,	9/nnc+어시스트/nbu+로/jca+,/sp
트리플	트리플/ncn
더블에	더블/ncn+에/jca
가까운	가깝/paa+ㄴ/etm
맹활약을	맹활약/ncn+을/jco
펼치며	펼치/pvg+며/ecs
디트로이트	nq[디트로이트/nq
피스턴스를	피스턴스/ncn]nq+를/jco
95대89로	95/nnc+대/nbn+89/nnc+로/jca
눌렀다	누르/pvg+었/ep+다/ef
소닉스는	소닉스/nq+는/jxc
페이튼	페이튼/nq
외에	외/nbn+에/jca
빈	nq[빈/nq
베이커가	베이커/nq]nq+가/jcs
24점	24/nnc+점/nbu
12리바운드,	12/nnc+리바운드/nbu+,/sp
데틀레프	nq[데틀레프/nq
슈렘프가	슈렘프/nq]nq+가/jcs
17점으로	17/nnc+점/nbu+으로/jca
활약했다.	활약/ncpa+하/xsv+었/ep+다/ef+./sf
이날	이/mmd+날/ncn
패배로	패배/ncn+로/jca
6연패의	6/nnc+연패/ncn+의/jcm
수렁에	수렁/ncn+에/jca
빠진	빠지/pvg+ㄴ/etm
피스턴스는	피스턴스/nq+는/jxc
6명의	6/nnc+명/nbu+의/jcm
선수가	선수/ncn+가/jcs
두자리	두/nnc+자리/ncn
득점을	득점/ncn+을/jco
기록했지만	기록/ncpa+하/xsv+었/ep+지만/ecs
그랜트	nq[그랜트/nq
힐(20점	힐/nq]nq+(/sl+20/nnc+점/nbu
12리바운드	12/nnc+리바운드/nbu
5어시스트)이	5/nnc+어시스트/nbu+)/sr+이/jcs
8개의	8/nnc+개/nbu+의/jcm
실책을	실책/ncn+을/jco
저지르며	저지르/pvg+며/ecc
완패했다.	완패/ncpa+하/xsv+었/ep+다/ef+./sf
미국	미국/nq
최고	최고/ncn
금융당국자들은	금융/ncn+당국/ncn+자/xsn+들/xsn+은/jxc
13일	13/nno+일/nbu
"아시아의	"/sr+아시아/nq+의/jcm
금융위기는	금융/ncn+위기/ncn+는/jxc
아직	아직/mag
끝나지	끝나/pvg+지/ecx
않았으며,	않/px+았/ep+으며/ecc+,/sp
만약	만약/mag
국제금융	국제/ncn+금융/ncn
시스템을	시스템/ncn+을/jco
위태롭게	위태롭/paa+게/ecs
할	하/pvg+ㄹ/etm
경우	경우/ncn
보다	보다/mag
심각한	심각/ncps+하/xsm+ㄴ/etm
문제들을	문제/ncn+들/xsn+을/jco
야기할	야기/ncpa+하/xsv+ㄹ/etm
것"이라고	것/nbn+"/sr+이/jp+라/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
또	또/maj
워싱턴	nq[워싱턴/nq
포스트지는	포스트/nq]nq+지/xsn+는/jxc
14일자	14/nno+일자/nbu
신문에서	신문/ncn+에서/jca
그린스펀의	그린스펀/nq+의/jcm
발언을	발언/ncn+을/jco
소개하면서	소개/ncpa+하/xsv+면서/ecs
"만약	"/sl+만약/mag
한국에	한국/nq+에/jca
구제금융이	구제/ncn+금융/ncn+이/jcs
지원될	지원/ncpa+되/xsv+ㄹ/etm
경우	경우/ncn
추가기금이	추가/ncn+기금/ncn+이/jcs
필요하지만	필요/ncps+하/xsm+지만/ecs
의회는	의회/ncn
미행정부에	미/nq+행정부/ncn+에/jca
대해	대하/pvg+어/ecs
IMF	IMF/f
추가지원	추가/ncn+지원/ncn
문제를	문제/ncn+를/jco
승인하지	승인/ncpa+하/xsv+지/ecx
않고	않/px+고/ecx
있다"고	있/px+다/ef+"/sr+고/jcr
전했다.	전/ncpa+하/xsv+었/ep+다/ef+./sf
그린스펀	그린스펀/nq
의장은	의장/ncn+은/jxc
이날	이/mmd+날/ncn
"미국을	"/sl+미국/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
세계	세계/ncn
각국들은	각국/ncn+들/xsn+은/jxc
필요할	필요/ncps+하/xsm+ㄹ/etm
경우	경우/ncn
곤경에	곤경/ncn+에/jca
처한	처하/pvg+ㄴ/etm
아시아국가들에	아시아/nq+국가/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
금융지원을	금융/ncn+지원/ncn+을/jco
제공할	제공/ncpa+하/xsv+ㄹ/etm
준비가	준비/ncn+가/jcs
되어	되/pvg+어/ecx
있어야만	있/px+어야/ecs+만/jxc
한다"고	하/pvg+ㄴ다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
그린스펀	그린스펀/nq
의장은	의장/ncn+은/jxc
"최근까지	"/sl+최근/ncn+까지/jxc
아시아	아시아/nq
경제위기의	경제/ncn+위기/ncn+의/jcm
미국에	미국/nq+에/jca
대한	대하/pvg+ㄴ/etm
영향은	영향/ncn+은/jxc
그리	그리/mag
크지	크/pvg+지/ecx
않았지만	않/px+았/ep+지만/ecs
앞으로는	앞/ncn+으로/jca+는/jxc
무시할	무시/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
수준이	수준/ncn+이/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
