<tdmsfile>
<tdmsfile>
Han3.hwp
먼저	먼저/mag
짓이라도	짓/nbn+이라도/jxc
하려는	하/pvg+려/ecs+는/etm
정당과,	정당/ncn+과/jcj+,/sp
정권을	정권/ncn+을/jco
내놓기	내놓/pvg+기/etn
위해	위하/pvg+어/ecs
무슨	무슨/mmd
짓이라도	짓/nbn+이라도/jxc
벌이는	벌이/pvg+는/etm
정당의	정당/ncn+의/jcm
추악한	추악/ncps+하/xsm+ㄴ/etm
싸움판에	싸움/ncn+판/ncn+에/jca
유권자의	유권/ncn+자/xsn+의/jcm
바른	바르/paa+ㄴ/etm
선택	선택/ncn
따위는	따위/nbn+는/jxc
애초에	애초/ncn+에/jca
무망한	무망/ncps+하/xsm+ㄴ/etm
노릇이다.	노릇/nbn+이/jp+다/ef+./sf
마음에	마음/ncn+에/jca
드는	들/pvg+는/etm
찬거리가	찬/ncn+거리/xsn+가/jcs
없는데도	없/paa+는데/ecs+도/jxc
억지로	억지/ncn+로/jca
장을	장/ncn+을/jco
보아야	보/pvg+아야/ecx
하는	하/px+는/etm
주부의	주부/ncn+의/jcm
딱한	딱하/paa+ㄴ/etm
처지처럼	처지/ncn+처럼/jca
억울하기	억울/ncps+하/xsm+기/etn
짝이	짝/nbn+이/jcs
없다.	없/paa+다/ef+./sf
별별	별별/mma
희한한	희한/ncps+하/xsm+ㄴ/etm
궁리로	궁리/ncn+로/jca
권력을	권력/ncn+을/jco
내버리려는(!	내/pvg+어/ecs+버리/pvg+려/ecs+는/etm+(!/sy
)	)/sr
쪽의	쪽/nbn+의/jcm
이전투구는	이전투구/ncn+는/jxc
바라보면서	바라보/pvg+면서/ecc
혀나	혀/ncn+나/jxc
차면	차/pvg+면/ecs
그만이므로	그만/ncn+이/jp+므로/ecs
달리	달리/mag
말이	하/pvg+ㄹ/etm+말/ncn+이/jcs
없다.	없/paa+다/ef+./sf
그러나	그러나/maj
권력	권력/ncn
줍기에(?	줍/pvg+기/etn+에/jca+(?/sy
)	)/sr
한발	한/nnc+발/nbu
앞섰다는	앞/ncn+서/pvg+었/ep+다/ef+는/etm
반대	반대/ncn
쪽의	쪽/nbn+의/jcm
경우는	경우/ncn+는/jxc
얘기가	얘기/ncn+가/jcs
다르다.	다르/paa+다/ef+./sf
네가	네/npp+가/jcs
하면	하/pvg+면/ecs
`야합'이고	`/sl+야합/ncn+'/sr+이/jp+고/ecc
내가	내/npp+가/jcs
하면	하/pvg+면/ecs
`공조'가	`/sl+공조/ncn+'/sr+가/jcc
되는	되/pvg+는/etm
논리의	논리/ncn+의/jcm
혼선도	혼선/ncn+도/jxc
답답하지만,	답답/ncps+하/xsv+지만/ecs+,/sp
군사	군사/ncn
독재	독재/ncn
시절	시절/ncn
박해와	박해/ncn+와/jcj
탄압에	탄압/ncn+에/jca
앞장선	앞장/ncn+서/pvg+ㄴ/etm
여권	여권/ncn
인사와	인사/ncn+와/jcj
악명	악명/ncn
높던	높/paa+던/etm
정보기관의	정보/ncn+기관/ncn+의/jcm
고위	고위/ncn
관리	관리/ncn
출신마저	출신/ncn+마저/jxc
끌어들인	끌/pvg+어/ecs+들이/pvg+ㄴ/etm
`난민	`/sl+난민/ncn
수용소'	수용/ncn+소/xsn+'/sr
정치의	정치/ncn+의/jcm
결말이	결말/ncn+이/jcs
대체	대체/mag
무엇일지	무엇/npd+이/jp+ㄹ지/ecs
의심스럽기	의심/ncn+스럽/xsm+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
집권당의	집권/ncn+당/ncn+의/jcm
선대위	선대위/ncn
원장한테조차	원장/ncn+한테/jca+조차/jxc
손을	손/ncn+을/jco
내미는	내밀/pvg+는/etm
부도덕한	부/xp+도덕/ncps+하/xsm+ㄴ/etm
행태	행태/ncn
앞에	앞/ncn+에/jca
정말	정말/mag
이렇게	이렇/pad+게/ecs
염치도	염치/ncn+도/jxc
도리도	도리/ncn+도/jxc
없이	없/paa+이/ecs
막가도	막/mag+가/pvg+아/ecx+도/jxc
되는	되/pvg+는/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
정중히	정중/ncn+히/xsa
묻고	묻/pvg+고/ecx
싶다.	싶/px+다/ef+./sf
기껏	기껏/mag
우리에게	우리/npp+에게/jca
주어진	주/pvg+어/ecx+지/px+ㄴ/etm
선택의	선택/ncn+의/jcm
자유가	자유/ncn+가/jcs
그	그/mmd
연합에	연합/ncn+에/jca
대한	대하/pvg+ㄴ/etm
찬성과	찬성/ncn+과/jcj
반대의	반대/ncn+의/jcm
의사	의사/ncn
표시뿐이란	표시/ncn+뿐/nbn+이/jp+라/ef+ㄴ/etm
말인가?	말/ncn+이/jp+ㄴ가/ef+?/sf
물론	물론/mag
그런	그렇/pad+ㄴ/etm
구분이	구분/ncn+이/jcs
단순히	단순/ncn+히/xsa
정치인	정치/ncn+인/xsn
누구를	누구/npp+를/jco
지지하느냐	지지/ncpa+하/xsv+느냐/ef
거부하느냐의	거부/ncpa+하/xsv+느냐/ef+의/jcm
문제가	문제/ncn+가/jcc
아니라,	아니/paa+라/ecs+,/sp
3김	3/nnc+김/nq
시대의	시대/ncn+의/jcm
지속이냐	지속/ncn+이/jp+냐/ef
청산이냐를	청산/ncn+이/jp+냐/ef+를/jco
가르는	가르/pvg+는/etm
기준이	기준/ncn+이/jcc
된다는	되/pvg+ㄴ다/ef+는/etm
주장을	주장/ncn+을/jco
모르지	모르/pvg+지/ecx
않는다	않/px+는다/ef
그러나	그러나/maj
디제이피의	디제이피/ncn+의/jcm
승리가	승리/ncn+가/jcs
그	그/mmd
시대의	시대/ncn+의/jcm
존속을	존속/ncn+을/jco
수락하는	수락/ncpa+하/xsv+는/etm
유권자의	유권/ncn+자/xsn+의/jcm
동의가	동의/ncn+가/jcc
아니듯이,	아니/paa+듯이/ecs+,/sp
패배	패배/ncn
또한	또한/maj
즉각	즉각/mag
단절로	단절/ncn+로/jca
나타나지	나타나/pvg+지/ecx
않을	않/px+을/etm
것은	것/nbn+은/jxc
분명하다.	분명/ncps+하/xsm+다/ef+./sf
쿠데타로	쿠데타/ncn+로/jca
민간	민간/ncn
정부를	정부/ncn+를/jco
전복한	전복/ncpa+하/xsv+ㄴ/etm
장본인과	장본/ncn+인/xsn+과/jcj
그	그/mmd
잔재를	잔재/ncn+를/jco
청소하겠다는	청소/ncpa+하/xsv+겠/ep+다/ef+는/etm
후보의	후보/ncn+의/jcm
밀실	밀실/ncn
결탁이	결탁/ncn+이/jcs
자행할	자행/ncpa+하/xsv+ㄹ/etm
`무슨	`/sl+무슨/mmd
짓'은	짓/nbn+'/sr+은/jxc
권력	권력/ncn
배급에서	배급/ncn+에서/jca
내각제	내각/ncn+제/xsn
개헌까지	개헌/ncn+까지/jxc
어지럽기	어지럽/paa+기/etn
한량없다.	한량/ncn+없/paa+다/ef+./sf
선거에서	선거/ncn+에서/jca
정책	정책/ncn
따위는	따위/nbn+는/jxc
팽개치고	팽개치/pvg+고/ecc
무조건	무조건/mag
이기는	이기/pvg+는/etm
일과,	일/ncn+과/jcc+,/sp
설사	설사/mag
지더라도	지/pvg+더라도/ecs
정책으로	정책/ncn+으로/jca
싸우는	싸우/pvg+는/etm
일	일/ncn
가운데	가운데/ncn
어느	어느/mmd
쪽이	쪽/nbn+이/jcs
옳은지는	옳/paa+은지/ef+는/jxc
각자의	각자/ncn+의/jcm
판단에	판단/ncn+에/jca
맡기겠다.	맡기/pvg+겠/ep+다/ef+./sf
그런	그렇/pad+ㄴ/etm
`무모한'	`/sl+무모/ncps+하/xsm+ㄴ/etm+'/sl
도전이	도전/ncn+이/jcs
우리에게는	우리/npp+에게/jca+는/jxc
크게	크/paa+게/ecs
낯설지만,	낯설/paa+지만/ecs+,/sp
미국만	미국/nq+만/jxc
해도	하/pvg+어도/ecs
다반사로	다반/ncn+사/xsn+로/jca
일어난다	일어나/pvg+ㄴ다/ecs
예컨대	예컨대/maj
누구를	누구/npp+를/jco
찍기보다	찍/pvg+기/etn+보다/jca
누구를	누구/npp+를/jco
찍지	찍/pvg+지/ecx
않는	않/px+는/etm
것이	것/nbn+이/jcs
중요하다고	중요/ncps+하/xsm+다/ef+고/jcr
언론의	언론/ncn+의/jcm
야유를	야유/ncn+를/jco
받을	받/pvg+을/etm
만큼	만큼/nbn
일찌거니	일찌거니/mag
승패가	승패/ncn+가/jcs
결정되었던	결정/ncpa+되/xsv+었/ep+던/etm
1964년	1964/nno+년/nbu
선거에서	선거/ncn+에서/jca
공화당의	공화당/nq+의/jcm
골드워터는	골드워터/nq+는/jxc
예상대로	예상/ncn+대로/jxc
민주당의	민주당/nq+의/jcm
존슨한테	존슨/nq+한테/jca
선거인단	선거/ncn+인/xsn+단/xsn
표수로	표수/ncn+로/jca
52:486으로	52/nnc+:/sp+486/nnc+으로/jca
패했으나,	패하/pvg+었/ep+으나/ecs+,/sp
공화당은	공화당/nq+은/jxc
강경	강경/ncn
노선으로	노선/ncn+으로/jca
계속	계속/mag
버틴	버티/pvg+ㄴ/etm
나머지	나머지/ncn
다음	다음/mmd
선거에서	선거/ncn+에서/jca
닉슨의	닉슨/nq+의/jcm
승리를	승리/ncn+를/jco
쟁취했다.	쟁취/ncpa+하/pvg+었/ep+다/ef+./sf
1972년	1972/nno+년/nbu
선거	선거/ncn
당시	당시/ncn
민주당	민주당/nq
맥거번의	맥거번/nq+의/jcm
진보	진보/ncn
공약은	공약/ncn+은/jxc
솔직히	솔직/ncn+히/xsa
위태로운	위태롭/paa+ㄴ/etm
모험이었고,	모험/ncn+이/jp+었/ep+고/ecc+,/sp
그래서	그래서/maj
예상대로	예상/ncn+대로/jxc
공화당의	공화당/nq+의/jcm
닉슨에게	닉슨/nq+에게/jca
17:521로	17/nnc+:/sp+521/nnc+로/jca
패배했지만	패배/ncpa+하/xsv+었/ep+지만/ecs
그	그/mmd
기조를	기조/ncn+를/jco
고수한	고수/ncpa+하/xsv+ㄴ/etm
결과	결과/ncn
민주당은	민주당/nq+은/jxc
다음	다음/mmd
선거에서	선거/ncn+에서/jca
카터의	카터/nq+의/jcm
집권을	집권/ncn+을/jco
실현했다.	실현/ncpa+하/xsv+었/ep+다/ef+./sf
공화당의	공화당/nq+의/jcm
아이젠하워와	아이젠하워/nq+와/jcc
민주당의	민주당/nq+의/jcm
스티븐슨이	스티븐슨/nq+이/jcs
대결한	대결/ncpa+하/xsv+ㄴ/etm
1952년과	1952/nno+년/nbu+과/jcj
56년	56/nno+년/nbu
선거에서	선거/ncn+에서/jca
연달아	연달아/mag
패한	패하/pvg+ㄴ/etm
민주당은	민주당/nq+은/jxc
다음	다음/mmd
선거에서도	선거/ncn+에서/jca+도/jxc
여전히	여전/ncn+히/xsa
상대적	상대/ncn+적/xsn
진보	진보/ncn
성향의	성향/ncn+의/jcm
케네디를	케네디/nq+를/jco
내세워	내/pvg+어/ecs+세우/pvg+어/ecs
번의	두/nno+번/nbu+의/jcm
고배를	고배/ncn+를/jco
설욕했다.	설욕/ncpa+하/xsv+었/ep+다/ef+./sf
그런	그렇/pad+ㄴ/etm
것이	것/nbn+이/jcs
정치이다.	정치/ncn+이/jp+다/ef+./sf
*내일	*/sy+내일/ncn
이기는	이기/pvg+는/etm
지혜의	지혜/ncn+의/jcm
씨앗을*	씨앗/ncn+을/jco+*/sy
.	./sp
국민승리	nq[국민승리/nq
21이	+21/nnc]nq+이/jcs
마련한	마련/ncpa+하/xsv+ㄴ/etm
공약에는	공약/ncn+에/jca+는/jxc
`정권을	`/sl+정권/ncn+을/jco
걸더라도'	걸/pvg+더라도/ecs+'/sl
당분간	당분간/ncn
이행이	이행/ncn+이/jcs
어려울	어렵/paa+ㄹ/etm
듯한	듯/nbn+하/xsm+ㄴ/etm
사항도	사항/ncn+도/jxc
있다.	있/paa+다/ef+./sf
그러나	그러나/maj
오늘	오늘/ncn
지더라도	지/pvg+더라도/ecs
내일	내일/ncn
이기는	이기/pvg+는/etm
지혜가	지혜/ncn+가/jcs
필요하다면,	필요/ncps+하/xsm+다면/ecs+,/sp
그	그/mmd
씨앗을	씨앗/ncn+을/jco
심으려는	심/pvg+으려/ecs+는/etm
정책자문교수단의	정책/ncn+자문/ncn+교수/ncn+단/xsn+의/jcm
결성은	결성/ncn+은/jxc
높이	높이/mag
평가할	평가/ncpa+하/xsv+ㄹ/etm
만하다	만/nbn+하/xsm+다/ef
차기	차기/ncn
대통령의	대통령/ncn+의/jcm
식단이	식단/ncn+이/jcs
칼국수가	칼국수/ncn+가/jcc
될지	되/pvg+ㄹ지/ecs
수제비가	수제비/ncn+가/jcc
될지	되/pvg+ㄹ지/ecs
알	알/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없으나,	없/paa+으나/ecs+,/sp
국민승리	nq[국민승리/nq
21의	+21/nnc]nq+의/jcm
후보가	후보/ncn+가/jcs
적어도	적어도/mag
그	그/mmd
식탁에	식탁/ncn+에/jca
초대받을	초대/ncn+받/xsv+을/etm
만큼은	만큼/nbn+은/jxc
표를	표/ncn+를/jco
모아야	모으/pvg+아야/ecx
한다.	하/px+ㄴ다/ef+./sf
그것은	그것/npd+은/jxc
현정권한테	현/mma+정권/ncn+한테/jca
무참하게	무참/ncps+하/xsm+게/ecs
짓밟힌	짓밟히/pvg+ㄴ/etm
진보의	진보/ncn+의/jcm
수모와	수모/ncn+와/jcj
핍박을	핍박/ncn+을/jco
씻기	씻/pvg+기/etn
위해서라도	위하/pvg+어서/ecs+라도/jxc
반드시	반드시/mag
해낼	하/pvg+어/ecx+내/px+ㄹ/etm
숙제이다.	숙제/ncn+이/jp+다/ef+./sf
대학	대학/ncn
입시의	입시/ncn+의/jcm
비교내신을	비교/ncn+내신/ncn+을/jco
둘러싸고	두르/pvg+어/ecs+싸/pvg+고/ecc
빚어진	빚/pvg+어/ecx+지/px+ㄴ/etm
특수목적고	특수/ncn+목적고/ncn
학생들의	학생/ncn+들/xsn+의/jcm
등교거부,	등교/ncn+거부/ncn+,/sp
자퇴사태가	자퇴/ncn+사태/ncn+가/jcs
해결의	해결/ncn+의/jcm
기미를	기미/ncn+를/jco
보이지	보이/pvg+지/ecx
않고	않/px+고/ecx
있다.	있/px+다/ef+./sf
과학고	과학고/ncn
외국어고	외국어고/ncn
등	등/nbn
특수목적고	특수/ncn+목적고/ncn
학생들과	학생/ncn+들/xsn+과/jcj
학부모들은	학부모/ncn+들/xsn+은/jxc
자신들이	자신/npp+들/xsn+이/jcs
내신성적에서	내신/ncn+성적/ncn+에서/jca
너무	너무/mag
불리한	불리/ncps+하/xsm+ㄴ/etm
조건에	조건/ncn+에/jca
있다는	있/paa+다/ef+는/etm
데	데/nbn
큰	크/paa+ㄴ/etm
불안을	불안/ncn+을/jco
나타낸다.	나타내/pvg+ㄴ다/ef+./sf
더구나	더구나/mag
교육부가	교육부/nq+가/jcs
내신성적을	내신/ncn+성적/ncn+을/jco
절대평가로	절대/ncn+평가/ncn+로/jca
전환하기로	전환/ncpa+하/xsv+기/etn+로/jca
약속했음에도	약속/ncpa+하/xsv+었/ep+음/etn+에/jca+도/jxc
이를	이/npd+를/jco
지키지	지키/pvg+지/ecx
않아	않/px+아/ecs
큰	크/paa+ㄴ/etm
손실을	손실/ncn+을/jco
보게	보/pvg+게/ecs
됐다는	되/px+었/ep+다/ef+는/etm
것이	것/nbn+이/jcs
이들의	이/npp+들/xsn+의/jcm
주장이다.	주장/ncn+이/jp+다/ef+./sf
일리가	일리/ncn+가/jcs
있는	있/paa+는/etm
주장이다.	주장/ncn+이/jp+다/ef+./sf
일반고	일반고/ncn
학부모들이	학부모/ncn+들/xsn+이/jcs
강력히	강력/ncn+히/xsa
반대하고	반대/ncpa+하/xsv+고/ecx
있기	있/px+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
일반고	일반고/ncn
학부모들은	학부모/ncn+들/xsn+은/jxc
학교간	학교/ncn+간/nbn
격차를	격차/ncn+를/jco
인정하는	인정/ncpa+하/xsv+는/etm
비교내신이	비교/ncn+내신/ncn+이/jcs
형평성에	형평/ncn+성/xsn+에/jca
어긋나며	어긋나/pvg+며/ecc
공정하지	공정/ncps+하/xsm+지/ecx
못하다고	못하/px+다/ef+고/jcr
주장하고	주장/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
기실	기실/mag
학교간	학교/ncn+간/nbn
격차는	격차/ncn+는/jxc
특목고와	특목고/ncn+와/jcj
일반고	일반고/ncn
사이에만	사이/ncn+에/jca+만/jxc
있는	있/paa+는/etm
것이	것/nbn+이/jcc
아니다.	아니/paa+다/ef+./sf
일반고	일반고/ncn
사이에서도	사이/ncn+에서/jca+도/jxc
평준화지역과	평준/ncn+화/xsn+지역/ncn+과/jcj
비평준화지역,	비/xp+평준/ncn+화/xsn+지역/ncn+,/sp
그리고	그리고/maj
비평준화지역	비/xp+평준/ncn+화/xsn+지역/ncn
내에서도	내/nbn+에서/jca+도/jxc
상당한	상당/ncps+하/xsm+ㄴ/etm
격차가	격차/ncn+가/jcs
있다.	있/paa+다/ef+./sf
이런	이렇/pad+ㄴ/etm
학교간	학교/ncn+간/nbn
격차를	격차/ncn+를/jco
대학입시에	대학/ncn+입시/ncn+에/jca
반영할	반영/ncpa+하/xsv+ㄹ/etm
방법이	방법/ncn+이/jcs
있을까.	있/paa+을까/ef+./sf
그것은	그것/npd+은/jxc
불가능하며	불/xp+가능/ncps+하/xsm+며/ecc
또	또/mag
시행한다	시행/ncpa+하/xsv+ㄴ다/ecs
해도	하/pvg+어도/ecs
부작용이	부/xp+작용/ncn+이/jcs
훨씬	훨씬/mag
많을	많/paa+을/etm
것이다.	것/nbn+이/jp+다/ef+./sf
우리는	우리/npp+는/jxc
이	이/mmd
난제	난제/ncn
앞에서	앞/ncn+에서/jca
왜	왜/mag
이	이/mmd
사태가	사태/ncn+가/jcs
발생하게	발생/ncpa+하/xsv+게/ecx
됐는지	되/px+었/ep+는지/ecs
그	그/mmd
원인을	원인/ncn+을/jco
근원적으로	근원/ncn+적/xsn+으로/jca
되돌아볼	되돌/pvg+아/ecs+보/pvg+ㄹ/etm
필요가	필요/ncn+가/jcs
있다.	있/paa+다/ef+./sf
그	그/mmd
하나는	하나/ncn+는/jxc
교육부가	교육부/nq+가/jcs
내신성적	내신/ncn+성적/ncn
산출방식을	산출/ncn+방식/ncn+을/jco
개편해	전면/ncn+개편/ncpa+하/xsv+어/ecs
학생부를	학생/ncn+부/xsn+를/jco
만들고	만들/pvg+고/ecc
절대평가를	절대/ncn+평가/ncn+를/jco
하겠다는	하/pvg+겠/ep+다/ef+는/etm
실현	실현/ncn
가능하지	가능/ncps+하/xsm+지/ecx
않은	않/px+은/etm
개혁발상을	개혁/ncn+발상/ncn+을/jco
내놓았다가	내/pvg+어/ecs+놓/pvg+았/ep+다가/ecc
철회했기	철회/ncpa+하/xsv+었/ep+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
현실에	현실/ncn+에/jca
맞지	맞/pvg+지/ecx
않은	않/px+은/etm
그럴듯한	그렇/pad+ㄹ/etm+듯/nbn+하/pvg+ㄴ/etm
정책들이	정책/ncn+들/xsn+이/jcs
사회에	사회/ncn+에/jca
얼마나	얼마나/mag
많은	많/paa+은/etm
낭비와	낭비/ncn+와/jcj
갈등을	갈등/ncn+을/jco
일으키게	일으키/pvg+게/ecx
되는지를	되/px+는지/ecs+를/jco
보여주는	보이/pvg+어/ecx+주/px+는/etm
사례라	사례/ncn+라/ecs
할	하/pvg+ㄹ/etm
만하다.	만하/px+다/ef+./sf
다른	다르/paa+ㄴ/etm
원인은	원인/ncn+은/jxc
내신성적에	내신/ncn+성적/ncn+에/jca
대한	대하/pvg+ㄴ/etm
과신과	과신/ncn+과/jcj
집착에	집착/ncn+에/jca
기인한다.	기인/ncpa+하/xsv+ㄴ다/ef+./sf
내신성적반영비율을	내신/ncn+성적/ncn+반영/ncn+비율/ncn+을/jco
높이는	높이/pvg+는/etm
것이	것/nbn+이/jcs
중고교교육을	중고교/ncn+교육/ncn+을/jco
정상화하고	정상/ncn+화/xsn+하/xsv+고/ecc
대학입학의	대학/ncn+입학/ncn+의/jcm
정확한	정확/ncps+하/xsm+ㄴ/etm
잣대가	잣대/ncn+가/jcc
된다는	되/pvg+ㄴ다는/etm
고정관념이	고정/ncn+관념/ncn+이/jcs
정책가들에게	교육/ncn+정책/ncn+가/xsn+들/xsn+에게/jca
팽배해	팽배/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
것	것/nbn
같다.	같/paa+다/ef+./sf
그래서	그래서/maj
대학입시에서	대학/ncn+입시/ncn+에서/jca
각	각/mma
대학이	대학/ncn+이/jcs
내신성적을	내신/ncn+성적/ncn+을/jco
40%	40/nnc+%/su
이상	이상/ncn
반영하도록	반영/ncpa+하/xsv+도록/ecs
의무화하고	의무/ncn+화/xsn+하/xsv+고/ecc
고교입시에서는	고교/ncn+입시/ncn+에서/jca+는/jxc
내신성적만으로	내신/ncn+성적/ncn+만/jxc+으로/jca
진학	진학/ncn
여부를	여부/ncn+를/jco
결정하도록	결정/ncpa+하/xsv+도록/ecs
했다.	하/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
내신성적을	내신/ncn+성적/ncn+을/jco
주요	주요/ncn
입시기준으로	입시/ncn+기준/ncn+으로/jca
삼고	삼/pvg+고/ecx
있는	있/px+는/etm
나라는	나라/ncn+는/jxc
거의	거의/mag
없다.	없/paa+다/ef+./sf
유럽의	유럽/nq+의/jcm
대부분	대부분/ncn
국가들은	국가/ncn+들/xsn+은/jxc
국가적	국가/ncn+적/xsn
공통시험을	공통/ncn+시험/ncn+을/jco
시행해	시행/ncpa+하/xsv+어/ecs
그것을	그것/npd+을/jco
기준으로	기준/ncn+으로/jca
하고	하/pvg+고/ecx
있다.	있/px+다/ef+./sf
미국의	미국/nq+의/jcm
경우가	경우/ncn+가/jcs
예외적인데	예외/ncn+적/xsn+이/jp+ㄴ데/ecs
미국의	미국/nq+의/jcm
대학입시방식을	대학/ncn+입시/ncn+방식/ncn+을/jco
한국에다	한국/nq+에다/jca
적용하는	적용/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
참으로	참/ncn+으로/jca
넌센스라	넌센스/ncn+라/ecs
하지	하/pvg+지/ecx
않을	않/px+을/etm
수	수/nbn
없다.	없/paa+다/ef+./sf
미국의	미국/nq+의/jcm
대학진학에	대학/ncn+진학/ncn+에/jca
대한	대하/pvg+ㄴ/etm
관심과	관심/ncn+과/jcj
한국의	한국/nq+의/jcm
경우가	경우/ncn+가/jcs
판이하기	판이/ncps+하/xsm+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
내신성적	내신/ncn+성적/ncn
반영비율을	반영/ncn+비율/ncn+을/jco
높임에	높이/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
한국의	한국/nq+의/jcm
교육현장에서	교육/ncn+현장/ncn+에서/jca
일어날	일/pvg+어/ecx+나/px+ㄹ/etm
일을	일/ncn+을/jco
상상해보라.	상상/ncpa+하/xsv+어/ecx+보/px+라/ef+./sf
숨막히는	숨/ncn+막히/pvg+는/etm
압박감이	압박/ncn+감/xsn+이/jcs
중간고사	중간/ncn+고사/ncn
기말고사	기말/ncn+고사/ncn
때마다	때/ncn+마다/jxc
밀려올	밀리/pvg+어/ecs+오/pvg+ㄹ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
둘째,	둘째/nno+,/sp
내신성적의	내신/ncn+성적/ncn+의/jcm
경쟁자는	경쟁/ncn+자/xsn+는/jxc
학교내	학교/ncn+내/nbn
같은	같/paa+은/etm
학급	학급/ncn
급우들로	급우/ncn+들/xsn+로/jca
제한된다.	제한/ncpa+되/xsv+ㄴ다/ef+./sf
따라서	따라서/maj
급우들	급우/ncn+들/xsn
간에도	간/nbn+에/jca+도/jxc
함께	함께/mag
협력하는	협력/ncpa+하/xsv+는/etm
우정이	우정/ncn+이/jcs
쌓이기보다는	쌓이/pvg+기/etn+보다/jca+는/jxc
서로가	서로/ncn+가/jcs
현실적인	현실/ncn+적/xsn+이/jp+ㄴ/etm
경쟁자가	경쟁/ncn+자/xsn+가/jcc
되게	되/pvg+게/ecx
된다.	되/px+ㄴ다/ef+./sf
내신성적의	내신/ncn+성적/ncn+의/jcm
등급을	등급/ncn+을/jco
많이	많이/mag
나눌수록	나누/pvg+ㄹ수록/ecs
그런	그렇/pad+ㄴ/etm
현상은	현상/ncn+은/jxc
더욱	더욱/mag
뚜렷이	뚜렷/ncn+이/xsa
나타날	나타나/pvg+ㄹ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
셋째,	셋째/nno+,/sp
학교	학교/ncn
당국과	당국/ncn+과/jcj
교사들로서는	교사/ncn+들/xsn+로서/jca+는/jxc
학생들	학생/ncn+들/xsn
간의	간/nbn+의/jcm
갈등과	갈등/ncn+과/jcj
잡음을	잡음/ncn+을/jco
관리하기가	관리/ncpa+하/xsv+기/etn+가/jcs
매우	매우/mag
어려워진다.	어렵/pvg+어/ecx+지/px+ㄴ다/ef+./sf
벌써	벌써/mag
학교현장에서는	학교/ncn+현장/ncn+에서/jca+는/jxc
어떤	어떻/pad+ㄴ/etm
반에서	반/ncn+에서/jca
시험에	시험/ncn+에/jca
