<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0098.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0098.txt </filename>
<title> 교실 밖 국사여행 </title>
<author>역사학연구소   </author>
<date> 1993 </date>
<publisher>사계절출판사  </publisher>
<kdc>911  </kdc>
<ddc>951.9  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
도구를	도구/ncn+를/jco
토기에	토기/ncn+에/jca
새겨진	새기/pvg+어/ecx+지/px+ㄴ/etm
소박한	소박/ncps+하/xsm+ㄴ/etm
무늬들은	무늬/ncn+들/xsn+은/jxc
긴	기/paa+ㄴ/etm
시간을	시간/ncn+을/jco
뛰어넘어	뛰/pvg+어/ecs+넘/pvg+어/ecs
그것을	그것/npd+을/jco
쓰고	쓰/pvg+고/ecs
살았던	살/pvg+았/ep+던/etm
사람들에게	사람/ncn+들/xsn+에게/jca
친밀감을	친밀/ncn+감/xsn+을/jco
느끼게	느끼/pvg+게/ecx
하기도	하/px+기/etn+도/jxc
하고	하/px+고/ecc
,	,/sp
'	'/sl
그때	그때/npd
벌써	벌써/mag
이런	이렇/pad+ㄴ/etm
것을	것/nbn+을/jco
만들다니	만들/pvg+다니/ef
!'	!/sf+'/sr
하는	하/pvg+는/etm
생각에	생각/ncn+에/jca
신비롭기도	신비/ncps+롭/xsm+기/etn+도/jxc
하다	하/px+다/ef
.	./sf
요즘은	요즘/ncn+은/jxc
유물을	유물/ncn+을/jco
전시한	전시/ncpa+하/xsv+ㄴ/etm
뒷벽에	뒤/ncn+벽/ncn+에/jca
그것들을	그것/npd+들/xsn+을/jco
만드는	만들/pvg+는/etm
방법과	방법/ncn+과/jcj
과정을	과정/ncn+을/jco
설명해	설명/ncpa+하/xsv+어/ecx
놓아서	놓/px+아서/ecs
더욱	더욱/mag
재미있게	재미/ncn+있/paa+게/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
생활의	생활/ncn+의/jcm
절실한	절실/ncps+하/xsm+ㄴ/etm
필요에서	필요/ncn+에서/jca
처음으로	처음/ncn+으로/jca
그것을	그것/npd+을/jco
만들어	만들/pvg+어/ecx
내고	내/px+고/ecc
,	,/sp
편리하게	편리/ncps+하/xsm+게/ecs
사용했을	사용/ncpa+하/xsv+었/ep+ㄹ/etm
때의	때/ncn+의/jcm
기쁨이란	기쁘/paa+ㅁ/etn+이/jp+란/etm
얼마나	얼마나/mag
컸을까	크/paa+었/ep+ㄹ까/ef
?	?/sf
인류사에서	인류/ncn+사/xsn+에서/jca
문자	문자/ncn
기록이	기록/ncn+이/jcs
남아	남/pvg+아/ecx
있어	있/paa+어/ecs
우리가	우리/npp+가/jcs
역사를	역사/ncn+를/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/px+는/etm
시기는	시기/ncn+는/jxc
기껏	기껏/mag
이삼천	이삼천/nnc
년에	년/nbu+에/jca
지나지	지나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
그	그/mmd
이전의	이전/ncn+의/jcm
이삼백만	이삼백만/nnc
년에	년/nbu+에/jca
이르는	이르/pvg+는/etm
선사	선사/ncn
시대는	시대/ncn+는/jxc
유적과	유적/ncn+과/jcj
유물을	유물/ncn+을/jco
통하여	통하/pvg+어/ecs
살펴	살피/pvg+어/ecx
볼	보/pvg+ㄹ/etm
수밖에	수/nbn+밖/nbn+에/jxc
없다	없/paa+다/ef
.	./sf
세	세/nnc
번의	번/nbu+의/jcm
빙하기와	빙하/ncn+기/xsn+와/jcj
간빙기가	간빙/ncn+기/xsn+가/jcs
교차되었던	교차/ncpa+되/xsv+었/ep+던/etm
긴	기/paa+ㄴ/etm
기간에	기간/ncn+에/jca
인류는	인류/ncn+는/jxc
자연	자연/ncn
환경과	환경/ncn+과/jcj
맞서	맞/pvg+서/ecs
싸우고	싸우/pvg+고/ecc
또	또/maj
적응해	적응/ncpa+하/xsv+어/ecx
가면서	가/px+면서/ecc
자연을	자연/ncn+을/jco
이용하는	이용/ncpa+하/xsv+는/etm
가운데	가운데/ncn
,	,/sp
진화를	진화/ncn+를/jco
거듭해	거듭하/pvg+어/ecs
현재의	현재/ncn+의/jcm
사람과	사람/ncn+과/jct
같은	같/paa+은/etm
모습으로	모습/ncn+으로/jca
바뀌면서	바뀌/pvg+면서/ecc
활기차게	활기/ncn+차/pvg+게/ecs
살아	살/pvg+아/ecx
왔다	오/px+았/ep+다/ef
.	./sf
그런데	그런데/maj
박물관에서	박물/ncn+관/xsn+에서/jca
전시된	전시/ncpa+되/xsv+ㄴ/etm
유물과	유물/ncn+과/jcj
설명문들을	설명/ncn+문/xsn+들/xsn+을/jco
보면서	보/pvg+면서/ecs
우리는	우리/npp+는/jxc
이런	이렇/pad+ㄴ/etm
질문들을	질문/ncn+들/xsn+을/jco
품게	품/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
우리의	우리/npp+의/jcm
먼	멀/paa+ㄴ/etm
선조가	선조/ncn+가/jcc
되는	되/pvg+는/etm
원시인들은	원시/ncn+인/xsn+들/xsn+은/jxc
어떤	어떻/pad+ㄴ/etm
모습이었을까	모습/ncn+이/jp+었/ep+ㄹ까/ef
?	?/sf
또	또/maj
,	,/sp
그들이	그/npp+들/xsn+이/jcs
손에	손/ncn+에/jca
들었던	들/pvg+었/ep+던/etm
도구는	도구/ncn+는/jxc
어떻게	어떻/pad+게/ecs
만들었고	만들/px+었/ep+고/ecc
,	,/sp
일하는	일/ncn+하/pvg+는/etm
데	데/nbn
어떻게	어떻/pad+게/ecs
사용됐을까	사용/ncpa+되/xsv+었/ep+ㄹ까/ef
?	?/sf
아니면	아니/paa+면/ecs
,	,/sp
원시	원시/ncn
사회는	사회/ncn+는/jxc
모계씨족	모계/ncn+씨족/ncn
사회였다는데	사회/ncn+이/jp+었/ep+다는데/ecs
,	,/sp
사람들이	사람/ncn+들/xsn+이/jcs
어떻게	어떻/pad+게/ecs
모여	모이/pvg+어/ecs
살았을까	살/pvg+았/ep+ㄹ까/ef
?	?/sf
우리는	우리/npp+는/jxc
손쉽게	손쉽/ncn+게/ecs
읽어	읽/pvg+어/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
국사	국사/ncn
교과서나	교과/ncn+서/xsn+나/jcj
개설서들을	개설/ncn+서/xsn+들/xsn+을/jco
펼쳐	펼치/pvg+어/ecx
보면	보/px+면/ecs
,	,/sp
맨	맨/mma
처음에	처음/ncn+에/jca
구석기	구석기/ncn
시대	시대/ncn
,	,/sp
신석기	신석기/ncn
시대	시대/ncn
,	,/sp
청동기	청동기/ncn
시대라고	시대/ncn+라/ef+고/jcr
나온다	나오/pvg+ㄴ다/ef
.	./sf
선사	선사/ncn
시대	시대/ncn
유물을	유물/ncn+을/jco
석기	석기/ncn
청동기	청동기/ncn
철기로	철기/ncn+로/jca
나누는	나누/pvg+는/etm
구분은	구분/ncpa+은/jxc
우리에게는	우리/npp+에게/jca+는/jxc
당연하게	당연/ncps+하/xsm+게/ecs
받아들여진다	받/pvg+아/ecx+들이/px+어/ecx+지/px+ㄴ다/ef
.	./sf
인류가	인류/ncn+가/jcs
사용한	사용/ncpa+하/xsv+ㄴ/etm
도구의	도구/ncn+의/jcm
발전에	발전/ncn+에/jca
따라	따르/pvg+아/ecs
시대를	시대/ncn+를/jco
나누는	나누/pvg+는/etm
구분법은	구분/ncn+법/xsn+은/jxc
19세기	19/nno+세기/ncn
전반	전반/ncn
덴마크의	덴마크/nq+의/jcm
학자	학자/ncn
톰젠	톰젠/nq
(	(/sl
Thomsen	Thomsen/f
:	:/sp
1788	1788/nno
1865	1865/nno
)	)/sr
이	이/jcs
처음	처음/ncn
사용하였다	사용/ncpa+하/xsv+었/ep+다/ef
.	./sf
그때	그때/npd
,	,/sp
박물관에	박물/ncn+관/xsn+에/jca
수집된	수집/ncpa+되/xsv+ㄴ/etm
유물을	유물/ncn+을/jco
놓고	놓/pvg+고/ecc
역사가와	역사/ncn+가/xsn+와/jcj
박물관	박물/ncn+관/xsn
직원들	직원/ncn+들/xsn
사이에	사이/ncn+에/jca
인류	인류/ncn
문화의	문화/ncn+의/jcm
발전	발전/ncn
단계에	단계/ncn+에/jca
대하여	대하/pvg+어/ecs
대화하은	대화/ncpa+하/xsv+ㄴ/etm
가운데	가운데/ncn
여러	여러/mma
가지	가지/nbu
가정이	가정/ncn+이/jcs
제시되었다	제시/ncpa+되/xsv+었/ep+다/ef
.	./sf
톰젠은	톰젠/nq+은/jxc
무질서하게	무/xp+질서/ncn+하/xsv+게/ecx
모아진	모으/pvg+아/ecx+지/px+ㄴ/etm
유물들을	유물/ncn+들/xsn+을/jco
체계적으로	체계/ncn+적/xsn+으로/jca
정리	정리/ncn
분류하고	분류/ncpa+하/xsv+고/ecc
,	,/sp
석기	석기/ncn
청동기	청동기/ncn
철기라는	철기/ncn+라/ef+는/etm
3시대법을	3/nnc+시대/ncn+법/ncn+을/jco
고안하여	고안/ncpa+하/xsv+어/ecs
인류	인류/ncn
문화의	문화/ncn+의/jcm
발전	발전/ncn
단계를	단계/ncn+를/jco
밝혔다	밝히/pvg+었/ep+다/ef
.	./sf
또한	또한/maj
생물학에서도	생물/ncn+학/xsn+에서/jca+도/jxc
영장목에	영장/ncn+목/ncn+에/jca
속하는	속하/pvg+는/etm
사람이	사람/ncn+이/jcs
유인원	유인원/ncn
,	,/sp
원인	원인/ncn
,	,/sp
호모사피엔스로	호모사피엔스/ncn+로/jca
오랜	오랜/mma
기간에	기간/ncn+에/jca
걸쳐	걸치/pvg+어/ecs
진화해	진화/ncpa+하/xsv+어/ecx
온	오/px+ㄴ/etm
결과로	결과/ncn+로/jca
나타났음을	나타나/pvg+았/ep+ㅁ/etn+을/jco
밝혀	밝히/pvg+어/ecx
냈다	내/px+었/ep+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
19세기	19/nno+세기/ncn
후반에	후반/ncn+에/jca
진화론이	진화/ncn+론/xsn+이/jcs
보편화되면서	보편/ncn+화/xsn+되/xsv+면서/ecs
3시대	3/nnc+시대/ncn
분류법은	분류/ncn+법/xsn+은/jxc
인류	인류/ncn
역사의	역사/ncn+의/jcm
시초를	시초/ncn+를/jco
밝히는	밝히/pvg+는/etm
것으로	것/nbn+으로/jca
널리	널리/mag
받아들여졌다	받/pvg+아/ecx+들이/px+어/ecx+지/px+었/ep+다/ef
.	./sf
이렇게	이렇/pad+게/ecx
하여	하/px+어/ecx
19세기	19/nno+세기/ncn
말에	말/ncn+에/jca
독립된	독립/ncpa+되/xsv+ㄴ/etm
하나의	하나/ncn+의/jcm
학문	학문/ncn
분야로	분야/ncn+로/jca
자리잡은	자리/ncn+잡/pvg+은/etm
선사인류학	선사/ncn+인류/ncn+학/xsn
(	(/sl
고고학	고고/ncn+학/xsn
)	)/sr
은	은/jxc
화석으로	화석/ncn+으로/jca
남아	남/pvg+아/ecx
있는	있/px+는/etm
인류의	인류/ncn+의/jcm
뼈와	뼈/ncn+와/jcj
인류가	인류/ncn+가/jcs
만들어	만들/pvg+어/ecs
사용했던	사용/ncpa+하/xsv+었/ep+던/etm
생활	생활/ncn
도구들을	도구/ncn+들/xsn+을/jco
자료로	자료/ncn+로/jca
하여	하/pvg+어/ecs
인류가	인류/ncn+가/jcs
이룩해	이룩하/pvg+어/ecx
온	오/px+ㄴ/etm
문화를	문화/ncn+를/jco
연구한다	연구/ncpa+하/xsv+ㄴ다/ef
.	./sf
또	또/maj
,	,/sp
생물로서의	생물/ncn+로서/jca+의/jcm
인류와	인류/ncn+와/jcj
당시	당시/ncn
존재했던	존재/ncpa+하/xsv+었/ep+던/etm
동식물	동식물/ncn
,	,/sp
방하기와	방하/ncn+기/xsn+와/jcj
간빙기가	간빙/ncn+기/xsn+가/jcs
교차되었던	교차/ncpa+되/xsv+었/ep+던/etm
자연	자연/ncn
환경을	환경/ncn+을/jco
아는	알/pvg+는/etm
데에는	데/nbn+에/jca+는/jxc
고생물학	고/xp+생물/ncn+학/xsn
,	,/sp
지질학	지질/ncn+학/xsn
등	등/nbn
다른	다르/paa+ㄴ/etm
학문	학문/ncn
분야의	분야/ncn+의/jcm
도움을	도움/ncn+을/jco
받는다	받/pvg+는다/ef
.	./sf
그리고	그리고/maj
선사	선사/ncn
시대	시대/ncn
사람의	사람/ncn+의/jcm
생활에	생활/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
옛	옛/mma
기록에	기록/ncn+에/jca
나타나는	나타나/pvg+는/etm
내용과	내용/ncn+과/jcj
아프리카	아프리카/nq
,	,/sp
남아메리카	남아메리카/nq
,	,/sp
태평양	태평양/nq
연안	연안/ncn
군도에	군도/ncn+에/jca
살고	살/pvg+고/ecx
있는	있/px+는/etm
토착	토착/ncn
종족들의	종족/ncn+들/xsn+의/jcm
생활을	생활/ncn+을/jco
직접	직접/mag
현지	현지/ncn
조사하여	조사/ncpa+하/xsv+어/ecs
알게	알/pvg+게/ecx
된	되/px+ㄴ/etm
내용을	내용/ncn+을/jco
바탕으로	바탕/ncn+으로/jca
유추해	유추/ncpa+하/xsv+어/ecx
낸다	내/px+ㄴ다/ef
.	./sf
선사인류학은	선사/ncn+인류/ncn+학/xsn+은/jxc
이렇게	이렇/pad+게/ecs
모든	모든/mma
물질	물질/ncn
자료를	자료/ncn+를/jco
수집하고	수집/ncpa+하/xsv+고/ecc
,	,/sp
인접	인접/ncn
과학의	과학/ncn+의/jcm
도움을	도움/ncn+을/jco
얻으며	얻/pvg+으며/ecc
분류	분류/ncn
,	,/sp
비교하여	비교/ncpa+하/xsv+어/ecx
선사	선사/ncn
시대	시대/ncn
인류의	인류/ncn+의/jcm
생활상을	생활/ncn+상/ncn+을/jco
밝혀	밝히/pvg+어/ecx
낸다	내/px+ㄴ다/ef
.	./sf
곧	곧/maj
자연	자연/ncn
환경에	환경/ncn+에/jca
적응하는	적응/ncpa+하/xsv+는/etm
데	데/nbn
성공한	성공/ncpa+하/xsv+ㄴ/etm
생물로서의	생물/ncn+로서/jca+의/jcm
인간을	인간/ncn+을/jco
그들이	그/npp+들/xsn+이/jcs
남겨	남기/pvg+어/ecx
놓은	놓/px+은/etm
물질	물질/ncn
문화를	문화/ncn+를/jco
바탕으로	바탕/ncn+으로/jca
인류의	인류/ncn+의/jcm
역사를	역사/ncn+를/jco
알아	알/pvg+아/ecx
내려고	내/px+려고/ecs
하는	하/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
나아가	나아가/pvg+아/ecs
문자를	문자/ncn+를/jco
발명한	발명/ncpa+하/xsv+ㄴ/etm
뒤의	뒤/ncn+의/jcm
역사와	역사/ncn+와/jcj
연결시켜	연결/ncpa+시키/xsv+어/ecs
인류	인류/ncn
문화사의	문화/ncn+사/xsn+의/jcm
흐름을	흐름/ncn+을/jco
찾아	찾/pvg+아/ecx
내고자	내/px+고자/ecx
한다	하/px+ㄴ다/ef
.	./sf
박물관에	박물/ncn+관/xsn+에/jca
전시된	전시/ncpa+되/xsv+ㄴ/etm
선사	선사/ncn
시대의	시대/ncn+의/jcm
도구와	도구/ncn+와/jcj
유물들이	유물/ncn+들/xsn+이/jcs
출토되는	출토/ncpa+되/xsv+는/etm
유적지를	유적/ncn+지/xsn+를/jco
살펴보면	살피/pvg+어/ecx+보/px+면/ecs
,	,/sp
그때	그때/npd
사람들의	사람/ncn+들/xsn+의/jcm
경제	경제/ncn
활동과	활동/ncn+과/jcj
과학	과학/ncn
지식을	지식/ncn+을/jco
엿볼	엿보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
우리	우리/npp
나라에서	나라/ncn+에서/jca
발견되는	발견/ncpa+되/xsv+는/etm
선사	선사/ncn
유적을	유적/ncn+을/jco
보면	보/pvg+면/ecs
,	,/sp
구석기	구석기/ncn
유적은	유적/ncn+은/jxc
주로	주로/mag
동굴에서	동굴/ncn+에서/jca
,	,/sp
신석기	신석기/ncn
유적은	유적/ncn+은/jxc
강변이나	강변/ncn+이나/jcj
해안	해안/ncn
지대에서	지대/ncn+에서/jca
,	,/sp
그리고	그리고/maj
청동기	청동기/ncn
유적은	유적/ncn+은/jxc
야트막한	야트막하/paa+ㄴ/etm
구릉	구릉/ncn
지대로	지대/ncn+로/jca
옮아간다	옮/pvg+아/ecx+가/px+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
유적지는	유적/ncn+지/xsn+는/jxc
당시	당시/ncn
사람들이	사람/ncn+들/xsn+이/jcs
살았던	살/pvg+았/ep+던/etm
집자리인데	집/ncn+자리/ncn+이/jp+ㄴ데/ecs
,	,/sp
이것은	이것/npd+은/jxc
수렵	수렵/ncn
,	,/sp
채취	채취/ncn
위주의	위주/ncn+의/jcm
생활에서	생활/ncn+에서/jca
농경과	농경/ncn+과/jcj
정착	정착/ncn
생활을	생활/ncn+을/jco
하게	하/pvg+게/ecx
되면서	되/px+면서/ecs
그에	그/npd+에/jca
맞는	맞/pvg+는/etm
곳을	곳/ncn+을/jco
찾아	찾/pvg+아/ecs
집을	집/ncn+을/jco
마련하고	마련/ncpa+하/xsv+고/ecc
살았음을	살/pvg+았/ep+ㅁ/etn+을/jco
보여	보이/pvg+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
또한	또한/maj
도구도	도구/ncn+도/jxc
수렵	수렵/ncn
,	,/sp
어로에	어로/ncn+에/jca
필요한	필요/ncpa+하/xsv+ㄴ/etm
도구에서	도구/ncn+에서/jca
신석기	신석기/ncn
시대부터는	시대/ncn+부터/jxc+는/jxc
농사	농사/ncn
도구가	도구/ncn+가/jcs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
집자리에서	집/ncn+자리/ncn+에서/jca
볼	보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
저장용	저장/ncn+용/xsn
구덩이나	구덩이/ncn+나/jcj
크고	크/paa+고/ecc
작은	작/paa+ㄴ/etm
토기들을	토기/ncn+들/xsn+을/jco
농사지어	농사/ncn+짓/pvg+어/ecs
거두어들인	거두/pvg+어/ecx+들이/px+ㄴ/etm
곡물을	곡물/ncn+을/jco
식량과	식량/ncn+과/jcj
다음	다음/ncn
해	해/ncn
농사를	농사/ncn+를/jco
위한	위하/pvg+ㄴ/etm
씨앗으로	씨앗/ncn+으로/jca
갈무리하고	갈무리/ncpa+하/xsv+고/ecx
있음을	있/px+ㅁ/etn+을/jco
보여	보이/pvg+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
청동기	청동기/ncn
시대에는	시대/ncn+에/jca+는/jxc
석기	석기/ncn
농기구가	농기구/ncn+가/jcs
전보다	전/ncn+보다/jxc
훨씬	훨씬/mag
다양해지고	다양/ncps+하/xsm+어/ecx+지/px+고/ecc
,	,/sp
청동제	청동제/ncn
칼이나	칼/ncn+이나/jcj
창	창/ncn
등	등/nbn
금속기가	금속기/ncn+가/jcs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
청동기	청동기/ncn
유물은	유물/ncn+은/jxc
대체로	대체로/mag
지배자의	지배자/ncn+의/jcm
무덤에	무덤/ncn+에/jca
껴묻거리로	껴묻거리/ncn+로/jca
묻힌	묻히/pvg+ㄴ/etm
의장품들이어서	의장품/ncn+들/xsn+이/jp+어서/ecs
,	,/sp
청동기가	청동기/ncn+가/jcs
실생활에	실생활/ncn+에/jca
쓰였던	쓰이/pvg+었/ep+던/etm
도구가	도구/ncn+가/jcc
아니라	아니/paa+라/ef
,	,/sp
지배자들의	지배자/ncn+들/xsn+의/jcm
권위를	권위/ncn+를/jco
과시하는	과시/ncpa+하/xsv+는/etm
용도였음을	용도/ncn+이/jp+었/ep+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
생활에	생활/ncn+에/jca
필요한	필요/ncpa+하/xsv+ㄴ/etm
여러	여러/mma
가지	가지/nbu
도구를	도구/ncn+를/jco
계속	계속/mag
만들어	만들/pvg+어/ecx
내고	내/px+고/ecc
발전시켜	발전/ncpa+시키/xsv+어/ecx
온	오/px+ㄴ/etm
것은	것/nbn+은/jxc
,	,/sp
인류가	인류/ncn+가/jcs
개개인이	개개인/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
집단을	집단/ncn+을/jco
이루고	이루/pvg+고/ecx
살면서	살/pvg+면서/ecc
공동으로	공동/ncn+으로/jca
일하고	일/ncn+하/pvg+고/ecc
생활하는	생활/ncpa+하/xsv+는/etm
가운데	가운데/ncn
얻은	얻/pvg+은/etm
경험과	경험/ncn+과/jcj
지식을	지식/ncn+을/jco
서로	서로/mag
말하여	말/ncpa+하/xsv+어/ecc
함께	함께/mag
나눈	나누/pvg+ㄴ/etm
결과이다	결과/ncn+이/jp+다/ef
.	./sf
자연	자연/ncn
환경에	환경/ncn+에/jca
적응하고	적응/ncpa+하/xsv+고/ecc
또	또/maj
이용하는	이용/ncpa+하/xsv+는/etm
활기차게	활기/ncn+차/pvg+게/ecs
생활해	생활/ncpa+하/xsv+어/ecx
가는	가/px+는/etm
긴	기/paa+ㄴ/etm
과정에서	과정/ncn+에서/jca
인류는	인류/ncn+는/jxc
곧추서서	곧추서/pvg+어서/ecs
걷게	걷/pvg+게/ecx
되었고	되/px+었/ep+고/ecc
,	,/sp
두개골	두개골/ncn
용량이	용량/ncn+이/jcs
커졌으며	크/paa+어/ecx+지/px+었/ep+으며/ecs
,	,/sp
손	손/ncn
,	,/sp
가운데에서도	가운데/ncn+에서/jca+도/jxc
특히	특히/mag
엄지와	엄지/ncn+와/jcj
검지손가락이	검지/ncn+손가락/ncn+이/jcs
발달하게	발달/ncpa+하/xsv+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
우리가	우리/npp+가/jcs
역사의	역사/ncn+의/jcm
시작으로서	시작/ncn+으로서/jca
인류의	인류/ncn+의/jcm
삶에	삶/ncn+에/jca
대하여	대하/pvg+어/ecs
알고자	알/pvg+고자/ecx
한다면	하/px+ㄴ다면/ecs
,	,/sp
구석기	구석기/ncn
시대	시대/ncn
,	,/sp
신석기	신석기/ncn
시대로	시대/ncn+로/jca
시작하는	시작/ncpa+하/xsv+는/etm
역사책의	역사/ncn+책/ncn+의/jcm
첫	첫/mma
장에서	장/nbu+에서/jca
그저	그저/mag
유적	유적/ncn
,	,/sp
유물의	유물/ncn+의/jcm
이름을	이름/ncn+을/jco
아는	알/pvg+는/etm
데	데/nbn
그쳐서는	그치/pvg+어서/ecs+는/jxc
안	안/mag
된다	되/pvg+ㄴ다/ef
.	./sf
나아가	나아가/pvg+아/ecs
그러한	그러하/pad+ㄴ/etm
생활	생활/ncn
도구를	도구/ncn+를/jco
만들어	만들/pvg+어/ecs
사용하고	사용/ncpa+하/xsv+고/ecc
,	,/sp
거기에	거기/npd+에/jca
살았던	살/pvg+았/ep+던/etm
사람들	사람/ncn+들/xsn
,	,/sp
곧	곧/maj
그들이	그/npp+들/xsn+이/jcs
이루어	이루/pvg+어/ecx
낸	내/px+ㄴ/etm
사회	사회/ncn
단계	단계/ncn
그리고	그리고/maj
그때부터의	그때/npd+부터/jxc+의/jcm
역사	역사/ncn
발전의	발전/ncn+의/jcm
의미에	의미/ncn+에/jca
대하여	대하/pvg+어/ecs
생각해	생각/ncpa+하/xsv+어/ecx
보아야	보/px+아야/ecx
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
'	'/sl
홍익인간	홍익인간/ncn
'	'/sr
에	에/jca
담긴	담기/pvg+ㄴ/etm
뜻은	뜻/ncn+은/jxc
?	?/sf
단군	단군/nq
신화의	신화/ncn+의/jcm
해석	해석/ncn
우리는	우리/npp+는/jxc
모두	모두/mag
한	한/nnc
핏줄을	핏줄/ncn+을/jco
이어받은	잇/pvg+어/ecs+받/pvg+은/etm
단군의	단군/nq+의/jcm
자손이라는	자손/ncn+이/jp+라는/etm
말을	말/ncn+을/jco
많이	많/paa+이/xsa
한다	하/pvg+ㄴ다/ef
.	./sf
맨	맨/mma
처음	처음/ncn
조상인	조상/ncn+이/jp+ㄴ/etm
단군	단군/nq
할아버지의	할아버지/ncn+의/jcm
아버지는	아버지/ncn+는/jxc
하늘신의	하늘/ncn+신/ncn+의/jcm
아들인	아들/ncn+이/jp+ㄴ/etm
환웅이고	환웅/nq+이/jp+고/ecc
,	,/sp
어머니는	어머니/ncn+는/jxc
쑥과	쑥/ncn+과/jcj
마늘만을	마늘/ncn+만/jxc+을/jco
먹는	먹/pvg+는/etm
고통을	고통/ncn+을/jco
이겨	이기/pvg+어/ecx
내고	내/px+고/ecc
사람이	사람/ncn+이/jcc
된	되/pvg+ㄴ/etm
