<tdmsfile>


자연이	자연/ncn+이/jcs
연결되어	연결/ncpa+되/xsv+어/ecx
있는데	있/px+는데/ecs
다른	다르/paa+ㄴ/etm
불순물이	불순/ncn+물/xsn+이/jcs
들어가게	들/pvg+어/ecs+가/pvg+게/ecs
되면	되/pvg+면/ecs
그	그/mmd
규칙성이	규칙/ncn+성/xsn+이/jcs
깨지게	깨/pvg+어/ecx+지/px+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
그렇게	그렇/pad+게/ecs
되면	되/pvg+면/ecs
비누와	비누/ncn+와/jcj
물이	물/ncn+이/jcs
서로	서로/mag
잡아당겨	잡/pvg+아/ecs+당기/pvg+어/ecs
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
커다란	커다랗/paa+ㄴ/etm
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
없게	없/paa+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
비누를	비누/ncn+를/jco
너무	너무/mag
적게	적/paa+게/ecs
풀거나	풀/pvg+거나/ecc
너무	너무/mag
많이	많/paa+이/xsa
풀어도	풀/pvg+어도/ecs
비눗방울은	비눗방울/ncn+은/jxc
잘	잘/mag
안	안/mag
만들어집니다	만들/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf
물에	물/ncn+에/jca
비누를	비누/ncn+를/jco
조금씩	조금/ncn+씩/xsn
녹이면서	녹이/pvg+면서/ecs
비눗방울이	비눗방울/ncn+이/jcs
언제	언제/mag
제일	제일/mag
잘	잘/mag
만들어지는가를	만들/pvg+어/ecx+지/px+는가/ef+를/jco
조사해	조사/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
비누는	비누/ncn+는/jxc
물에	물/ncn+에/jca
잘	잘/mag
녹지만	녹/pvg+지만/ecs
,	,/sp
비누를	비누/ncn+를/jco
가루로	가루/ncn+로/jca
만들어	만들/pvg+어/ecs
뜨거운	뜨겁/paa+ㄴ/etm
물에	물/ncn+에/jca
저어가면서	젓/pvg+어/ecx+가/px+면서/ecs
녹이면	녹이/pvg+면/ecs
더	더/mag
빨리	빠르/paa+이/xsa
녹습니다	녹/pvg+습니다/ef
.	./sf
특히	특히/mag
비누는	비누/ncn+는/jxc
고대	고대/ncn
메소포타미아와	메소포타미아/nq+와/jcj
이집트의	이집트/nq+의/jcm
기록에도	기록/ncn+에/jca+도/jxc
나타나는	나타나/pvg+는/etm
것으로	것/nbn+으로/jca
보아	보/pvg+아/ecs
무척	무척/mag
오래	오래/mag
전인	전/ncn+이/jp+ㄴ/etm
기원전	기원/ncn+전/ncn
1000	1000/nnc
년부터	년/nbu+부터/jxc
사용했을	사용/ncpa+하/xsv+었/ep+을/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
근대에	근대/ncn+에/jca
와서	오/pvg+아서/ecs
처음	처음/mag
공업적으로	공업/ncn+적/xsn+으로/jca
비누를	비누/ncn+를/jco
만든	만들/pvg+ㄴ/etm
사람은	사람/ncn+은/jxc
셔브뢸	셔브뢸/nq
(	(/sl
Chevreul	Chevreul/f
,	,/sp
1786	1786/nnc
이라는	이/jp+라/ef+는/etm
프랑스의	프랑스/nq+의/jcm
과학자입니다	과학/ncn+자/xsn+이/jp+ㅂ니다/ef
.	./sf
그는	그/npp+는/jxc
수치와	수치/ncn+와/jcj
지방을	지방/ncn+을/jco
섞은	섞/pvg+은/etm
것에	것/nbn+에/jca
해초의	해초/ncn+의/jcm
재와	재/ncn+와/jcj
석회를	석회/ncn+를/jco
같은	같/paa+은/etm
양으로	양/ncn+으로/jca
넣어	넣/pvg+어/ecs
만든	만들/pvg+ㄴ/etm
잿물을	잿물/ncn+을/jco
부어	붓/pvg+어/ecs
넣어서	넣/pvg+어서/ecs
비누를	비누/ncn+를/jco
만들었습니다	만들/pvg+었/ep+습니다/ef
.	./sf
이렇게	이렇/pad+게/ecs
출발한	출발/ncpa+하/xsv+ㄴ/etm
비누는	비누/ncn+는/jxc
우리	우리/npp
생활에	생활/ncn+에/jca
없어서는	없/paa+어서/ecs+는/jxc
안	안/mag
될	되/pvg+ㄹ/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
것이	것/nbn+이/jcc
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
1	1/nnc
차	차/xsn
세계대전중에	세계/ncn+대전/ncn+중/nbn+에/jca
지방	지방/ncn
,	,/sp
즉	즉/mag
이	이/mmd
기름이	기름/ncn+이/jcs
화약재료로	화약/ncn+재료/ncn+로/jca
쓰이면서	쓰이/pvg+면서/ecs
많이	많/paa+이/xsa
모자라게	모자라/pvg+게/ecs
되자	되/pvg+자/ecs
,	,/sp
독일에서	독일/nq+에서/jca
최초로	최초/ncn+로/jca
대용품으로	대용/ncn+품/xsn+으로/jca
합성세제를	합성/ncn+세제/ncn+를/jco
개발했습니다	개발/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
우리나라에서	우리/npp+나라/ncn+에서/jca
합성세제를	합성/ncn+세제/ncn++를/jco
사용하기	사용/ncpa+하/xsv+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
1967	1967/nnc
년부터이고	년/nbu+부터/jxc+이/jp+고/ecs
,	,/sp
세탁기의	세탁/ncn+기/xsn+의/jcm
보급과	보급/ncn+과/jct
함께	함께/mag
합성세제의	합성/ncn+세제/ncn++의/jcm
사용량도	사용/ncn+량/ncn+도/jxc
급격히	급격/ncn+히/xsa
증가	증가/ncn
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
인류가	인류/ncn+가/jcs
사용한	사용/ncpa+하/xsv+ㄴ/etm
지	지/nbn
수천	수천/nnc
년이	년/nbu+이/jcs
흘렀으니	흐르/pvg+었/ep+으니/ecs
환경을	환경/ncn+을/jco
오염시킨다거나	오염/ncpa+시키/xsv+ㄴ다/ef+거나/ecc
인체에	인체/ncn+에/jca
해롭다는	해롭/pvg+다/ef+는/etm
것은	것/nbn+은/jxc
찾아보기	찾/pvg+아/ecx+보/px+기/etn
어렵습니다	어렵/paa+습니다/ef
.	./sf
이것들의	이것/npd+들/xsn+의/jcm
독성은	독성/ncn+은/jxc
익히	익히/mag
알려져	알리/pvg+어/ecx+지/px+어/ecx
있어	있/px+어/ecs
강을	강/ncn+을/jco
오염시키는	오염/ncpa+시키/xsv+는/etm
주범으로	주범/ncn+으로/jca
등장하게	등장/ncpa+하/xsv+게/ecs
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
세제의	세제/ncn+의/jcm
독성에	독성/ncn+에/jca
대하여	대하/pvg+여/ecs
주방용	주방/ncn+용/xsn
세제를	세제/ncn+를/jco
바퀴벌레에	바퀴벌레/ncn+에/jca
뿌리면	뿌리/pvg+면/ecs
그	그/mmd
자리에서	자리/ncn+에서/jca
죽는다	죽/pvg+는다/ef
라든지	라/ef+든지/ecc
설거지	설거지/ncn
물을	물/ncn+을/jco
잔디에	잔디/ncn+에/jca
뿌렸더니	뿌리/pvg+었/ep+더니/ecs
잔디는	잔디/ncn+는/jxc
물론	물론/mag
그곳에	그/mmd+곳/ncn+에/jca
나와	나오/pvg+아/ecx
있던	있/px+던/etm
지렁이까지도	지렁이/ncn+까지/jxc+도/jxc
죽었다	죽/pvg+었/ep+다/ef
라는	라/ef+는/etm
말을	말/ncn+을/jco
들어	듣/pvg+어/ecx
본	보/px+ㄴ/etm
적이	적/nbn+이/jcs
있습니까	있/paa+습니까/ef
?	?/sf
이처럼	이/npd+처럼/jca
합성세제의	합성/ncn+세제/ncn+의/jcm
독성은	독성/ncn+은/jxc
생각보다	생각/ncn+보다/jca
심각하다는	심각/ncps+하/xsm+다/ef+는/etm
것을	것/nbn+을/jco
우리	우리/npp
주위에서	주위/ncn+에서/jca
일어나는	일어나/pvg+는/etm
일에	일/ncn+에/jca
조금만	조금/ncn+만/jxc
관심을	관심/ncn+을/jco
기울이면	기울이/pvg+면/ecs
쉽게	쉽/paa+게/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
이렇게	이렇/pad+게/ecs
강력한	강력/ncps+하/xsm+ㄴ/etm
독성은	독성/ncn+은/jxc
계면활성제를	계면/ncn+활성/ncn+제/xsn+를/jco
농약에	농약/ncn+에/jca
섞어	섞/pvg+어/ecs
뿌리면	뿌리/pvg+면/ecs
그	그/mmd
약효가	약효/ncn+가/jcs
오래	오래/mag
지속된다는	지속/ncpa+되/xsv+ㄴ다/ef+는/etm
농부의	농부/ncn+의/jcm
말을	말/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
보아도	보/px+아/ecs+도/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
비눗방울	비눗방울/ncn
놀이를	놀이/ncn+를/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
세제가	세제/ncn+가/jcs
이렇게	이렇/pad+게/ecs
위험하다니	위험/ncps+하/xsm+다니/ef
하고	하/pvg+고/ecs
놀라는	놀라/pvg+는/etm
사람도	사람/ncn+도/jxc
있겠지만	있/paa+겠/ep+지만/ecs
이것은	이것/npd+은/jxc
사실이랍니다	사실/ncn+이/jp+라/ef+ㅂ니다/ef
.	./sf
계면활성제의	계면/ncn+활성/ncn+제/xsn+의/jcm
강력한	강력/ncps+하/xsm+ㄴ/etm
세척력은	세척/ncn+력/xsn+은/jxc
옷이나	옷/ncn+이나/jcj
식기의	식기/ncn+의/jcm
때뿐만	때/ncn+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
피부보호막까지	피부/ncn+보호/ncn+막/ncn+까지/jxc
녹여내는	녹이/pvg+어/ecx+내/px+는/etm
등	등/nbn
피부에	피부/ncn+에/jca
악영향을	악영향/ncn+을/jco
끼칩니다	끼치/pvg+ㅂ니다/ef
.	./sf
또	또/maj
옷	옷/ncn
,	,/sp
식기	식기/ncn
,	,/sp
머리카락	머리카락/ncn
등에	등/nbn+에/jca
남아	남/paa+아/ecs
몸으로	몸/ncn+으로/jca
들어가면	들/pvg+어/ecs+가/pvg+면/ecs
간장	간장/ncn
장애	장애/ncn
,	,/sp
생신	생신/ncn
장애	장애/ncn
,	,/sp
태아의	태아/ncn+의/jcm
발육부진	발육/ncn+부진/ncn
등을	등/nbn+을/jco
일으키며	일으키/pvg+며/ecs
머리카락을	머리카락/ncn+을/jco
가늘게	가늘/paa+게/ecx
하며	하/px+며/ecs
탈모현상을	탈모/ncn+현상/ncn+을/jco
촉진시킨다니	촉진/ncpa+시키/xsv+ㄴ다니/ef
놀랍죠	놀랍/paa+지/ef+요/jxf
?	?/sf
이미	이미/mag
1956	1956/nnc
년	년/nbu
로마에서	로마/nq+에서/jca
열린	열리/pvg+ㄴ/etm
국제암협의회에서	국제암협의회/nq+에서/jca
합성세제는	합성/ncn+세제/ncn++는/jxc
암을	암/ncn+을/jco
일으키는	일으키/pvg+는/etm
물질이라고	물질/ncn+이/jp+라/ef+고/jcr
공식발표했답니다	공식/ncn+발표/ncpa+하/xsv+었/ep+다/ef+ㅂ니다/ef
.	./sf
다른	다르/paa+ㄴ/etm
면으로	면/nbn+으로/jca
계면활성제의	계면/ncn+활성/ncn+제/xsn+의/jcm
친유성	친유/ncn+성/xsn
부분은	부분/ncn+은/jxc
미생물에	미/xp+생물/ncn+에/jca
의한	의하/pvg+ㄴ/etm
분해도가	분해/ncn+도/xsn+가/jcs
매우	매우/mag
낮아	낮/paa+아/ecs
강이나	강/ncn+이나/jcj
호수로	호수/ncn+로/jca
들어가	들/pvg+어/ecs+가/pvg+아/ecs
거품을	거품/ncn+을/jco
일으켜	일으키/pvg+어/ecs
산소와	산소/ncn+와/jcj
햇빛을	햇빛/ncn+을/jco
차단합니다	차단/ncpa+하/xsv+ㅂ니다/ef
.	./sf
각	각/mma
가정마다	가정/ncn+마다/jxc
그	그/mmd
가정을	가정/ncn+을/jco
대표할	대표/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
음식이	음식/ncn+이/jcs
있듯이	있/paa+듯이/ecs
,	,/sp
여러분들도	여러분/npp+들/xsn+도/jxc
각자	각자/ncn
집으로	집/ncn+으로/jca
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
독특한	독특/ncps+하/xsm+ㄴ/etm
방법으로	방법/ncn+으로/jca
만들어	만들/pvg+어/ecx
보세요	보/px+시/ep+어/ef+요/jxf
.	./sf
재료에	재료/ncn+에/jca
따라	따르/pvg+아/ecs
비눗방울에	비눗방울/ncn+에/jca
미묘한	미묘/ncps+하/xsm+ㄴ/etm
차이가	차이/ncn+가/jcs
있는	있/paa+는/etm
것에	것/nbn+에/jca
주의해야	주의/ncps+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
부모	부모/ncn
곁에서	곁/ncn+에서/jca
잠시도	잠시/ncn+도/jxc
떨어지기를	떨어지/pvg+기/etn+를/jco
싫어하는	싫/paa+어/ecx+하/px+는/etm
아이들도	아이/ncn+들/xsn+도/jxc
조금	조금/mag
크면	크/paa+면/ecs
친구들과	친구/ncn+들/xsn+과/jct
노는	놀/pvg+는/etm
데	데/nbn
정신이	정신/ncn+이/jcs
팔려	팔리/pvg+어/ecs
밥먹는	밥/ncn+먹/pvg+는/etm
것도	것/nbn+도/jxc
잊고	잊/pvg+고/ecs
놀려고만	놀/pvg+려고/ecs+만/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf
혼자서	혼자/mag+서/jca
노는	놀/pvg+는/etm
경우	경우/ncn
아이들은	아이/ncn+들/xsn+은/jxc
자신의	자신/ncn+의/jcm
세계로	세계/ncn+로/jca
들어가서	들/pvg+어/ecs+가/pvg+서/ecs
큰	크/paa+ㄴ/etm
꿈을	꿈/ncn+을/jco
키웁니다	키우/pvg+ㅂ니다/ef
.	./sf
비눗방울이	비눗방울/ncn+이/jcs
날아가는	날/pvg+아/ecx+가/px+는/etm
모습에	모습/ncn+에/jca
반하기도	반하/pvg+기/etn+도/jxc
하고	하/pvg+고/ecs
어떤	어떤/mmd
때에는	때/ncn+에/jca+는/jxc
오색	오색/ncn
무지개	무지개/ncn
빛을	빛/ncn+을/jco
넋을	넋/ncn+을/jco
잃고	잃/pvg+고/ecs
보기도	보/pvg+기/etn+도/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf
잘못하다가	잘못/mag+하/xsv+다가/ecs
비눗물을	비눗물/ncn+을/jco
힘껏	힘껏/mag
빨아도	빨/pvg+아도/ecs
삼킬	삼키/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
그릇을	그릇/ncn+을/jco
주십시오	주/pvg+시/ep+ㅂ시오/ef
.	./sf
평소	평소/ncn
어린이가	어린이/ncn+가/jcs
물을	물/ncn+을/jco
마실	마시/pvg+ㄹ/etm
때	때/ncn
쓰는	쓰/pvg+는/etm
컵을	컵/ncn+을/jco
절대로	절대로/mag
사용해서는	사용/ncpa+하/xsv+어서/ecs+는/jxc
안	안/mag
됩니다	되/pvg+ㅂ니다/ef
.	./sf
빨대	빨대/ncn
중간에	중간/ncn+에/jca
공기	공기/ncn
구멍을	구멍/ncn+을/jco
두세	두세/nnc
개	개/nbu
뚫어	뚫/pvg+어/ecs
그	그/mmd
끝을	끝/ncn+을/jco
방사형으로	방사/ncn+형/xsn+으로/jca
쪼개면	쪼개/pvg+면/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
특히	특히/mag
독성이	독성/ncn+이/jcs
있는	있/paa+는/etm
비눗물은	비눗물/ncn+은/jxc
안전하게	안전/ncps+하/xsm+게/ecs
다룰	다루/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
지도해	지도/ncpa+하/xsv+어/ecx
주십시오	주/px+시/ep+ㅂ시오/ef
.	./sf
가능한	가능/ncps+하/xsm+ㄴ/etm
한	한/nbn
비누조각을	비누/ncn+조각/ncn+을/jco
작게	작/paa+게/ecs
만들어서	만들/pvg+어서/ecs
,	,/sp
아이가	아이/ncn+가/jcs
얼굴에	얼굴/ncn+에/jca
그것을	그것/npd+을/jco
뒤집어	뒤집/pvg+어/ecs
쓰는	쓰/pvg+는/etm
일이	일/ncn+이/jcs
없도록	없/paa+도록/ecs
비눗방울이	비눗방울/ncn+이/jcs
작게	작/paa+게/ecs
만들어지도록	만들/pvg+어/ecx+지/px+도록/ecs
하십시오	하/pvg+시/ep+ㅂ시오/ef
.	./sf
유치원에서	유치/ncn+원/xsn+에서/jca
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
때는	때/ncn+는/jxc
비눗물을	비눗물/ncn+을/jco
각각의	각각/ncn+의/jcm
컵에	컵/ncn+에/jca
따로	따로/mag
만들지	만들/pvg+지/ecx
않고	않/px+고/ecs
한꺼번에	한꺼번에/mag
많이	많/paa+이/xsa
만듭니다	만들/pvg+ㅂ니다/ef
.	./sf
20	20/nnc
l	l/su
부피의	부피/ncn+의/jcm
물과	물/ncn+과/jcj
