아들은	아들/ncn+은/jxc
월경이	월/nbu+경/xsn+이/jcc
될	되/pvg+ㄹ/etm
것이고	것/nbn+이/jp+고/ecs
그	그/mmd
다음	다음/ncn
해	해/ncn
장마철부터	장마/ncn+철/ncn+부터/jxc
여름에	여름/ncn+에/jca
걸쳐	걸치/pvg+어/ecs
젖을	젖/ncn+을/jco
떼지	떼/pvg+지/ecx
않으면	않/px+으면/ecs
안	안/mag
될텐데	되/pvg+ㄹ/etm+터/nbn+이/jp+ㄴ데/ecs
젖	젖/ncn
떼기에	떼/pvg+기/etn+에/jca
실패하기	실패/ncpa+하/xsv+기/etn
쉬운	쉽/paa+ㄴ/etm
계절이므로	계절/ncn+이/jp+므로/ecs
혹시	혹시/mag
만일의	만일/ncn+의/jcm
경우	경우/ncn
불행한	불행/ncps+하/xsm+ㄴ/etm
일이라도	일/ncn+이라도/jxc
생긴다면	생기/pvg+ㄴ다/ef+면/ecs
그건	그거/npd+ㄴ/jxc
부모의	부모/ncn+의/jcm
책임이	책임/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이	것/nbn+이/jcc
아닌가	아니/ncn+ㄴ가/ef
.	./sf
20	nq[20/nno
세기의	세기/nbu+의/jcm
기수	기수/ncn]nq
(	(/sl
旗手	旗手/ncn
)	)/sr
라는	라/ef+는/etm
소설에는	소설/ncn+에/jca+는/jxc
'	'/sl
태어나서	태어나/pvg+서/ecs
미안하다	미안/ncps+하/xsm+다/ef
'	'/sr
는	는/jxc
부제가	부제/ncn+가/jcs
붙어	붙/pvg+어/ecx
있는데	있/px+는데/ecs
현대의	현대/ncn+의/jcm
대다수의	대/xp+다수/ncn+의/jcm
부부는	부부/ncn+는/jxc
성애	성애/ncn
(	(/sl
性愛	性愛/ncn
)	)/sr
와	와/jcj
수태를	수태/ncn+를/jco
분명히	분명/ncn+히/xsa
구별하는	구별/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
이제는	이제/ncn+는/jxc
서로가	서로/ncn+가/jcs
사랑하고	사랑/ncpa+하/xsv+고/ecx
있어도	있/px+어도/ecs
출산의	출산/ncn+의/jcm
의지가	의지/ncn+가/jcs
없는	없/paa+는/etm
한	한/nbn
결코	결코/mag
출산하지	출산/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
시대가	시대/ncn+가/jcc
된	되/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
현대의	현대/ncn+의/jcm
엄마는	엄마/ncn+는/jxc
혹시	혹시/mag
이상아라도	이상/ncn+아/xsn+라도/jxc
생긴다면	생기/pvg+ㄴ다/ef+면/ecs
'	'/sl
너를	너/npp+를/jco
낳아서	낳/pvg+아서/ecs
미안하다	미안/ncps+하/xsm+다/ef
'	'/sr
라고	라고/jcr
태어난	태어나/pvg+ㄴ/ecs
아이에게	아이/ncn+에게/jca
사과하고픈	사과/ncpa+하/xsv+고픈/ecs
심정일	심정/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
울분은	울분/ncn+은/jxc
벙어리	벙어리/ncn
자식을	자식/ncn+을/jco
가진	가지/pvg+ㄴ/etm
딸에게	딸/ncn+에게/jca
'	'/sl
낳지	낳/pvg+지/ecx
않았으면	않/px+았/ep+으면/ecs
좋았을	좋/paa+았/ep+을/etm
것	것/nbn
'	'/sr
이라고	이/jp+라/ef+고/jcr
한탄하던	한탄/ncpa+하/xsv+던/etm
영화	영화/ncn
속의	속/ncn+의/jcm
할머니가	할머니/ncn+가/jcs
한	하/pvg+ㄴ/etm
말과	말/ncn+과/jct
비슷하지만	비슷/ncps+하/xsm+지만/ecs
그것과는	그것/npd+과/jct+는/jxc
비교가	비교/ncn+가/jcc
되지	되/pvg+지/ecx
않을	않/px+을/etm
정도로	정도/ncn+로/jca
강렬하다	강렬/ncps+하/xsm+다/ef
.	./sf
딸이	딸/ncn+이/jcs
태어났을	태어나/pvg+았/ep+을/etm
무렵은	무렵/nbn+은/jxc
수태	수태/ncn
조절의	조절/ncn+의/jcm
기술이	기술/ncn+이/jcs
현재처럼	현재/ncn+처럼/jca
일반에게	일반/ncn+에게/jca
보급이	보급/ncn+이/jcc
되지	되/pvg+지/ecx
않았던	않/px+았/ep+던/etm
관계로	관계/ncn+로/jca
'	'/sl
낳지	낳/pvg+지/ecx
않았으면	않/px+았/ep+으면/ecs
좋았을	좋/paa+았/ep+을/etm
것을	것/nbn+을/jco
'	'/sr
이라고는	이/jp+라/ef+고/jcr+는/jxc
했지만	하/pvg+었/ep+지만/ecs
그	그/mmd
당시에는	당시/ncn+에/jca+는/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
일이라는	일/ncn+이/jp+라/ef+는/etm
단념이	단념/ncn+이/jcs
포함되어	포함/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
까닭이다	까닭/ncn+이/jp+다/ef
.	./sf
자식에	자식/ncn+에/jca
대한	대하/pvg+ㄴ/etm
책임을	책임/ncn+을/jco
다하기	다하/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
심신에	심신/ncn+에/jca
조금이라도	조금/ncn+이라도/jxc
이상을	이상/ncn+을/jco
가진	가지/pvg+ㄴ/etm
아기를	아기/ncn+를/jco
낳는	낳/pvg+는/etm
것이	것/nbn+이/jcs
부모의	부모/ncn+의/jcm
책임이라면	책임/ncn+이/jp+라면/ecs
,	,/sp
그리고	그리고/maj
그	그/mmd
책임을	책임/ncn+을/jco
면하려고	면하/pvg+려고/ecs
한다면	하/px+ㄴ다면/ecs
,	,/sp
이미	이미/mag
아기가	아기/ncn+가/jcs
태어난	태어나/pvg+ㄴ/etm
후에는	후/ncn+에/jca+는/jxc
때가	때/ncn+가/jcs
늦었고	늦/paa+었/ep+고/ecc
또한	또한/maj
임심한	임심/ncpa+하/xsv+ㄴ/etm
뒤라	뒤/ncn+라/jxc
하더라도	하/pvg+더라도/ecs
역시	역시/mag
늦는	늦/paa+는/etm
결과가	결과/ncn+가/jcc
되어	되/pvg+어/ecs
이미	이미/mag
그	그/mmd
책임을	책임/ncn+을/jco
회피할	회피/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없게	없/paa+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
그러기에	그러/pad+기/etn+에/jca
태어난	태어나/pvg+ㄴ/etm
아기에게	아기/ncn+에게/jca
미안하다고	미안/ncps+하/xsm+다/ef+고/jcr
사과하기	사과/ncpa+하/xsv+기/etn
싫거든	싫/paa+거든/ecs
결혼	결혼/ncn
전	전/ncn
,	,/sp
상대와	상대/ncn+와/jct
자신의	자신/ncn+의/jcm
유전적	유전/ncn+적/xsn
소질을	소질/ncn+을/jco
충분히	충분/ncn+히/xsa
검토하지	검토/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
안된다	안되/pvg+ㄴ다/ef
.	./sf
직장에서	직장/ncn+에서/jca
알게	알/pvg+게/ecx
된	되/px+ㄴ/etm
남성과	남성/ncn+과/jct
결혼	결혼/ncn
약속을	약속/ncn+을/jco
했는데	하/pvg+었/ep+는데/ecs
그	그/mmd
후	후/ncn
그의	그/npp+의/jcm
부친이	부친/ncn+이/jcs
정신병으로	정신/ncn+병/ncn+으로/jca
사망한	사망/ncpa+하/xsv+ㄴ/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
태아날	태/pvg+아/ecx+나/px+ㄹ/etm
아기에	아기/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
심각하게	심각/ncps+하/xsm+게/ecs
걱정을	걱정/ncn+을/jco
하면서	하/pvg+면서/ecs
자기	자기/npp
배우자에게	배우/ncn+자/xsn+에게/jca
걸릴	걸리/pvg+ㄹ/etm
위험이	위험/ncn+이/jcs
있는	있/paa+는/etm
분열병에	분열/ncn+병/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
왜	왜/mag
걱정을	걱정/ncn+을/jco
않는	않/px+는/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
누구나	누구/npp+나/jxc
쉽게	쉽/paa+게/ecx
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
일이지만	일/ncn+이/jp+지만/ecs
병이	병/ncn+이/jcs
유전성일	유전/ncn+성/xsn+이/jp+ㄹ/etm
경우	경우/ncn
환자와	환자/ncn+와/jct
혈연이	혈연/ncn+이/jcs
가까울수록	가깝/paa+ㄹ수록/ecs
유전의	유전/ncn+의/jcm
위험이	위험/ncn+이/jcs
크다	크/paa+다/ef
.	./sf
그와	그/npp+와/jct
결혼할	결혼/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
,	,/sp
태어날	태어나/pvg+ㄹ/etm
아기는	아기/ncn+는/jxc
환자의	환자/ncn+의/jcm
손자가	손자/ncn+가/jcc
되니	되/pvg+니/ecs
그만큼	그/npd+만큼/jxc
환자와는	환자/ncn+와/jct+는/jxc
혈연이	혈연/ncn+이/jcs
멀고	멀/paa+고/ecc
유전의	유전/ncn+의/jcm
위험성도	위험/ncn+성/xsn+도/jxc
또한	또한/maj
극소해진다	극소/ncps+하/xsm+어/ecx+지/px+ㄴ다/ef
.	./sf
통계에	통계/ncn+에/jca
의하면	의하/pvg+면/ecs
분열병	분열/ncn+병/ncn
환자의	환자/ncn+의/jcm
자식은	자식/ncn+은/jxc
10	10/nnc
명에	명/nbu+에/jca
한	한/nnc
명꼴이고	명/nbu+꼴/xsn+이/jp+고/ecc
손자는	손자/ncn+는/jxc
30	30/nnc
명	명/nbu
중	중/nbn
한	한/nnc
명꼴도	명/nbu+꼴/xsn+도/jxc
안된다	안되/paa+ㄴ다/ef
.	./sf
따라서	따라서/maj
A	A/f
양의	양/xsn+의/jcm
경우	경우/ncn
태어날	태어나/pvg+ㄹ/etm
아기에	아기/ncn+에/jca
대한	대하/pvg+ㄴ/etm
걱정보다도	걱정/ncn+보다/jca+도/jxc
먼저	먼저/mag
분열병의	분열/ncn+병/ncn+의/jcm
발병	발병/ncn
유전율이	유전/ncn+율/xsn+이/jcs
더	더/mag
큰	크/paa+ㄴ/etm
배우자를염려하지	배우/ncn+자/xsn+를/jco+염려/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
안될	안되/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여러	여러/mma
의견이	의견/ncn+이/jcs
나왔지만	나오/pvg+았/ep+지만/ecs
특히	특히/mag
재미있는	재미/ncn+있/paa+는/etm
것	것/nbn
두	두/nnc
가지가	가지/nbu+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
그	그/mmd
중	중/nbn
한	한/nnc
가지	가지/nbu
의견은	의견/ncn+은/jxc
부부란	부부/ncn+란/jxc
조합된	조합/ncpa+되/xsv+ㄴ/etm
것이니	것/nbn+이/jp+니/ecs
만일	만일/mag
남편이	남편/ncn+이/jcs
정신병에	정신/ncn+병/ncn+에/jca
걸려	걸리/pvg+어/ecs
불치임을	불치/ncn+이/jp+ㅁ/etn+을/jco
알게	알/pvg+게/ecx
되면	되/px+면/ecs
이혼할	이혼/ncpa+하/xsv+ㄹ/etm
방법이	방법/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
다른	다르/paa+ㄴ/etm
의견은	의견/ncn+은/jxc
,	,/sp
결혼	결혼/ncn
상대자는	상대/ncn+자/xsn+는/jxc
누	누/ncn
앞에	앞/ncn+에/jca
있어	있/paa+어/ecs
현재는	현재/ncn+는/jxc
정신병자가	정신/ncn+병/ncn+자/xsn+가/jcc
아니라는	아니/paa+라/ef+는/etm
게	거/nbn+이/jcs
확실하지만	확실/ncps+하/xsm+지만/ecs
자식을	자식/ncn+을/jco
낳아	낳/pvg+아/ecx
보지	보/px+지/ecx
않으면	않/px+으면/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
일이기에	일/ncn+이/jp+기/etn+에/jca
불안할	불안/ncps+하/xsm+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다는	없/paa+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
사랑을	사랑/ncn+을/jco
맹세한	맹세/ncpa+하/xsv+ㄴ/etm
상대가	상대/ncn+가/jcs
정신병에	정신/ncn+병/ncn+에/jca
걸릴지도	걸리/pvg+ㄹ지/ecs+도/jxc
모른다는	모르/pvg+ㄴ다/ef+는/etm
생각을	생각/ncn+을/jco
A	A/f
양은	양/xsn+은/jxc
상상조차	상상/ncn+조차/jxc
못할	못하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
분열병	분열/ncn+병/ncn
환자의	환자/ncn+의/jcm
대다수는	대/xp+다수/ncn+는/jxc
발병	발병/ncn
전부터	전/ncn+부터/jxc
특이한	특이/ncps+하/xsm+ㄴ/etm
성격적	성격/ncn+적/xsn
분열증상을	분열/ncn+증상/ncn+을/jco
나타낸다는	나타내/pvg+ㄴ다/ef+는/etm
것이다	것/npd+이/jp+다/ef
.	./sf
분열	분열/ncn
성격이	성격/ncn+이/jcs
강한	강하/paa+ㄴ/etm
사람은	사람/ncn+은/jxc
자신이	자신/ncn+이/jcs
분열병에	분열/ncn+병/ncn+에/jca
걸리기	걸리/pvg+기/etn
쉬울	쉽/paa+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
이	이/mmd
성격이	성격/ncn+이/jcs
유전하여	유전/ncpa+하/xsv+어/ecs
자손에게까지	자손/ncn+에게/jca+까지/jxc
분열병이	분열/ncn+병/ncn+이/jcs
걸리기	걸리/pvg+기/etn
쉽게	쉽/paa+게/ecx
한다	하/px+ㄴ다/ef
.	./sf
분열	분열/ncn
성격이란	성격/ncn+이/jp+란/jxc
한마디로	한마디/ncn+로/jca
분열	분열/ncn
성격이라고	성격/ncn+이/jp+라/ef+고/jcr
해도	하/pvg+어도/ecs
사람에	사람/ncn+에/jca
따라	따르/pvg+아/ecs
다소의	다소/ncn+의/jcm
차이가	차이/ncn+가/jcs
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
결코	결코/mag
단순하지만은	단순/ncps+하/xsm+지/ecx+만/jxc+은/jxc
않다	않/px+다/ef
.	./sf
이런	이런/mmd
성격의	성격/ncn+의/jcm
사람과	사람/ncn+과/jct
얘기를	얘기/ncn+를/jco
하여	하/pvg+어/ecs
느끼는	느끼/pvg+는/etm
것은	것/nbn+은/jxc
환자가	환자/ncn+가/jcs
마음의	마음/ncn+의/jcm
안정을	안정/ncn+을/jco
잃어	잃/pvg+어/ecx
불안하다는	불안/ncpa+하/xsv+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이렇다	이렇/pad+다/ecx
할	하/px+ㄹ/etm
기준을	기준/ncn+을/jco
정해서	정하/pvg+어서/ecs
행동하는	행동/ncpa+하/xsv+는/etm
경향이	경향/ncn+이/jcs
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
친절하게	친절/ncps+하/xsm+게/ecs
대해	대하/pvg+어/ecx
주어도	주/px+어도/ecs
의지가	의지/ncn+가/jcs
앞설	앞서/pvg+ㄹ/etm
뿐	뿐/nbn
마음의	마음/ncn+의/jcm
따뜻함은	따뜻/ncps+하/xsm+ㅁ/etn+은/jxc
느낄	느끼/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
분열	분열/ncn
성격자와	성격/ncn+자/xsn+와/jct
결혼하면	결혼/ncpa+하/xsv+면/ecs
분열	분열/ncn
성격을	성격/ncn+을/jco
가진	가지/pvg+ㄴ/etm
사람은	사람/ncn+은/jxc
한마디로	한마디/ncn+로/jca
말이	말/ncn+이/jcs
없고	없/paa+고/ecc
고독을	고독/ncn+을/jco
즐기며	즐기/pvg+며/ecc
다른	다르/paa+ㄴ/etm
사람과	사람/ncn+과/jct
화합이	화합/ncn+이/jcs
잘	잘/mag
되지	되/pvg+지/ecx
않으며	않/px+으며/ecc
교유관계도	교유/ncn+관계/ncn+도/jxc
원만치	원만/ncps+하/xsm+지/ecx
않고	않/px+고/ecc
설혹	설혹/mag
친구가	친구/ncn+가/jcs
있다	있/paa+다/ef
해도	하/pvg+어도/ecs
극히	극히/mag
소수일	소수/ncn+이/jp+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
또	또/maj
변덕이	변덕/ncn+이/jcs
심하고	심하/paa+고/ecc
농담을	농담/ncn+을/jco
하지만	하/pvg+지만/ecs
표정이	표정/ncn+이/jcs
굳어	굳/pvg+어/ecx
있고	있/px+고/ecc
진정으로	진정/ncn+으로/jca
기뻐하는	기쁘/paa+어/ecx+하/px+는/etm
기색이	기색/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
발병한	발병/ncpa+하/xsv+ㄴ/etm
후	후/ncn
이혼한다면	이혼/ncpa+하/xsv+ㄴ다/ef+면/ecs
이해가	이해/ncn+가/jcs
가지만	가/pvg+지만/ecs
과반수는	과반/ncn+수/ncn+는/jxc
발명	발명/ncn
전에	전/ncn+에/jca
이혼당한다	이혼/ncn+당하/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
분열	분열/ncn
성격의	성격/ncn+의/jcm
정도가	정도/ncn+가/jcs
지나치면	지나치/pvg+면/ecs
남편으로서	남편/ncn+으로서/jca
,	,/sp
또는	또는/maj
아내로서	아내/ncn+로서/jca
정말	정말/mag
참을	참/pvg+을/etm
수	수/nbn
없을	없/paa+을/etm
정도가	정도/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
