<tdmsfile>
sbs.hwp
외환당국	외환/ncn+당국/ncn
원화환율이	원화/ncn+환율/ncn+이/jcs
오늘도	오늘/ncn+도/jxc
폭등하면서	폭등/ncpa+하/xsv+면서/ecs
외환시장이	외환/ncn+시장/ncn+이/jcs
이틀째	이틀/ncn+째/xsn
마비됐습니다.	마비/ncpa+되/xsv+었/ep+습니다/ef+./sf
외환시장이	외환/ncn+시장/ncn+이/jcs
문을	문/ncn+을/jco
열자마자	열/pvg+자마자/ecs
환율이	환율/ncn+이/jcs
상한가까지	상한/ncn+가/xsn+까지/jxc
치솟자	치솟/pvg+자/ecs
거래는	거래/ncn+는/jxc
중단돼버렸습니다.	중단/ncpa+되/xsv+어/ecx+버리/px+었/ep+습니다/ef+./sf
멕시코나	멕시코/nq+나/jcj
동남아국가에나	동남아/nq+국가/ncn+에/jca+나/jxc
있을	있/paa+을/etm
법한	법/ncps+하/xsm+ㄴ/etm
외환	외환/ncn
위기상황이	위기/ncn+상황/ncn+이/jcs
지금	지금/mag
우리나라에서	우리/npp+나라/ncn+에서/jca
일어나고	일어나/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
이창섭기자가	이창섭/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
환율이	환율/ncn+이/jcs
이틀째	이틀/ncn+째/xsn
제한폭까지	제한/ncn+폭/ncn+까지/jxc
치솟았습니다.	치솟/pvg+았/ep+습니다/ef+./sf
오늘은	오늘/ncn+은/jxc
특히	특히/mag
외환시장이	외환/ncn+시장/ncn+이/jcs
문을	문/ncn+을/jco
열기가	열/pvg+기/etn+가/jcs
무섭게	무섭/paa+게/ecs
오늘	오늘/mag
하루종일	하루/ncn+종일/mag
오를	오르/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
상한선인	상한/ncn+선/ncn+이/jp+ㄴ/etm
천12원80전까지	천/ncn+12/nnc+원/nbu+80/nnc+전/nbu+까지/jxc
폭등하며	폭등/ncpa+하/xsv+며/ecs
외환시장의	외환/ncn+시장/ncn+의/jcm
기능을	기능/ncn+을/jco
곧바로	곧바로/mag
마비시켰습니다.	마비/ncpa+시키/xsv+었/ep+습니다/ef+./sf
사태가	사태/ncn+가/jcs
이	이/mmd
지경이	지경/ncn+이/jcs
되자	되/pvg+자/ecs
시중은행의	시중/ncn+은행/ncn+의/jcm
외환거래실은	외환/ncn+거래/ncpa+실/xsn+은/jxc
오히려	오히려/mag
한가한	한가/ncps+하/xsm+ㄴ/etm
모습입니다.	모습/ncn+이/jp+ㅂ니다/ef+./sf
일반	일반/ncn
고객들이	고객/ncn+들/xsn+이/jcs
은행창구에서	은행/ncn+창구/ncn+에서/jca
달러를	달러/ncn+를/jco
살	살/pvg+ㄹ/etm
때	때/ncn
적용되는	적용/ncpa+되/xsv+는/etm
환율도	환율/ncn+도/jxc
천27원99전으로	천/nnc+27/nnc+원/nbu+99/nnc+전/nbu+으로/jca
고시돼	고시/ncpa+되/xsv+어/ecs
천원선을	천/nnc+원/nbu+선/ncn+을/jco
넘은	넘/pvg+은/etm
지	지/nbn
8일만에	8/nnc+일/nbu+만/nbn+에/jca
천30원선에	천/nnc+30/nnc+원/nbu+선/ncn+에/jca
근접하고	근접/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
또	또/maj
내일아침	내일/ncn+아침/ncn
고시될	고시/ncpa+되/xsv+ㄹ/etm
매매기준율도	매매/ncn+기준/ncn+율/xsn+도/jxc
오늘보다	오늘/ncn+보다/jca
22원20전	22/nnc+원/nbu+20/nnc+전/nbu
오른	오르/pvg+ㄴ/etm
천12원80전으로	천/ncn+12/nnc+원/nbu+80/nnc+전/nbu+으로/jca
사상	사상/ncn
처음으로	처음/ncn+으로/jca
천원선을	천/nnc+원/nbu+선/ncn+을/jco
돌파하게	돌파/ncpa+하/xsv+게/ecs
됐습니다.	되/pvg+었/ep+습니다/ef+./sf
외환시장	외환/ncn+시장/ncn
관계자들은	관계/ncn+자/xsn+들/xsn+은/jxc
국내	국내/ncn
금융기관들의	금융/ncn+기관/ncn+들/xsn+의/jcm
외화자금부족과	외화/ncn+자금/ncn+부족/ncn+과/jcj
금융시장	금융/ncn+시장/ncn
불안에	불안/ncn+에/jca
따른	따르/pvg+ㄴ/etm
환율상승	환율/ncn+상승/ncn
기대심리가	기대/ncn+심리/ncn+가/jcs
확산돼	확산/ncpa+되/xsv+어/ecs
환율이	환율/ncn+이/jcs
또	또/mag
폭등한	폭등/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
분석했습니다.	분석/ncpa+하/xsv+었/ep+습니다/ef+./sf
외환당국은	외환/ncn+당국/ncn+은/jxc
오늘도	오늘/ncn+도/jxc
시장개입을	시장/ncn+개입/ncn+을/jco
포기한	포기/ncpa+하/xsv+ㄴ/etm
채	채/nbn
환율폭등을	환율/ncn+폭등/ncn+을/jco
지켜만	지키/pvg+어/ecx+만/jxc
봤습니다.	보/px+았/ep+습니다/ef+./sf
다만	다만/maj
달러결제가	달러/ncn+결제/ncn+가/jcs
꼭	꼭/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
기업들에	기업/ncn+들/xsn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
실수요	실수요/ncn
증명서류를	증명/ncn+서류/ncn+를/jco
제출받은	제출/ncpa+받/xsv+은/etm
뒤	뒤/nnc
달러를	달러/ncn+를/jco
공급했습니다.	공급/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/mmd
때문에	때문/nbn+에/jca
기업들은	기업/ncn+들/xsn+은/jxc
정상적인	정상/ncn+적/xsn+이/jp+ㄴ/etm
외환시장에서	외환/ncn+시장/ncn+에서/jca
달러를	달러/ncn+를/jco
구하지	구하/pvg+지/ecx
못하고	못하/px+고/ecs
그날	그/mmd+날/ncn
그날	그/mmd+날/ncn
필요한	필요/ncps+하/xsm+ㄴ/etm
달러를	달러/ncn+를/jco
당국의	당국/ncn+의/jcm
배급에만	배급/ncn+에/jca+만/jxc
매달리는	매달리/pvg+는/jxc
힘든	힘/ncn+들/paa+ㄴ/etm
상황이	상황/ncn+이/jcs
계속되고	계속/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
오늘	오늘/ncn
주식시장은	주식/ncn+시장/ncn+은/jxc
이와	이/npd+와/jct
같은	같/paa+은/etm
환율폭등으로	환율/ncn+폭등/ncn+으로/jca
오전	오전/ncn
한때	한때/ncn
지수가	지수/ncn+가/jcs
20포인트	20/nnc+포인트/nbu
이상	이상/ncn
떨어졌으나	떨어지/pvg+었/ep+으나/ecs
내일	내일/mag
발표될	발표/ncpa+되/xsv+ㄹ/etm
금융시장안정대책에	금융/ncn+시장/ncn+안정/ncn+대책/ncn+에/jca
대한	대하/pvg+ㄴ/etm
기대로	기대/ncn+로/jca
일반매수세가	일반/ncn+매수/ncn+세/ncn+가/jcs
살아나	살/pvg+아/ecx+나/px+아/ecs
종합주가지수는	종합/ncn+주가/ncn+지수/ncn+는/jxc
어제보다	어제/ncn+보다/jca
2.32포인트	2.32/nnc+포인트/nbu
떨어진	떨어지/pvg+ㄴ/etm
4백94.66으로	4백/nnc+94.66/nnc+으로/jca
마감됐습니다.	마감/ncpa+되/xsv+었/ep+습니다/ef+./sf
배달원	배달/ncn+원/xsn
강도	강도/ncn
가장	가장/ncn
한약	한약/ncn
배달을	배달/ncn+을/jco
왔다며	오/pvg+았/ep+다며/ecs
문을	문/ncn+을/jco
열게	열/pvg+게/ecx
한	하/px+ㄴ/etm
뒤	뒤/ncn
집주인을	집/ncn+주인/ncn+을/jco
흉기로	흉기/ncn+로/jca
위협해	위협/ncpa+하/xsv+어/ecs
금품을	금품/ncn+을/jco
빼앗은	빼앗/pvg+은/etm
20대	20/nnc+대/nbu
남자가	남자/ncn+가/jcs
경찰에	경찰/ncn+에/jca
붙잡혔습니다.	붙잡히/pvg+었/ep+습니다/ef+./sf
이	이/mmd
남자는	남자/ncn+는/jxc
고급승용차를	고급/ncn+승용/ncn+차/ncn+를/jco
타고	타/pvg+고/ecs
다니는	다니/pvg+는/etm
사람을	사람/ncn+을/jco
범행	범행/ncn
대상으로	대상/ncn+으로/jca
삼았습니다.	삼/pvg+았/ep+습니다/ef+./sf
주영민기자가	주영민/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
결혼자금을	결혼/ncpa+자금/ncn+을/jco
마련하기위해	마련/ncpa+하/xsv+기/etn+위해/ncn
돈	돈/ncn
많은	많/paa+은/etm
집을	집/ncn+을/jco
털기로	털/pvg+기/etn+로/jca
한	하/pvg+ㄴ/etm
26살	26/nnc+살/nbu
이승호씨.	이승호/nq+씨/xsn+./sf
이씨는	이/nq+씨/xsn+는/jxc
결혼을	결혼/ncn+을/jco
일주일	일/nnc+주일/nbu
앞	앞/ncn
둔	두/pvg+ㄴ/etm
지난	지나/pvg+ㄴ/etm
달	달/ncn
31일	31/nno+일/nbu
오전	오전/ncn
9시	9/nno+시/nbu
반쯤	반/nnc+쯤/xsn
집	집/ncn
근처	근처/ncn
아파트	아파트/ncn
주차장에서	주차/ncn+장/xsn+에서/jca
고급	고급/ncn
승용차	승용/ncn+차/ncn
한	한/nnc
대를	대/nbu+를/jco
골랐습니다.	고르/pvg+았/ep+습니다/ef+./sf
"이씨는	"/sl+이/nq+씨/xsn+는/jxc
고급	고급/ncn
승용차	승용/ncn+차/ncn
앞유리에	앞/ncn+유리/ncn+에/jca
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
스티커에서	스티커/ncn+에서/jca
주소를	주소/ncn+를/jco
확인한	확인/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
범행대상으로	범행/ncn+대상/ncn+으로/jca
삼았습니다.	삼/pvg+았/ep+습니다/ef+./sf
"	"/sl
이씨는	이/nq+씨/xsn+는/jxc
승용차	승용/ncn+차/ncn
주인	주인/ncn
46살	46/nnc+살/nbu
김	김/nq
모씨의	모/ncn+씨/xsn+의/jcm
집에	집/ncn+에/jca
찾아가	찾/pvg+아/ecs+가/pvg+아/ecs
한약배달을	한약/ncn+배달/ncn+을/jco
왔다며	오/pvg+았/ep+다며/ecs
벨을	벨/ncn+을/jco
눌렀습니다.	누르/pvg+었/ep+습니다/ef+./sf
남편이	남편/ncn+이/jcs
출근하는	출근/ncpa+하/xsv+는/etm
것까지	것/nbn+까지/jxc
확인한	확인/ncpa+하/xsv+ㄴ/etm
뒤였습니다.	뒤/ncn+이/jp+었/ep+습니다/ef+./sf
김씨가	김/nq+씨/xsn+가/jcs
문을	문/ncn+을/jco
열어주자	열/pvg+어/ecx+주/px+자/ecs
이씨는	이/npd+씨/xsn+는/jxc
강도로	강도/ncn+로/jca
돌변했습니다.	돌변/ncpa+하/xsv+었/ep+습니다/ef+./sf
이씨는	이/nq+씨/xsn+는/jxc
안방에	안방/ncn+에/jca
있던	있/paa+던/etm
현금	현금/ncn
2백만원을	2백만/nnc+원/nbu+을/jco
빼앗은	빼앗/pvg+은/etm
뒤	뒤/ncn
김씨를	김/nq+씨/xsn+를/jco
근처	근처/ncn
은행으로	은행/ncn+으로/jca
데리고	데리/pvg+고/ecx
가	가/pvg+아/ecs
170만원을	170만/nnc+원/nbu+을/jco
찾도록	찾/pvg+도록/ecs
했습니다.	하/pvg+었/ep+습니다/ef+./sf
또	또/maj
함께	함께/mag
택시를	택시/ncn+를/jco
타고	타/pvg+고/ecs
도봉동에	도봉동/nq+에/jca
있는	있/paa+는/etm
김씨	김/nq+씨/xsn
친구집에	친구/ncn+집/ncn+에/jca
가서	가/pvg+아서/ecs
150만원을	150만/nnc+원/nbu+을/jco
빌리게	빌리/pvg+게/ecx
한	하/px+ㄴ/etm
뒤	뒤/ncn
이마저	이/npd+마저/jxc
빼앗아	빼앗/pvg+아/ecs
달아났습니다.	달아나/pvg+았/ep+습니다/ef+./sf
김씨는	김/nq+씨/xsn+는/jxc
이씨가	이/nq+씨/xsn+가/jcs
딸의	딸/ncn+의/jcm
인적	인적/ncn
사항을	사항/ncn+을/jco
파악해	파악/ncpa+하/xsv+어/ecs
보복이	보복/ncn+이/jcs
두려워	두렵/paa+어/ecs
시키는	시키/pvg+는/etm
대로	대로/nbn
할	하/pvg+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없었다고	없/paa+었/ep+다/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
"애가	"/sl+애/ncn+가/jcs
걱정돼서	걱정/ncpa+되/xsv+어서/ecs
시키는	시키/pvg+는/etm
대로	대로/nbn
했다"	하/pvg+었/ep+다/ef+"/sl
범행	범행/ncn
사실을	사실/ncn+을/jco
숨긴	숨기/pvg+ㄴ/etm
채	채/nbn
지난	지나/pvg+ㄴ/etm
7일	7/nno+일/nbu
결혼한	결혼/ncpa+하/xsv+ㄴ/etm
이씨는	이/nq+씨/xsn+는/jxc
빼앗은	빼앗/pvg+은/etm
10만원짜리	10만/nnc+원/nbu+짜리/xsn
수표를	수표/ncn+를/jco
신부통장에	신부/ncn+통장/ncn+에/jca
넣어	넣/pvg+어/ecx
뒀다가	두/px+었/ep+다가/ecs
경찰에	경찰/ncn+에/jca
붙잡혔습니다.	붙잡히/pvg+었/ep+습니다/ef+./sf
에스비에스	에스비에스/nq
주영민입니다.	주영민/nq+이/jp+ㅂ니다/ef+./sf
IMF구제	IMF/f+구제/ncn
금융:신청촉구	금융/ncn+:/sf+신청/ncn+촉구/ncn
정부당국의	정부/ncn+당국/ncn+의/jcm
거듭된	거듭/ncpa+되/xsv+ㄴ/etm
부인에도	부인/ncn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecs
외환위기를	외환/ncn+위기/ncn+를/jco
벗어나기	벗어나/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
국제통화기금	국제통화기금/nq
즉	즉/maj
IMF에	IMF/f+에/jca
구제금융을	구제/ncn+금융/ncn+을/jco
신청해야	신청/ncpa+하/xsv+어야/ecx
한다는	하/px+ㄴ다/ef+는/etm
주장이	주장/ncn+이/jcs
공론화되고	공론/ncn+화/xsn+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
외환위기를	외환/ncn+위기/ncn+를/jco
벗어날	벗/pvg+어/ecx+나/px+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
되겠지만	되/pvg+겠/ep+지만/ecs
2류국가의	2/nno+류/nbu+국가/ncn+의/jcm
멍에를	멍에/ncn+를/jco
쓰야하는	쓰/pvg+야/ecx+하/px+는/etm
IMF구제금융,	IMF/f+구제/ncn+금융/ncn+,/sp
판단은	판단/ncn+은/jxc
신중해야	신중/ncps+하/xsm+어야/ecs
하겠지만	하/pvg+겠/ep+지만/ecs
실행은	실행/ncn+은/jxc
신속하게	신속/ncps+하/xsm+게/ecs
이뤄져야	이루/pvg+어/ecx+지/px+어야/ecs
할	하/pvg+ㄹ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
지적입니다.	지적/ncn+이/jp+ㅂ니다/ef+./sf
김기성기자가	김기성/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
IMF구제금융에	IMF/f+구제/ncn+금융/ncn+에/jca
대한	대하/pvg+ㄴ/etm
정부의	정부/ncn+의/jcm
공식적인	공식/ncn+적/xsn+이/jp+ㄴ/etm
입장은	입장/ncn+은/jxc
아직	아직/mag
부정적입니다.	부정/ncn+적/xsn+이/jp+ㅂ니다/ef+./sf
정의동	정의동/nq
재정경제원	재정경제원/nq
대변인은	대변/ncn+인/xsn+은/jxc
오늘	오늘/ncn
현단계에서는	현/mma+단계/ncn+에서/jca+는/jxc
IMF구제금융을	IMF/f+구제/ncn+금융/ncn+을/jco
신청할	신청/ncpa+하/xsv+ㄹ/etm
상황이	상황/ncn+이/jcs
아니라고	아니/paa+라/ef+고/jcr
다시	다시/mag
한번	한/nnc+번/nbu
확인했습니다.	확인/ncpa+하/xsv+었/ep+습니다/ef+./sf
정부의	정부/ncn+의/jcm
이러한	이러하/pad+ㄴ/etm
입장은	입장/ncn+은/jxc
내일	내일/mag
발표될	발표/ncpa+되/xsv+ㄹ/etm
금융시장	금융/ncn+시장/ncn
안정대책에	안정/ncn+대책/ncn+에/jca
마지막	마지막/ncn
희망을	희망/ncn+을/jco
걸고	걸/pvg+고/ecx
있기	있/px+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
금융시장	금융/ncn+시장/ncn
안정대책으로	안정/ncn+대책/ncn+으로/jca
외국금융기관이	외국/ncn+금융/ncn+기관/ncn+이/jcs
자금지원을	자금/ncn+지원/ncn+을/jco
재개한다면	재개/ncpa+하/xsv+ㄴ다면/ecs
구제금융을	구제/ncpa+금융/ncn+을/jco
비껴갈	비끼/pvg+어/ecx+가/px+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
계산입니다.	계산/ncn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
구제금융이	구제/ncpa+금융/ncn+이/jcs
불가피하다고	불/xp+가피/ncps+하/xsm+다/ef+고/jcr
생각하는	생각/ncpa+하/xsv+는/etm
경제전문가들의	경제/ncn+전문/ncn+가/xsn+들/xsn+의/jcm
생각은	생각/ncn+은/jxc
다릅니다.	다르/paa+ㅂ니다/ef+./sf
금융시장안정대책으로	금융/ncn+시장/ncn+안정/ncn+대책/ncn+으로/jca
외국금융기관의	외국/ncn+금융/ncn+기관/ncn+의/jcm
신뢰를	신뢰/ncn+를/jco
되찾기란	되찾/pvg+기/etn+란/jxc
힘들것이라는	힘/ncn+들/pvg+것/nbn+이/jp+라/ef+는/etm
분석입니다.	분석/ncpa+이/jp+ㅂ니다/ef+./sf
실제로	실제로/mag
현재	현재/ncn
준비중인	준비/ncpa+중/nbn+이/jp+ㄴ/etm
안정대책으로	안정/ncpa+대책/ncn+으로/jca
외국금융기관의	외국/ncn+금융/ncn+기관/ncn+의/jcm
의사를	의사/ncn+를/jco
타진한	타진/ncpa+하/xsv+ㄴ/etm
결과	결과/ncn
근본적인	근본/ncn+적/xsn+이/jp+ㄴ/etm
치유책이	치유/ncn+책/xsn+이/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
없다는	없/paa+다/ef+는/etm
회의적인	회의/ncn+적/xsn+이/jp+ㄴ/etm
반응을	반응/ncn+을/jco
보인	보이/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
이에따라	이/npd+에/jca+따르/pvg+아/ecs
한국은행은	한국은행/nq+은/jxc
내부검토를	내부/ncn+검토/ncpa+를/jco
통해	통하/pvg+어/ecs
IMF의	IMF/f+의/jcm
구제금융이	구제/ncpa+금융/ncn+이/jcs
불가피하다는	불/xp+가피/ncps+하/xsm+다/ef+는/etm
결론에	결론/ncn+에/jca
내렸고	내리/pvg+었/ep+고/ecs
한국금융연구원도	한국금융연구원/nq+도/jxc
같은	같/paa+은/etm
결론에	결론/ncn+에/jca
도달한	도달/ncpa+하/xsv+ㄴ/etm
상탭니다.	상태/ncn+ㅂ니다/ef+./sf
결국	결국/mag
금융시장안정대책은	금융/ncn+시장/ncn+안정/ncn+대책/ncn+은/jxc
구제금융으로	구제/ncn+금융/ncn+으로/jca
가는	가/pvg+는/etm
마지막	마지막/ncn
수순이라는	수순/ncn+이/jp+라/ef+는/etm
것이	것/nbn+이/jcs
구제금융불가피성을	구제/ncn+금융/ncn+불/xp+가피/ncn+성/xsn+을/jco
주장하는	주장/ncpa+하/xsv+는/etm
측의	측/nbn+의/jcm
논립니다.	논리/ncn+이/jp+ㅂ니다/ef+./sf
김인호청와대	김인호/nq+청와대/nq
경제수석도	경제/ncn+수석/ncn+도/jxc
오늘	오늘/ncn
금융시장안정대책의	금융/ncn+시장/ncn+안정/ncn+대책/ncn+의/jcm
결과에	결과/ncn+에/jca
따라	따르/pvg+아/ecs
구제금융에	구제/ncn+금융/ncn+에/jca
대한	대하/pvg+ㄴ/etm
정부의	정부/ncn+의/jcm
입장이	입장/ncn+이/jcs
결정될	결정/ncpa+되/xsv+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
현재	현재/mag
거론되고	거론/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
구제금융의	구제/ncn+금융/ncn+의/jcm
규모는	규모/ncn+는/jxc
4백억	4백억/nnc
내지	내지/maj
6백억	6백억/nnc
달러에	달러/nbu+에/jca
이르고	이르/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
따라서	따라서/maj
구제금융으로	구제/ncn+금융/ncn+으로/jca
외환위기는	외환/ncn+위기/ncn+는/jxc
벗어날	벗어나/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것으로	것/nbn+으로/jca
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
