<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0024.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0024.txt </filename>
<title>문학비평론  </title>
<author>홍문표  </author>
<date>1993  </date>
<publisher>양문각  </publisher>
<kdc>809  </kdc>
<ddc>801.95  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
1.	1/nno+./sf
용어에	용어/ncn+에/jca
대하여	대하/pvg+여/ecs
그	그/mmd
어원을	어원/ncn+을/jco
위기	위기/ncn
(crisis	(/sl+crisis/f
),	)/sr+,/sp
또는	또는/maj
고비라고	고비/ncn+라/ef+고/jcr
해석하여	해석/ncpa+하/xsv+어/ecs
어떤	어떤/mmd
문제성에	문제/ncn+성/xsn+에/jca
대한	대하/pvg+ㄴ/etm
제기와	제기/ncn+와/jcj
이에	이/npd+에/jca
대한	대하/pvg+ㄴ/etm
해결방법을	해결/ncn+방법/ncn+을/jco
제시하는	제시/ncpa+하/xsv+는/etm
행위로	행위/ncn+로/jca
보는	보/pvg+는/etm
경우도	경우/ncn+도/jxc
있다.	있/paa+다/ef+./sf
이는	이/npd+는/jxc
작품뿐만	작품/ncn+뿐만/jxc
아니라	아니/paa+라/ecs
인생을	인생/ncn+을/jco
포함하여	포함/ncpa+하/xsv+여/ecs
위기의식을	위기/ncn+의식/ncn+을/jco
인식하고	인식/ncpa+하/xsv+고/ecc
이에	이/npd+에/jca
대한	대하/pvg+ㄴ/etm
진단과	진단/ncn+과/jcj
처방이라는	처방/ncn+이/jp+라/ef+는/etm
예언적	예언/ncn+적/xsn
기능을	기능/ncn+을/jco
포함하고	포함/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이렇게	이렇/pad+게/ecs
본다면	보/pvg+ㄴ다/ef+면/ecs
비평은	비평/ncn+은/jxc
재판관과	재판/ncn+관/xsn+과/jcj
의사의	의사/ncn+의/jcm
기능을	기능/ncn+을/jco
갖는다고	갖/pvg+는다/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
그런데	그런데/maj
재판관은	재판/ncn+관/xsn+은/jxc
정확한	정확/ncps+하/xsm+ㄴ/etm
판결이	판결/ncn+이/jcs
생명이고	생명/ncn+이/jp+고/ecc
의사는	의사/ncn+는/jxc
정확한	정확/ncps+하/xsm+ㄴ/etm
진단과	진단/ncn+과/jcj
처방이	처방/ncn+이/jcs
생명이다.	생명/ncn+이/jp+다/ef+./sf
따라서	따라서/maj
이러한	이러하/pad+ㄴ/etm
기능을	기능/ncn+을/jco
수행하려면	수행/ncpa+하/xsv+려면/ecs
이	이/mmd
방면에	방면/ncn+에/jca
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
지식과	지식/ncn+과/jcj
경험과	경험/ncn+과/jcj
판단력이	판단/ncn+력/xsn+이/jcs
요구된다.	요구/ncpa+되/xsv+ㄴ다/ef+./sf
그러나	그러나/maj
비평은	비평/ncn+은/jxc
반드시	반드시/mag
전문가의	전문/ncn+가/xsn+의/jcm
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
영역만은	영역/ncn+만은/jxc
아니다.	아니/paa+다/ef+./sf
어떤	어떤/mmd
작품이나	작품/ncn+이/jp+나/jxc
문학에	문학/ncn+에/jca
대한	대하/pvg+ㄴ/etm
관심과	관심/ncn+과/jcj
태도의	태도/ncn+의/jcm
표명은	표명/ncn+은/jxc
모두가	모두/ncn+가/jcs
비평적	비평/ncn+적/xsn
행위라고	행위/ncn+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
하우프	하우프/nq
(G.Hough	(/sl+G.Hough/f
)도	)/sr+도/jxc
역시	역시/mag
비평을	비평/ncn+을/jco
독서행위로	독서/ncn+행위/ncn+로/jca
보고	보/pvg+고/ecx
있다.	있/px+다/ef+./sf
비평이란	비평/ncn+이/jp+란/jxc
글을	글/ncn+을/jco
아는	알/pvg+는/etm
사람에게는	사람/ncn+에게/jca+는/jxc
자연스러운	자연/ncps+스럽/xsm+ㄴ/etm
활동이다.	활동/ncn+이/jp+다/ef+./sf
따라서	따라서/maj
비평행위를	비평/ncn+행위/ncn+를/jco
해	하/pvg+어/ecs
온	오/pvg+ㄴ/etm
사람은	사람/ncn+은/jxc
많고	많/paa+고/ecc
다양하다.	다양/ncps+하/xsm+다/ef+./sf
비평은	비평/ncn+은/jxc
知的인	知的/ncn+이/jp+ㄴ/etm
독서의	독서/ncn+의/jcm
延長이며	延長/ncn+이며/jcj
,	,/sp
지적인	지적/ncn+이/jp+ㄴ/etm
글을	글/ncn+을/jco
쓸	쓰/pvg+ㄹ/etm
때	때/ncn
필요한	필요/ncps+하/xsm+ㄴ/etm
부속물이라고	부속/ncn+물/xsn+이/jp+라/jcr+고/ecx
할	하/px+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
책에서	책/ncn+에서/jca
발견하는	발견/ncpa+하/xsv+는/etm
것과	것/nbn+과/jcj
자신의	자신/ncn+의/jcm
경험	경험/ncn
내용을	내용/ncn+을/jco
비교하는	비교/ncpa+하/xsv+는/etm
사람은	사람/ncn+은/jxc
누구나	누구/npp+나/jxc
비평가가	비평/ncn+가/xsn+가/jcc
되기	되/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
그러나	그러나/maj
그는	그/npp+는/jxc
처음에는	처음/ncn+에/jca+는/jxc
단순한	단순/ncps+하/xsm+ㄴ/etm
독자였던	독자/ncn+이/jp+었/ep+던/etm
것이다.	것/nbn+이/jp+다/ef+./sf
문학작품을	문학/ncn+작품/ncn+을/jco
처음	처음/mag
읽을	읽/pvg+을/etm
때에는	때/ncn+에/jca+는/jxc
비평적으로	비평/ncn+적/xsn+으로/jca
읽지	읽/pvg+지/ecx
않는다.	않/px+는다/ef+./sf
초보적인	초보/ncn+적/xsn+이/jp+ㄴ/etm
비평활동은	비평/ncn+활동/ncn+은/jxc
책을	책/ncn+을/jco
읽을	읽/pvg+을/etm
때에도	때/ncn+에/jca+도/jxc
일어나지만	일어나/pvg+지만/ecs
,	,/sp
문학작품을	문학/ncn+작품/ncn+을/jco
읽는다는	읽/pvg+는다/ef+는/etm
것은	것/nbn+은/jxc
하나의	하나/ncn+의/jcm
일에	일/ncn+에/jca
참여하는	참여/ncpa+하/xsv+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
한	한/nnc
걸음	걸음/ncn
물러나서	무르/pvg+어/ecx+나/px+서/ecs
그	그/npd
일에	일/ncn+에/jca
대하여	대하/pvg+어/ecs
깊이	깊/paa+이/xsa
생각해	생각/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
때야말로	때/ncn+야말로/jxc
진정으로	진정/ncn+으로/jca
비평이	비평/ncn+이/jcs
시작되는	시작/ncpa+되/xsv+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
비평이란	비평/ncn+이/jp+란/jxc
말하자면	말/ncpa+하/xsv+자/ef+면/ecs
비평	비평/ncn
이전의	이전/ncn+의/jcm
작업을	작업/ncn+을/jco
기초로	기초/ncn+로/jca
하여	하/pvg+어/ecs
성립된다.	성립/ncpa+되/xsv+ㄴ다/ef+./sf
그와	그/npd+와/jct
같은	같/paa+은/etm
많은	많/paa+은/etm
작업이	작업/ncn+이/jcs
있은	있/paa+은/etm
후	후/ncn
의문을	의문/ncn+을/jco
제기하고	제기/ncpa+하/xsv+고/ecc
,	,/sp
분석하고	분석/ncpa+하/xsv+고/ecc
,	,/sp
정리하고	정리/ncpa+하/xsv+고/ecc
,	,/sp
비교할	비교/ncpa+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
생기는	생기/pvg+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이러한	이러하/pad+ㄴ/etm
활동을	활동/ncn+을/jco
우리는	우리/npp+는/jxc
비평	비평/ncn
(criticism	(/sl+criticism/f
)이라	)/sr+이/jp+라/jcr
부른다.	부르/pvg+ㄴ다/ef+./sf
말하자면	말/ncpa+하/xsv+자/ef+면/ecs
비평이란	비평/ncn+이/jp+란/jxc
독서행위이기는	독서/ncn+행위/ncn+이/jp+기/etn+는/jxc
하지만	하/pvg+지만/ecs
좀더	좀/mag+더/mag
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
독서라는	독서/ncn+라/ef+는/etm
말이다.	말/ncn+이/jp+다/ef+./sf
그런데	그런데/maj
작품을	작품/ncn+을/jco
읽는	읽/pvg+는/etm
이유는	이유/ncn+는/jxc
무엇일까.	무엇/npd+이/jp+ㄹ까/ef+./sf
일반서적들은	일반/ncn+서적/ncn+들/xsn+은/jxc
지식을	지식/ncn+을/jco
얻기	얻/pvg+기/etn
위해	위하/pvg+어/ecs
읽지만	읽/pvg+지만/ecs
문학작품은	문학/ncn+작품/ncn+은/jxc
결코	결코/mag
지식이나	지식/ncn+이나/jcj
기술을	기술/ncn+을/jco
얻기	얻/pvg+기/etn
위한	위하/pvg+ㄴ/etm
독서가	독서/ncn+가/jcc
아니다.	아니/paa+다/ef+./sf
또한	또한/maj
批評이란	批評/ncn+이/jp+란/jxc
한자어가	한자/ncn+어/xsn+가/jcs
보여듯이	보이/pvg+듯이/ecs
판단하고	판단/ncpa+하/xsv+고/ecc
평가하는	평가/ncpa+하/xsv+는/etm
것만도	것/nbn+만도/jxc
아니다.	아니/paa+다/ef+./sf
여기에	여기/npd+에/jca
비평에	비평/ncn+에/jca
대한	대하/pvg+ㄴ/etm
다양한	다양/ncps+하/xsm+ㄴ/etm
정의가	정의/ncn+가/jcs
가능하며	가능/ncps+하/xsm+며/ecc
,	,/sp
그것은	그것/npd+은/jxc
문학관이나	문학/ncn+관/xsn+이/jp+나/jxc
비평관에	비평/ncn+관/xsn+에/jca
따라	따르/pvg+아/ecs
다양할	다양/ncps+하/xsm+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없는	없/paa+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
발레리는	발레리/nq+는/jxc
비평가는	비평/ncn+가/xsn+는/jxc
작품을	작품/ncn+을/jco
재구성하면서	재/xp+구성/ncpa+하/xsv+면서/ecs
자기가	자기/ncn+가/jcs
바라보는	바라보/pvg+는/etm
것에	것/nbn+에/jca
의해서	의하/pvg+어서/ecs
한	하/pvg+ㄴ/etm
판단에	판단/ncn+에/jca
0	0/nnc
도달하는	도달/ncpa+하/xsv+는/etm
것이라고	것/nbn+이/jp+라고/jcr
하여	하/pvg+여/ecs
,	,/sp
비평은	비평/ncn+은/jxc
정신적인	정신/ncn+적/xsn+이/jp+ㄴ/etm
노력에	노력/ncn+에/jca
의하여	의하/pvg+여/ecs
작품을	작품/ncn+을/jco
평가하고	평가/ncpa+하/xsv+고/ecc
문체의	문체/ncn+의/jcm
심리학적	심리/ncn+학/xsn+적/xsn
비평이	비평/ncn+이/jcs
가능하다고	가능/ncps+하/xsm+다/ef+고/ecs
보는	보/pvg+는/etm
것이지만	것/nbn+이/jp+지만/ecs
판단만이	판단/ncn+만/jxc+이/jcs
비평의	비평/ncn+의/jcm
전부일	전부/ncn+이/jp+ㄹ/etm
수는	수/nbn+는/jxc
없다.	없/paa+다/ef+./sf
판단의	판단/ncn+의/jcm
작용을	작용/ncn+을/jco
중요시한	중요/ncn+시/xsn+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
근대	근대/ncn
비평이	비평/ncn+이/jcs
실증주의	실증/ncn+주의/ncn
,	,/sp
합리주의	합리/ncn+주의/ncn
등에	등/ncn+에/jca
의한	의하/pvg+ㄴ/etm
객관적	객관/ncn+적/xsn
비평에	비평/ncn+에/jca
치중하였기	치중/ncpa+하/xsv+었/ep+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
그래서	그래서/maj
비평은	비평/ncn+은/jxc
가치	가치/ncn
평가만이	평가/ncn+만/jxc+이/jcs
아니고	아니/paa+고/ecc
작품의	작품/ncn+의/jcm
理解와	理解/ncn+와/jcj
鑑賞에서	鑑賞/ncn+에서/jca
시작되어야	시작/ncpa+되/xsv+어야/ecs
한다는	하/px+ㄴ다/ef+는/etm
입장도	입장/ncn+도/jxc
있다.	있/paa+다/ef+./sf
허드슨	허드슨/nq
(W.H.Hudson	(/sl+W.H.Hudson/f
)은	)/sr+은/jxc
비평의	비평/ncn+의/jcm
기능을	기능/ncn+을/jco
말하는	말/ncpa+하/xsv+는/etm
대목에서	대목/ncn+에서/jca
문학비평에는	문학/ncn+비평/ncn+에/jca+는/jxc
두	두/nnc
가지의	가지/nbu+의/jcm
기능이	기능/ncn+이/jcs
있다고	있/paa+다/ef+고/ecx
보았다.	보/px+았/ep+다/ef+./sf
곧	곧/maj
해석과	해석/ncn+과/jcj
판단이	판단/ncn+이/jcs
그것이다.	그것/npd+이/jp+다/ef+./sf
실제에	실제/ncn+에/jca
있어서	있/paa+어서/ecs
이	이/mmd
두	두/nnc
가지의	가지/nbu+의/jcm
기능은	기능/ncn+은/jxc
오늘까지	오늘/ncn+까지/jxc
혼합되어	혼합/ncpa+되/xsv+어/ecs
쓰여왔다.	쓰이/pvg+어/ecs+오/pvg+았/ep+다/ef+./sf
즉	즉/maj
여러	여러/mma
비평가가	비평/ncn+가/xsn+가/jcs
판단을	판단/ncn+을/jco
내리는	내리/pvg+는/etm
것을	것/nbn+을/jco
비평의	비평/ncn+의/jcm
참된	참되/paa+ㄴ/etm
목적이라고	목적/ncn+이/jp+라/ef+고/jcr
생각하는	생각/ncpa+하/xsv+는/etm
동시에	동시/ncn+에/jca
그	그/mmd
목적에	목적/ncn+에/jca
도달하려는	도달/ncpa+하/xsv+려/ecs+는/etm
방법으로서	방법/ncn+으로서/jca
해석을	해석/ncn+을/jco
아낌없이	아낌/ncn+없/paa+이/xsa
허비해	허비/ncpa+하/xsv+어/ecx
왔다는	오/px+았/ep+다/ef+는/etm
사실이다.	사실/ncn+이/jp+다/ef+./sf
포우	포우/nq
(E.A.Poe	(/sl+E/f+./sf+A/f+./sf+Poe/f
)도	)/sr+도/jxc
완전한	완전/ncps+하/xsm+ㄴ/etm
비평가는	비평/ncn+가/xsn+는/jxc
모든	모든/mma
작품을	작품/ncn+을/jco
그	그/mmd
작가가	작가/ncn+가/jcs
쓴	쓰/pvg+ㄴ/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
정신으로	정신/ncn+으로/jca
읽어야	읽/pvg+어야/ecs
한다.	하/px+ㄴ다/ef+./sf
온갖	온갖/mma
작품에	작품/ncn+에/jca
대하여	대하/pvg+어/ecs
먼저	먼저/mag
작가의	작가/ncn+의/jcm
목적을	목적/ncn+을/jco
생각하고	생각/ncpa+하/xsv+고/ecc
,	,/sp
그것을	그것/npd+을/jco
수행하는	수행/ncpa+하/xsv+는/etm
수단이	수단/ncn+이/jcs
옳으면	옳/paa+으면/ecs
적은	적/paa+은/etm
결점이	결점/ncn+이/jcs
있어도	있/paa+어도/ecs
찬탄을	찬탄/ncn+을/jco
아낄	아끼/pvg+ㄹ/etm
바	바/nbn
아니라고	아니/paa+라/ef+고/jcr
하고	하/pvg+고/ecc
비평은	비평/ncn+은/jxc
올바른	올바르/paa+ㄴ/etm
작품의	작품/ncn+의/jcm
이해에서부터	이해/ncn+에서/jca+부터/jxc
시작되어야	시작/ncpa+되/xsv+어야/ecs
한다고	하/px+ㄴ다/ef+고/jcr
주장한다	주장/ncpa+하/xsv+ㄴ다/ef
.	./sf
제임스	제임스/nq
(H.James	(/sl+H/f+./sf+James/f
)도	)/sr+도/jxc
비평하는	비평/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
감상하는	감상/ncpa+하/xsv+는/etm
것	것/nbn
,	,/sp
이해하는	이해/ncpa+하/xsv+는/etm
것	것/nbn
,	,/sp
지적	지적/ncn
재산을	재산/ncn+을/jco
얻는	얻/pvg+는/etm
것	것/nbn
,	,/sp
비평	비평/ncn
대상과	대상/ncn+과/jcj
비평과의	비평/ncn+과/jct+의/jcm
좋은	좋/paa+은/etm
관계를	관계/ncn+를/jco
세우는	세우/pvg+는/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말하고	말/ncpa+하/xsv+고/ecc
,	,/sp
엘리어트는	엘리어트/nq+는/jxc
문학비평의	문학/ncn+비평/ncn+의/jcm
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
기능은	기능/ncn+은/jxc
문학의	문학/ncn+의/jcm
이해와	이해/ncn+와/jcj
享受를	享受/ncn+를/jco
촉진하는	촉진/ncpa+하/xsv+는/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
그러나	그러나/maj
관점에	관점/ncn+에/jca
따라서는	따르/pvg+아서/ecs+는/jxc
時는	時/ncn+는/jxc
人生의	人生/ncn+의/jcm
비평이다라고	비평/ncn+이/jp+다/ef+라고/jcr
한	하/pvg+ㄴ/etm
아놀드	아놀드/nq
(M.Arnold	(/sl+M/f+./sf+Arnold/f
)나	)/sr+나/jxc
,	,/sp
"	"/sl
중요한	중요/ncps+하/xsm+ㄴ/etm
일은	일/ncn+은/jxc
어디까지나	어디/npd+까지나/jxc
무엇을	무엇/npd+을/jco
쓰느냐이며	쓰/pvg+느냐/ef+이/jp+며/ecc
어떻게	어떻/pad+게/ecs
쓰느냐는	쓰/pvg+느냐/ef+는/jxc
다음의	다음/ncn+의/jcm
문제다.	문제/ncn+다/jca+./sf
"라고	"/sl+라ef+고jcr
한	하/pvg+ㄴ/etm
싸르트르	싸르트르/nq
(J.P.Sartre	(/sl+J/f+./sf+P/f+./sf+Sartre/f
)	)/sr
등은	등/nbn+은/jxc
비평에	비평/ncn+에/jca
의해서	의하/pvg+어서/ecs
,	,/sp
현대의	현대/ncn+의/jcm
위기를	위기/ncn+를/jco
극복할	극복/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
새로운	새롭/paa+ㄴ/etm
인간형을	인간/ncn+형/xsn+을/jco
탐구하고	탐구/ncpa+하/xsv+고/ecc
발견하려는	발견/ncpa+하/xsv+려/ecs+는/etm
입장이고	입장/ncn+이/jp+고/ecc
,	,/sp
비평은	비평/ncn+은/jxc
작품의	작품/ncn+의/jcm
이해는	이해/ncn+는/jxc
물론이요	물론/ncn+이/jp+요/ef
그	그/mmd
작품의	작품/ncn+의/jcm
표현에	표현/ncn+에/jca
따르는	따르/pvg+는/etm
요소를	요소/ncn+를/jco
분석하고	분석/ncpa+하/xsv+고/ecc
,	,/sp
작품	작품/ncn
자체의	자체/ncn+의/jcm
조건에	조건/ncn+에/jca
의하여	의하/pvg+어/ecs
연구하고	연구/ncpa+하/xsv+고/ecc
평가하려는	평가/ncpa+하/xsv+려/ecs+는/etm
리차즈나	리차즈/nq+나/jcj
웰렉	웰렉/nq
등	등/nbn
형식주의	형식/ncn+주의/ncn
입장도	입장/ncn+도/jxc
있다	있/paa+다/ef
한편	한편/maj
루카치	루카치/nq
(G.Lucacs	(/sl+G/f+./sf+Lucacs/f
)	)/sr
등	등/nbn
사회주의	사회/ncn+주의/ncn
리얼리즘에서는	리얼리즘/ncn+에서/jca+는/jxc
문학은	문학/ncn+은/jxc
어느	어느/mmd
역사적	역사/ncn+적/xsn
특징	특징/ncn
속에서	속/ncn+에서/jca
전형성과	전형/ncn+성/xsn+과/jcj
총체성을	총체/ncn+성/xsn+을/jco
반영하여야	반영/ncpa+하/xsv+어야/ecs
한다고	하/px+ㄴ다/ef+고/ecs
주장하고	주장/ncpa+하/xsv+고/jcr
,	,/sp
야우스	야우스/nq
(H.R.Jau	(/sl+H/f+./sf+R/f+./sf+Jau/f
)	)/sr
등을	등/nbn+을/jco
주로	주로/mag
한	하/pvg+ㄴ/etm
수용미학에선	수용/ncn+미학/ncn+에서/jca+ㄴ/etm
'기대의	'/sl+기대/ncn+의/jcm
地平	地平/ncn
'의	'/sr+의/jcm
재구성으로	재/xp+구성/ncn+으로/jca
독자에	독자/ncn+에/jca
의하여	의하/pvg+어/ecs
작품	작품/ncn
속의	속/ncn+의/jcm
의미가	의미/ncn+가/jcs
올바르게	올바르/paa+게/ecs
수용되었을	수용/ncpa+되/xsv+었/ep+을/etm
때	때/ncn
그	그/mmd
작품은	작품/ncn+은/jxc
비로소	비로소/mag
생명체를	생명/ncn+체/xsn+를/jco
갖는다고	갖/pvg+는다/ef+고/jcr
하였다.	하/pvg+었/ep+다/ef+./sf
한편	한편/maj
토도로프	토도로프/nq
(T.Todorov	(/sl+T/f+./sf+Todorov/f
)	)/sr
등	등/nbn
구조주의에서는	구조/ncn+주의/ncn+에서/jca+는/jxc
작품을	작품/ncn+을/jco
구조분석에	구조/ncn+분석/ncn+에/jca
의해	의하/pvg+어/ecs
평가하려고	평가/ncpa+하/xsv+려고/ecs
한다.	하/px+ㄴ다/ef+./sf
결국	결국/mag
비평은	비평/ncn+은/jxc
먼저	먼저/mag
작품을	작품/ncn+을/jco
이해하고	이해/ncpa+하/xsv+고/ecc
해석하며	해석/ncpa+하/xsv+며/ecc
감상하고	감상/ncpa+하/xsv+고/ecc
평가하는	평가/ncpa+하/xsv+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
비평은	비평/ncn+은/jxc
작품을	작품/ncn+을/jco
있는	있/paa+는/etm
그대로	그대로/mag
이해하고	이해/ncpa+하/xsv+고/ecc
감상할	감상/ncpa+하/xsv+ㄹ/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
분석하고	분석/ncpa+하/xsv+고/ecc
대조하여	대조/ncpa+하/xsv+어/ecs
작품의	작품/ncn+의/jcm
가치를	가치/ncn+를/jco
평가하는	평가/ncpa+하/xsv+는/etm
창조적	창조/ncn+적/xsn
작업이다.	작업/ncn+이/jp+다/ef+./sf
따라서	따라서/maj
비평이라고	비평/ncn+이/jp+라/ef+고/jcr
할	하/pvg+ㄹ/etm
때	때/ncn
구체적으로는	구체/ncn+적/xsn+으로/jcr+는/jxc
해석과	해석/ncn+과/jcj
감상과	감상/ncn+과/jcj
평가가	평가/ncn+가/jcs
종합적으로	종합/ncn+적/xsn+으로/jca
이뤄지는	이루/pvg+어/ecx+지/px+는/etm
것이	것/nbn+이/jcs
타당할	타당/ncps+하/xsm+ㄹ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
(2	(/sl+2/nno
)	)/sr
이해와	이해/ncn+와/jcj
해석	해석/ncn
이해한다는	이해/ncpa+하/xsv+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
작품이	작품/ncn+이/jcs
진술한	진술/ncpa+하/xsv+ㄴ/etm
일차적	일차/ncn+적/xsn
의미를	의미/ncn+를/jco
안다는	알/pvg+ㄴ다/ef+는/etm
말이다.	말/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
해석이란	해석/ncn+이/jp+란/jxc
한	한/nnc
편의	편/nbu+의/jcm
완결된	완결/ncpa+되/xsv+ㄴ/etm
글의	글/ncn+의/jcm
의미를	의미/ncn+를/jco
분명히	분명/ncn+히/xsa
밝혀내고	밝히/pvg+어/ecx+내/px+고/ecc
그것을	그것/npd+을/jco
다시	다시/mag
정확하게	정확/ncps+하/xsm+게/ecs
알리는	알리/pvg+는/etm
것으로	것/nbn+으로/jca
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
의미에서	의미/ncn+에서/jca
해석	해석/ncn
(interpretation	(/sl+interpretation/f
)이라고	)/sr+이/jp+라/ef+고/jcr
말한다.	말/ncpa+하/xsv+ㄴ다/ef+./sf
에이브럼스	에이브럼스/nq
(M.H.Abrams	(/sl+M/f+./sf+H/f+./sf+Abrams/f
)는	)/sr+는/jxc
문학작품을	문학/ncn+작품/ncn+을/jco
해석한다는	해석/ncpa+하/xsv+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
분석과	분석/ncn+과/jcj
패러프레이즈	패러프레이즈/ncn
,	,/sp
즉	즉/maj
뜻풀이와	뜻/ncn+풀이/ncn+와/jcj
주석에	주석/ncn+에/jca
의하여	의하/pvg+어/ecs
언어의	언어/ncn+의/jcm
의미를	의미/ncn+를/jco
분명히	분명/ncn+히/xsa
하는	하/pvg+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이러한	이러하/pad+ㄴ/etm
해석은	해석/ncn+은/jxc
특별히	특별/ncn+히/xsa
모호하거나	모호/ncps+하/xsm+거나/ecc
,	,/sp
애매하거나	애매/ncps+하/xsm+거나/ecc
비유적인	비유/ncn+적/xsn+이/jp+ㄴ/etm
귀절들에	귀절/ncn+들/xsn+에/jca
촛점을	촛점/ncn+을/jco
맞추는	맞추/pvg+는/etm
