<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0451.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0451.txt </filename>
<title>재미있는 물리실험이야기  </title>
<author>L. J. 가리펠시타인 저 ; 장경룡 역</author>
<date>1993  </date>
<publisher>팬더북 </publisher>
<kdc>420  </kdc>
<ddc>530 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제	제/xp
매달린	매달리/pvg+ㄴ/etm
꼴이	꼴/ncn+이/jcs
되어	되/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
그리고	그리고/maj
그	그/mmd
레일	레일/ncn
아래쪽에는	아래/ncn+쪽/nbn+에/jca+는/jxc
충분한	충분/ncps+하/xsm+ㄴ/etm
자유	자유/ncn
공간을	공간/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
모노레일이	모노레일/ncn+이/jcs
생겨나면	생기/pvg+어/ecx+나/px+면/ecs
누구든지	누구/npp+든지/jxc
기꺼이	기꺼이/mag
이	이/mmd
공중에	공중/ncn+에/jca
매달린	매달리/pvg+ㄴ/etm
급행열차를	급행/ncn+열차/ncn+를/jco
탈	타/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
그런데	그런데/maj
레일이	레일/ncn+이/jcs
한	한/nnc
개밖에	개/nbu+밖/nbn+에/jxc
없는	없/paa+는/etm
것은	것/nbn+은/jxc
무슨	무슨/mmd
까닭일까요	까닭/ncn+이/jp+ㄹ까요/ef
?	?/sf
여러분은	여러분/npp+은/jxc
모노레일의	모노레일/ncn+의/jcm
차체가	차체/ncn+가/jcs
뒤집어지지	뒤집/pvg+어/ecx+지/px+지/ecx
않는다고	않/px+는다/ef+고/ecs
정말로	정말로/mag
자신있게	자신/ncn+있/paa+게/ecs
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니까	있/paa+습니까/ef
?	?/sf
그렇다면	그렇다면/maj
그것을	그것/npd+을/jco
확인하기	확인/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
몇	몇/mma
가지	가지/nbu
실험을	실험/ncn+을/jco
해보기로	하/pvg+어/ecx+보/px+기/etn+로/jca
합시다	하/pvg+ㅂ시다/ef
.	./sf
제일	제일/ncn
먼저	먼저/mag
도미노를	도미노/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
실험입니다	실험/ncn+이/jp++ㅂ니다/ef
.	./sf
모두	모두/mag
28장의	28/nno+장/nbu+의/jcm
도미노	도미노/ncn
패를	패/ncn+를/jco
그림에	그림/ncn+에/jca
나타난	나타나/pvg+ㄴ/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
모양이	모양/ncn+이/jcs
되도록	되/pvg+도록/ecs
테이블	테이블/ncn
위에	위/ncn+에/jca
짜올려	짜/pvg+올리/px+어/ecx
보십시오	보/px+십시오/ef
.	./sf
이것은	이것/npd+은/jxc
그렇게	그렇/pad+게/ecs
손쉽게	손쉽/paa+게/ecs
조립되지는	조립/ncpa+되/xsv+지/ecx+는/jxc
않겠지요	않/px+겠/ep+지요/ef
.	./sf
실험을	실험/ncn+을/jco
하기	하/pvg+기/etn
전에	전/ncn+에/jca
우선	우선/mag
테이블이	테이블/ncn+이/jcs
평평할	평평하/paa+ㄹ/etm
것	것/nbn
테이블이	테이블/ncn+이/jcs
반듯이	반듯이/mag
놓여	놓이/pvg+어/ecx
있고	있/px+고/ecc
건들거리지	건들거리/pvg+지/ecx
않는	않/px+는/etm
것을	것/nbn+을/jco
확인해	확인/ncpa+하/xsv+어/ecx
주십시오	주/px+십시오/ef
.	./sf
그런	그렇/pad+ㄴ/etm
다음	다음/ncn
,	,/sp
이	이/mmd
무너지기	무너지/pvg+기/etn
쉬운	쉽/paa+ㄴ/etm
도미노	도미노/ncn
건물을	건물/ncn+을/jco
한	한/nnc
장의	장/nbu+의/jcm
골패짝	골패/ncn+짝/ncn
위에	위/ncn+에/jca
간신히	간신/ncn+히/xsa
짜올리는	짜/pvg+올리/px+는/etm
것입니다만	것/nbn+이/jp+ㅂ니다/ef+만/jxc
,	,/sp
틀림없이	틀리/pvg+ㅁ/etn+없/paa+이/xsa
단번에는	단번/ncn+에/jca+는/jxc
성공하지	성공/ncpa+하/xsv+지/ecx
못할	못하/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
처음에는	처음/ncn+에/jca+는/jxc
테이블	테이블/ncn
위에	위/ncn+에/jca
세우는	세우/pvg+는/etm
도미노	도미노/ncn
짝을	짝/ncn+을/jco
한	한/nnc
장이	장/nbu+이/jcs
아니라	아니/paa+라/ecs
3장을	3/nno+장/nbu+을/jco
합쳐서	합치/pvg+어서/ecs
기둥으로	기둥/ncn+으로/jca
삼아	삼/pvg+아/ecx
보십시오	보/px+십시오/ef
.	./sf
그리고	그리고/maj
도미노	도미노/mmd
건물이	건물/ncn+이/jcs
다	다/mag
지어지거든	짓/pvg+어/ecx+지/px+거든/ecs
양쪽에서	양쪽/ncn+에서/jca
한	한/nnc
장씩	장/nbu+씩/xsn
받침이	받침/ncn+이/jcs
되어	되/pvg+어/ecx
있던	있/px+던/etm
골패짝을	골패/ncn+짝/ncn+을/jco
주의깊게	주의/ncn+깊/paa+게/ecs
빼	빼/pvg+어/ecx
내십시오	내/px+십시오/ef
.	./sf
방금	방금/mag
빼	빼/pvg+어/ecx
낸	내/px+ㄴ/etm
2장의	2/nno+장/nbu+의/jcm
골패짝은	골패/ncn+짝/ncn+은/jxc
짜올린	짜/pvg+올리/px+ㄴ/etm
건물의	건물/ncn+의/jcm
옥상에	옥상/ncn+에/jca
올려놓지	올리/pvg+어/ecx+놓/px+지/ecx
않으면	않/px+으면/ecs
안되는	안되/paa+는/etm
나머지	나머지/ncn
패입니다	패/ncn+이/jp+ㅂ니다/ef
.	./sf
도미노	도미노/ncn
건물을	건물/ncn+을/jco
완성하기까지는	완성/ncpa+하/xsv+기/etn+까지/jxc+는/jxc
최대한의	최대/ncn+하/xsm+ㄴ/etm+의/jcm
주의를	주의/ncn+를/jco
하되	하/pvg+되/ecs
흔들리게	흔들리/pvg+게/ecx
하거나	하/px+거나/ecc
숨을	숨/ncn+을/jco
내쉬거나	내쉬/pvg+거나/ecc
하지	하/pvg+지/ecx
말아야	말/px+아야/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
이	이/mmd
외다리	외다리/ncn
거인을	거인/ncn+을/jco
쓰러뜨리는	쓰러뜨리/pvg+는/etm
것은	것/nbn+은/jxc
눈깜짝할	눈깜짝/ncps+하/xsm+ㄹ/etm
사이의	사이/ncn+의/jcm
일이니까	일/ncn+이/jp+니까/ecs
!	!/sf
그렇다면	그렇다면/maj
모노레일도	모노레일/ncn+도/jxc
역시	역시/mag
이	이/mmd
도미노로	도미노/ncn+로/jca
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
건물처럼	건물/ncn+처럼/jca
불안정한	불/xp+안정/ncpa+하/xsv+ㄴ/etm
것일까요	것/nbn+이/jp+ㄹ까요/ef
?	?/sf
3	3/nno
.	./sf
어	어/ii
,	,/sp
연필은	연필/ncn+은/jxc
안	안/mag
넘어지네	넘/pvg+어/ecx+지/px+네/ef
!	!/sf
두번째	두/nno+번째/nbu
실험은	실험/ncn+은/jxc
나이프의	나이프/ncn+의/jcm
칼끝을	칼/ncn+끝/ncn+을/jco
사용하여	사용/ncpa+하/xsv+어/ecs
연필을	연필/ncn+을/jco
똑바로	똑바로/mag
세우는	세우/pvg+는/etm
실험입니다	실험/ncn+이/jp+ㅂ니다/ef
.	./sf
도미노를	도미노/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
실험은	실험/ncn+은/jxc
여러분이	여러분/npp+이/jcs
참을성만	참을성/ncn+만/jxc
있으면	있/paa+으면/ecs
틀림없이	틀림/ncn+없/paa+이/xsa
성공할	성공/ncpa+하/xsv+ㄹ/etm
것입니다만	것/nbn+이/jp+ㅂ니다/ef+만/jxc
,	,/sp
연필	연필/ncn
끝의	끝/ncn+의/jcm
뾰족한	뾰족/ncps+하/xsm+ㄴ/etm
쪽을	쪽/nbn+을/jco
아래로	아래/ncn+로/jca
가게	가/pvg+게/ecx
하여	하/px+어/ecs
똑바로	똑바로/mag
세우려고	세우/pvg+려고/ecx
해도	하/px+어/ecs+도/jxc
그렇게만	그렇/pad+게/ecx+만/jxc
해가지고는	하/px+어/ecx+가/px+아/ecx+지/px+고/ecc+는/jxc
하루종일	하루/ncn+종일/ncn
애를	애/ncn+를/jco
써도	쓰/pvg+어/ecs+도/jxc
틀림없이	틀림/ncn+없/paa+이/xsa
잘	잘/mag
되지	되/pvg+지/ecx
않을	않/px+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
하지만	하지만/maj
연필을	연필/ncn+을/jco
세우는	세우/pvg+는/etm
아주	아주/mag
단순한	단순/ncpa+하/xsv+ㄴ/etm
방법이	방법/ncn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf
접을	접/pvg+을/etm
수	수/nbn
있게	있/paa+게/ecs
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
작은	작/paa+은/etm
나이프를	나이프/ncn+를/jco
그림과	그림/ncn+과/jct
같은	같/paa+은/etm
모양이	모양/ncn+이/jcs
될	되/pvg+ㄹ/etm
정도로	정도/ncn+로/jca
빼내어	빼/pvg+어/ecx+내/px+어/ecs
연필의	연필/ncn+의/jcm
나무	나무/ncn
부분에	부분/ncn+에/jca
푹	푹/mag
찌릅니다	찌르/pvg+ㅂ니다/ef
!	!/sf
이	이/mmd
방법은	방법/ncn+은/jxc
그림처럼	그림/ncn+처럼/jca
하면	하/pvg+면/ecs
좋습니다	좋/paa+습니다/ef
.	./sf
나이프를	나이프/ncn+를/jco
벌리는	벌리/pvg+는/etm
각도를	각도/ncn+를/jco
조절함으로써	조절/ncpa+하/xsv+ㅁ/etn+으로써/jca
연필을	연필/ncn+을/jco
똑바로	똑바로/mag
세울	세우/pvg+ㄹ/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
비스듬히	비스듬/ncn+히/xsa
세울	세우/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
그리고	그리고/maj
약간	약간/mag
밀어도	밀/pvg+어/ecs+도/jxc
흔들리기는	흔들리/pvg+기/etn+는/etm
해도	하/pvg+어도/ecs
넘어지지는	넘어지/pvg+지/px+는/jxc
않습니다	않/px+습니다/ef
.	./sf
나이프를	나이프/ncn+를/jco
푹	푹/mag
찌르지	찌르/pvg+지/ecx
않은	않/px+은/etm
연필은	연필/ncn+은/jxc
넘어지고	넘/pvg+어/ecx+지/px+고/ecx
말지만	말/px+지만/ecs
,	,/sp
나이프를	나이프/ncn+를/jco
푹	푹/mag
찔러	찌르/pvg+어/ecx
놓은	놓/px+은/etm
연필은	연필/ncn+은/jxc
넘어지지	넘/pvg+어/ecx+지/px+지/ecx
않는	않/px+는/etm
것은	것/nbn+은/jxc
무슨	무슨/mmd
까닭일까요	까닭/ncn+이/jp+ㄹ까요/ef
?	?/sf
첫번째	첫/nno+번째/nbu
경우	경우/ncn
(	(/sl
연필로만	연필/ncn+로/jca+만/jxc
할	하/pvg+ㄹ/etm
때	때/ncn
)	)/sr
에는	에/jca+는/jxc
받치는	받치/pvg+는/etm
점이	점/ncn+이/jcs
연필	연필/ncn
전체의	전체/ncn+의/jcm
아래쪽	아래/ncn+쪽/nbn
(	(/sl
연필끝	연필/ncn+끝/ncn
)	)/sr
에	에/jca
있음에	있/paa+ㅁ/etn+에/jca
반해서	반하/pvg+어서/ecs
,	,/sp
두번째의	두/nno+번째/nbu+의/jcm
경우	경우/ncn
(	(/sl
나이프가	나이프/ncn+가/jcs
박힌	박히/pvg+ㄴ/etm
연필	연필/ncn
)	)/sr
에는	에/jca+는/jxc
받치는	받치/pvg+는/etm
점보다도	점/ncn+보다/jca+도/jxc
아래쪽에	아래/ncn+쪽/nbn+에/jca
나이프가	나이프/ncn+가/jcs
축	축/mag
늘어져	늘어지/pvg+어/ecx
있는	있/px+는/etm
모양이	모양/ncn+이/jcs
되어	되/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
문제는	문제/ncn+는/jxc
이	이/jcs
나이프에	나이프/ncn+에/jca
있다는	있/paa+다/ef+는/etm
것은	것/nbn+은/jxc
분명합니다	분명/ncps+하/xsm+ㅂ니다/ef
.	./sf
만일	만일/mag
연필이	연필/ncn+이/jcs
기울어져	기울/pvg+어/ecx+지/px+어/ecs
넘어지려고	넘어지/pvg+려고/ecx
하면	하/px+면/ecs
나이프는	나이프/ncn+는/jxc
위로	위/ncn+로/jca
솟구치려고	솟구치/pvg+려고/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
그렇지만	그렇지만/maj
나이프쪽이	나이프/ncn+쪽/nbn+이/jcs
무겁기	무겁/paa+기/etn
때문에	때문/nbn+에/jca
나이프는	나이프/ncn+는/jxc
아래쪽으로	아래/ncn+쪽/nbn+으로/jca
기울어지고	기울/pvg+어/ecx+지/px+고/ecc
연필은	연필/ncn+은/jxc
다시금	다시금/mag
똑바로	똑바로/mag
섭니다	서/pvg+ㅂ니다/ef
.	./sf
요컨대	요컨대/mag
전체의	전체/ncn+의/jcm
대부분의	대부분/ncn+의/jcm
무게가	무게/ncn+가/jcs
받치는	받치/pvg+는/etm
점보다도	점/ncn+보다/jca+도/jxc
아래에	아래/ncn+에/jca
있으면	있/paa+으면/ecs
균형이	균형/ncn+이/jcs
잡힌	잡히/pvg+ㄴ/etm
안정된	안정/ncpa+되/xsv+ㄴ/etm
상태를	상태/ncn+를/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
이런	이런/pad
이치로	이치/ncn+로/jca
보아	보/pvg+아/ecs
,	,/sp
여러분은	여러분/npp+은/jxc
이제	이제/mag
모노레일을	모노레일/ncn+을/jco
타더라도	타/pvg+더/ep+라도/ecs
조금도	조금/ncn+도/jxc
걱정할	걱정/ncpa+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
없습니다	없/paa+습니다/ef
.	./sf
모노레일의	모노레일/ncn+의/jcm
차체	차체/ncn
(	(/sl
車體	車體/ncn
)	)/sr
는	는/jxc
레일	레일/ncn
밑에	밑/ncn+에/jca
매달려	매달리/pvg+어/ecx+달/px+려/ecx
있고	있/px+고/ecc
,	,/sp
그	그/mmd
무게의	무게/ncn+의/jcm
대부분은	대부분/ncn+은/jxc
받치는	받치/pvg+는/etm
점보다도	점/ncn+보다/jca+도/jxc
아래쪽에	아래/ncn+쪽/nbn+에/jca
있으니까요	있/paa+으니/ecs+까요/ef
!	!/sf
갖은	갖은/mma
모노레일	모노레일/ncn
철도는	철도/ncn+는/jxc
큰	크/paa+ㄴ/etm
공장이나	공장/ncn+이나/jcj
차고	차고/ncn
,	,/sp
그리고	그리고/maj
수리공장	수리/ncn+공장/ncn
등과	등/nbn+과/jct
같은	같/paa+은/etm
,	,/sp
무거운	무겁/paa+ㄴ/etm
것을	것/nbn+을/jco
들어올린다든지	들/pvg+어/ecs+올리/pvg+ㄴ다/ef+든지/jxc
내린다든지	내리/pvg+ㄴ다/ef+든지/jxc
옮겨	옮기/pvg+어/ecx
놓는다든지	놓/px+는다/ef+든지/jxc
할	하/pvg+ㄹ/etm
필요가	필요/ncn+가/jcs
있는	있/paa+는/etm
곳이라면	곳/ncn+이/jp+라면/jca
어디서나	어디/npd+서/jca+나/jxc
쉽게	쉽/paa+게/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그러한	그러하/pad+ㄴ/etm
곳에서는	곳/ncn+에서/jca+는/jxc
천장쪽을	천장/ncn+쪽/nbn+을/jco
올려다	올리/pvg+어/ecx+다/ef
보면	보/px+면/ecs
한	한/nnc
개의	개/nbu+의/jcm
레일	레/ncn+이/jp+ㄹ/etm
(	(/sl
모노레일	모노레일/ncn
)	)/sr
이	이/jcs
놓여	놓이/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
그리고	그리고/maj
짐을	짐/ncn+을/jco
나르는	나르/pvg+는/etm
장치를	장치/ncn+를/jco
매달아	매/pvg+어/ecx+달/px+아/ecx
놓은	놓/px+은/etm
대차	대차/ncn
(	(/sl
臺車	臺車/ncn
)	)/sr
가	가/jcs
그	그/mmd
레일을	레일/ncn+을/jco
따라	따르/pvg+아/ecs
움직입니다	움직이/pvg+ㅂ니다/ef
.	./sf
이	이/mmd
장치는	장치/ncn+는/jxc
와이어로프를	와이어로프/ncn+를/jco
감아	감/pvg+아/ecx
올리는	올리/px+는/etm
드럼통을	드럼/ncn+통/ncn+을/jco
가지고	가지/pvg+고/ecx
있고	있/px+고/ecc
,	,/sp
로프에는	로프/ncn+에/jca+는/jxc
훅이	훅/ncn+이/jcs
달려	달리/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
