<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0092.txt 
 kaist_corpus_96_explanation_pos_mh2-0092.txt 

 안정애, 양정현 공저 
1993  
가람기획  
912  
951  
  
  
  

1992	1992/nno
200여	200/nnc+여/xsn
곳에	곳/ncn+에/jca
달한다	달하/pvg+ㄴ다/ef
.	./sf
중국의	중국/nq+의/jcm
구석기	구석기/ncn
문화는	문화/ncn+는/jxc
이미	이미/mag
북경원인이	북경/nq+원인/ncn+이/jcs
살았던	살/pvg+았/ep+던/etm
시기보다	시기/ncn+보다/jxc
백만	백만/nnc
년을	년/nbu+을/jco
훨씬	훨씬/mag
앞선	앞서/pvg+ㄴ/etm
시기부터	시기/ncn+부터/jxc
시작되고	시작/ncpa+되/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
운남성	운남성/nq
원모현에서	원모현/nq+에서/jca
발굴된	발굴/ncpa+되/xsv+ㄴ/etm
원모인은	원모인/nq+은/jxc
이미	이미/mag
170만	170만/nnc
년	년/nbu
전에	전/ncn+에/jca
생활했음이	생활/ncpa+하/xsv+었/ep+ㅁ/etn+이/jcs
확인되었고	확인/ncpa+되/xsv+었/ep+고/ecc
,	,/sp
섬서성	섬서성/nq
남전에서	남전/nq+에서/jca
발굴된	발굴/ncpa+되/xsv+ㄴ/etm
남전인은	남전인/nq+은/jxc
약	약/mma
60만	60만/nnc
년	년/nbu
전에	전/ncn+에/jca
활동했다	활동/ncpa+하/xsv+었/ep+다/ef
.	./sf
구석기	구석기/ncn
중기인으로는	중기/ncn+인/xsn+으로/jca+는/jxc
정촌인	정촌인/nq
,	,/sp
구석기	구석기/ncn
후기인으로는	후기/ncn+인/xsn+으로/jca+는/jxc
산정동인이	산정/nq+동인/ncn+이/jcs
대표적으로	대표/ncn+적/xsn+으로/jca
꼽힌다	꼽히/pvg+ㄴ다/ef
.	./sf
주구점의	주구점/nq+의/jcm
산정에서	산정/nq+에서/jca
발굴된	발굴/ncpa+되/xsv+ㄴ/etm
산정동인은	산정/nq+동인/ncn+은/jxc
황인종의	황인/ncn+종/xsn+의/jcm
조상으로	조상/ncn+으로/jca
꼽히며	꼽히/pvg+며/ecc
,	,/sp
약	약/mma
2만	2만/nnc
5천	5천/nnc
년	년/nbu
전에	전/ncn+에/jca
활동했다	활동/ncpa+하/xsv+었/ep+다/ef
.	./sf
홍적세	홍적세/nq
말기	말기/ncn
,	,/sp
북중국에서는	북중국/nq+에서/jca+는/jxc
다시	다시/mag
추위가	추위/ncn+가/jcs
시작되었다	시작/ncpa+되/xsv+었/ep+다/ef
.	./sf
몽고고원에서	몽고/nq+고원/ncn+에서/jca
불어오는	불/pvg+어/ecx+오/px+는/etm
세찬	세차/paa+ㄴ/etm
바람은	바람/ncn+은/jxc
고원의	고원/ncn+의/jcm
석회석	석회석/ncn
가루로	가루/ncn+로/jca
중국	중국/nq
북부를	북부/ncn+를/jco
덮기	덮/pvg+기/etn
시작했으니	시작/ncpa+하/xsv+었/ep+으니/ecs
,	,/sp
이것이	이것/npd+이/jcs
바로	바로/mag
중국의	중국/nq+의/jcm
중원을	중원/ncn+을/jco
상징하는	상징/ncpa+하/xsv+는/etm
황토	황토/ncn
퇴적층의	퇴적/ncn+층/ncn+의/jcm
형성이다	형성/ncn+이/jp+다/ef
.	./sf
기후가	기후/nq+가/jcs
다시	다시/mag
따뜻해지면서	따뜻하/paa+어/ecx+지/px+면서/ecc
신석기	신석기/ncn
문화가	문화/ncn+가/jcs
열리고	열리/pvg+고/ecc
,	,/sp
이	이/mma
때에	때/ncn+에/jca
새로이	새로이/mag
등장한	등장/ncpa+하/xsv+ㄴ/etm
주인공이	주인/ncn+공/xsn+이/jcs
현재	현재/ncn
중국인의	중국/nq+인/xsn+의/jcm
조상이다	조상/ncn+이/jp+다/ef
.	./sf
중국의	중국/nq+의/jcm
전설에	전설/ncn+에/jca
의하면	의하/pvg+면/ecs
,	,/sp
여와가	여와/nq+가/jcs
황토를	황토/ncn+를/jco
빚어서	빚/pvg+어서/ecs
인간을	인간/ncn+을/jco
만들었다	만들/pvg+었/ep+다/ef
.	./sf
처음에는	처음/ncn+에/jca+는/jxc
한	한/nnc
사람씩	사람/ncn+씩/xsn
만들었는데	만들/pvg+었/ep+는데/ecs
,	,/sp
그	그/mmd
작업이	작업/ncn+이/jcs
너무	너무/mag
더뎌서	더디/paa+어서/ecs
나중에는	나중/ncn+에/jca+는/jxc
아예	아예/mag
새끼줄을	새끼/ncn+줄/ncn+을/jco
끌고	끌/pvg+고/ecc
황토를	황토/ncn+를/jco
달렸다	달리/pvg+었/ep+다/ef
.	./sf
그	그/mmd
줄에	줄/ncn+에/jca
붙은	붙/pvg+은/etm
무수한	무수/ncps+하/xsm+ㄴ/etm
흙들이	흙/ncn+들/xsn+이/jcs
모두	모두/mag
인간으로	인간/ncn+으로/jca
변했다고	변하/pvg+었/ep+다고/ecx
한다	하/px+ㄴ다/ef
.	./sf
2	2/nno
.	./sf
황하	황하/nq
,	,/sp
중국문명의	중국/nq+문명/ncn+의/jcm
원천	원천/ncn
만일	만일/mag
현대인이	현대/ncn+인/xsn+이/jcs
타임머쉰을	타임머쉰/ncn+을/jco
타고	타/pvg+고/ecc
과거로	과거/ncn+로/jca
떠난다면	떠나/pvg+ㄴ다면/ecs
,	,/sp
아마도	아마도/mag
그	그/mmd
생존의	생존/ncn+의/jcm
상한선은	상한/ncn+선/ncn+은/jxc
신석기	신석기/ncn
시대에서	시대/ncn+에서/jca
멈추게	멈추/pvg+게/ecx
될	되/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
지금으로부터	지금/ncn+으로/jca+부터/jxc
약	약/mma
1만	1만/nnc
년	년/nbu
전	전/ncn
,	,/sp
지구상에는	지구/ncn+상/xsn+에/jca+는/jxc
오랜	오래/paa+ㄴ/etm
빙하기가	빙하/ncn+기/xsn+가/jcs
끝나고	끝나/pvg+고/ecc
현재와	현재/ncn+와/jct
대차없는	대차/ncn+없/paa+는/etm
지형과	지형/ncn+과/jcj
기후가	기후/ncn+가/jcs
만들어졌다	만들/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf
인류는	인류/ncn+는/jxc
수백	수백/nnc
년간	년/nbu+간/xsn
인류를	인류/ncn+를/jco
지배했던	지배/ncpa+하/xsv+었/ep+던/etm
'	'/sl
깨뜨리는	깨뜨리/pvg+는/etm
문화	문화/ncn
'	'/sr
에서	에서/jca
탈피	탈피/ncn
,	,/sp
'가는	'/sl+가/pvg+는/etm
문화	문화/ncn
'	'/sr
로의	로/jca+의/jcm
기술상의	기술/ncn+상/xsn+의/jcm
대혁신을	대/xp+혁신/ncn+을/jco
이룩했고	이룩하/pvg+었/ep+고/ecc
,	,/sp
자연현상의	자연/ncn+현상/ncn+의/jcm
배후에	배후/ncn+에/jca
있는	있/paa+는/etm
원리를	원리/ncn+를/jco
깨달은	깨닫/pvg+ㄴ/etm
만큼	만큼/nbn
성숙한	성숙/ncpa+하/xsv+ㄴ/etm
정신력을	정신/ncn+력/xsn+을/jco
갖게	갖/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
신석기	신석기/ncn
시대에	시대/ncn+에/jca
인류는	인류/ncn+는/jxc
야생하는	야생/ncpa+하/xsv+는/etm
동	동/ncn
.	./sf
식물을	식물/ncn+을/jco
사냥	사냥/ncn
,	,/sp
채집하는	채집/ncpa+하/xsv+는/etm
일에만	일/ncn+에/jca+만/jxc
의존하지	의존/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
,	,/sp
전혀	전혀/mag
새로운	새롭/paa+ㄴ/etm
생활방식을	생활/ncn+방식/ncn+을/jco
터득했는데	터득/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
그것은	그것/npd+은/jxc
농경	농경/ncn
,	,/sp
목축의	목축/ncn+의/jcm
시작이다	시작/ncn+이/jp+다/ef
.	./sf
이는	이/npd+는/jxc
산업혁명에	산업/ncn+혁명/ncn+에/jca
견줄	견주/pvg+ㄹ/etm
만큼	만큼/nbn
인류	인류/ncn
역사상의	역사/ncn+상/xsn+의/jcm
대사건으로	대/xp+사건/ncn+으로/jca
,	,/sp
우리는	우리/npp+는/jxc
이를	이/npd+를/jco
신석기	신석기/ncn
혁명	혁명/ncn
,	,/sp
혹은	혹은/maj
농업혁명이라고	농업/ncn+혁명/ncn+이/jp+라고/ecs
부른다	부르/pvg+ㄴ다/ef
.	./sf
이제	이제/mag
인류는	인류/ncn+는/jxc
비로소	비로소/mag
스스로	스스로/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
작물을	작물/ncn+을/jco
생산하고	생산/ncpa+하/xsv+고/ecc
조정하는	조정/ncpa+하/xsv+는/etm
생산경제에	생산/ncn+경제/ncn+에/jca
돌입	돌입/ncn
,	,/sp
문명의	문명/ncn+의/jcm
기초를	기초/ncn+를/jco
마련하기	마련/ncpa+하/xsv+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
참으로	참/mag+으로/jca
오랜	오래/paa+ㄴ/etm
떠돌이	떠돌이/ncn
생활을	생활/ncn+을/jco
마치고	마치/pvg+고/ecc
한	한/nnc
곳에	곳/ncn+에/jca
정착	정착/ncn
,	,/sp
인공의	인공/ncn+의/jcm
'	'/sl
집	집/ncn
'	'/sr
을	을/jco
만들어	만들/pvg+어/ecs
생활하게	생활/ncpa+하/xsv+게/ecx
되었으며	되/px+었/ep+으며/ecs
,	,/sp
바늘을	바늘/ncn+을/jco
발명하고	발명/ncpa+하/xsv+고/ecc
결박의	결박/ncn+의/jcm
기술을	기술/ncn+을/jco
터득	터득/ncn
,	,/sp
걸치는	걸치/pvg+는/etm
옷이	옷/ncn+이/jcc
아니라	아니/paa+라/ef
,	,/sp
'꿰매어	'/sl+꿰매/pvg+어/ecs
만든	만들/pvg+ㄴ/etm
옷	옷/ncn
'	'/sr
을	을/jco
만들어	만들/pvg+어/ecs
입기	입/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
마을이	마을/ncn+이/jcs
이루어지고	이루/pvg+어/ecx+지/px+고/ecc
,	,/sp
마을사람들의	마을/ncn+사람/ncn+들/xsn+의/jcm
공동의	공동/ncn+의/jcm
의식과	의식/ncn+과/jcj
문화가	문화/ncn+가/jcs
자리잡기	자리/ncn+잡/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
중국에서는	중국/nq+에서/jca+는/jxc
약	약/mma
6천	6천/nnc
개소의	개소/ncn+의/jcm
신석기	신석기/ncn
유적이	유적/ncn+이/jcs
발굴되었는데	발굴/ncpa+되/xsv+었/ep+는데/ecs
,	,/sp
그	그/mmd
이른	이르/paa+ㄴ/etm
시기의	시기/ncn+의/jcm
유적은	유적/ncn+은/jxc
기원전	기원/ncn+전/ncn
7천	7천/nnc
년전까지	년/nbu+전/xsn+까지/jxc
소급된다	소급/ncpa+되/xsv+ㄴ다/ef
.	./sf
그	그/mmd
최초의	최초/ncn+의/jcm
터전은	터전/ncn+은/jxc
황하	황하/nq
.	./sf
중국	중국/nq
북부에	북부/ncn+에/jca
널리	널리/mag
발달한	발달/ncpa+하/xsv+ㄴ/etm
부드럽고	부드럽/paa+고/ecc
비옥한	비옥/ncps+하/xsm+ㄴ/etm
황토	황토/ncn
퇴적층과	퇴적/ncn+층/ncn+과/jcj
거대한	거대/ncps+하/xsm+ㄴ/etm
황하의	황하/nq+의/jcm
물줄기를	물/ncn+줄기/ncn+를/jco
탯줄로	탯줄/ncn+로/jca
중국인들의	중국/nq+인/xsn+들/xsn+의/jcm
새로운	새롭/paa+ㄴ/etm
생활	생활/ncn
곧	곧/maj
원시농경이	원시/ncn+농경/ncn+이/jcs
시작되었다	시작/ncpa+되/xsv+었/ep+다/ef
.	./sf
