<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
항당지수는	항당/ncn+지수/ncn+는/jxc
오늘	오늘/ncn
오전	오전/ncn
한때	한때/ncn
15.45%가	15.45/nnc+%/su+가/jcs
하락한	하락/ncpa+하/xsv+ㄴ/etm
8876포인트까지	8876/nnc+포인트/nbu+까지/jxc
떨어졌습니다.	떨어지/pvg+었/ep+습니다/ef+./sf
항당지수가	항당/ncn+지수/ncn+가/jcs
9천포인트	9천/nnc+포인트/nbu
아래로	아래/ncn+로/jca
내려간	내리/pvg+어/ecs+가/pvg+ㄴ/etm
것은	것/nbn+은/jxc
2년	2/nno+년/nbu
만에	만/nbn+에/jca
처음입니다.	처음/ncn+이/jp+ㅂ니다/ef+./sf
sbs	SBS/f
박진원입니다.	박진원/nq+이/jp+ㅂ니다/ef+./sf
미국	미국/nq
뉴욕	뉴욕/nq
증권시장의	증권/ncn+시장/ncn+의/jcm
주가가	주가/ncn+가/jcs
현지시간으로	현지/ncn+시간/ncn+으로/jca
27일,	27/nno+일/nbu+,/sp
사상	사상/ncn
가장	가장/mag
큰폭으로	크/paa+ㄴ/etm+폭/ncn+으로/jca
떨어졌습니다.	떨어지/pvg+었/ep+습니다/ef+./sf
김진원특파원이	김진원/nq+특파/ncn+원/xsn+이/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
뉴욕증시는	뉴욕/nq+증시/ncn+는/jxc
27일,	27/nno+일/nbu+,/sp
주가가	주가/ncn+가/jcs
다우존스지수로	다우존스/nq+지수/ncn+로/jca
554.26포인트가	554.26/nnc+포인트/nbu+가/jcs
내려가는	내리/pvg+어/ecs+가/pvg+는/etm
대폭락사태가	대/xp+폭락/ncn+사태/ncn+가/jcs
일어났습니다.	일/pvg+어/ecs+나/pvg+았/ep+습니다/ef+./sf
10년전	10/nnc+년/nbu+전/ncn
주가	주가/ncn
대폭락때	대/xp+폭락/ncn+때/ncn
도입된	도입/ncpa+되/xsv+ㄴ/etm
제도에	제도/ncn+에/jca
따라	따르/pvg+아/ecs
하루에	하루/ncn+에/jca
거래도	거래/ncn+도/jxc
두차례나	두/nnc+차례/nbu+나/ecs
중단됐습니다.	중단/ncpa+되/xsv+었/ep+습니다/ef+./sf
이번	이/mmd+번/nbn
뉴욕증시	뉴욕/nq+증시/ncn
주가	주가/ncn
폭락은	폭락/ncn+은/jxc
블랙먼데이라고	블랙먼데이/nq+라/ef+고/jcr
명명된	명명/ncpa+되/xsv+ㄴ/etm
지난	지나/pvg+ㄴ/etm
87년	87/nno+년/nbu
10월	10/nno+월/nbu
19일의	19/nno+일/nbu+의/jcm
508포인트보다	508/nno+포인트/nbu+보다/jca
낙폭이	낙폭/ncn+이/jcs
더	더/mag
컸습니다.	크/paa+었/ep+습니다/ef+./sf
그러나	그러나/maj
하락률은	하락/ncn+률/xsn+은/jxc
이번에는	이/mmd+번/nbn+에/jca+는/jxc
7.26%였고,	7.26/nnc+%/su+이/jp+었/ep+고/ecs+,/sp
지난	지나/pvg+ㄴ/etm
87년에는	87/nno+년/nbu+에/jca+는/jxc
23%에	23/nnc+%/su+에/jca
달해서	달하/pvg+어서/ecs
10년전	10/nno+년/nbu+전/ncn
당시보다	당시/ncn+보다/jca
충격은	충격/ncn+은/jxc
조금	조금/mag
덜했습니다.	덜하/pvg+었/ep+습니다/ef+./sf
미국	미국/nq
정부는	정부/ncn+는/jxc
증시폭락에	증시/ncn+폭락/ncn+에/jca
깊은	깊/paa+은/etm
관심을	관심/ncn+을/jco
보이면서도	보이/pvg+면서/ecs+도/jxc
경제기반이	경제/ncn+기반/ncn+이/jcs
탄탄하다는	탄탄/ncps+하/xsm+다/ef+는/etm
점을	점/ncn+을/jco
들어	들/pvg+어/ecs
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
현상으로	현상/ncn+으로/jca
분석하고	분석/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
미국	미국/nq
언론들은	언론/ncn+들/xsn+은/jxc
증시폭락사태를	증시/ncn+폭락/ncn+사태/ncn+를/jco
톱뉴스로	톱뉴스/ncn+로/jca
보도하면서,	보도/ncpa+하/xsv+면서/ecs+,/sp
갑자기	갑자기/mag
태풍이	태풍/ncn+이/jcs
휘몰아친	휘몰아치/pvg+ㄴ/etm
형국이라며	형국/ncn+이/jp+라며/ecs
이번	이/mmd+번/nbn
10월	10/nno+월/nbu
27일	27/nno+일/nbu
뉴욕증시를	뉴욕/nq+증시/ncn+를/jco
스토미	nq[스토미/f
먼데이로	먼데이/f]nq+로/jca
블렀습니다.	부르/pvg+었/ep+습니다/ef+./sf
뉴욕에서	뉴욕/nq+에서/jca
sbs김진원입니다.	SBS/f+김진원/nq+이/jp+ㅂ니다/ef+./sf
유럽	유럽/nq
금융의	금융/ncn+의/jcm
중심지인	중심/ncn+지/xsn+이/jp+ㄴ/etm
영국의	영국/nq+의/jcm
런던	런던/nq
주가도	주가/ncn+도/jxc
어제	어제/ncn
129.5포인트	129.5/nnc+포인트/nbu
폭락했습니다.	폭락/ncpa+하/xsv+었/ep+습니다/ef+./sf
독일	독일/nq
프랑크푸르트	프랑크푸르트/nq
증시의	증시/ncn+의/jcm
주가도	주가/ncn+도/jxc
오늘	오늘/ncn
개장직후	개장/ncn+직후/ncn
279.12포인트가	279.12/nnc+포인트/nbu+가/jcs
떨어져	떨어지/pvg+어/ecs
3천6백	3천/nnc+6백/nnc
포인트로	포인트/nbu+로/jca
출발했습니다.	출발/ncpa+하/xsv+었/ep+습니다/ef+./sf
프랑스	프랑스/nq
주가도	주가/ncn+도/jxc
2.79%가	2.79/nnc+%/su+가/jcs
떨어졌고	떨어지/pvg+었/ep+고/ecc
러시아에서는	러시아/nq+에서/jca+는/jxc
투매현상이	투매/ncn+현상/ncn+이/jcs
빚어져	빚/pvg+어/ecx+지/px+어/ecs
일부	일부/ncn
증궝거래소가	증궝/ncn+거래/ncn+소/xsn+가/jcs
폐장되는	폐장/ncpa+되/xsv+는/etm
등	등/nbn
유럽증시	유럽/nq+증시/ncn
전체가	전체/ncn+가/jcs
큰	크/paa+ㄴ/etm
혼란에	혼란/ncn+에/jca
빠졌습니다.	빠지/pvg+었/ep+습니다/ef+./sf
국회는	국회/ncn+는/jxc
오늘	오늘/ncn
이틀째	이틀/ncn+째/xsn
경제분야	경제/ncn+분야/ncn
대정부	대/xp+정부/ncn
질문을	질문/ncn+을/jco
벌여	벌이/pvg+어/ecs
금융시장	금융/ncn+시장/ncn
안정화	안정/ncn+화/xsn
대책과	대책/ncn+과/jcj
기업부도	기업/ncn+부도/ncn
방지대책	방지/ncn+대책/ncn
등을	등/nbn+을/jco
집중적으로	집중/ncn+적/xsn+으로/jca
추궁하고	추궁/ncpa+하/xsv+고/ecs
경제위기를	경제/ncn+위기/ncn+를/jco
극복하기	극복/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
구체적	구체/ncn+적/xsn
대안을	대안/ncn+을/jco
물었습니다.	묻/pvg+었/ep+습니다/ef+./sf
여야의원들은	여야/ncn+의원/ncn+들/xsn+은/jxc
현재의	현재/ncn+의/jcm
경제난을	경제/ncn+난/xsn+을/jco
총체적	총체/ncn+적/xsn
위기로	위기/ncn+로/jca
규정하고	규정/ncpa+하/xsv+고/ecs
"현	"/sl+현/mma
정부가	정부/ncn+가/jcs
시장경제원칙	시장/ncn+경제/ncn+원칙/ncn
만을	만/nbn+을/jco
내세워	내/pvg+어/ecs+세우/pvg+어/ecs
대기업의	대/xp+기업/ncn+의/jcm
연쇄부도사태	연쇄/ncn+부도/ncn+사태/ncn
등을	등/nbn+을/jco
방치하고	방치/ncpa+하/xsv+고/ecx
있다"면서	있/px+다/ef+"/sr+면서/ecs
경제정책의	경제/ncn+정책/ncn+의/jcm
전면	전면/ncn
수정을	수정/ncn+을/jco
촉구했습니다.	촉구/ncpa+하/xsv+었/ep+습니다/ef+./sf
신한국당	신한국당/nq
김운환	김운환/nq
의원은	의원/ncn+은/jxc
질의에서	질의/ncn+에서/jca
"은행감독원이	"/sl+은행감독원/nq+이/jcs
지난	지나/pvg+ㄴ/etm
9월	9/nno+월/nbu
자신의	자신/ncn+의/jcm
예금계좌를	예금/ncn+계좌/ncn+를/jco
비밀리에	비밀/ncn+리/nbn+에/jca
조사했다"고	조사/ncpa+하/xsv+었/ep+다/ef+"/sr+고/jcr
주장하면서	주장/ncpa+하/xsv+면서/ecs
해명과	해명/ncn+과/jcj
처벌을	처벌/ncn+을/jco
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
미국의	미국/nq+의/jcm
신용평가	신용/ncn+평가/ncn
기관인	기관/ncn+이/jp+ㄴ/etm
무디스사는	무디스사/nq+는/jxc
오늘	오늘/ncn
우리나라의	우리/npp+나라/ncn+의/jcm
단기채권과	단기/ncn+채권/ncn+과/jcj
장기예금의	장기/ncn+예금/ncn+의/jcm
신용등급을	신용/ncn+등급/ncn+을/jco
한등급씩	한/nnc+등급/nbu+씩/xsn
하향조정했습니다.	하향/ncn+조정/ncpa+하/xsv+었/ep+습니다/ef+./sf
무디스사는	무디스사/nq+는/jxc
우리나라의	우리/npp+나라/ncn+의/jcm
최근	최근/ncn
경제적	경제/ncn+적/xsn
어려움이	어렵/paa+ㅁ/etn+이/jcs
구조조정에	구조/ncn+조정/ncn+에/jca
따른	따르/pvg+ㄴ/etm
것이며	것/nbn+이/jp+며/ecs
이	이/mmd
과정에서	과정/ncn+에서/jca
앞으로도	앞/ncn+으로/jca+도/jxc
어려움을	어렵/paa+ㅁ/etn+을/jco
겪을	겪/pvg+을/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
지적하고	지적/ncpa+하/xsv+고/ecs
최근의	최근/ncn+의/jcm
대기업	대/xp+기업/ncn
부도사태에	부도/ncn+사태/ncn+에/jca
따른	따르/pvg+ㄴ/etm
부실채권	부실/ncn+채권/ncn
발생으로	발생/ncn+으로/jca
금융기관	금융/ncn+기관/ncn
자산의	자산/ncn+의/jcm
질도	질/ncn+도/jxc
저하됐다고	저하/ncpa+되/xsv+었/ep+다/ef+고/jcr
주장했습니다.	주장/ncpa+하/xsv+었/ep+습니다/ef+./sf
국민회의와	국민회의/nq+와/jcj
자민련의	자민련/nq+의/jcm
대선후보단일화	대선/ncn+후보/ncn+단일/ncn+화/xsn
협상,	협상/ncn+,/sp
이른바	이른바/mag
DJP협상이	DJP/f+협상/ncn+이/jcs
완전	완전/ncn
타결됐습니다.	타결ncpa+되/xsv+었/ep+습니다/ef+./sf
김대중총재는	김대중/nq+총재/ncn+는/jxc
어젯밤	어젯밤/ncn
청구동	청구동/nq
자택으로	자택/ncn+으로/jca
김종필	김종필/nq
총재를	총재/ncn+를/jco
찾아가	찾/pvg+아/ecs+가/pvg+아/ecs
합의	합의/ncn
내용을	내용/ncn+을/jco
최종확인	최종/ncn+확인/ncn
하고	하/pvg+고/ecs
다음달	다음/ncn+달/ncn
3일	3/nno+일/nbu
서명식을	서명/ncn+식/xsn+을/jco
갖기로	갖/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
대선구도가	대선/ncn+구도/ncn+가/jcs
새국면을	새/mma+국면/ncn+을/jco
맞게	맞/pvg+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
장현규기잡니다.	장현규/nq+기자/ncn+ㅂ니다/ef+./sf
석달을	석/nnc+달/ncn+을/jco
끌어온	끌/pvg+어/ecs+오/pvg+ㄴ/etm
이른바	이른바/mag
DJP	DJP/f
단일화	단일/ncn+화/xsn
협상은	협상/ncn+은/jxc
어젯밤	어젯밤/ncn
김대중	김대중/nq
총재가	총재/ncn+가/jcs
김종필	김종필/nq
총재의	총재/ncn+의/jcm
청구동	청구/nq+동/ncn
자택으로	자택/ncn+으로/jca
극비리에	극비리/ncn+에/jca
찾아가	찾/pvg+아/ecs+가/pvg+아/ecs
만난	만나/pvg+ㄴ/etm
자리에서	자리/ncn+에서/jca
최종	최종/ncn
매듭이	매듭/ncn+이/jcs
지어졌습니다.	짓/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
두	두/nnc
김	김/nq
총재는	총재/ncn+는/jxc
오늘	오늘/ncn
홀가분한	홀가분/ncps+하/xsm+ㄴ/etm
표정으로	표정/ncn+으로/jca
기자들을	기자/ncn+들/xsn+을/jco
만났습니다.	만나/pvg+았/ep+습니다/ef+./sf
김대중	김대중/nq
총재는	총재/ncn+는/jxc
김종필	김종필/nq
총재에게	총재/ncn+에게/jca
고마움을	고마움/ncn+을/jco
전하고	전하/pvg+고/ecs
대선승리를	대선/ncn+승리/ncn+를/jco
다짐했다고	다짐/ncpa+하/xsv+었/ep+다/ef+고/jcr
전했습니다.	전하/pvg+었/ep+습니다/ef+./sf
김종필	김종필/nq
총재도	총재/ncn+도/jxc
기자간담회를	기자/ncn+간담/ncn+회/xsn+를/jco
자청해	자청/ncpa+하/xsv+어/ecs
김대중	김대중/nq
총재에	총재/ncn+에/jca
대한	대하/pvg+ㄴ/etm
깊은	깊/paa+은/etm
신뢰감을	신뢰/ncn+감/xsn+을/jco
표시했습니다.	표시/ncpa+하/xsv+었/ep+습니다/ef+./sf
두	두/nnc
당은	당/ncn+은/jxc
오는	오/pvg+는/etm
31일	31/nno+일/nbu
단일화	단일/ncn+화/xsn
협상팀	협상/ncn+팀/ncn
전체회의를	전체/ncn+회의/ncn+를/jco
열어	열/pvg+어/ecs
합의문을	합의/ncn+문/xsn+을/jco
작성하고	작성/ncpa+하/xsv+고/ecs
다음달	다음/ncn+달/ncn
3일	3/nno+일/nbu
공개적으로	공개/ncn+적/xsn+으로/jca
서명식을	서명/ncn+식/xsn+을/jco
갖기로	갖/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
합의문	합의/ncn+문/xsn
서명식에는	서명/ncn+식/xsn+에/jca+는/jxc
두	두/nnc
김총재와	김/nq+총재/ncn+와/jcj
두당	두/nnc+당/ncn
소속의원	소속/ncn+의원/ncn
전원,	전원/ncn+,/sp
그리고	그리고/maj
당무위원	당무/ncn+위원/ncn
전원이	전원/ncn+이/jcs
참석해	참석/ncpa+하/xsv+어/ecs
단일화를	단일/ncn+화/xsn+를/jco
과시하기로	과시/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
빨라야	빠르/paa+아야/ecs
다음달	다음/ncn+달/ncn
초쯤이나	초/ncn+쯤/xsn+이나/jxc
타결될	타결/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
관측됐던	관측/ncpa+되/xsv+었/ep+던/etm
DJP	DJP/f
협상이	협상/ncn+이/jcs
급진전된데는	급진전/ncpa+되/xsv+ㄴ데/ecs+는/jxc
지난주	지나/pvg+ㄴ/etm+주/ncn
SBS	SBS/f
토론회가	토론/ncn+회/xsn+가/jcs
결정적인	결정/ncn+적/xsn+이/jp+ㄴ/etm
영향을	영향/ncn+을/jco
준	주/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
확인됐습니다.	확인/ncpa+되/xsv+었/ep+습니다/ef+./sf
실무협상대표인	실무/ncn+협상/ncn+대표/ncn+이/jp+ㄴ/etm
김용환	김용환/nq
자민련	자민련/nq
부총재는	부총재/ncn+는/jxc
두김	두/nnc+김/nq
총재가	총재/ncn+가/jcs
SBS	SBS/f
토론회에	토론회/ncn+에/jca
각각	각각/mag
출연해	출연/ncpa+하/xsv+어/ecs
내각제와	내각/ncn+제/xsn+와/jcj
후보	후보/ncn
양보에	양보/ncn+에/jca
대한	대하/pvg+ㄴ/etm
명확한	명확/ncps+하/xsm+ㄴ/etm
의사를	의사/ncn+를/jco
공개적으로	공개/ncn+적/xsn+으로/jca
밝힘으로써	밝히/pvg+ㅁ/etn+으로써/jca
실무협상이	실무/ncn+협상/ncn+이/jcs
쉽게	쉽/paa+게/ecs
풀렸다고	풀리/pvg+었/ep+다/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
에스비에스	에스비에스/nq
장현규입니다.	장현규/nq+이/jp+ㅂ니다/ef+./sf
후보단일화	후보/ncn+단일/ncn+화/xsn
협상을	협상/ncn+을/jco
매듭지은	매듭/ncn+짓/pvg+은/etm
국민회의와	국민회의/nq+와/jcj
자민련	자민련/nq
두당은	두/nnc+당/ncn+은/jxc
보수층을	보수/ncn+층/xsn+을/jco
겨냥한	겨냥/ncpa+하/xsv+ㄴ/etm
세확산	세/ncn+확산/ncn
작업에도	작업/ncn+에/jca+도/jxc
박차를	박차/ncn+를/jco
가하고	가하/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
박태준의원과	박태준/nq+의원/ncn+과/jcj
연대를	연대/ncn+를/jco
추진하는	추진/ncpa+하/xsv+는/etm
한편	한편/ncn
엄삼탁	엄삼탁/nq
전	전/ncn
병무청장을	병무청/nq+장/xsn+을/jco
영입했습니다.	영입/ncpa+하/xsv+었/ep+습니다/ef+./sf
양철훈	양철훈/nq
기잡니다.	기자/ncn+ㅂ니다/ef+./sf
김대중,	김대중/nq+,/sp
김종필	김종필/nq
총재의	총재/ncn+의/jcm
전격적인	전격/ncn+적/xsn+이/jp+ㄴ/etm
심야	심야/ncn
회동에	회동/ncn+에/jca
이어	잇/pvg+어/ecs
무소속	무/xp+소속/ncn
박태준	박태준/nq
의원이	의원/ncn+이/jcs
DJP	DJP/f
연대에	연대/ncn+에/jca
가세할	가세/ncpa+하/xsv+ㄹ/etm
뜻을	뜻/ncn+을/jco
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
김종필	김종필/nq
총재는	총재/ncn+는/jxc
오늘	오늘/ncn
낮	낮/ncn
박태준	박태준/nq
의원을	의원/ncn+을/jco
만나	만나/pvg+아/ecs
대선에서의	대선/ncn+에서/jca+의/jcm
승리를	승리/ncn+를/jco
위해	위하/pvg+어/ecs
DJP연대에	DJP/f+연대/ncn+에/jca
참여해	참여/ncpa+하/xsv+어/ecx
줄	주/px+ㄹ/etm
것을	것/nbn+을/jco
요청했으며	요청/ncpa+하/xsv+었/ep+으며/ecs
박	박/nq
의원도	의원/ncn+도/jxc
연대의	연대/ncn+의/jcm
필요성에	필요/ncn+성/xsn+에/jca
동감을	동감/ncn+을/jco
표시했습니다.	표시/ncpa+하/xsv+었/ep+습니다/ef+./sf
김대중,	김대중/nq+,/sp
김종필	김종필/nq
총재와	총재/ncn+와/jcj
박태준	박태준/nq
의원은	의원/ncn+은/jxc
후보단일화	후보/ncn+단일/ncn+화/xsn
서명이	서명/ncn+이/jcs
끝나는	끝/ncn+나/pvg+는/etm
다음달	다음/ncn+달/ncn
3일	3/nno+일/nbu
이후	이후/ncn
3자	3/nnc+자/nbu
회동을	회동/ncn+을/jco
가질	가지/pvg+ㄹ/etm
예정이어서	예정/ncn+이/jp+어서/ecs
이른바	이른바/mag
'DJT	'/sl+DJT/f
연대'	연대/ncn+'/sr
역시	역시/mag
초읽기에	초/ncn+읽기/ncn+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
여기에	여기/npd+에/jca
전	전/mma
안기부	안기부/nq
기조실장을	기조/ncn+실장/ncn+을/jco
지낸	지내/pvg+ㄴ/etm
엄삼탁씨도	엄삼탁/nq+씨/xsn+도/jxc
오늘	오늘/ncn
국민회의에	국민회의/nq+에/jca
정식	정식/nq
입당함으로써	입당/ncpa+하/xsv+ㅁ/etn+으로써/jca
국민회의와	국민회의/nq+와/jcj
일부	일부/ncn
영남권	영남/nq+권/xsn
