<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0009.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0009.txt </filename>
<title>임상의학의 탄생  </title>
<author>미셸 푸꼬 저 ; 홍성민 역  </author>
<date>1993  </date>
<publisher>인간사랑  </publisher>
<kdc>166.8  </kdc>
<ddc>194  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제목	제목/ncn
신체조직의	신체/ncn+조직/ncn+의/jcm
은밀한	은밀/ncps+하/xsm+ㄴ/etm
곳에서	곳/ncn+에서/jca
알레르기	알레르기/ncn
반응이	반응/ncn+이/jcs
어떠한	어떠하/pad+ㄴ/etm
구조를	구조/ncn+를/jco
통해	통하/pvg+어/ecs
드러나는지	드러나/pvg+는지/ecs
우리는	우리/npp+는/jxc
언제쯤	언제/ncn+쯤/xsn
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
조직	조직/ncn
일부분의	일부분/ncn+의/jcm
얇은	얇/paa+은/etm
층에서	층/ncn+에서/jca
바이러스가	바이러스/ncn+가/jcs
어떤	어떤/mmd
식으로	식/ncn+으로/jca
확산되어	확산/ncpa+되/xsv+어/ecx
가는지를	가/px+는지/ecs+를/jco
기왕의	기왕/ncn+의/jcm
지현적인	지현/ncn+적/xsn+이/jp+ㄴ/etm
방법으로	방법/ncn+으로/jca
포착해낼수	포착/ncpa+하/xsv+어/ecx+내/px+ㄹ/etm+수/nbn
있었는가	있/paa+었/ep+는가/ef
?	?/sf
이러한	이러하/paa+ㄴ/etm
공간화의	공간/ncn+화/xsn+의/jcm
기준은	기준/ncn+은/jxc
유클리드	유클리드/nq
해부학에서	해부/ncn+학/xsn+에서/jca
유래하는	유래/ncpa+하/xsv+는/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
어쨌거나	어찌/mag+하/xsm+었/ep+거나/ecs
우리는	우리/npp+는/jxc
여기서	여기/npd+서/jca
교감신경에	교감/ncn+신경/ncn+에/jca
관한	관하/pvg+ㄴ/etm
고전적인	고전/ncn+적/xsn+이/jp+ㄴ/etm
이론이	이론/ncn+이/jcs
구사할	구사/ncpa+하/xsn+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
단어가	단어/ncn+가/jcs
기껏해야	기껏/mag+하/xsm+어야/ecs
대응이나	대응/ncn+이나/jcj
우사	우사/ncn
혹은	혹은/maj
상동	상동/ncn
정도였다는	정도/ncn+이/jp+었/ef+다/ef+는/etm
것을	것/nbn+을/jco
상기해	상기/ncpa+하/xsv+어/ecx
보는	보/px+는/etm
것으로	것/nbn+으로/jca
충분하겠다	충분/ncps+하/xsm+겠/ep+다/ef
.	./sf
즉	즉/maj
해부학에서	해부/ncn+학/xsn+에서/jca
장악하고	장악/ncpa+하/xsv+고/ecx
있었던	있/px+었/ep+던/etm
언어적	언어/ncn+적/xsn
공간이	공간/ncn+이/jcs
결코	결코/mag
논리정연한	논리/ncn+정연/ncps+하/xsm+ㄴ/etm
상태가	상태/ncn+가/jcc
아니었다는	아니/paa+었/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
병리학에서	병리/ncn+학/xsn+에서/jca
위대한	위대/ncps+하/xsm+ㄴ/etm
발전이	발전/ncn+이/jcs
있을	있/paa+을/etm
때마다	때/ncn+마다/jxc
질병을	질병/ncn+을/jco
새롭게	새롭/paa+게/ecs
공간화하려	공간/ncn+화/xsn+하/xsm+려/ecs
했던	하/px+었/ep+던/etm
이유도	이유/ncn+도/jxc
고전적인	고전/ncn+적/xsn+이/jp+ㄴ/etm
지형학이	지형/ncn+학/xsn+이/jcs
저유하고	저유/ncps+하/xsm+고/ecx
있는	있/px+는/etm
공간의	공간/ncn+의/jcm
필요조건이	필요/ncn+조건/ncn+이/jcs
제대로	제대로/mag
충족되지	충족/ncpa+되/xsv+지/ecx
못하였기	못하/px+었/ep+기/etn
때문이었다고	때문/nbn+이/jp+었/ep+다/ef+고/jcr
풀이할	풀이/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있겠다	있/paa+겠/ep+다/ef
.	./sf
질병이	질병/ncn+이/jcs
자리잡은	자리/ncn+잡/pvg+은/jxc
신체와	신체/ncn+와/jcj
병든	병/ncn+들/pvg+ㄴ/etm
사람의	사람/ncn+의/jcm
신체인	신체/ncn+이/jp+ㄴ/etm
몇몇의	몇몇/ncn+의/jcm
경우에만	경우/ncn+에/jca+만/jxc
가능한	가능/ncps+하/xsm+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
그것의	그것/npd+의/jcm
일치란	일치/ncn+란/jxc
결국	결국/mag
우리가	우리/npp+가/jcs
어떤눈으로	어떤/mmd+눈/ncn+으로/jca
질병을	질병/ncn+을/jco
바라보는가에	바라보/pvg+는가/ef+에/jca
달려	달리/pvg+어/ecx
있는만큼	있/px+는/etm+만큼/nbn
차라리	차라리/mag
우리는	우리/npp+는/jxc
고정관념을	고정/ncn+관념/ncn+을/jco
벗어나도록	벗어나/pvg+도록/ecs
노력해야만	노력/ncpa+하/xsv+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
질병의	질병/ncn+의/jcm
배치와	배치/ncn+와/jcj
통증의	통증/ncn+의/jcm
위치결정이	위치/ncn+결정/ncn+이/jcs
이루어지는	이루/pvg+어/ecx+지/px+는/etm
공간이	공간/ncn+이/jcs
일치하는	일치/ncps+하/xsm+는/etm
경우란	경우/ncn+란/jxc
단지	단지/mag
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
현상에	현상/ncn+에/jca
불과하다	불과/ncps+하/xsm+다/ef
.	./sf
그러나	그러나/maj
우리는	우리/npp+는/jxc
그	그/mmd
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
현상을	현상/ncn+을/jco
병리해부학을	병리/ncn+해부/ncn+학/xsn+을/jco
강조하던	강조/ncpa+하/xsv+던/etm
19	19/nno
세기	세기/nbu
의학에서	의학/ncn+에서/jca
발견할	발견/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
나는	나/npp+는/jxc
당시의	당시/ncn+의/jcm
의학을	의학/ncn+을/jca
시선의	시선/ncn+의/jcm
권력이	권력/ncn+이/jcs
팽배하던	팽배/ncpa+하/xsv+던/etm
시기라고	시기/ncn+라/ef+고/jcr
부르고	부르/pvg+고/ecx
싶은데	싶/px+은데/ecs
,	,/sp
그	그/mmd
까닭은	까닭/ncn+은/jxc
과거와	과거/ncn+와/jct
똑같은	똑같/paa+은/etm
인식의	인식/ncn+의/jcm
대상을	대상/ncn+을/jco
놓고도	놓/pvg+고/ecs+도/jxc
갑자기	갑자기/mag
의학이	의학/ncn+이/jcs
가시적으로	가시/ncn+적/xsn+으로/jca
드러나는	드러나/pvg+는/etm
유기체의	유기/ncn+체/xsn+의/jcm
질병이나	질병/ncn+이나/jcj
병리학적	병리/ncn+학/xsn+적/xsn
형태	형태/ncn
속에서	속/ncn+에서/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
규칙성을	규칙/ncn+성/xsn+을/jco
가진	가지/pvg+ㄴ/etm
것에만	것/nbn+에/jca+만/jxc
눈을	눈/ncn+을/jco
돌리기	돌리/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
19	19/nno
세기의	세기/nbu+의/jcm
'	'/sl
의학적	의학/ncn+적/xsn
시선	시선/ncn
'	'/sr
은	은/jxc
진리에	진리/ncn+에/jca
대하여	대하/pvg+여/ecs
자신의	자신/ncn+의/jcm
권리를	권리/ncn+를/jco
주장하며	주장/ncpa+하/xsv+며/ecs
자신이	자신/ncn+이/jcs
주인이라고	주인/ncn+이/jp+라/ef+고/jcr
외치기	외치/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
그런데	그런데/maj
어떻게	어떻/pad+게/ecs
이러한	이러하/pad+ㄴ/etm
권리가	권리/ncn+가/jcs
생겨나게	생기/pvg+어/ecx+나/px+게/ecs
되었을까	되/pvg+었/ep+을까/ef
?	?/sf
어떻게	어떻/pad+게/ecs
질병이	질병/ncn+이/jcs
드러나는	드러나/pvg+는/etm
장소에서	장소/ncn+에서/jca
질병의	질병/ncn+의/jcm
구성요소들을	구성/ncn+요소/ncn+들/xsn+을/jco
분류하는	분류/ncpa+하/xsv+는/etm
일이	일/ncn+이/jcs
가능할	가능/ncps+하/xsm+ㄹ/etm
수	수/nbn
있었는가	있/paa+었/ep+는가/ef
?	?/sf
그러나	그러나/maj
역설적인	역설/ncpa+적/xsn+이/jp+ㄴ/etm
것은	것/nbn+은/jxc
의학의	의학/ncn+의/jcm
모습이	모습/ncn+이/jcs
'	'/sl
질병의	질병/ncn+의/jcm
배치	배치/ncn
'	'/sr
를	를/jca
수행함에	수행/ncpa+하/xsv+ㅁ/etn+에/jca
있어서	있/paa+어서/ecs
분류하기의	분류/ncn+하/xsv+기/etn+의/jcm
의학만큼	의학/ncn+만큼/jxc
'	'/sl
통증의	통증/ncn+의/jcm
위치결정	위치/ncn+결정/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
작업과	작업/ncn+과/jct
분리되어	분리/ncpa+되/xsv+어/ecs
자유로워	자유/ncps+롭/xsm+어/ecx
본	보/px+ㄴ/etm
적은	적/nbn+은/etm
없다는	없/paa+다/etm+는/etm
사실이다	사실/ncn+이/jp+다/ef
.	./sf
분류하기의	분류/ncpa+하/xsv+기/xsn+의/jcm
의학이야말로	의학/ncn+이야말로/jxc
임상해부학을	임상/ncn+해부/ncn+학/xsn+을/jco
가능하게	가능/ncps+하/xsm+게/ecs
만들었던	만들/pvg+었/ep+던/etm
장본이다	장본/ncn+이/jp+다/ef
.	./sf
"	"/sl
병의	병/ncn+의/jcm
종류가	종류/ncn+가/jcs
무엇인지	무엇/npd+이/jp+ㄴ지/ecs
확실하지	확실/ncps+하/xsm+지/ecx
않고서는	않/px+고서/ecs+는/jxc
질병을	질병/ncn+을/jco
치료하지	치료/ncpa+하/xsv+지/ecx
마십시오	말/pvg+시/ep+ㅂ시오/ef
"	"/sr
라고	라고/jcr
말했던	말/ncpa+하/xsv+었/ep+던/etm
질리베르의	질리베르/nq+의/jcm
진술은	진술/ncn+은/jxc
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
의학이	의학/ncn+이/jcs
갖는	갖/pvg+는/etm
성격을	성격/ncn+을/jco
대변한다	대변/ncpa+하/xsv+ㄴ다/ef
.	./sf
야생의	야생/ncn+의/jcm
병리학	병리/ncn+학/xsn
으로부터	으로/jca+부터/jxc
피넬의	피넬/nq+의/jcm
병리론	병리/ncn+론/xsn
에	에/jca
이르기까지	이르/paa+기/etn+까지/jxc
당시의	당시/ncn+의/jcm
의학이론과	의학/ncn+이론/ncn++과/jcj
의료행위를	의료/ncn+행위/ncn+를/jco
주관하던	주관/ncpa+하/xsv+던/etm
규칙은	규칙/ncn+은/jxc
바로	바로/mag
분류하기였다	분류/ncn+하/xsv+기/etn+이/jp+었/ep+다/ef
.	./sf
다시말해	다시/mag+말/ncpa+하/xsv+어/ecs
분류하기는	분류/ncn+하/xsv+기/etn+는/jxc
질병의	질병/ncn+의/jcm
형태를	형태/ncn+를/jco
결정학도	결정/ncn+학/xsn+도/jxc
병에	병/ncn+에/jca
관한	관하/pvg+ㄴ/etm
암호를	암호/ncn+를/jco
풀어서	풀/pvg+어서/ecs
그것에	그것/npd+에/jca
언어학적	언어/ncn+학/xsn+적/xsn
정의를	정의/ncn+를/jco
내려주는	내리/pvg+어/ecx+주/px+는/etm
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
규칙이었다	규칙/ncn+이/jp+었/ep+다/ef
.-"	./sf+-/sd+"/sl
저명한	저명/ncps+하/xsm+ㄴ/etm
야생의	야생/ncn+의/jcm
병리론	병리/ncn+론/xsn
에	에/jca
도전하려는	도전/ncpa+하/xsv+려/ecs+는/etm
사람의	사람/ncn+의/jcm
말은	말/ncn+은/jxc
들으려고도	들/pvg+으려고/ecs+도/jxc
하지	하/px+지/ecx
마십시오	말/px+시/ep+ㅂ시오/ef
.	./sf
지금까지	지금/ncn+까지/jxc
모든	모든/mma
의사들이	의사/ncn+들/xsn+이/jca
자신들의	자신/ncn+들/xsn+의/jcm
이론적	이론/ncn+적/xsn
배경으로	배경/ncn+으로/jca
건강의	건강/ncn+의/jcm
논리를	논리/ncn+를/jco
가지고	가지/pvg+고/ecx
있었다는	있/px+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
기억하십니까	기억/ncpa+하/xsv+시/ep+ㅂ니까/ef
?	?/sf
그러니	그러니/maj
의사들이	의사/ncn+들/xsn+이/jcs
어떻게	어떻/pad+게/ecs
자신들의	자신/ncn+들/xsn+의/jcm
어휘를	어휘/ncn+를/jco
구사하며	구사/ncpa+하/xsv+며/ecc
,	,/sp
어떠한	어떠하/pad+ㄴ/etm
예리함을고	예리/ncps+하/xsm+ㅁ/etn+으로/jca
질병을	질병/ncn+을/jco
정의내리고	정의/ncn+내리/pvg+고/ecx
있는지	있/px+는지/ecs
주의깊게	주의/ncn+깊/paa+게/ecs
살펴보시기	살피/pvg+어/ecs+보/pvg+시/ep+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
."-	./sf+"/sr+-/sd
따라서	따라서/maj
하나의	하나/nnc+의/jcm
질병이	질병/ncn+이/jcs
인간의	인간/ncn+의/jcm
신체에	신체/ncn+에/jca
자리잡기	자리/ncn+잡/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
종과	종/ncn+과/jcj
,	,/sp
종류	종류/ncn
혹은	혹은/maj
종족의	종족/ncn+의/jcm
위계질서로	위계/ncn+질서/ncn+로/jca
분류되어야만한다	분류/ncpa+되/xsv+어야/ecs+만/jxc+하/px+ㄴ다/ef
.	./sf
결국	결국/mag
이러한	이러하/pad+ㄴ/etm
분류하기는	분류/ncpa+하/xsv+기/xsn+는/jxc
하나의	하나/nnc+의/jcm
표를	표/ncn+를/jco
만드는	만들/pvg+는/etm
작업으로	작업/ncn+으로/jca
파악할	파악/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는바	있/paa+는/etm+바/nbn
,	,/sp
이를	이/npd+를/jco
통해	통하/pvg+어/ecs
수많은	수/ncn+많/paa+은/etm
질병으로	질병/ncn+으로/jca
불어나	불/pvg+어/ecx+나/px+아/ecx
있는	있/px+는/etm
의학지식	의학/ncn+지식/ncn
속에서	속/ncn+에서/jca
의사들은	의사/ncn+들/xsn+은/jxc
비로소	비로소/mag
각각의	각각/ncn+의/jcm
질병을	질병/ncn+을/jco
기억하고	기억/ncpa+하/xsv+고/ecc
치료할	치료/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
이와	이/npd++와/jcj
같은	같/paa+은/etm
공간적인	공간/ncn+적/xsn+이/jp+ㄴ/etm
'	'/sl
케타포	케타포/ncn
'	'/sr
의	의/jcm
차원을	차원/ncn+을/jco
넘어서	넘/pvg+어서/ecs
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
의학은	의학/ncn+은/jxc
'	'/sl
질병의	질병/ncn+의/jcm
배치	배치/ncn
'	'/sr
라는	라/ef+는/etm
개념정의를	개념/ncn+정의/ncn+를/jco
내릴	내리/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
계통수를	계통수/ncn+를/jco
작성할	작성/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
것도	것/nbn+도/jxc
질병의	질병/ncn+의/jcm
계보를	계보/ncn+를/jco
추적할	추적/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
공간화가	공간/ncn+화/xsn+가/jcs
가능하다는	가능/ncps+하/xsm+다/ef+는/etm
전제가	전제/ncn+가/jcs
있었기	있/paa+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
병리학적	병리/ncn+학/xsn+적/xsn
표	표/ncn
만들기가	만들/pvg+기/etn+가/jcs
의미하는	의미/ncps+하/xsm+는/etm
바는	바/nbn+는/jxc
원인과	원인/ncn+과/jcj
결과의	결과/ncn+의/jcm
연계성이나	연계/ncn+성/xsn+이나/jcj
시간의	시간/ncn+의/jcm
흐름에	흐르/pvg+ㅁ/etn+에/jca
따른	따르/pvg+ㄴ/etm
진행과정	진행/ncn+과정/ncn
혹은	혹은/maj
인간의	인간/ncn+의/jcm
육체에서	육체/ncn+에서/jca
가시적으로	가시/ncn+적/xsn+으로/jca
관찰될	관찰/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
진행경로로서가	진행/ncn+경로/ncn+로서/jca+가/jcc
아니라	아니/paa+라/ecs
,	,/sp
질병의	질병/ncn+의/jcm
앞뒤	앞/ncn+뒤/ncn
관계와	관계/ncn+와/jcj
이웃관계를	이웃/ncn+관계/ncn+를/jco
포착하기	포착/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
방법으로	방법/ncn+으로/jca
환자를	환자/ncn+를/jco
바라보았다는	바라보/pvg+았/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
질병을	질병/ncn+을/jco
인간의	인간/ncn+의/jcm
육체	육체/ncn
위에	위/ncn+에/jca
자리매김하는	자리/ncn+매김/ncpa+하/xsv+는/etm
문제는	문제/ncn+는/jxc
부차적인	부차/ncn+적/xsn+이/jp+ㄴ/etm
것이	것/nbn+이/jcc
되어버리고	되/pvg+어/ecx+버리/px+고/ecc
포함관계	포함/ncn+관계/ncn
,	,/sp
하위체계	하위/ncn+체계/ncn
,	,/sp
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
체계가	체계/ncn+가/jcs
중요한	중요/ncps+하/xsm+ㄴ/etm
쟁점으로	쟁점/ncn+으로/jca
부각된다	부각/ncpa+되/xsv+ㄴ다/ef
.	./sf
여기에는	여기/npd+에는/jca
'	'/sl
수직나누기	수직/ncn+나누기/ncn
'	'/sr
와	와/jcj
'	'/sl
수평나누기	수평/ncn+나누기/ncn
'	'/sr
의	의/jcm
영역이	영역/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
전자에	전자/ncn+에/jca
속하는	속하/pvg+는/etm
것은	것/nbn+은/jxc
소위	소위/mag
덤불	덤불/ncn
속에	속/ncn+에/jca
숨어	숨/pvg+어/ecx
있는	있/px+는/etm
의미를	의미/ncn+를/jco
밝혀내는	밝히/pvg+어/ecx+내/px+는/etm
것으로	것/nbn+으로/jca
,	,/sp
예컨대	예컨대/maj
열이나다가	열/ncn+이/jcs+나/pvg+다가/ecs
냉기가	냉기/ncn+가/jcs
시작되는	시작/ncpa+되/xsv+는/etm
현상이	현상/ncn+이/jcs
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
것이냐	것/nbn+이냐/ef
,	,/sp
정지	정지/ncn
기간이	기간/ncn+이/jcs
있는	있/paa+는/etm
경우에는	경우/ncn+에/jca+는/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
휴지기가	휴지/ncn+기/xsn+가/jcs
있느냐	있/paa+느냐/ef
,	,/sp
정지기간이	정지/ncn+기간/ncn+이/jcs
있는	있/paa+는/etm
경우에는	경우/ncn+에/jca+는/jxc
그것이	그것/npd+이/jcs
얼마나	얼마나/mag
지속되느냐를	지속/ncpa+되/xsv+느냐/ef+를/jco
결정해야만	결정/ncpa+하/xsv+어야/ecs+만/jxc
했다	하/px+었/ep+다/ef
.	./sf
후자의	후자/ncn+의/jcm
경우로는	경우/ncn+로는/jca
동일한	동일/ncps+하/xsm+ㄴ/etm
현상에서	현상/ncn+에서/jca
드러나는	드러나/pvg+는/etm
차별성을	차별/ncn+성/xsn+을/jco
찾는	찾/pvg+는/etm
작업으로	작업/ncn+으로/jca
,	,/sp
예컨대	예컨대/maj
근육경련이	근육/ncn+경련/ncn+이/jcs
있는	있/paa+는/etm
경우	경우/ncn
그것이	그것/npd+이/jcs
부분적인	부분/ncn+적/xsn+이/jp+ㄴ/etm
것이냐	것/nbn+이/jp+냐/ef
광범위한	광범위/ncps+하/xsm+ㄴ/etm
것이냐	것/nbn+이/jp+냐/ef
,	,/sp
혹은	혹은/maj
간혈적인	간혈/ncn+적/xsn+이/jp+ㄴ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
것인가를	것/nbn+이/jp+ㄴ가/ef+를/jco
결정해야한다	결정/ncpa+하/xsv+어야/ecx+하/px+ㄴ다/ef
.	./sf
또는	또는/maj
카타르성	카타르성/ncn
염증이	염증/ncn+이/jcs
목에서	목/ncn+에서/jca
시작되는	시작/ncpa+되/xsv+는/etm
것이라면	것/nbn+이/jp+라/ef+면/ecs
이질은	이질/ncn+은/jxc
내장에서	내장/ncn+에서/jca
비롯되는	비롯/ncpa+되/xsv+는/etm
것임을	것/nbn+이/jp+ㅁ/etn+을/jco
결정ㅎ래야	결정/ncpa+하/xsv+어야/ecs
하는	하/px+는/etm
것도	것/nbn+도/jxc
수평나누기가	수평/ncn+나누기/ncn+가/jcs
해야	하/pvg+어야/ecs
할	하/px+ㄹ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
공간화는	공간/ncn+화/xsn+는/jxc
모든	모든/mma
의학적	의학/ncn+적/xsn
시선에	시선/ncn+에/jca
앞서	앞/ncn+서/pvg+어/ecs
무엇을	무엇/npd+을/jco
질병으로	질병/ncn+으로/jca
인식해야	인식/ncpa+하/xsv+어야/ecs
하는가를	하/px+는가/ef+를/jco
결정해	결정/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
전지전능한	전지전능/ncps+하/xsm+ㄴ/etm
자리이다	자리/ncn+이/jp+다/ef
.	./sf
애당초	애당초/mag
인간의	인간/ncn+의/jcm
욱체	욱체/ncn
위에	위/ncn+에/jca
자리잡고	자리/ncn+잡/pvg+고/ecx
있던	있/px+던/etm
질병이	질병/ncn+이/jcs
의사들에게	의사/ncn+들/xsn+에게/jca
자신의	자신/ncn+의/jcm
특성을	특성/ncn+을/jco
드러내	드러내/pvg+어/ecs
보일	보이/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것도	것/nbn+도/jxc
바로	바로/mag
공간화가	공간/ncn+화/xsn+가/jcs
긋고	긋/pvg+고/ecs
지나간	지나/pvg+아/ecs+가/pvg+ㄴ/etm
경계선상이며	경계/ncn+선/ncn+상/xsn+이며/ecc
,	,/sp
공간화가	공간/ncn+화/xsn+가/jcs
명령하고	명령/ncpa+하/xsv+고/ecc
배열했던	배열/ncpa+하/xsv+었/ep+던/etm
서열속이다	서열/ncn+속/ncn+이/jp+다/ef
.	./sf
공간화의	공간/ncn+화/xsn+의/jcm
지형을	지형/ncn+을/jco
이루는	이루/pvg+는/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
원칙을	원칙/ncn+을/jco
살펴보자	살피/pvg+어/ecs+보/pvg+자/ef
.	./sf
1	1/nno
.	./sf
18	18/nno
세기	세기/nbu
의사에	의사/ncn+에/jca
공간화는	공간/ncn+화/xsn+는/jxc
철학적인	철학/ncn+적/xsn+이/jp+ㄴ/etm
'	'/sl
지식	지식/ncn
'	'/sr
이	이/jcc
아니라	아니/paa+라/ecs
'	'/sl
역사적인	역사/ncn+적/xsn+이/jp+ㄴ/etm
'	'/sr
경험을	경험/ncn+을/jco
통해	통하/pvg+어/ecs
이루어진다	이루/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
예컨대	예컨대/maj
발열	발열/ncn
,	,/sp
호흡곤란	호흡/ncn+곤란/ncn
,	,/sp
기침	기침/ncn
,	,/sp
늑골의	늑골/ncn+의/jcm
통증	통증/ncn
따위와	따위/nbn+와/jct
같은	같/paa+은/etm
4	4/nnc
가지	가지/nbu
현상으로	현상/ncn+으로/jca
늑막염을	늑막/ncn+염/xsn+을/jco
